page	locus	line_number	kind	paragraph_start	paragraph_end	eva_clean	zl3b_clean	it2a_clean	rf1b_clean
f17r	f17r.4	4	P	1	0	tcho shol qokol qor olaiin opydg som ypchy ypaim	tcho shol qokol qor olaiin opydg som ypchy ypaim	tcho shol qokol qor olaiin opydg som ypchy ypaim	tchor shol qokol qor olaiin opydg rom ypchy ypaim
f17r	f17r.5	5	P	0	0	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody	ychekchy cthy chor shor cphor cphaldy dair cthey qody
f17r	f17r.6	6	P	0	1	tsho qof cho qokcheor cheteg	tsho qof cho qokcheor cheteg	tsho qofcho qokcheor chekeg	tsho qof cho qokcheor cheteg
f17r	f17r.7	7	P	1	0	ksheo qokchy choldshy zepchy d opchordy	ksheo qokchy choldshy zepchy d opchordy	ksheo qokchy choldshy zepchy dsa opchordy	ksheo qokchy choldshy zepchy opchordy
f17r	f17r.8	8	P	0	0	dchchy dychear schar ykchy	dchchy dychear schar ykchy	dchchy dychear schar ykchy	dchchy dychear schar kchy
f17r	f17r.9	9	P	0	0	soy chckho o das chypcham	soy chckho o das chypcham	soy chckhy o dar chypcham	soy chckho o das chypcham
f17r	f17r.10	10	P	0	0	dar chear dcheor sain y mol	dar chear dcheor sain y mol	dar chear dsheor ain y mol	dar chear dcheor sain mol
f17r	f17r.11	11	P	0	0	otchol cthar okaiin chol daiiin	otchol cthar okaiin chol daiiin	otchol cthar okaiin chol daiiin	otchol cthar okaiin chol daiiin
f17r	f17r.12	12	P	0	1	ychod y chotom	ychod y chotom	ychody chotom	ychody chotom
f17r	f17r.13	13	L	0	0	oteeeon oiil	oteeeon oiil		oteeeon oiil
f18r	f18r.13	13	P	0	0	or shaiin cthar cthal okal dar	or shaiin cthar cthal okal dar	or shaiin cthar cthal okal dar	or shaiin cthar cthal okal dar
f21r	f21r.9	9	P	0	0	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	okaiin sho tshaiin chkaiin sh cthey cthody cthy s	okaiin sho tshaiin chkaiin shcthey cthody cthy s	okaiin sho tshaiin chkaiin sh cthey cthody cthy s
f24v	f24v.4	4	P	0	0	ydal sh okol okaiin odaiin dlos	ydal sh okol okaiin odaiin dlos	ydal sh okol okaiin odaiin dlos	ydal sh okol okaiin odaiin dlos
f24v	f24v.16	16	P	0	1	otchol odaiim	otchol odaiim	otchol odaiim	otchol odaiim
f31r	f31r.11	11	P	0	0	olsheol qokchy dal chey deey kchy keey okaiiin ykeey	olsheol qokchy dal chey deey kchy keey okaiiin ykeey	olsheol qokchy dal chey deey kchy keey okaiin ykeey	olsheol qokchy dal chey deey kchy keey okaiiin kee
f32v	f32v.8	8	P	0	0	otchol daiin daiin ctho daiin qotaiin otchy d shan	otchol daiin daiin ctho daiin qotaiin otchy d shan	otchol daiin daiin ctho daiin qotaiin otchy d shar	otchol daiin daiin cthodaiin qotaiin otchy shan
f55v	f55v.8	8	P	0	0	tar chedy qokaiin okar qol otar cho ar talody okar y	tar chedy qokaiin okar qol otar cho ar talody okar y	tor chdy qokaiin okar qol otarcho cthar talody okary	t r che y qokaiin okar qol otarcho ar talody okary
f55v	f55v.9	9	P	0	0	ykaky qokchy okal chey or or aiin okaiin ykain otaky	ykaky qokchy okal chey or or aiin okaiin ykain otaky	ykaky qokchy okal chey or or aiin okaiin ykain otaky	ykaky qokchy okal chey or or aiin okaiin ykain taky
f55v	f55v.10	10	P	0	0	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol	oaiin ol s aiin okaiin oky ytaiin otar ykal ykar ol	oaiin ol s aiin okaiin oky ytaiin otar kal ykar ol
f56r	f56r.10	10	P	0	0	yt chor otchy chok y t chey r okaiin	yt chor otchy chok y t chey r okaiin	ytchor otchy chokyt chey r okaiin	ytchor otchy chok yt chey r ok aiin
f66r	f66r.56	56	P	0	1	dsheol okaiin sheodaiin	dsheol okaiin sheodaiin	dsheol okaiin sheodaiin	dsheol okaiin sheodaiin
f68r1	f68r1.4	4	P	0	1	dchor okaiiin	dchor okaiiin	dchor okaiin	dchos okaiiin
f71v	f71v.18	18	C	0	0	okeey okeosar otaiin chkeeal okal cheekaiin okaiin okchor dar oteey kal	okeey okeosar otaiin chkeeal okal cheekaiin okaiin okchor dar oteey kal	okeey okeosar otaiin chkeeal okal cheekaiin okaiin okchor dar oteey kal	okeey okeosar otaiin chkeeal okal cheekaiin okaiin okchor dar oteey kal
f72r1	f72r1.1	1	C	0	0	oteeo cthey chlol cheol olcheor al oteey chedal oteedy okeodaly chol chokeol cheoky okaiir okeedy sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal dar okeeas aiin oteey okaiin	oteeo cthey chlol cheol olcheor al oteey chedal oteedy okeodaly chol chokeol cheoky okaiir okeedy sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal dar okeeas aiin oteey okaiin	oteeo ckhey cholo cheol olchear al oteey chedal oteedy okeodaly cheol chokeol cheolky okaiis okeedy sheoltey cheor aiin ydal okochey sho okalshey shol chalaiin chekeol kol otos ar aiin otar otam chotam sal okeo dar ar adal dar okeeas aiin oteey okoiin	oteeo cthe chlol cheol olchear al oteey chedal otee y okeo aly chol chokeol cheolky okaiir okee y sheoltey cheor aiin dal okochey sho okaley ol chalaiin chekeol kol otos ar aiin otam otam chotam sal okeo dar ar adal ar okeeos aiin oteey o kaiin
f72r1	f72r1.12	12	C	0	0	oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar	oteodar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteo teeody otar chokaiin okaiin al alo cheedy otear ar cheky chokal otar al o qokar	oteodar ytey otey shetey chokshor okalal otaiin sheol aiin otaiin chetey cheolor oteoteeody otor chokaiin okaiin al alo cheedy oteorar cheky chokal otas al oqokar	oteo ar ytey otey shetey chokshor okalal otaiin sheolaiin otaiin chetey cheolor oteoteeo y otar chokaiin okaiin al alo chee y oteorar cheky chokal otar aloqokar
f72r2	f72r2.32	32	C	0	0	otoar air aloy okaiin otees chs chchs ar aly taly dar otchey okaiin olaiin y	otoar air aloy okaiin otees chs chchs ar aly taly dar otchey okaiin olaiin y	otoar air aloy okaiin otees chs chchs ar yly kaly dar otchey okaiin ola in dy	otoar air alo okaiin otees chs chchs ar aly kaly ar oteeey okaiin olaiin y
f72r3	f72r3.12	12	L	0	0	opoeey okaiin	opoeey okaiin	opoeey okaiin	opoeey okaiin
f75r	f75r.45	45	P	0	0	sshedy shckhy qokey okedy sarol oty otedy qotedy otedy okaiin	sshedy shckhy qokey okedy sarol oty otedy qotedy otedy okaiin	sshedy shckhy qokey okedy sorol oty otedy qotedy otedy okaiin	sshedy shckhy qokey okedy s rol oty otedy qote y otedy okaiin
f76r	f76r.2	2	P	0	0	dshedy qotddyar cthar chep dain okain qokeor shedy qol ain sheals qokeey	dshedy qotddyar cthar chep dain okain qokeor shedy qol ain sheals qokeey	dshedy qotddyar cthar chep dain okain qokeor shedy qol ain sheols qokeey	dshedy qotddyar cthar chep dain okain qokeor shedy qol ain sheals qokeey
f76r	f76r.13	13	P	0	0	qokeedy checthy chckhey okal okaiin sheckhey okeedy otey dal y kal chedy sar	qokeedy checthy chckhey okal okaiin sheckhey okeedy otey dal y kal chedy sar	qokeedy checthy chckhey okol okaiin sheckhey okeedy otey dal ykal chedy sar	qokeedy checthy chckhey okal okaiin sheckhey okeedy otey dal ykal chedy sar
f76r	f76r.32	32	P	0	0	cheo r ain okaiin dain chey dalshedy qokaiin cheol shy chedy rain chedy shy	cheo r ain okaiin dain chey dalshedy qokaiin cheol shy chedy rain chedy shy	cheor ain okaiin dain chey dal shedy qokaiin cheol shy chedy rain chedy shy	chear ain okaiin dain chey dalshedy qokaiin che l shy chedy ain che y y
f77r	f77r.27	27	P	0	0	solchedy qokain okaiin shedy qokeedy qotedy	solchedy qokain okaiin shedy qokeedy qotedy	solchedy qokain okaiin shedy qokeedy qotedy	solche y qokain okaiin shedy qokeedy qotedy
f77r	f77r.35	35	P	0	0	solkeey okaiin chedy qokain sheedy qokaiin chedaiin chealy	solkeey okaiin chedy qokain sheedy qokaiin chedaiin chealy	solkeey okaiin chedy qokain sheedy qokaiin chedaiin chealy	solkeey okaiin chedy qokain sheedy qotaiin che aiin chealy
f77r	f77r.40	40	P	0	0	daiiin ol eeedy okaiin sheeol qotaiin shody qoty	daiiin ol eeedy okaiin sheeol qotaiin shody qoty	daiiin ol eeedy okaiin sheeol qotaiin shody qoty	daiiin ol eee y okaiin sheeol qotaiin o y qoty
f81v	f81v.2	2	P	0	0	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	qoke y okaiin kair okal sar ol kain olkain al ol rol l
f81v	f81v.5	5	P	0	0	okaiin daiin otain chckhy okeedy qoky kar daiin okar	okaiin daiin otain chckhy okeedy qoky kar daiin okar	okaiin daiin otain chckhy okeedy qoky kar daiin okar	kaiin aiin otain chckhy okee y qoky kar aiin okar
f81v	f81v.6	6	P	0	0	qokain okaiin ol chedy cheol lky l s aiin okain daldy	qokain okaiin ol chedy cheol lky l s aiin okain daldy	qokain okaiin ol chedy cheol lky ls aiin okain daldy	qokain okaiin ol chedy cheol lky l s aiin okain dal y
f88r	f88r.18	18	P	1	0	koay cphol orchor pcheoly otchol oldy salsaly	koay cphol orchor pcheoly otchol oldy salsaly	koaiphhy cphol orchor pcheoly otchol oldy sal saly	koay cphol or chor pcheoly otchol oldy salsaly
f88r	f88r.22	22	P	0	1	ychey okaiin chol cheor ol chorcholsal	ychey okaiin chol cheor ol chorcholsal	ychey okaiin chol cheor ol chorcholsal	ychey okaiin chol cheor ol chorcholsal
f88v	f88v.14	14	L	0	0	okaiin	okaiin	okaiin	okaiin
f89r1	f89r1.14	14	L	0	0	okaiin dan	okaiin dan	okaiin dan	okaiin dan
f89r2	f89r2.12	12	P	1	0	porachol yody qoteol oldaiin otol sheor shor oldaiin otchol cheol otolpchy dar cho lkeopol oeeor or	porachol yody qoteol oldaiin otol sheor shor oldaiin otchol cheol otolpchy dar cho lkeopol oeeor or	porechol qoda qoteol oldaiin otol sheor shor ol daiin otchol cheol otolfcho dar cho lkeopol oeeor or	porachol yody qoteol oldaiin otol sheor shor ol aiin otchol cheol otolfchy dar cho lkeopol oeeor ar
f95v2	f95v2.5	5	P	0	0	tar fcheey shos aiin okar olkaiin otalain okaiin ar	tar fcheey shos aiin okar olkaiin otalain okaiin ar	tar fcheey shos aiin okar olkaiin otalain okaiin ar	tar fcheey shos aiin okar olkaiin otalain okaiin ar
f95v1	f95v1.13	13	P	0	1	lshee qodain okaiin otody chcthy	lshee qodain okaiin otody chcthy	lshee qodain okaiin otody chcthy	lee qodain okaiin oto y chcthy
