family_no	formal_parse	atomic_default_de	canonical_surface	surface_types	all_attested_surfaces	simple_q_variants	leading_wrapper_variants	renderer_task
22	OK+AL	an die Stelle setzen	qokal	2	okal|qokal	1	1	choose one allograph without changing the component sequence
23	OK+AR	von dort einsetzen	okar	2	okar|qokar	1	1	choose one allograph without changing the component sequence
24	OK+CHD+DY	Ansatz umsetzen; Schluss	qokchdy	3	okchedy|qokchdy|qokchedy	0	0	choose one allograph without changing the component sequence
25	OK+E+Y	kurz ansetzen	okey	3	okedy|okey|qokey	1	1	choose one allograph without changing the component sequence
26	OK+EE+O+Y	ansetzen + laenger + Arbeitsgang + dies	okeeody	2	okeeody|qokeeody	1	1	choose one allograph without changing the component sequence
27	OK+EE+Y	länger ansetzen	qokeey	2	okeey|qokeey	1	1	choose one allograph without changing the component sequence
28	OK+O+AL+Y	ansetzen + Arbeitsgang + Stelle + dies	okoaly	2	okoaly|okodaly	0	0	choose one allograph without changing the component sequence
29	OK+OL	weiter ansetzen	okol	3	okchol|okol|qokol	1	1	choose one allograph without changing the component sequence
30	OK+Y	verwende dies	qoky	6	chokchy|choky|okchy|oky|qokchy|qoky	1	1	choose one allograph without changing the component sequence
31	OL	fortsetzen	ol	8	cheol|chol|dchol|ol|qol|schol|sol|tol	1	7	choose one allograph without changing the component sequence
32	OL+CHD+DY	weiterführen; Schluss	qolchedy	2	olchedy|qolchedy	1	1	choose one allograph without changing the component sequence
33	OL+K+AIN	weitere Portion	olkain	2	olkain|qolkain	1	1	choose one allograph without changing the component sequence
34	OL+OR	weiterer Ansatz	olor	2	cholor|olor	0	1	choose one allograph without changing the component sequence
35	OL+Y	dies weiterführen	oly	3	choly|oly|qolchey	0	1	choose one allograph without changing the component sequence
36	OR	Ansatz	or	4	chor|or|shor|sor	0	3	choose one allograph without changing the component sequence
37	OT+AIIN	nächstes Maß	otaiin	2	otaiin|sotaiin	0	1	choose one allograph without changing the component sequence
38	OT+AL	Folgestelle	qotal	2	otal|qotal	1	1	choose one allograph without changing the component sequence
39	OT+CH+OR	danach Ansatz entnehmen	otchor	2	otchor|qotchor	1	1	choose one allograph without changing the component sequence
40	OT+CHD+DY	danach umsetzen; Schluss	otchdy	3	otchdy|otchedy|qotchedy	0	0	choose one allograph without changing the component sequence
41	OT+Y	nächster Posten	otchey	4	otchey|otchy|oty|qotchy	0	0	choose one allograph without changing the component sequence
42	SHED+DY	absetzen; Schluss	shedy	3	cheedy|shedy|tedy	0	0	choose one allograph without changing the component sequence
43	SOLK+EE+DY	länger auffangen; Schluss	olkeedy	2	olkeedy|solkeedy	0	1	choose one allograph without changing the component sequence
44	T+E+Y	dies kurz eintragen	tey	2	tey|ytey	0	1	choose one allograph without changing the component sequence
45	T+Y	dies eintragen	chty	2	chety|chty	0	0	choose one allograph without changing the component sequence
46	WHOLE[cheey|shey]	Ergebnis	cheey	2	cheey|shey	0	0	choose one allograph without changing the component sequence
47	Y	dies	dy	6	chey|chy|dy|shy|sy|y	0	1	choose one allograph without changing the component sequence
48	Y+K+AIN	eine Portion davon zuführen	ykan	2	ykain|ykan	0	0	choose one allograph without changing the component sequence
49	Y+K+AR	dies + zufuehren + von dort	ykar	2	chykar|ykar	0	1	choose one allograph without changing the component sequence
50	Y+K+Y	dies + zufuehren + dies	ykchey	5	cheyky|ykchey|ykchy|ykshy|yky	0	0	choose one allograph without changing the component sequence
