parse_no	formal_parse	atomic_default_de	canonical_surface	canonical_occurrences	total_occurrences	surface_types	all_attested_surfaces	surface_counts	writer_rule
41	CHD+AIR	Lauf weiterfuehren	schedair	1	1	1	schedair	schedair:1	WRITE_CANONICAL
42	CHD+AL	an der Stelle umsetzen	chdal	1	1	1	chdal	chdal:1	WRITE_CANONICAL
43	CHD+A_ADDR	umsetzen + Nebenadresse	chda	1	1	1	chda	chda:1	WRITE_CANONICAL
44	CHD+DY	umsetzen; Schluss	schedy	2	5	4	dchdy|dchedy|schedy|tchedy	dchdy:1|dchedy:1|schedy:2|tchedy:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
45	CHD+Y	dies umsetzen	chedy	10	13	3	chdy|chedchy|chedy	chdy:2|chedchy:1|chedy:10	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
46	CHEO	Entnahme	cheo	1	1	1	cheo	cheo:1	WRITE_CANONICAL
47	CHEO+AR	Entnahme aus der Quelle	cheoar	1	1	1	cheoar	cheoar:1	WRITE_CANONICAL
48	CHEO+K+OR+Y	Entnahme + zufuehren + Ansatz + dies	cheokorchey	1	1	1	cheokorchey	cheokorchey:1	WRITE_CANONICAL
49	CHEO+R	Entnahme + senken	cheor	2	2	1	cheor	cheor:2	WRITE_CANONICAL
50	CHEO+S_ADDR	Entnahme + Sternbezug	cheos	1	1	1	cheos	cheos:1	WRITE_CANONICAL
51	CHEO+Y	Entnahme + dies	cheody	1	1	1	cheody	cheody:1	WRITE_CANONICAL
52	CHK+CHD+AR	anheben + umsetzen + von dort	chkchdar	1	1	1	chkchdar	chkchdar:1	WRITE_CANONICAL
53	CHK+E+Y	kurz wärmen	cheky	3	3	1	cheky	cheky:3	WRITE_CANONICAL
54	CHK+EE+DY	länger wärmen; Schluss	chkeedy	1	1	1	chkeedy	chkeedy:1	WRITE_CANONICAL
55	CHK+EE+Y	dies länger wärmen	cheeky	2	3	2	cheeky|chkeey	cheeky:2|chkeey:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
56	CHK+Y	anheben + dies	chky	1	1	1	chky	chky:1	WRITE_CANONICAL
57	CHK+Y+K+OL+Y	anheben + dies + zufuehren + fortsetzen + dies	chkchykoly	1	1	1	chkchykoly	chkchykoly:1	WRITE_CANONICAL
58	CKH+Y	durchführen	chckhy	3	4	2	chckhy|shckhy	chckhy:3|shckhy:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
59	CPH_CLASS+EE+Y	Sternfigur + laenger + dies	cpheey	1	1	1	cpheey	cpheey:1	WRITE_CANONICAL
60	CPH_CLASS+O+CTH+Y	Sternfigur + Arbeitsgang + bereit + dies	cphocthy	1	1	1	cphocthy	cphocthy:1	WRITE_CANONICAL
61	CPH_CLASS+OL	Sternfigur + fortsetzen	cphol	1	1	1	cphol	cphol:1	WRITE_CANONICAL
62	CTH+AIIN	auf Maß bereitstellen	cthaiin	1	1	1	cthaiin	cthaiin:1	WRITE_CANONICAL
63	CTH+E+Y	dies kurz bereithalten	qcthey	1	2	2	qcthey|shcthey	qcthey:1|shcthey:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
64	CTH+O+OR	Ansatz bereit	cthoor	1	1	1	cthoor	cthoor:1	WRITE_CANONICAL
65	CTH+Y	bereit	cthy	3	7	3	checthy|cthy|shcthy	checthy:2|cthy:3|shcthy:2	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
66	D_ADDR	Teiladresse	d	1	1	1	d	d:1	WRITE_CANONICAL
67	D_ADDR+AIR	Teiladresse + Lauf	dair	3	3	1	dair	dair:3	WRITE_CANONICAL
68	D_ADDR+A_ADDR+AIIN	Teiladresse + Nebenadresse + Mass	dadaiin	1	1	1	dadaiin	dadaiin:1	WRITE_CANONICAL
69	D_ADDR+A_ADDR+I_COUNT+I_COUNT+AL	Teiladresse + Nebenadresse + Zaehlstrich + Zaehlstrich + Stelle	daiial	1	1	1	daiial	daiial:1	WRITE_CANONICAL
70	D_ADDR+CH+E+T+A_ADDR+Y	Teiladresse + entnehmen + kurz + eintragen + Nebenadresse + dies	dchetay	1	1	1	dchetay	dchetay:1	WRITE_CANONICAL
71	D_ADDR+CHD+AR	Teiladresse + umsetzen + von dort	dchdar	1	1	1	dchdar	dchdar:1	WRITE_CANONICAL
72	D_ADDR+O+AIR	Teiladresse + Arbeitsgang + Lauf	doair	1	1	1	doair	doair:1	WRITE_CANONICAL
73	D_ADDR+O+AR	Teiladresse + Arbeitsgang + von dort	dosar	1	1	1	dosar	dosar:1	WRITE_CANONICAL
74	D_ADDR+O+IIN	Teiladresse + Arbeitsgang + Sollstufe	doiin	1	1	1	doiin	doiin:1	WRITE_CANONICAL
75	D_ADDR+O+I_COUNT+I_COUNT+R	Teiladresse + Arbeitsgang + Zaehlstrich + Zaehlstrich + senken	doiir	1	1	1	doiir	doiir:1	WRITE_CANONICAL
76	D_ADDR+OK+AN_SECTION	Teiladresse + ansetzen + Abschnitt	dokan	1	1	1	dokan	dokan:1	WRITE_CANONICAL
77	D_ADDR+OL+CH+S_ADDR+O+DY	Teiladresse + fortsetzen + entnehmen + Sternbezug + Arbeitsgang + Schluss	dolchsody	1	1	1	dolchsody	dolchsody:1	WRITE_CANONICAL
78	D_ADDR+OL+CHD+Y	Teiladresse + fortsetzen + umsetzen + dies	dolchedy	1	1	1	dolchedy	dolchedy:1	WRITE_CANONICAL
79	D_ADDR+OR	Teiladresse + Ansatz	dchor	2	2	1	dchor	dchor:2	WRITE_CANONICAL
80	D_ADDR+Y	Teiladresse + dies	dchy	1	1	1	dchy	dchy:1	WRITE_CANONICAL
81	E+AR	kurz + von dort	qear	1	1	1	qear	qear:1	WRITE_CANONICAL
82	E+CKHE+AR	kurz + trennen + von dort	eckhear	1	1	1	eckhear	eckhear:1	WRITE_CANONICAL
83	E+K+E+Y	dies kurz zuführen	qekey	1	1	1	qekey	qekey:1	WRITE_CANONICAL
84	E+OL	kurz fortsetzen	teol	1	1	1	teol	teol:1	WRITE_CANONICAL
85	E+S_ADDR	kurz + Sternbezug	es	1	1	1	es	es:1	WRITE_CANONICAL
86	E+T+Y	dies kurz eintragen	etyd	1	1	1	etyd	etyd:1	WRITE_CANONICAL
87	E+Y	kurz + dies	ey	1	1	1	ey	ey:1	WRITE_CANONICAL
88	E+Y+K+E+O+Y	kurz + dies + zufuehren + kurz + Arbeitsgang + dies	eykeody	1	1	1	eykeody	eykeody:1	WRITE_CANONICAL
89	E+Y+K+EE+Y	kurz + dies + zufuehren + laenger + dies	qeykeey	1	1	1	qeykeey	qeykeey:1	WRITE_CANONICAL
90	EE+AR	laenger aus der Quelle fuehren	cheedar	1	1	1	cheedar	cheedar:1	WRITE_CANONICAL
91	EE+Y+DY	laenger + dies + Schluss	eesydy	1	1	1	eesydy	eesydy:1	WRITE_CANONICAL
92	EEE+T+Y	dies vollstaendig eintragen	cheeety	1	1	1	cheeety	cheeety:1	WRITE_CANONICAL
93	G_ADDR	Strahlmarke	g	1	1	1	g	g:1	WRITE_CANONICAL
94	G_ADDR+IIN	Strahlmarke + Sollstufe	giin	1	1	1	giin	giin:1	WRITE_CANONICAL
95	HO	Gabe	cho	4	6	2	cho|sho	cho:4|sho:2	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
96	HO+AIIN	Gabe + Mass	choaiin	1	1	1	choaiin	choaiin:1	WRITE_CANONICAL
97	HO+AL+Y	diese Gabe an die Stelle	chodaly	1	1	1	chodaly	chodaly:1	WRITE_CANONICAL
98	HO+CFH_CLASS+Y	Gabe + Sternhaufen + dies	chocfhy	2	2	1	chocfhy	chocfhy:2	WRITE_CANONICAL
99	HO+CH+OR	Gabe aus dem Ansatz entnehmen	chochor	1	1	1	chochor	chochor:1	WRITE_CANONICAL
100	HO+CTH+EEE+Y	Gabe + bereit + vollstaendig + dies	choctheeey	1	1	1	choctheeey	choctheeey:1	WRITE_CANONICAL
101	HO+D_ADDR	Gabe + Teiladresse	chod	1	1	1	chod	chod:1	WRITE_CANONICAL
102	HO+E+R	Gabe + kurz + senken	choer	1	1	1	choer	choer:1	WRITE_CANONICAL
103	HO+EE+A_ADDR	Gabe + laenger + Nebenadresse	choeea	1	1	1	choeea	choeea:1	WRITE_CANONICAL
104	HO+K+AL	Gabe + zufuehren + Stelle	chokal	1	1	1	chokal	chokal:1	WRITE_CANONICAL
105	HO+K+Y	Gabe + zufuehren + dies	shokchy	1	1	1	shokchy	shokchy:1	WRITE_CANONICAL
106	HO+S_ADDR	Gabe + Sternbezug	chos	2	2	1	chos	chos:2	WRITE_CANONICAL
107	HO+T+EE+Y	Gabe + eintragen + laenger + dies	choteey	1	1	1	choteey	choteey:1	WRITE_CANONICAL
108	HO+Y	diese Gabe	choy	1	1	1	choy	choy:1	WRITE_CANONICAL
109	I_COUNT+OK+EE+OR	Zaehlstrich + ansetzen + laenger + Ansatz	iokeeor	1	1	1	iokeeor	iokeeor:1	WRITE_CANONICAL
110	K+AIN	eine Portion	kain	2	3	2	chkain|kain	chkain:1|kain:2	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
111	K+AIR	Lauf zufuehren	kair	1	1	1	kair	kair:1	WRITE_CANONICAL
112	K+AL	an die Stelle zuführen	kchal	1	1	1	kchal	kchal:1	WRITE_CANONICAL
113	K+AR	aus dem Vorrat zufuehren	skar	1	1	1	skar	skar:1	WRITE_CANONICAL
114	K+E+OL	kurz weiter zuführen	keol	1	1	1	keol	keol:1	WRITE_CANONICAL
115	K+E+Y	dies kurz zuführen	kchey	2	2	1	kchey	kchey:2	WRITE_CANONICAL
116	K+HO+AR	Gabe aus dem Vorrat zuführen	kchoar	1	1	1	kchoar	kchoar:1	WRITE_CANONICAL
117	K+IIN	bis zur Sollstufe zuführen	kaiiin	1	1	1	kaiiin	kaiiin:1	WRITE_CANONICAL
118	K+O+Y	zufuehren + Arbeitsgang + dies	qkoy	1	1	1	qkoy	qkoy:1	WRITE_CANONICAL
119	K+OL	weiter zuführen	kchol	1	1	1	kchol	kchol:1	WRITE_CANONICAL
120	K+Y	dies zuführen	kchy	2	2	1	kchy	kchy:2	WRITE_CANONICAL
121	L	weiterfuehren	dl	2	2	1	dl	dl:2	WRITE_CANONICAL
122	L+AIIN	Abfuehrmass	chldaiin	1	1	1	chldaiin	chldaiin:1	WRITE_CANONICAL
123	L+AL+OR	Ansatz zur Stelle fuehren	ldalor	1	1	1	ldalor	ldalor:1	WRITE_CANONICAL
124	L+AR	von dort abführen	lar	1	1	1	lar	lar:1	WRITE_CANONICAL
125	L+CH+Y	dies entnehmen	lchy	1	1	1	lchy	lchy:1	WRITE_CANONICAL
126	L+CHD	hinausführen	lched	1	1	1	lched	lched:1	WRITE_CANONICAL
127	L+CHD+AL	zum Auslass führen	lchedal	1	1	1	lchedal	lchedal:1	WRITE_CANONICAL
128	L+CHD+AR	von dort hinausführen	lchedar	1	1	1	lchedar	lchedar:1	WRITE_CANONICAL
129	L+CHD+DY	hinausführen; Schluss	lchedy	8	8	1	lchedy	lchedy:8	WRITE_CANONICAL
130	L+CKH+Y	dies zum Durchgang führen	lcheckhy	1	1	1	lcheckhy	lcheckhy:1	WRITE_CANONICAL
131	L+CKHE+DY	hinaus trennen; Schluss	lcheckhedy	1	1	1	lcheckhedy	lcheckhedy:1	WRITE_CANONICAL
132	L+DY	abführen; Schluss	ldy	2	2	1	ldy	ldy:2	WRITE_CANONICAL
133	L+EE+Y	dies länger entnehmen	lcheey	1	1	1	lcheey	lcheey:1	WRITE_CANONICAL
134	L+K+E+DY	kurz abführen; Schluss	lkedy	1	1	1	lkedy	lkedy:1	WRITE_CANONICAL
135	L+K+Y	fuehren + zufuehren + dies	lkshy	1	1	1	lkshy	lkshy:1	WRITE_CANONICAL
136	L+O	hinausfuehren	lo	1	1	1	lo	lo:1	WRITE_CANONICAL
137	L+O+CHD+DY	weiter hinausfuehren; Schluss	lochedy	1	1	1	lochedy	lochedy:1	WRITE_CANONICAL
138	L+OL	weiterfuehren	lol	1	1	1	lol	lol:1	WRITE_CANONICAL
139	L+Y	dies fuehren	ly	1	1	1	ly	ly:1	WRITE_CANONICAL
140	LS	hinausfuehren	ls	1	1	1	ls	ls:1	WRITE_CANONICAL
141	LSH+E+DY	Waschgang; Schluss	lshedy	2	2	1	lshedy	lshedy:2	WRITE_CANONICAL
142	LSH+O	Waschgang	lsho	1	1	1	lsho	lsho:1	WRITE_CANONICAL
143	NONE	Himmelsname OTAZA	otaza	1	1	1	otaza	otaza:1	WRITE_CANONICAL
144	O	Arbeitsgang	o	2	2	1	o	o:2	WRITE_CANONICAL
145	O+AIIN	Arbeitsgang + Mass	oaiin	1	1	1	oaiin	oaiin:1	WRITE_CANONICAL
146	O+AIN	Arbeitsgang + Portion	odain	1	1	1	odain	odain:1	WRITE_CANONICAL
147	O+AL	Arbeitsgang + Stelle	odal	1	1	1	odal	odal:1	WRITE_CANONICAL
148	O+AR	Arbeitsgang + von dort	oar	1	2	2	oar|osar	oar:1|osar:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
149	O+AR+AM_ADDR	Arbeitsgang + von dort + Gegenfeld	oaram	1	1	1	oaram	oaram:1	WRITE_CANONICAL
150	O+CH+EE+Y	Arbeitsgang + entnehmen + laenger + dies	qocheey	1	1	1	qocheey	qocheey:1	WRITE_CANONICAL
151	O+CKH+E+Y	dies kurz durchführen	qockhey	1	1	1	qockhey	qockhey:1	WRITE_CANONICAL
152	O+CKH+Y	Arbeitsgang + Durchgang + dies	ockhy	3	4	2	ockhy|qockhy	ockhy:3|qockhy:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
153	O+CPH_CLASS+Y	Arbeitsgang + Sternfigur + dies	ocphy	1	1	1	ocphy	ocphy:1	WRITE_CANONICAL
154	O+CTH+E+OL	kurz bereit fortsetzen	octheol	1	1	1	octheol	octheol:1	WRITE_CANONICAL
155	O+CTH+E+Y	Arbeitsgang + bereit + kurz + dies	octhey	1	1	1	octhey	octhey:1	WRITE_CANONICAL
156	O+CTH+OL+E	Arbeitsgang + bereit + fortsetzen + kurz	octhole	1	1	1	octhole	octhole:1	WRITE_CANONICAL
157	O+CTH+OL+Y	dies bereit weiterführen	qoctholy	1	1	1	qoctholy	qoctholy:1	WRITE_CANONICAL
158	O+CTH+Y+S_ADDR	Arbeitsgang + bereit + dies + Sternbezug	octhys	1	1	1	octhys	octhys:1	WRITE_CANONICAL
159	O+DY	Arbeitsgang abschließen	ody	2	2	1	ody	ody:2	WRITE_CANONICAL
160	O+D_ADDR+AIR	Arbeitsgang + Teiladresse + Lauf	odair	1	1	1	odair	odair:1	WRITE_CANONICAL
161	O+D_ADDR+A_ADDR+E+IIN	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe	odaeiin	1	1	1	odaeiin	odaeiin:1	WRITE_CANONICAL
162	O+D_ADDR+A_ADDR+I_COUNT+IIN	Arbeitsgang + Teiladresse + Nebenadresse + Zaehlstrich + Sollstufe	odaiiin	1	1	1	odaiiin	odaiiin:1	WRITE_CANONICAL
163	O+D_ADDR+A_ADDR+S_ADDR	Arbeitsgang + Teiladresse + Nebenadresse + Sternbezug	odas	1	1	1	odas	odas:1	WRITE_CANONICAL
164	O+D_ADDR+CH+E+CTH+Y	Arbeitsgang + Teiladresse + entnehmen + kurz + bereit + dies	odchecthy	1	1	1	odchecthy	odchecthy:1	WRITE_CANONICAL
165	O+E+AR	Arbeitsgang + kurz + von dort	oear	1	1	1	oear	oear:1	WRITE_CANONICAL
166	O+E+K+AIN	Arbeitsgang + kurz + zufuehren + Portion	oekain	1	1	1	oekain	oekain:1	WRITE_CANONICAL
167	O+E+OL+D_ADDR+AN_SECTION	Arbeitsgang + kurz + fortsetzen + Teiladresse + Abschnitt	oeoldan	1	1	1	oeoldan	oeoldan:1	WRITE_CANONICAL
168	O+E+P+HO+D_ADDR	Arbeitsgang + kurz + hinein + Gabe + Teiladresse	oepchod	1	1	1	oepchod	oepchod:1	WRITE_CANONICAL
169	O+EE+O+DY	Arbeitsgang + laenger + Arbeitsgang + Schluss	oeeody	1	1	1	oeeody	oeeody:1	WRITE_CANONICAL
170	O+EE+O+S_ADDR	Arbeitsgang + laenger + Arbeitsgang + Sternbezug	oeeos	1	1	1	oeeos	oeeos:1	WRITE_CANONICAL
171	O+EE+Y	Arbeitsgang + laenger + dies	oeesy	1	1	1	oeesy	oeesy:1	WRITE_CANONICAL
172	O+F_ADDR+AIR	Arbeitsgang + Aussenbezug + Lauf	qofair	1	1	1	qofair	qofair:1	WRITE_CANONICAL
173	O+F_ADDR+AR	Arbeitsgang + Aussenbezug + von dort	ofar	2	2	1	ofar	ofar:2	WRITE_CANONICAL
174	O+F_ADDR+CHEO+R	Arbeitsgang + Aussenbezug + Entnahme + senken	ofcheor	1	1	1	ofcheor	ofcheor:1	WRITE_CANONICAL
175	O+F_ADDR+Y+Y	Arbeitsgang + Aussenbezug + dies + dies	ofydy	1	1	1	ofydy	ofydy:1	WRITE_CANONICAL
176	O+G_ADDR	Arbeitsgang + Strahlmarke	og	1	1	1	og	og:1	WRITE_CANONICAL
177	O+HO+Y+K	Arbeitsgang + Gabe + dies + zufuehren	ochoyk	1	1	1	ochoyk	ochoyk:1	WRITE_CANONICAL
178	O+IIN	Sollstand	oiin	1	3	3	oiiin|oiin|soiiin	oiiin:1|oiin:1|soiiin:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
179	O+IIN+AR	Arbeitsgang + Sollstufe + von dort	oiinar	1	1	1	oiinar	oiinar:1	WRITE_CANONICAL
180	O+LS	Arbeitsgang + hinausfuehren	ols	1	1	1	ols	ols:1	WRITE_CANONICAL
181	O+OL	Arbeitsgang + fortsetzen	ochol	1	1	1	ochol	ochol:1	WRITE_CANONICAL
182	O+P+AR+Y	Arbeitsgang + hinein + von dort + dies	oparchy	1	1	1	oparchy	oparchy:1	WRITE_CANONICAL
183	O+P+CH+EE+OL	Arbeitsgang + hinein + entnehmen + laenger + fortsetzen	opcheeol	1	1	1	opcheeol	opcheeol:1	WRITE_CANONICAL
184	O+P+O+OL	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	opodchol	1	1	1	opodchol	opodchol:1	WRITE_CANONICAL
185	O+P+OL+DY	Arbeitsgang + hinein + fortsetzen + Schluss	opcholdy	1	1	1	opcholdy	opcholdy:1	WRITE_CANONICAL
186	O+P+Y	Arbeitsgang + hinein + dies	qopchy	1	1	1	qopchy	qopchy:1	WRITE_CANONICAL
187	O+S_ADDR+AIIN	Arbeitsgang + Sternbezug + Mass	osdaiin	1	1	1	osdaiin	osdaiin:1	WRITE_CANONICAL
188	O+Y+G_ADDR+Y	Arbeitsgang + dies + Strahlmarke + dies	oygy	1	1	1	oygy	oygy:1	WRITE_CANONICAL
189	O+Y+K+OR	dies dem Ansatz zuführen	oykchor	1	1	1	oykchor	oykchor:1	WRITE_CANONICAL
190	OK+AIIN	bemessen	qokaiin	8	9	2	okaiin|qokaiin	okaiin:1|qokaiin:8	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
191	OK+AIN	eine Portion zugeben	okain	4	8	2	okain|qokain	okain:4|qokain:4	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
192	OK+AIR	Lauf in Gang setzen	okair	1	1	1	okair	okair:1	WRITE_CANONICAL
193	OK+AL	an die Stelle setzen	qokal	4	7	2	okal|qokal	okal:3|qokal:4	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
194	OK+AL+Y	dies an die Stelle setzen	qokaly	1	1	1	qokaly	qokaly:1	WRITE_CANONICAL
195	OK+AR	von dort einsetzen	okar	4	5	2	okar|qokar	okar:4|qokar:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
196	OK+AR+Y	ansetzen + von dort + dies	okardy	1	1	1	okardy	okardy:1	WRITE_CANONICAL
197	OK+A_ADDR+I_COUNT+IIN	ansetzen + Nebenadresse + Zaehlstrich + Sollstufe	okaiiin	1	1	1	okaiiin	okaiiin:1	WRITE_CANONICAL
198	OK+CHD+DY	Ansatz umsetzen; Schluss	qokchdy	3	5	3	okchedy|qokchdy|qokchedy	okchedy:1|qokchdy:3|qokchedy:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
199	OK+CHD+Y	ansetzen + umsetzen + dies	okchdy	1	1	1	okchdy	okchdy:1	WRITE_CANONICAL
200	OK+CHEO	Entnahme ansetzen	chokcheo	1	1	1	chokcheo	chokcheo:1	WRITE_CANONICAL
201	OK+E+AL	ansetzen + kurz + Stelle	okeal	1	1	1	okeal	okeal:1	WRITE_CANONICAL
202	OK+E+AR	ansetzen + kurz + von dort	okear	1	1	1	okear	okear:1	WRITE_CANONICAL
203	OK+E+DY	kurz ansetzen; Schluss	qokedy	8	8	1	qokedy	qokedy:8	WRITE_CANONICAL
204	OK+E+O	ansetzen + kurz + Arbeitsgang	okeo	2	2	1	okeo	okeo:2	WRITE_CANONICAL
205	OK+E+O+AL	ansetzen + kurz + Arbeitsgang + Stelle	okeodal	1	1	1	okeodal	okeodal:1	WRITE_CANONICAL
206	OK+E+O+DY	ansetzen + kurz + Arbeitsgang + Schluss	okeody	1	1	1	okeody	okeody:1	WRITE_CANONICAL
207	OK+E+O+D_ADDR	ansetzen + kurz + Arbeitsgang + Teiladresse	okeod	4	4	1	okeod	okeod:4	WRITE_CANONICAL
208	OK+E+O+Y	ansetzen + kurz + Arbeitsgang + dies	qokeochy	1	1	1	qokeochy	qokeochy:1	WRITE_CANONICAL
209	OK+E+Y	kurz ansetzen	okey	3	5	3	okedy|okey|qokey	okedy:1|okey:3|qokey:1	WRITE_CANONICAL_UNLESS_RENDERER_CALLS_ALLOGRAPH
210	OK+EE+AL	länger an der Stelle halten	qokeedal	1	1	1	qokeedal	qokeedal:1	WRITE_CANONICAL
211	OK+EE+DY	länger ansetzen; Schluss	qokeedy	10	10	1	qokeedy	qokeedy:10	WRITE_CANONICAL
212	OK+EE+O+AL	ansetzen + laenger + Arbeitsgang + Stelle	okeeodal	1	1	1	okeeodal	okeeodal:1	WRITE_CANONICAL
