portable_skeleton	portable_reading_de	surface_count	event_count	physical_pages	surfaces	recipes	old_exact_carrier_member_count	interpretive_use	guard
CH+P	NEHMEN → EINSETZEN	2	2	f4r|f66r	chap|chpady	CH+A_ADDR+P|CH+P+A_ADDR+DY	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
CH+T	NEHMEN → EINSTELLEN	2	2	f4r|f66r	cheta|cthom	CH+E+T+A_ADDR|CH+T+O+M_LOCAL	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
K	GEBEN	2	2	f31r|f66r	kody|qoekedy	CARRIER_Q+O+E+K+E+DY|K+O+DY	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
K+Y	GEBEN → POSTEN	2	4	f20v|f31r|f66r	keedey|keody	K+E+O+D_ADDR+Y|K+EE+D_ADDR+E+Y	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
OK	SETZEN	2	2	f31r	okedam|qokee	OK+E+D_ADDR+AM_ADDR|OK+EE	1	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
OT+CH	DANACH → NEHMEN	2	2	f4r|f66r	otcheo|qotchoiin	OT+CH+E+O|OT+CH+O+IIN	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
P+AIIN	EINSETZEN → WERT	2	2	f66r	pdaiin|qopaiin	CARRIER_Q+O+P+AIIN|P+AIIN	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
SH+Y	HALTEN → POSTEN	2	2	f20v|f31r	sheeody|sheoy	SH+E+O+Y|SH+EE+O+D_ADDR+Y	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
T+Y	EINSTELLEN → POSTEN	2	2	f4r|f66r	todeeey|tydy	T+O+D_ADDR+EEE+Y|T+Y+DY	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
Y+K+SH	POSTEN → GEBEN → HALTEN	2	2	f66r	ykesho|ykshedy	Y+K+E+SH+O|Y+K+SH+E+DY	0	REUSABLE_PORTABLE_FAMILY__CONTROL_SHELLS_REMAIN_VISIBLE	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
