dy_surface	y_surface	dy_event_count	y_event_count	dy_pages	y_pages	dy_recipes	y_recipes	recipe_relation	interpretive_rule	guard
chetedy	chetey	1	2	f81v	f72r|f77r	CH+E+T+E+D_ADDR+Y	CH+E+T+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chkeedy	chkeey	1	1	f83r	f82r	CH+K+EE+DY	CH+K+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
chody	choy	10	2	f11r|f56r|f66r|f88r|f88v|f89r|f95v	f24v|f56r	CH+O+D_ADDR+Y	HO+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
choldy	choly	2	3	f20v|f89r	f56r|f72r|f76r	OL+Y	OL+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cphedy	cphey	2	2	f66r|f81v	f1r|f77r	CH+P+E+DY	CH+P+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
cthdy	cthy	1	17	f66r	f10r|f11r|f17r|f18r|f1r|f20v|f4r|f56r	CH+T+D_ADDR+Y	CH+T+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
daldy	daly	4	6	f13r|f75r|f81v|f82r	f66r|f76r|f81r|f89r	AL+DY	AL+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dchdy	dchy	2	2	f81v|f95v	f10r|f13r	CHD+DY	D_ADDR+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dchedy	dchey	4	5	f75r|f81r|f81v|f82r	f10r|f24v|f56r|f81r|f88r	D_ADDR+CHD+Y	CH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dcheedy	dcheey	1	1	f76r	f31r	D_ADDR+CH+EE+D_ADDR+Y	D_ADDR+CH+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dody	doy	1	1	f17r	f88v	D_ADDR+O+DY	D_ADDR+O+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dshedy	dshey	10	1	f75r|f76r|f77r|f81r|f81v|f82r	f95v	SH+E+DY	D_ADDR+SH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
dy	y	47	40	f10r|f11r|f13r|f18r|f20v|f24v|f4r|f56r|f66r|f67r2|f71v|f72r|f75r|f76r|f77r|f81r|f81v|f82r|f88v|f89r	f10r|f11r|f13r|f17r|f18r|f1r|f55v|f56r|f66r|f67r2|f72r|f76r|f77r|f81r|f81v|f88v|f89r|f95v	Y	Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
edy	ey	1	3	f89r	f18r|f75r|f82r	E+Y	E+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kchdy	kchy	2	5	f55v|f95v	f11r|f13r|f1r|f31r	K+CHD+Y	K+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kedy	key	2	1	f66r|f82r	f88v	K+E+DY	K+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
keedy	keey	7	10	f75r|f76r|f77r|f81v	f1r|f31r|f56r|f71v|f72r|f76r|f89r	K+EE+DY	K+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
koldy	koly	1	1	f75r	f72r	K+OL+DY	K+OL+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
kshedy	kshey	1	1	f95v	f75r	K+SH+E+DY	K+SH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lchdy	lchy	2	2	f83r|f88v	f76r|f82r	L+CHD+Y	L+CH+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lchedy	lchey	35	10	f66r|f75r|f76r|f77r|f81r|f81v|f82r|f83r	f66r|f75r|f76r|f77r|f81r|f82r|f88v	L+CHD+DY	L+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lcheedy	lcheey	1	2	f82r	f76r|f82r	L+CH+EE+D_ADDR+Y	L+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ldy	ly	8	3	f31r|f66r|f75r|f82r|f83r|f95v	f75r|f81r|f81v	L+DY	L+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lkedy	lkey	5	1	f76r|f82r|f83r	f76r	L+K+E+DY	L+K+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lkeedy	lkeey	4	1	f66r|f76r|f82r	f82r	L+K+EE+D_ADDR+Y	L+K+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lshedy	lshey	9	3	f66r|f75r|f76r|f81v|f82r|f83r	f75r|f76r|f77r	L+SH+E+DY	L+SH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
lsheedy	lsheey	4	2	f76r|f77r|f83r	f77r	L+SH+EE+D_ADDR+Y	L+SH+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
ochedy	ochey	1	1	f55v	f71v	O+CHD+Y	O+CH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
oeeedy	oeeey	1	1	f81r	f24v	O+EEE+DY	O+EEE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okaldy	okaly	1	1	f75r	f72r	OK+AL+DY	OK+AL+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okchdy	okchy	1	4	f75r	f13r|f20v|f56r|f76r	OK+CHD+DY	OK+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okchedy	okchey	2	2	f81v|f95v	f13r|f1r	OK+CHD+DY	OK+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okedy	okey	19	6	f31r|f66r|f75r|f76r|f77r|f81v|f83r|f95v	f67r2|f75r|f76r|f82r|f89r	OK+E+DY	OK+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okeedy	okeey	15	17	f31r|f55v|f72r|f75r|f76r|f81r|f81v|f83r	f1r|f66r|f68r1|f71v|f72r|f75r|f76r|f81r|f81v|f89r	OK+EE+DY	OK+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okeody	okeoy	5	1	f55v|f66r|f72r	f89r	OK+E+O+D_ADDR+Y	OK+E+O+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
okshedy	okshey	2	1	f75r|f81v	f95v	OK+SH+E+DY	OK+SH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
olchdy	olchy	1	3	f76r	f76r|f81v|f82r	OL+CHD+DY	OL+CH+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
olchedy	olchey	7	5	f75r|f76r|f82r|f83r	f56r|f75r|f77r|f81v	OL+CHD+DY	OL+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
oldy	oly	14	15	f13r|f55v|f67r2|f75r|f76r|f81v|f83r|f88r|f89r	f66r|f67r2|f72r|f75r|f76r|f81r|f82r	OL+DY	OL+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
olkedy	olkey	6	1	f75r|f76r|f77r|f81r	f89r	OL+K+E+DY	OL+K+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
olkeedy	olkeey	5	5	f75r|f81v|f83r	f75r|f76r|f81r|f83r|f88r	OL+K+EE+DY	OL+K+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
olshedy	olshey	4	1	f75r|f77r	f81r	OL+SH+E+DY	OL+SH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
opchdy	opchy	2	2	f76r	f13r|f20v	O+P+CHD+Y	O+P+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
opchedy	opchey	3	1	f66r|f76r|f81r	f76r	O+P+CHD+DY	O+P+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
opshedy	opshey	1	1	f83r	f76r	O+P+SH+E+Y	O+P+SH+E+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
otaldy	otaly	1	2	f95v	f71v|f72r	OT+AL+DY	OT+AL+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
otchdy	otchy	3	5	f66r|f83r|f95v	f17r|f20v|f56r|f71v|f76r	OT+CHD+DY	OT+CH+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
otchedy	otchey	2	5	f66r|f83r	f56r|f67r2|f72r|f83r	OT+CHD+DY	OT+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
otedy	otey	18	12	f31r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f95v	f66r|f72r|f75r|f76r|f77r|f81r	OT+E+DY	OT+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
oteedy	oteey	9	17	f66r|f72r|f75r|f76r|f77r	f1r|f66r|f71v|f72r|f76r|f81r|f82r	OT+EE+DY	OT+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
pchedy	pchey	11	1	f66r|f75r|f76r|f77r|f81r|f81v|f82r	f75r	P+CHD+DY	P+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qedy	qey	1	1	f83r	f75r	CARRIER_Q+E+DY	E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qeeedy	qeeey	1	1	f83r	f76r	CARRIER_Q+EEE+D_ADDR+Y	CARRIER_Q+EEE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qockhedy	qockhey	1	5	f89r	f76r|f82r|f83r|f88r|f89r	O+CH+K+E+Y	O+CH+K+E+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qocthedy	qocthey	1	1	f66r	f81v	CARRIER_Q+O+CH+T+E+Y	CARRIER_Q+O+CH+T+E+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qody	qoy	3	1	f17r|f83r|f89r	f13r	CARRIER_Q+O+DY	O+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qoeedy	qoeey	2	2	f77r|f81v	f88v|f89r	CARRIER_Q+O+EE+D_ADDR+Y	O+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokaldy	qokaly	3	3	f66r|f76r	f66r|f77r|f82r	OK+AL+Y	OK+AL+Y	SAME_RECIPE	VISIBLE_D_MAY_BE_ALLOGRAPHIC_UNDER_THIS_SURFACE_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokchdy	qokchy	6	8	f75r|f76r|f81v|f83r	f10r|f13r|f17r|f18r|f31r|f55v|f83r|f89r	OK+CHD+DY	OK+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokchedy	qokchey	5	1	f66r|f81r|f83r	f66r	OK+CHD+Y	OK+CH+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokechdy	qokechy	1	1	f75r	f89r	OK+E+CHD+DY	OK+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokedy	qokey	60	22	f31r|f66r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f89r|f95v	f31r|f66r|f75r|f76r|f81r|f81v|f82r|f83r|f89r	OK+E+DY	OK+E+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokeedy	qokeey	68	51	f31r|f66r|f75r|f76r|f77r|f81r|f82r|f83r	f31r|f56r|f66r|f75r|f76r|f77r|f81r|f81v|f82r|f83r|f88r|f88v|f89r|f95v	OK+EE+DY	OK+EE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokeeedy	qokeeey	2	3	f68r1|f82r	f55v|f82r	OK+EEE+DY	OK+EEE+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokeody	qokeoy	13	1	f31r|f66r|f88r|f88v|f89r	f82r	OK+E+O+D_ADDR+Y	OK+E+O+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
qokshdy	qokshy	1	2	f75r	f66r|f95v	OK+SH+DY	OK+SH+Y	DIFFERENT_RECIPE	VISIBLE_D_CARRIES_A_RECIPE_CONTRAST_IN_THIS_PAIR	EXPLORATORY_WORKING_COMPOSITION__NO_CONFIRMED_LEXEME_OR_PLAINTEXT
