source_word_id	source_slot	register	medical_or_iatromedical_expansion_de	nonmedical_expansion_de	supply_layer	visible_card_word
B06	OUTLET	BIO	Ablauf	Ablauf	visible/local master	NO__SOURCE_LEXICON_ONLY
B07	RUN	BIO	Flüssigkeitslauf	Arbeitslauf	local connection plus master	NO__SOURCE_LEXICON_ONLY
B08	RECEIVER	BIO	Auffanggefäß	Auffanggefäß	visible/local master	NO__SOURCE_LEXICON_ONLY
B09	WASH_LIQUID	BIO	Bade- oder Waschflüssigkeit	Wasch- oder Färbeflüssigkeit	master source choice	NO__SOURCE_LEXICON_ONLY
B10	ADDITIVE	BIO	Badezusatz	Arbeitszusatz	learned card plus master choice	NO__SOURCE_LEXICON_ONLY
B11	BIO_CLOTH	BIO	Anwendungstuch	Filter- oder Waschtuch	learned card plus master choice	NO__SOURCE_LEXICON_ONLY
B12	TEMPERATURE	BIO	Badwärme	Arbeitstemperatur	grade/process plus master	NO__SOURCE_LEXICON_ONLY
B13	DURATION	BIO	Anwendungsdauer	Arbeitsdauer	grade/process plus master	NO__SOURCE_LEXICON_ONLY
B14	BODY_WORK_AREA	BIO	Körperstelle	Arbeitsstelle	visible figure/target plus master choice	NO__SOURCE_LEXICON_ONLY
B15	IMMERSION	BIO	Teilbad	Tauchgang	visible basin plus master choice	NO__SOURCE_LEXICON_ONLY
B16	FILTER	BIO	Seihgang	Filtergang	cloth/passage cards plus master choice	NO__SOURCE_LEXICON_ONLY
A01	WHEEL	ASTRO	Himmelsrad	Himmelsrad	visible geometry	NO__SOURCE_LEXICON_ONLY
A02	PANEL	ASTRO	Sternpaneel	Sternpaneel	visible geometry	NO__SOURCE_LEXICON_ONLY
A03	ROSETTE	ASTRO	Rosetteninstrument	Rosetteninstrument	visible geometry	NO__SOURCE_LEXICON_ONLY
A04	SECTOR	ASTRO	Himmelssektor	Kalendersektor	local master choice	NO__SOURCE_LEXICON_ONLY
A05	STAR_PLACE	ASTRO	Sternplatz	Sternplatz	visible geometry	NO__SOURCE_LEXICON_ONLY
A06	MANSION_PLACE	ASTRO	Mondstationsplatz	Kalenderplatz	local master choice	NO__SOURCE_LEXICON_ONLY
A07	CONDITION_PLACE	ASTRO	Himmelsbedingung	Arbeitsbedingung	local master choice	NO__SOURCE_LEXICON_ONLY
A08	RING_TEXT	ASTRO	Ringrubrik	Ringrubrik	visible text location	NO__SOURCE_LEXICON_ONLY
A09	LOCAL_LABEL	ASTRO	lokales Himmelslabel	lokales Tabellenlabel	local nomenclator	NO__SOURCE_LEXICON_ONLY
A10	CALENDAR_VALUE	ASTRO	Kalenderwert	Kalenderwert	local master	NO__SOURCE_LEXICON_ONLY
A11	CELESTIAL_VALUE	ASTRO	Himmelswert	Himmelswert	local master	NO__SOURCE_LEXICON_ONLY
A12	WEATHER_VALUE	ASTRO	Witterungswert	Arbeitszustand	local master choice	NO__SOURCE_LEXICON_ONLY
A13	LIGHT_VALUE	ASTRO	Lichtwert	Qualitätswert	local master choice	NO__SOURCE_LEXICON_ONLY
A14	PLANET_VALUE	ASTRO	Planetenwert	Zeitwert	local master choice	NO__SOURCE_LEXICON_ONLY
A15	QUALITY_VALUE	ASTRO	Komplexionswert	Qualitätswert	local master choice	NO__SOURCE_LEXICON_ONLY
A16	NAMESPACE	ASTRO	örtlicher Instrumentenschlüssel	örtlicher Instrumentenschlüssel	local workshop exemplar	NO__SOURCE_LEXICON_ONLY
