page	locus	section	language	hand	zl3b_line	unknown_before	applied_ordinals	applied_surfaces	unknown_after	remaining_unknown_ordinals	remaining_unknown_surfaces	overlay_glosses_de
f105r	f105r.20	S	B	3	s aiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam	3	9	odar	2	8|11	olfaiin|airody	Samen-/Saatgutposten | Menge III | trocken in der Mitte des Grades | Drogenstoff auf mittlerer Kühlstufe | nimm hiervon die zweite erhitzte Drogenfraktion | Pulver: Teil-/Sortierklasse III | heiße Drogenbasis, Stufe III | [olfaiin:?] | erste Ansatzfraktion abmessen | Rohstoffklasse I | [airody:?] | Rohstoffklasse I | abgemessene kalte Fraktion I, Endstufe | Dosis I
f105r	f105r.35	S	B	3	ypchedy okaiir opcheedy qokair dar kal otar ol qokal kor orolpchey ofory	4	2	okaiir	3	3|11|12	opcheedy|orolpchey|ofory	trockne hiervon das Pulver bis zur Mittelstufe und stelle es fertig | dritte erhitzte Ansatzfraktion | [opcheedy:?] | erhitze die zweite Fraktion | abgemessene Fraktion I | Rohstoffklasse I, heiß am Gradanfang | kalte Drogenfraktion I im Ansatz | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Rohstoffklasse I, heiß am Gradanfang | heiße Drogenportion | [orolpchey:?] | [ofory:?]
f105v	f105v.10	S	B	3	ykeey ky che oiiin dal kaiin okairo l kair chedy s odar air al oral odam	3	12	odar	2	3|7	che|okairo	erhitze hiervon bis zur Endstufe und schließe ab | heiß am Anfang des Grades | [che:?] | Zubereitung in Form IV | abgemessene Rohstoffmenge I | heiß, Grad III | [okairo:?] | Holzdroge in der gebundenen Anschlussform | heiße Drogenfraktion II | trocken in der Mitte des Grades, abgeschlossen | Samen-/Saatgutposten | erste Ansatzfraktion abmessen | zweite Drogenfraktion | Rohstoffklasse I | Rohstoffportion, Klasse I | ein Maß Ansatz abmessen
f105v	f105v.11	S	B	3	roees aiiin ol okaiin os aiin chckhodu qoteedy ckhddl aiir ypar kaiidy	7	5	os	6	1|7|9|10|11|12	roees|chckhodu|ckhddl|aiir|ypar|kaiidy	[roees:?] | Menge-/Klassenwert IV | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad III, im Ansatzrahmen | Ansatzcharge | Menge III | [chckhodu:?] | kalt am Ende des Grades, abgeschlossen | [ckhddl:?] | [aiir:?] | [ypar:?] | [kaiidy:?]
f105v	f105v.14	S	B	3	pchedaiin chckhdy qokaiir olpchedy olord aiiin tail odar kard chtchy	6	8	odar	5	1|4|5|7|9	pchedaiin|olpchedy|olord|tail|kard	[pchedaiin:?] | Arzneikompositum: trocken, Gradanfang, abgeschlossen | nimm die dritte erhitzte Drogenfraktion | [olpchedy:?] | [olord:?] | Menge-/Klassenwert IV | [tail:?] | erste Ansatzfraktion abmessen | [kard:?] | Droge kalt trocknen und leicht nachtrocknen
f105v	f105v.6	S	B	3	dcheo fcheeody ckheey dar aiin al dar ar daiiidy otedy oteody ykaiin g	4	1	dcheo	3	2|9|11	fcheeody|daiiidy|oteody	Dosis bis Mittelstufe trocknen und ansetzen | [fcheeody:?] | Arzneikompositum am Gradende | abgemessene Fraktion I | Menge III | Rohstoffklasse I | abgemessene Fraktion I | Drogenfraktion I | [daiiidy:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | [oteody:?] | erhitze hiervon auf Stufe III | vorstehenden Rezeptposten abschließen
f105v	f105v.8	S	B	3	fodal kedar olpchesd araiin ksheeol opchedy pchedy opcheddl pchdar air odar	8	11	odar	7	1|2|3|4|5|8|9	fodal|kedar|olpchesd|araiin|ksheeol|opcheddl|pchdar	[fodal:?] | [kedar:?] | [olpchesd:?] | [araiin:?] | [ksheeol:?] | vollständig getrocknetes Pulverpräparat | getrocknetes Pulver | [opcheddl:?] | [pchdar:?] | zweite Drogenfraktion | erste Ansatzfraktion abmessen
f106r	f106r.41	S	B	3	dair alsheod shedy cholchedy cheol shory	3	6	shory	2	2|4	alsheod|cholchedy	abgemessene Fraktion II | [alsheod:?] | feucht in der Mitte des Grades, abgeschlossen | [cholchedy:?] | trockener Drogenstoff | Blüten- oder Fruchtstand in Grundform, abgeschlossen
f106v	f106v.10	S	B	3	ysheody cheol oteey qodaiin ytain ychdy oltydy	4	5	ytain	3	1|6|7	ysheody|ychdy|oltydy	[ysheody:?] | trockener Drogenstoff | kalter Ansatz am Ende des Grades | Qualitätsgrad III | hiervon auf Kältestufe II abkühlen | [ychdy:?] | [oltydy:?]
f106v	f106v.12	S	B	3	ycheey qoeeda chodain otalchdy qokaiin chokaiin chody qokal otal otam	3	3	chodain	2	2|4	qoeeda|otalchdy	trockne hiervon bis zur Endstufe | [qoeeda:?] | zwei Dosen Trockenansatz | [otalchdy:?] | heiß, Grad III | Trockenansatz, heiß auf Stufe III | Trockenansatz, abgeschlossen | Rohstoffklasse I, heiß am Gradanfang | Rohstoffklasse I im Ansatz, kalt am Gradanfang | ein Maß kalten Ansatzes
f106v	f106v.3	S	B	3	yshedaiin shckhy cheokchy sar al cho lchedy ytain otar al chdy daly lody	3	8	ytain	2	1|3	yshedaiin|cheokchy	[yshedaiin:?] | Arzneikompositum: feucht, Gradanfang | [cheokchy:?] | Samenfraktion I | Rohstoffklasse I | Trockenansatz | getrocknetes Drogenholz | hiervon auf Kältestufe II abkühlen | kalte Drogenfraktion I im Ansatz | Rohstoffklasse I | trocken am Anfang des Grades, abgeschlossen | abgemessene Rohstoffmenge I, Grundform | Drogenholz, fertig aufbereitet
f107r	f107r.11	S	B	3	cheeo cheeol qokaiin ytain y keeol l oraiin okaiin okar okaiin otaram	3	4	ytain	2	1|12	cheeo|otaram	[cheeo:?] | vollständig getrockneter Drogenstoff | heiß, Grad III | hiervon auf Kältestufe II abkühlen | hierzu: | stark erhitzter Drogenstoff | Pfund / Gewichtseinheit | Portion III | heiß, Grad III, im Ansatzrahmen | heiße Drogenfraktion I im Ansatz | heiß, Grad III, im Ansatzrahmen | [otaram:?]
f107r	f107r.14	S	B	3	cthedy lshedy cheolchear or alam chtaiin otarain chey qokaiin otain	3	6	chtaiin	2	1|3	cthedy|cheolchear	[cthedy:?] | eingeweichtes Drogenholz | [cheolchear:?] | Drogenportion | ein Maß Rohdroge I | getrocknete Droge auf Kältestufe III | zwei Teile der ersten kalten Drogenfraktion im Ansatz | trocken in der Mitte des Grades | heiß, Grad III | kalt im Zubereitungsrahmen, Grad II
f107r	f107r.22	S	B	3	yksheol okaiiin shoy daiin qotalal lshedy qokal r aiiin okair lldy	4	3	shoy	3	1|5|11	yksheol|qotalal|lldy	[yksheol:?] | heiß im Zubereitungsrahmen, Grad IV | Feuchtansatz leicht abschließen | Grad-/Maßwert III | [qotalal:?] | eingeweichtes Drogenholz | Rohstoffklasse I, heiß am Gradanfang | Wurzel | Menge-/Klassenwert IV | heiße Drogenfraktion II im Ansatz | [lldy:?]
f107v	f107v.12	S	B	3	qokeey lcheol chol kaiin olkal shedy qokaly odar choty qokaiin otam	2	8	odar	1	2	lcheol	heiß am Ende des Grades | [lcheol:?] | trocken; nominal trockenes Gut/Material | heiß, Grad III | Holzdrogenansatz aus Rohstoff I leicht erhitzt | feucht in der Mitte des Grades, abgeschlossen | erhitze Rohdroge I leicht und schließe ab | erste Ansatzfraktion abmessen | kalter Trockenansatz | heiß, Grad III | ein Maß kalten Ansatzes
f107v	f107v.13	S	B	3	ycheey qokain ockheody qokair otal qokaiin otal shoy qokaiin dalam	2	8	shoy	1	3	ockheody	trockne hiervon bis zur Endstufe | heiß, Grad II | [ockheody:?] | erhitze die zweite Fraktion | Rohstoffklasse I im Ansatz, kalt am Gradanfang | heiß, Grad III | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Feuchtansatz leicht abschließen | heiß, Grad III | ein Maß Rohdroge I
f108v	f108v.24	S	B	3	daiin chekeek checkhy ol r ain odar sheey daiin tchar okeedaiin oram	4	7	odar	3	2|11|12	chekeek|okeedaiin|oram	Grad-/Maßwert III | [chekeek:?] | trockenes Arzneikompositum am Gradanfang | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzel | Menge-/Klassenwert II | erste Ansatzfraktion abmessen | feucht am Ende des Grades | Grad-/Maßwert III | erste Drogenfraktion abkühlen und trocknen | [okeedaiin:?] | [oram:?]
f108v	f108v.43	S	B	3	shodain cheal shedy rcheetey qokeey cheolkeedy cheol chedytey okeearam	5	1	shodain	4	4|6|8|9	rcheetey|cheolkeedy|chedytey|okeearam	zwei Dosen Feuchtansatz | Rohstoffklasse I, trocken in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | [rcheetey:?] | heiß am Ende des Grades | [cheolkeedy:?] | trockener Drogenstoff | [chedytey:?] | [okeearam:?]
f10r	f10r.2	H	A	1	dchey cthoor char chty os chair otytchol oky daiin etyd	6	5	os	5	1|2|6|7|10	dchey|cthoor|chair|otytchol|etyd	[dchey:?] | [cthoor:?] | Trockenfraktion I | trocken-kalt am Gradanfang | Ansatzcharge | [chair:?] | [otytchol:?] | heißer Ansatz am Anfang des Grades | Grad-/Maßwert III | [etyd:?]
f111v	f111v.1	S	B	3	koshey qokal chckheal opcheodair alkain sheokain cheok okeal shedy ralchy	7	1	koshey	6	3|4|5|6|7|10	chckheal|opcheodair|alkain|sheokain|cheok|ralchy	heißen Ansatz bis Mittelstufe einweichen und abschließen | Rohstoffklasse I, heiß am Gradanfang | [chckheal:?] | [opcheodair:?] | [alkain:?] | [sheokain:?] | [cheok:?] | Rohstoffklasse I im Ansatz, heiß in der Gradmitte | feucht in der Mitte des Grades, abgeschlossen | [ralchy:?]
f113r	f113r.1	S	B	3	pches chy ypcheedy fchdy chetar qopchedaiin oteey oty lkchy chodain alar chedy	8	10	chodain	7	1|3|4|5|6|9|11	pches|ypcheedy|fchdy|chetar|qopchedaiin|lkchy|alar	[pches:?] | trocken am Anfang des Grades | [ypcheedy:?] | [fchdy:?] | [chetar:?] | [qopchedaiin:?] | kalter Ansatz am Ende des Grades | kalter Ansatz am Anfang des Grades | [lkchy:?] | zwei Dosen Trockenansatz | [alar:?] | trocken in der Mitte des Grades, abgeschlossen
f113r	f113r.20	S	B	3	kshoraiin qokeeoar shoteol lklcheol qokar chdain cphoy chor aiin ckhydy	6	7	cphoy	5	1|2|3|4|10	kshoraiin|qokeeoar|shoteol|lklcheol|ckhydy	[kshoraiin:?] | [qokeeoar:?] | [shoteol:?] | [lklcheol:?] | heiße Drogenfraktion I | Trockendroge in Dosis II | Kompositum ansetzen und leicht abschließen | Pflanzen-/Reproduktionsteil | Menge III | [ckhydy:?]
f113r	f113r.28	S	B	3	sar al chal os akchy daiin cheeeo rain otain chol lcholkaiin cheokedy lodas	5	4	os	4	5|7|11|13	akchy|cheeeo|lcholkaiin|lodas	Samenfraktion I | Rohstoffklasse I | Rohstoffklasse I, trocken am Gradanfang | Ansatzcharge | [akchy:?] | Grad-/Maßwert III | [cheeeo:?] | Wurzeldroge in Charge II | kalt im Zubereitungsrahmen, Grad II | trocken; nominal trockenes Gut/Material | [lcholkaiin:?] | trocken angesetzte heiße Zubereitung in der Gradmitte, abgeschlossen | [lodas:?]
f113r	f113r.31	S	B	3	ytaiin okaiin chear ckhar shal shckhy okain o ar chor cky chokain qoky	2	4	ckhar	1	11	cky	Eintrag: kalt, Stufe III | heiß, Grad III, im Ansatzrahmen | trockene Fraktion I | erste Kompositumfraktion | Rohstoffklasse I, feucht am Gradanfang | Arzneikompositum: feucht, Gradanfang | heiß im Zubereitungsrahmen, Grad II | Drogenfraktion I im Ansatz | Drogenfraktion I | Pflanzen-/Reproduktionsteil | [cky:?] | erhitze den Trockenansatz auf Stufe II | heiß am Anfang des Grades
f113r	f113r.4	S	B	3	kcheeos olkeedy shoaiin cheeody qokchedy chckhody qokedy qotaly lkar ar al om	5	3	shoaiin	4	1|4|6|8	kcheeos|cheeody|chckhody|qotaly	[kcheeos:?] | Holzdrogenansatz vollständig erhitzt und abgeschlossen | drei Teile Feuchtansatz | [cheeody:?] | heiß und trocken in der Mitte des Grades, abgeschlossen | [chckhody:?] | heiß in der Mitte des Grades, abgeschlossen | [qotaly:?] | heiße Holzfraktion I | Drogenfraktion I | Rohstoffklasse I | eine Handvoll Ansatz
f113r	f113r.40	S	B	3	tarar cheey cheokeol chcheey cthes aiin ctheey ctharad shee qo tchey taram	6	5	cthes	5	1|3|4|8|12	tarar|cheokeol|chcheey|ctharad|taram	[tarar:?] | trocken am Ende des Grades | [cheokeol:?] | [chcheey:?] | Kraut- oder Blattspecies der Mittelstufe | Menge III | CTH-Drogenmaterial, Form II | [ctharad:?] | vollständig anfeuchten | nehmen | kalt und trocken in der Mitte des Grades | [taram:?]
f113r	f113r.5	S	B	3	ycheeckhy osaiin cheoar qokaiin chekal otar shos aiin chckhy chdo okol chedy chedy	5	7	shos	4	1|2|3|10	ycheeckhy|osaiin|cheoar|chdo	[ycheeckhy:?] | [osaiin:?] | [cheoar:?] | heiß, Grad III | Rohstoffklasse I: trocken in der Gradmitte; heiß am Gradanfang | kalte Drogenfraktion I im Ansatz | Charge Feuchtansatz | Menge III | Arzneikompositum: trocken, Gradanfang | [chdo:?] | heißer Ansatzstoff | trocken in der Mitte des Grades, abgeschlossen | trocken in der Mitte des Grades, abgeschlossen
f114r	f114r.34	S	B	3	ytain o l kaiin y kar chdar alkam	2	1	ytain	1	8	alkam	hiervon auf Kältestufe II abkühlen | Ansatzwasser | Pfund / Gewichtseinheit | heiß, Grad III | hierzu: | heiße Drogenfraktion I | abgemessene Trockenfraktion I, Anfangsstufe | [alkam:?]
f114r	f114r.37	S	B	3	odar or aiin otshedy okaiin yky ols ol kaiin chees air qotaiin chedaiiin	2	1	odar	1	13	chedaiiin	erste Ansatzfraktion abmessen | Drogenportion | Menge III | kalt-feuchter Ansatz in der Mitte des Grades, abgeschlossen | heiß, Grad III, im Ansatzrahmen | hierzu leicht erhitzen | Drogenstoffposten | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad III | vollständig getrocknete Kräutermischung | zweite Drogenfraktion | kalt, Grad III | [chedaiiin:?]
f114v	f114v.22	S	B	3	ychedar shod qokaiin qotchey chockhy olkedy otechy ykedckhy	4	2	shod	3	1|7|8	ychedar|otechy|ykedckhy	[ychedar:?] | Feuchtansatz abschließen | heiß, Grad III | kalt und trocken in der Mitte des Grades | Arzneikompositum im Trockenansatz am Gradanfang | erhitzte Drogenbasis, fertig | [otechy:?] | [ykedckhy:?]
f114v	f114v.7	S	B	3	ytedshedy otaiin cheedar cheey s aiin chedky chedaiin shod chokchedy	5	9	shod	4	1|3|7|10	ytedshedy|cheedar|chedky|chokchedy	[ytedshedy:?] | kalt im Zubereitungsrahmen, Grad III | [cheedar:?] | trocken am Ende des Grades | Samen-/Saatgutposten | Menge III | [chedky:?] | abgemessene Trockendroge, Dosis III | Feuchtansatz abschließen | [chokchedy:?]
f115r	f115r.31	S	B	@	shod ykaiin chdy qotchedy dchol daiin qopol qokairor lchea raiin dlchd	5	1	shod	4	7|8|9|11	qopol|qokairor|lchea|dlchd	Feuchtansatz abschließen | erhitze hiervon auf Stufe III | trocken am Anfang des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | Maß trockenen Materials | Qualitätsgrad III | [qopol:?] | [qokairor:?] | [lchea:?] | Wurzel, Typ/Charge III | [dlchd:?]
f115r	f115r.43	S	B	@	dcheo dain sheol qotchedy qokchedy qokchedy chotar orar oiin olchdy	3	1	dcheo	2	7|8	chotar|orar	Dosis bis Mittelstufe trocknen und ansetzen | Grad-/Maßwert II | feuchtes Material | kalt und trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | [chotar:?] | [orar:?] | Zubereitungsform III | Drogenstoff trocknen und fertigstellen
f115v	f115v.1	S	B	3	tchedor otchedy qotees ytain qoty qotar opolaiin qotdain ol raiin om	5	4	ytain	4	1|3|7|8	tchedor|qotees|opolaiin|qotdain	[tchedor:?] | kalt-trockener Ansatz in der Mitte des Grades, abgeschlossen | [qotees:?] | hiervon auf Kältestufe II abkühlen | kalt am Anfang des Grades | kalte Drogenfraktion I | [opolaiin:?] | [qotdain:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | Wurzel, Typ/Charge III | eine Handvoll Ansatz
f115v	f115v.22	S	B	3	soiin shedain qokeedy chodain otedain qokeedy qokeedy qotedy rosy	3	4	chodain	2	5|9	otedain|rosy	Samen/Saatgutzubereitung, Form III | zwei Dosen bis zur Mittelstufe eingeweichter Droge | heiß am Ende des Grades, abgeschlossen | zwei Dosen Trockenansatz | [otedain:?] | heiß am Ende des Grades, abgeschlossen | heiß am Ende des Grades, abgeschlossen | kalt in der Mitte des Grades, abgeschlossen | [rosy:?]
f115v	f115v.35	S	B	3	shos shee oky cheo lkain cheeos al ches kcheo rain checthey lcham	4	1	shos	3	6|9|12	cheeos|kcheo|lcham	Charge Feuchtansatz | vollständig anfeuchten | heißer Ansatz am Anfang des Grades | trocken angesetzte Zubereitung | Holzdroge, heiß auf Stufe II | [cheeos:?] | Rohstoffklasse I | trockenes Drogenmaterial, Mittelstufe | [kcheo:?] | Wurzeldroge in Charge II | Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen | [lcham:?]
f11v	f11v.1	H	A	1	poldchody shcphy shordy qoty shol cphar dan y	4	6	cphar	3	1|2|3	poldchody|shcphy|shordy	[poldchody:?] | [shcphy:?] | [shordy:?] | kalt am Anfang des Grades | feucht; nominal feuchtes Gut/Material | erste Kompositumfraktion | Grad-/Maßwert I | Eintrag abgeschlossen
f14r	f14r.2	H	A	1	o ykeey soiiin chok qokchy da okol	2	4	chok	1	6	da	Ansatz mit ykeey | erhitze hiervon bis zur Endstufe und schließe ab | Samendroge: Formklasse IV | Trockenansatz erhitzen | heiß und trocken am Anfang des Grades | [da:?] | heißer Ansatzstoff
f16v	f16v.2	H	A	1	ytchor y ky chokchy qokchocthor shory	2	6	shory	1	5	qokchocthor	kalt-trockene Portion dieser Droge | hierzu: | heiß am Anfang des Grades | Trockenansatz: heiß-trockene Grundform | [qokchocthor:?] | Blüten- oder Fruchtstand in Grundform, abgeschlossen
f17v	f17v.7	H	A	1	sor chkeey poiis cheor os s aiin	3	5	os	2	2|3	chkeey|poiis	Samenportion | [chkeey:?] | [poiis:?] | trockener Drogenteil | Ansatzcharge | Samen-/Saatgutposten | Menge III
f18v	f18v.8	H	A	1	tolol sh cphoy daror ddy ytor ykam	6	3	cphoy	5	1|4|5|6|7	tolol|daror|ddy|ytor|ykam	[tolol:?] | einweichen | Kompositum ansetzen und leicht abschließen | [daror:?] | [ddy:?] | [ytor:?] | [ykam:?]
f19r	f19r.13	H	A	1	os octhor ytchor	2	1	os	1	2	octhor	Ansatzcharge | [octhor:?] | kalt-trockene Portion dieser Droge
f20r	f20r.4	H	A	1	ochol ol teey otolchey	2	1	ochol	1	4	otolchey	Ansatz aus Trockendroge | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | kalt am Ende des Grades | [otolchey:?]
f20v	f20v.6	H	A	1	doiiin chockhy dan cheoy shos cheos char aiin	3	5	shos	2	1|4	doiiin|cheoy	[doiiin:?] | Arzneikompositum im Trockenansatz am Gradanfang | Grad-/Maßwert I | [cheoy:?] | Charge Feuchtansatz | Charge eines mitteltrockenen Ansatzes | Trockenfraktion I | Menge III
f23r	f23r.3	H	A	1	dchar ykor y kaiin daiin cth g	2	1	dchar	1	2	ykor	erste Trockenfraktion abmessen | [ykor:?] | ; hierzu: | heiß, Grad III | Grad-/Maßwert III | Kraut- oder Blattdroge | vorstehenden Rezeptposten abschließen
f23r	f23r.4	H	A	1	qokoldy okaiir ykaiil g qokeey ofchol dain yfchor olfchor otchald	7	2	okaiir	6	1|3|6|8|9|10	qokoldy|ykaiil|ofchol|yfchor|olfchor|otchald	[qokoldy:?] | dritte erhitzte Ansatzfraktion | [ykaiil:?] | vorstehenden Rezeptposten abschließen | heiß am Ende des Grades | [ofchol:?] | Qualitätsgrad II | [yfchor:?] | [olfchor:?] | [otchald:?]
f24v	f24v.1	H	A	1	tchodar chocfhey opom shod chcphy opshody ocphoraiin o k o am	8	4	shod	7	1|2|3|5|6|7|9	tchodar|chocfhey|opom|chcphy|opshody|ocphoraiin|k	[tchodar:?] | [chocfhey:?] | [opom:?] | Feuchtansatz abschließen | [chcphy:?] | [opshody:?] | [ocphoraiin:?] | Ansatzwasser | [k:?] | Ansatzwasser | Maßeinheit I
