surface	f1r_card_class	composition	working_meaning_de	confidence	f1r_positions	panel_positions	panel_lines	panel_pages	sections	languages	hands	position_profile	first_loci	decision	promote_to_v49_overlay	hold_occurrences	conflict_occurrences	untestable_occurrences	reader_exact_both	reader_exact_one	reader_exact_neither	review_note
daraiin	P	D_MEASURE+AR_FRACTION_I+AIIN_III	drei Teile der ersten Fraktion abmessen	HIGH	1	1	1	1	H:1	B:1	3:1	MEDIAL:1	f95r2.1	HOLD_SAME_CARD	1	1	0	0	0	1	0	The exact occurrence preserves measure, first fraction and quantity III in order.
roloty	P	R_ROOT+OL_MATERIAL+O_PREP+T_COLD+Y_START_OR_CLOSE	Wurzeldrogenstoff ansetzen, leicht kühlen und abschließen	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
cthiar	W	LEARNED_READER_ALIAS_CTHAR	erste Kraut- oder Blattfraktion	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
cphar	P	CPH_COMPOSITE+AR_FRACTION_I	erste Kompositumfraktion	HIGH	1	3	3	3	B:1|H:2	A:2|B:1	1:2|2:1	MEDIAL:3	f11v.1|f36v.1|f78v.20	HOLD_SAME_CARD	1	3	0	0	3	0	0	Three occurrences preserve composite plus first fraction without a competing value.
cfhaiin	W	LEARNED_FLOWER_WHOLE	Blütendroge, Menge III	LOW	1	1	1	1	H:1	A:1	1:1	MEDIAL:1	f8r.18	HOLD_SAME_CARD	1	1	0	0	0	1	0	Retained as a learned whole; its exact panel context does not force a different content reading.
ydaraishy	W	LEARNED_YDARAISHY_WHOLE	hiervon die erste Fraktion abmessen, leicht einweichen und abschließen	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
odar	P	O_PREP+D_MEASURE+AR_FRACTION_I	erste Ansatzfraktion abmessen	HIGH	1	21	20	17	B:1|C:2|H:6|S:10|T:2	A:5|B:16	1:5|2:6|3:10	FINAL:3|INITIAL:3|MEDIAL:15	f104r.8|f104v.33|f105r.2|f105r.20|f105v.10|f105v.14|f105v.8|f107v.12	HOLD_SAME_CARD	1	21	0	0	17	4	0	Twenty-one occurrences admit the same preparation-measure-first-fraction action without a named contradiction.
cphoy	P	CPH_COMPOSITE+O_PREP+Y_START_OR_CLOSE	Kompositum ansetzen und leicht abschließen	MEDIUM	1	2	2	2	H:1|S:1	A:1|B:1	1:1|3:1	MEDIAL:2	f113r.20|f18v.8	HOLD_SAME_CARD	1	2	0	0	1	1	0	Both occurrences admit composite preparation plus closure in the same order.
oydar	P	OY_PREP_BASE+D_MEASURE+AR_FRACTION_I	erste Fraktion des Grundansatzes abmessen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
s	O	FREE_S_OCCURRENCE	Species- oder Chargensiglum	LOW	1	272	261	125	B:25|H:170|P:27|S:37|T:13	A:169|B:103	1:161|2:67|3:38|5:4|@:2	FINAL:33|INITIAL:17|MEDIAL:214|SINGLETON:8	f100r.12|f100v.15|f100v.16|f100v.18|f102r1.14|f102r1.16|f102v1.12|f102v2.21	NAMED_CONTEXT_CONFLICT	0	8	264	0	154	74	44	Free occurrence-scoped surface; classify each occurrence and never export by spelling alone.
cfhoaiin	W	LEARNED_FLOWER_WHOLE	Blütenansatz, Menge III	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
shodary	P	SH_MOIST+O_PREP+D_MEASURE+AR_FRACTION_I+Y_START_OR_CLOSE	erste Feuchtansatzfraktion abmessen und abschließen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
okchoy	P	O_PREP+K_HOT+CH_DRY+O_PREP+Y_START_OR_CLOSE	heißen Ansatz trocknen, erneut ansetzen und abschließen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
os	P	O_PREP+S_TERM_SPECIES	Ansatzcharge	MEDIUM	2	23	23	21	B:1|C:1|H:11|P:5|S:4|T:1	A:14|B:9	1:14|2:5|3:4	FINAL:2|INITIAL:1|MEDIAL:19|SINGLETON:1	f102r1.15|f102v1.8|f102v2.21|f102v2.29|f104r.10|f104r.2|f105v.11|f10r.2	HOLD_SAME_CARD	1	23	0	0	14	7	2	Twenty-three occurrences, including a singleton line, admit the unchanged preparation-species nominal card.
kos	P	K_HOT+O_PREP+S_TERM_SPECIES	Charge Heißansatz	HIGH	1	1	1	1	H:1	A:1	1:1	MEDIAL:1	f38r.6	HOLD_SAME_CARD	1	1	0	0	1	0	0	The exact occurrence preserves hot preparation plus species/charge.
shos	P	SH_MOIST+O_PREP+S_TERM_SPECIES	Charge Feuchtansatz	HIGH	1	9	9	9	H:6|P:1|S:2	A:5|B:4	1:5|2:1|3:3	INITIAL:3|MEDIAL:6	f113r.5|f115v.35|f20v.6|f29r.5|f32r.11|f50r.2|f87r.15|f89v1.13	HOLD_SAME_CARD	1	9	0	0	7	1	1	Nine occurrences admit the unchanged moist-preparation species/charge card.
cfhol	W	LEARNED_FLOWER_WHOLE	Blütendrogenstoff oder Blütenauszug	LOW	1	3	3	3	H:2|T:1	A:2|B:1	1:2|5:1	MEDIAL:3	f66r.67|f93r.5|f9v.1	HOLD_SAME_CARD	1	3	0	0	3	0	0	Retained as a learned whole; three exact contexts do not force a competing decomposition or value.
cphesaiin	P	CPH_COMPOSITE+E_MIDDLE+S_SEED+AIIN_III	drei Teile Saatgut-Kompositum der Mittelstufe	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
cphey	P	CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	Kompositum auf Mittelstufe, abgeschlossen	HIGH	1	7	7	7	B:2|H:4|P:1	A:4|B:3	1:4|2:3	FINAL:1|MEDIAL:6	f30v.8|f43r.1|f54v.14|f76v.34|f77r.24|f7r.9|f89v1.13	HOLD_SAME_CARD	1	7	0	0	5	2	0	Seven occurrences preserve composite, middle stage and closure.
ytain	P	Y_REFERENCE+T_COLD+AIN_II	hiervon auf Kältestufe II abkühlen	HIGH	1	12	12	10	B:1|C:2|H:1|S:5|T:3	A:1|B:11	1:1|2:6|3:5	FINAL:1|INITIAL:1|MEDIAL:10	f106v.10|f106v.3|f107r.11|f114r.34|f115v.1|f35r.15|f75r.7|f76r.48	HOLD_SAME_CARD	1	12	0	0	12	0	0	Twelve occurrences admit the unchanged referential cold-stage-II action; f114r.34 requires an explicit outside-passage reference rather than a new card.
shoshy	P	SH_MOIST+O_PREP+SH_MOIST+Y_START_OR_CLOSE	Feuchtansatz erneut leicht einweichen und abschließen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
cphodal	P	CPH_COMPOSITE+O_PREP+D_MEASURE+AL_RAW_I	Rohstoffmenge I des Kompositumansatzes abmessen	HIGH	1	1	1	1	H:1	A:1	1:1	MEDIAL:1	f51r.14	HOLD_SAME_CARD	1	1	0	0	1	0	0	The exact occurrence preserves composite-preparation, measure and raw-grade-I order.
es	W	LEARNED_ES_WHOLE	Mittelstufen-Species	LOW	1	2	2	2	B:1|H:1	A:1|B:1	1:1|2:1	MEDIAL:2	f51r.4|f83v.6	HOLD_SAME_CARD	1	2	0	0	0	1	1	Retained as a learned whole; both exact contexts remain compatible with the middle-stage species card.
oksho	P	O_PREP+K_HOT+SH_MOIST+O_PREP	Ansatz erhitzen, einweichen und erneut ansetzen	HIGH	1	3	3	3	H:3	A:3	1:3	INITIAL:1|MEDIAL:2	f28r.5|f7v.6|f93v.9	HOLD_SAME_CARD	1	3	0	0	2	0	1	Three occurrences preserve heat, moisten and re-prepare order.
kshoy	P	K_HOT+SH_MOIST+O_PREP+Y_START_OR_CLOSE	erhitzen, einweichen, ansetzen und abschließen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
otairin	P	O_PREP+T_COLD+AIR_FRACTION_II+IN_FORM_II	Kaltansatz, zweite Fraktion, Form II	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
shodain	P	SH_MOIST+O_PREP+D_MEASURE+AIN_II	zwei Dosen Feuchtansatz	HIGH	1	4	4	4	C:1|H:1|P:1|S:1	A:2|B:2	1:2|2:1|3:1	INITIAL:1|MEDIAL:3	f108v.43|f86v3.14|f89v1.11|f93v.7	HOLD_SAME_CARD	1	4	0	0	2	2	0	Four occurrences admit the unchanged two-dose moist-preparation nominal card.
sckhey	W	LEARNED_SEED_COMPOSITE_WHOLE	Saatgut-Kompositum auf Mittelstufe, abgeschlossen	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
shoy	P	SH_MOIST+O_PREP+Y_START_OR_CLOSE	Feuchtansatz leicht abschließen	HIGH	1	10	10	10	B:1|H:2|P:3|S:3|T:1	A:4|B:6	1:3|2:4|3:3	INITIAL:1|MEDIAL:9	f102v2.32|f107r.22|f107v.13|f39r.6|f43r.7|f58v.3|f79r.11|f86v6.17	HOLD_SAME_CARD	1	10	0	0	1	7	2	Ten occurrences admit the unchanged moist-preparation closure action.
cphodaiils	W	LEARNED_CPHODAIILS_WHOLE	Kompositumansatz-Species mit unbestimmter Dosis- oder Holzeinlage	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
oldain	P	O_PREP+L_WOOD+D_MEASURE+AIN_II	zwei Dosen Holzdroge im Ansatz abmessen	MEDIUM	1	1	1	1	P:1	A:1	1:1	FINAL:1	f89r1.6	HOLD_SAME_CARD	1	1	0	0	1	0	0	The exact occurrence preserves preparation, wood material, measure and quantity II.
d	O	FREE_D_OCCURRENCE	abschließen oder mit folgendem or eine Portion abmessen	MEDIUM	2	53	50	34	B:5|H:40|S:1|T:7	A:39|B:14	1:39|2:9|3:1|5:4	FINAL:11|INITIAL:3|MEDIAL:33|SINGLETON:6	f108r.15|f11r.5|f11r.6|f13r.6|f13r.7|f13v.8|f14v.2|f16r.6	NAMED_CONTEXT_CONFLICT	0	0	47	6	20	16	17	Free occurrence-scoped surface; classify each occurrence and never export by spelling alone.
chodain	P	CH_DRY+O_PREP+D_MEASURE+AIN_II	zwei Dosen Trockenansatz	HIGH	1	7	7	7	H:3|S:4	A:3|B:4	1:3|3:4	FINAL:3|MEDIAL:4	f104v.21|f106v.12|f113r.1|f115v.22|f2v.3|f4v.5|f93r.5	HOLD_SAME_CARD	1	7	0	0	7	0	0	Seven occurrences admit the unchanged two-dose dry-preparation card.
dn	W	LEARNED_READER_ALIAS_DAN_AN	Grad- oder Maßwert I	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
kod	P	K_HOT+O_PREP+D_TERM_CLOSE	Heißansatz abschließen	HIGH	1	1	1	1	P:1	A:1	1:1	MEDIAL:1	f102r1.4	HOLD_SAME_CARD	1	1	0	0	0	0	1	The exact occurrence admits hot-preparation closure without a named conflict.
eo	W	LEARNED_EO_SHORT_WHOLE	Mittelstufenansatz	LOW	2	1	1	1	H:1	A:1	1:1	MEDIAL:1	f53v.1	HOLD_SAME_CARD	1	1	0	0	0	1	0	Retained as a learned whole; its exact context does not force a competing value.
r	O	FREE_R_OCCURRENCE	Wurzel; bindet lokal an die folgende Trockenfraktion	MEDIUM	1	129	127	74	B:28|H:46|P:6|S:41|T:8	A:46|B:83	1:45|2:39|3:38|5:4|@:3	FINAL:7|INITIAL:2|MEDIAL:116|SINGLETON:4	f102v2.19|f102v2.22|f104v.27|f105r.15|f105r.22|f105r.27|f105r.29|f105v.15	HOLD_OCCURRENCE_SCOPED	0	3	0	126	57	37	35	Free occurrence-scoped surface; classify each occurrence and never export by spelling alone.
shodan	P	SH_MOIST+O_PREP+D_MEASURE+AN_I	eine Dosis Feuchtansatz	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
koeam	P	K_HOT+O_PREP+E_MIDDLE+AM_UNIT_I	ein Maß Ansatz bis zur Mittelstufe erhitzen	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
pshol	P	P_POWDER+SH_MOIST+OL_MATERIAL	eingeweichter Pulverstoff	HIGH	1	3	3	3	B:1|H:1|P:1	A:2|B:1	1:2|2:1	INITIAL:3	f80v.27|f89r1.19|f8r.1	HOLD_SAME_CARD	1	3	0	0	2	1	0	Three occurrences preserve powder, moist treatment and material order.
dydyd	W	LEARNED_DOUBLE_FINISH_WHOLE	zweifacher Fertigstellungs- und Abschlusscode	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
daiy	W	LEARNED_DAIY_WHOLE	abgemessene Drogenportion, abgeschlossen	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
yto	P	Y_REFERENCE+T_COLD+O_PREP	hiervon einen Ansatz abkühlen	HIGH	1	1	1	1	H:1	A:1	1:1	INITIAL:1	f37v.23	HOLD_SAME_CARD	1	1	0	0	1	0	0	The exact occurrence admits the unchanged cooling card but requires an explicit outside-passage reference.
kodshey	W	LEARNED_KODSHEY_SEQUENCE	Heißansatz abschließen und anschließend bis Mittelstufe einweichen	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
cphealy	P	CPH_COMPOSITE+E_MIDDLE+AL_RAW_I+Y_START_OR_CLOSE	Rohdroge-I-Kompositum bis Mittelstufe, abgeschlossen	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
ckhyds	W	LEARNED_CKHYDS_WHOLE	abgeschlossene Kompositum-Species	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
dchar	P	D_MEASURE+CH_DRY+AR_FRACTION_I	erste Trockenfraktion abmessen	HIGH	1	2	2	2	H:2	A:2	1:2	INITIAL:1|MEDIAL:1	f23r.3|f28r.2	HOLD_SAME_CARD	1	2	0	0	1	1	0	Both occurrences preserve measure, dry process and first fraction.
shcthaiin	P	SH_MOIST+CTH_HERB+AIIN_III	drei Teile eingeweichte Krautdroge	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
okaiir	P	O_PREP+K_HOT+AIIR_FRACTION_III	dritte erhitzte Ansatzfraktion	HIGH	1	4	4	4	H:2|S:2	A:3|B:1	1:2|3:2	MEDIAL:4	f105r.35|f23r.4|f58v.11|f9r.6	HOLD_SAME_CARD	1	4	0	0	4	0	0	Four occurrences preserve preparation, heat and third fraction.
cthols	P	CTH_HERB+OL_MATERIAL+S_TERM_SPECIES	Charge Krautdrogenstoff	HIGH	1	1	1	1	H:1	A:1	1:1	FINAL:1	f37v.21	HOLD_SAME_CARD	1	1	0	0	1	0	0	The exact occurrence preserves herb, material and species/charge.
dloo	W	LEARNED_DLOO_WHOLE	Holzdroge abmessen und zweimal ansetzen	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
cpho	P	CPH_COMPOSITE+O_PREP	Kompositumansatz	HIGH	1	1	1	1	H:1	A:1	1:1	MEDIAL:1	f32v.10	HOLD_SAME_CARD	1	1	0	0	0	0	1	The exact occurrence admits the unchanged composite-preparation nominal card.
shokcheey	P	SH_MOIST+O_PREP+K_HOT+CH_DRY+EE_END+Y_START_OR_CLOSE	Feuchtansatz erhitzen, vollständig trocknen und abschließen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
tshodeesy	W	LEARNED_TSHODEESY_WHOLE	kalt-feuchte Ansatzspecies auf Endstufe, abgeschlossen	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
pydeey	W	LEARNED_PYDEEY_WHOLE	Enddosis Pulver abmessen und abschließen	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
cha	P	CH_DRY+A_PART_OR_LINK	ein Teil Trockendroge	MEDIUM	1	1	1	1	H:1	A:1	1:1	MEDIAL:1	f8r.18	HOLD_SAME_CARD	1	1	0	0	1	0	0	The exact occurrence preserves one part plus dry material.
ydoin	P	Y_REFERENCE+D_MEASURE+O_PREP+IN_FORM_II	hiervon eine Ansatzportion der Form II abmessen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
shoaiin	P	SH_MOIST+O_PREP+AIIN_III	drei Teile Feuchtansatz	HIGH	1	2	2	2	H:1|S:1	A:1|B:1	1:1|3:1	MEDIAL:2	f113r.4|f36v.1	HOLD_SAME_CARD	1	2	0	0	2	0	0	Both occurrences retain moist preparation plus quantity III because exact V48 oaiin is Ansatzmenge III; the process-stage rival remains visible.
ctholdar	P	CTH_HERB+OL_MATERIAL+D_MEASURE+AR_FRACTION_I	erste Fraktion Krautdrogenstoff abmessen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
kokaiin	P	K_HOT+O_PREP+K_HOT+AIIN_III	Ansatz erhitzen und erneut auf Stufe III erhitzen	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
ochol	P	O_PREP+CH_DRY+OL_MATERIAL	Ansatz aus Trockendroge	HIGH	1	3	3	3	H:3	A:3	1:3	INITIAL:3	f20r.4|f49r.15|f93r.15	HOLD_SAME_CARD	1	3	0	0	3	0	0	Three occurrences preserve preparation, drying and material order.
kdchy	W	LEARNED_KDCHY_WHOLE	erhitzte Dosis trocknen und abschließen	LOW	1	0	0	0	NONE	NONE	NONE	NONE	NONE	UNTESTABLE	0	0	0	0	0	0	0	No exact occurrence in the admitted 179-side panel.
dcheo	P	D_MEASURE+CH_DRY+E_MIDDLE+O_PREP	Dosis bis Mittelstufe trocknen und ansetzen	HIGH	1	6	6	6	H:2|P:2|S:2	A:4|B:2	1:4|3:1|@:1	INITIAL:5|MEDIAL:1	f102r1.11|f105v.6|f115r.43|f30r.8|f49r.19|f89v1.15	HOLD_SAME_CARD	1	6	0	0	5	1	0	Six occurrences admit measure, dry-to-middle and prepare in the same order.
koshey	P	K_HOT+O_PREP+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	heißen Ansatz bis Mittelstufe einweichen und abschließen	HIGH	1	1	1	1	S:1	B:1	3:1	INITIAL:1	f111v.1	HOLD_SAME_CARD	1	1	0	0	1	0	0	The exact occurrence preserves hot preparation, moist-to-middle and closure.
ok	O	LOCAL_LEFT_OF_CHEY	Ansatz erhitzen; mit chey lokal heiß-trockener Ansatz auf Mittelstufe	HIGH	1	8	8	8	B:1|H:4|P:2|S:1	A:4|B:4	1:4|2:2|3:1|5:1	MEDIAL:7|SINGLETON:1	f102v2.9|f103r.2|f23r.9|f24v.12|f26r.8|f48v.6|f75r.4|f99v.10	UNTESTABLE	0	0	0	8	4	4	0	Free occurrence-scoped surface; classify each occurrence and never export by spelling alone.
chtor	P	CH_DRY+T_COLD+OR_PORTION	Portion trocken abgekühlte Droge	HIGH	1	1	1	1	H:1	A:1	1:1	MEDIAL:1	f53r.8	HOLD_SAME_CARD	1	1	0	0	1	0	0	The exact occurrence preserves dry, cold and portion order.
chok	P	CH_DRY+O_PREP+K_HOT	Trockenansatz erhitzen	HIGH	1	3	3	3	H:3	A:3	1:3	INITIAL:1|MEDIAL:2	f14r.2|f42v.7|f56r.10	HOLD_SAME_CARD	1	3	0	0	2	1	0	Three occurrences admit the unchanged dry-preparation heating action.
