event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	working_word	position_in_field	field_length	fit_class	fit_grade	formal_nonword_rival	source_expansion_tested
133	B1	f81v	f81v.18	F030	B1-S008	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	2	5	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
135	B1	f81v	f81v.18	F030	B1-S008	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	4	5	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
148	B1	f81v	f81v.21	F036	B1-S014	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	4	5	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
154	B1	f81v	f81v.24	F038	B1-S016	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	3	4	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
180	B2	f82r	f82r.3	F050	B2-S005	b5fcea1eaed06b2f2291	PER?__DURCH_ODER_GEMAESS?	4	4	LINE_EDGE_CATCHWORD_THEN_RESTART	GOOD	[FORMAL:ENTRY_ODER_STANDARDSLOT;KEIN_WORT]	Den aktiven Posten nach der örtlichen Vorschrift bemessen
181	B2	f82r	f82r.4	F051	B2-S005	b5fcea1eaed06b2f2291	PER?__DURCH_ODER_GEMAESS?	1	4	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	GOOD	[FORMAL:ENTRY_ODER_STANDARDSLOT;KEIN_WORT]	Den aktiven Posten nach der örtlichen Vorschrift bemessen
219	B2	f82r	f82r.26	F063	B2-S016	b5fcea1eaed06b2f2291	PER?__DURCH_ODER_GEMAESS?	6	7	MEDIAL_PRETERMINAL_RELATION	STRAINED	[FORMAL:ENTRY_ODER_STANDARDSLOT;KEIN_WORT]	Den aktiven Posten nach der örtlichen Vorschrift bemessen
236	B3	f83r	f83r.3	F074	B3-S004	b5fcea1eaed06b2f2291	PER?__DURCH_ODER_GEMAESS?	1	3	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	GOOD	[FORMAL:ENTRY_ODER_STANDARDSLOT;KEIN_WORT]	Den aktiven Posten nach der örtlichen Vorschrift bemessen
243	B3	f83r	f83r.6	F077	B3-S007	b5fcea1eaed06b2f2291	PER?__DURCH_ODER_GEMAESS?	1	3	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	GOOD	[FORMAL:ENTRY_ODER_STANDARDSLOT;KEIN_WORT]	Den aktiven Posten nach der örtlichen Vorschrift bemessen
256	B3	f83r	f83r.11	F083	B3-S013	b5fcea1eaed06b2f2291	PER?__DURCH_ODER_GEMAESS?	1	4	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	GOOD	[FORMAL:ENTRY_ODER_STANDARDSLOT;KEIN_WORT]	Den aktiven Posten nach der örtlichen Vorschrift bemessen
270	B3	f83r	f83r.14	F092	B3-S021	b5fcea1eaed06b2f2291	PER?__DURCH_ODER_GEMAESS?	1	4	FIELD_INITIAL_RELATION_OR_INSTRUCTION_HEAD	GOOD	[FORMAL:ENTRY_ODER_STANDARDSLOT;KEIN_WORT]	Den aktiven Posten nach der örtlichen Vorschrift bemessen
295	B3	f83r	f83r.20	F102	B3-S029	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	1	3	FIELD_INITIAL_ALSO_OR_RESUME	ACCEPTABLE	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
324	B4	f83r	f83r.26	F112	B4-S003	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	4	5	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
343	B4	f83r	f83r.37	F121	B4-S011	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	1	2	FIELD_INITIAL_ALSO_OR_RESUME	ACCEPTABLE	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
366	B5	f83r	f83r.48	F132	B5-S003	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	2	5	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
370	B5	f83r	f83r.49	F133	B5-S003	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	1	3	FIELD_INITIAL_ALSO_OR_RESUME	ACCEPTABLE	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
376	B6	f83r	f83r.52	F134	B6-S001	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	4	4	FIELD_FINAL_OPEN_ADDITION_OR_CARRY	ACCEPTABLE	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
378	B6	f83r	f83r.54	F135	B6-S001	dcda95c81a5460feb191	ET?__UND_ODER_AUCH?	2	5	MEDIAL_ADDITIVE_LINK	GOOD	[FORMAL:ADDITIVER_LINK_ODER_FORTSETZUNG;KEIN_WORT]	Den recordlokalen aktiven Posten im Arbeitsgang fortführen
