event_serial	record_unit_id	page	locus	field_id	statement_id	role_card	allowed_reading_used	field_entry	field_exit	explicit_exemplar_completion	fit_cost_0_4	fit_grade	fit_reason	strongest_rival	extra_sense_introduced	decision
181	B2	f82r	f82r.4	F051	B2-S005	PER?	GEMÄSS?	YES	NO	derselben örtlichen Einstellung	3	HIGH_REPAIR	field-entry according-to reading can govern the following setting	second adjacent PER card makes repetition conspicuous	NO	RETAIN_FOR_THIS_WORKING_EDITION
219	B2	f82r	f82r.26	F063	B2-S016	PER?	DURCH?	NO	NO	das unmittelbar folgende warme Wasser	2	STRAINED	internal through-reading takes warm water as local instrument/medium	not at field entry and complement direction is inferred	NO	RETAIN_FOR_THIS_WORKING_EDITION
236	B3	f83r	f83r.3	F074	B3-S004	PER?	GEMÄSS?	YES	NO	der örtlichen Ablaufvorgabe	2	STRAINED	field-entry according-to reading introduces the lower-outlet instruction	the preceding drain may instead govern the field	NO	RETAIN_FOR_THIS_WORKING_EDITION
243	B3	f83r	f83r.6	F077	B3-S007	PER?	GEMÄSS?	YES	NO	der örtlichen Mischvorgabe	1	WORKABLE	field-entry according-to reading introduces mixing	could be a construction-entry mark without lexical value	NO	RETAIN_FOR_THIS_WORKING_EDITION
256	B3	f83r	f83r.11	F083	B3-S013	PER?	GEMÄSS?	YES	NO	der örtlichen Mengenvorgabe	1	WORKABLE	field-entry according-to reading introduces a measured share	quantity remains entirely exemplar-supplied	NO	RETAIN_FOR_THIS_WORKING_EDITION
270	B3	f83r	f83r.14	F092	B3-S021	PER?	GEMÄSS?	YES	NO	der örtlichen Prüfvorgabe	1	WORKABLE	field-entry according-to reading introduces a local state check	could be a construction-entry mark without lexical value	NO	RETAIN_FOR_THIS_WORKING_EDITION
295	B3	f83r	f83r.20	F102	B3-S029	ET?	UND?	YES	NO	NONE	1	WORKABLE	joins first rinse to the repeated rinse clause	right repetition requires its predicate from the following event	NO	RETAIN_FOR_THIS_WORKING_EDITION
324	B4	f83r	f83r.26	F112	B4-S003	ET?	UND?	NO	NO	NONE	1	WORKABLE	joins application to standing until ready	could be a generic sequence separator	NO	RETAIN_FOR_THIS_WORKING_EDITION
343	B4	f83r	f83r.37	F121	B4-S011	ET?	UND?	YES	NO	NONE	1	WORKABLE	joins mixing to washing twice across a field/line carry	physical break could instead restart	NO	RETAIN_FOR_THIS_WORKING_EDITION
366	B5	f83r	f83r.48	F132	B5-S003	ET?	UND?	NO	NO	NONE	2	STRAINED	joins station assignment to the until-warm condition	left phrase lacks an overt imperative after V77 withdrawal	NO	RETAIN_FOR_THIS_WORKING_EDITION
370	B5	f83r	f83r.49	F133	B5-S003	ET?	UND?	YES	NO	NONE	2	STRAINED	joins the nonword formal mark to the second-opening phrase	left conjunct has no lexical content	NO	RETAIN_FOR_THIS_WORKING_EDITION
376	B6	f83r	f83r.52	F134	B6-S001	ET?	UND?	NO	YES	NONE	2	STRAINED	first link in opening-ET-formal-ET-filter chain	middle member is deliberately nonlexical	NO	RETAIN_FOR_THIS_WORKING_EDITION
378	B6	f83r	f83r.54	F135	B6-S001	ET?	UND?	NO	NO	NONE	2	STRAINED	second link in the same three-member chain	middle member is deliberately nonlexical	NO	RETAIN_FOR_THIS_WORKING_EDITION
