gdt747_line_id	page	locus	line_number	line_tokens	candidate_occurrences	candidate_surfaces	candidate_reader_exact_occurrences	before_strong_concrete_tokens	after_strong_concrete_tokens	strong_concrete_delta	after_weak_visible_tokens	after_open_tokens	retired_literal_withheld_tokens	after_strong_coverage_fraction	local_support_tier_counts	locally_supported_candidate_occurrences	eva_line	before_render_de	after_render_de	literal_plaintext_credit	component_export_credit
G747-L011	f105r	f105r.19	19	11	1	okeeody	1	3	4	1	3	2	2	0.364	L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	dsechey oteol daiindy saiin chedy laiin okeeody okeeyteedy odaiin aiir al	[dsechey:?]; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; drei Maße, abgeteilt und abgeschlossen; [saiin:?]; [trocken in der Mitte des Grades, abgeschlossen; schwach]; [laiin:?]; [okeeody:?]; [okeeyteedy:?]; Zubereitung, Wertstufe III; [Anteil III; schwach]; [Rohstoffklasse I; schwach]	[dsechey:?]; Drogenstoff im Ansatz bis zur Mittelstufe abkühlen; drei Maße, abgeteilt und abgeschlossen; [saiin: zurückgehaltene Altidentität]; [trocken in der Mitte des Grades, abgeschlossen; schwach]; [laiin: zurückgehaltene Altidentität]; Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich; [okeeyteedy:?]; Zubereitung, Wertstufe III; [Anteil III; schwach]; [Rohstoffklasse I; schwach]	0	0
G747-L012	f105v	f105v.36	36	11	1	okeeody	1	5	6	1	2	2	1	0.545	L0_NO_LOCAL_W23_SUPPORT:1	0	laiin sheod okeeody qoaiin ytaiin otair chdal dy daim chdaiin oy	[laiin:?]; [sheod:?]; [okeeody:?]; nimm drei Teile; Eintrag: kalt, Stufe III; [zweite kalte Drogenfraktion im Ansatz; schwach]; trockener abgewogener Rohstoffposten I am Gradanfang; [Qualitäts-/Wertfeld geschlossen; schwach]; eine zweite Portion abmessen; [chdaiin:?]; Ansatz in Grundform	[laiin: zurückgehaltene Altidentität]; [sheod:?]; Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich; nimm drei Teile; Eintrag: kalt, Stufe III; [zweite kalte Drogenfraktion im Ansatz; schwach]; trockener abgewogener Rohstoffposten I am Gradanfang; [Qualitäts-/Wertfeld geschlossen; schwach]; eine zweite Portion abmessen; [chdaiin:?]; Ansatz in Grundform	0	0
G747-L013	f106r	f106r.39	39	11	1	cheeey	0	0	1	1	5	5	0	0.091	L0_NO_LOCAL_W23_SUPPORT:1	0	ycheool cheeey ol aiin cheody laiiin chekol cheey okchar aiin aloal	[ycheool:?]; [cheeey:?]; [Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; schwach]; [Menge III; schwach]; [getrockneter Ansatz; schwach]; [laiiin:?]; [chekol:?]; [trocken am Ende des Grades; schwach]; [okchar:?]; [Menge III; schwach]; [aloal:?]	[ycheool:?]; trockener Zustand; Endbereich wahrscheinlich; [Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; schwach]; [Menge III; schwach]; [getrockneter Ansatz; schwach]; [laiiin:?]; [chekol:?]; [trocken am Ende des Grades; schwach]; [okchar:?]; [Menge III; schwach]; [aloal:?]	0	0
G747-L014	f107r	f107r.49	49	10	2	chtl	2	4	4	0	1	4	1	0.400	L0_FORM_ONLY_NO_CORE:2	0	o alain ay chkain okair chtl lkaiin okair chtl raty	[o:?]; [alain:?]; [ein gleicher Teil, abgeschlossen; schwach]; trocken-heiß, Stufe II; heiße Drogenfraktion II im Ansatz; [chtl:?]; Mengen-/Portionsstufe III der Zubereitungsfraktion; heiße Drogenfraktion II im Ansatz; [chtl:?]; [raty:?]	[o: zurückgehaltene Altidentität]; [alain:?]; [ein gleicher Teil, abgeschlossen; schwach]; trocken-heiß, Stufe II; heiße Drogenfraktion II im Ansatz; [trocken/getrocknet nur als direkte Formanalogie; Passagekern offen]; Mengen-/Portionsstufe III der Zubereitungsfraktion; heiße Drogenfraktion II im Ansatz; [trocken/getrocknet nur als direkte Formanalogie; Passagekern offen]; [raty:?]	0	0
G747-L015	f107v	f107v.32	32	9	1	okeeody	1	1	2	1	6	1	0	0.222	L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	tay oaiin okeeody okaiin otaiin otchey qokaiin otedy qokam	[tay:?]; drei Ansatzportionen; [okeeody:?]; [heiß, Grad III, im Ansatzrahmen; schwach]; [kalt im Zubereitungsrahmen, Grad III; schwach]; [kalt-trockener Ansatz in der Mitte des Grades; schwach]; [heiß, Grad III; schwach]; [kalter Ansatz in der Mitte des Grades, abgeschlossen; schwach]; [nimm ein Maß und erhitze es; schwach]	[tay:?]; drei Ansatzportionen; Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich; [heiß, Grad III, im Ansatzrahmen; schwach]; [kalt im Zubereitungsrahmen, Grad III; schwach]; [kalt-trockener Ansatz in der Mitte des Grades; schwach]; [heiß, Grad III; schwach]; [kalter Ansatz in der Mitte des Grades, abgeschlossen; schwach]; [nimm ein Maß und erhitze es; schwach]	0	0
G747-L016	f108v	f108v.25	25	13	1	sheeol	1	3	4	1	6	1	2	0.308	L0_NO_LOCAL_W23_SUPPORT:1	0	sheeol okeey kaiin okaiin ol lchey ctheo r aiin cheey qokeey qokeeaiin al	[sheeol:?]; [heißer Ansatz am Ende des Grades; schwach]; heiß, Grad III; [heiß, Grad III, im Ansatzrahmen; schwach]; [Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; schwach]; [lchey:?]; [ctheo:?]; [r:?]; [Menge III; schwach]; [trocken am Ende des Grades; schwach]; heiß am Ende des Grades; erhitze drei Teile bis zur Endstufe; [Rohstoffklasse I; schwach]	behandelter Stoff im Endzustand; feucht gegen trocken offen; [heißer Ansatz am Ende des Grades; schwach]; heiß, Grad III; [heiß, Grad III, im Ansatzrahmen; schwach]; [Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; schwach]; [lchey: zurückgehaltene Altidentität]; [ctheo:?]; [r: zurückgehaltene Altidentität]; [Menge III; schwach]; [trocken am Ende des Grades; schwach]; heiß am Ende des Grades; erhitze drei Teile bis zur Endstufe; [Rohstoffklasse I; schwach]	0	0
G747-L017	f111r	f111r.3	3	11	1	dsheedy	1	2	3	1	2	3	3	0.273	L0_NO_LOCAL_W23_SUPPORT:1	0	dsheedy lkeedy chckhy lchedy qokeey qokear chal qokeear cheokedy sal lokam	[dsheedy:?]; [lkeedy:?]; [Arzneikompositum: trocken, Gradanfang; schwach]; [lchedy:?]; heiß am Ende des Grades; [qokear:?]; [Rohstoffklasse I, trocken am Gradanfang; schwach]; [qokeear:?]; trocken angesetzte heiße Zubereitung in der Gradmitte, abgeschlossen; [sal:?]; [lokam:?]	Endzustand; angefeuchtet oder eingeweicht nach Ganzwortfamilie; [lkeedy: zurückgehaltene Altidentität]; [Arzneikompositum: trocken, Gradanfang; schwach]; [lchedy: zurückgehaltene Altidentität]; heiß am Ende des Grades; [qokear:?]; [Rohstoffklasse I, trocken am Gradanfang; schwach]; [qokeear:?]; trocken angesetzte heiße Zubereitung in der Gradmitte, abgeschlossen; [sal: zurückgehaltene Altidentität]; [lokam:?]	0	0
G747-L018	f111r	f111r.7	7	13	1	sheeol	1	1	2	1	5	1	5	0.154	L0_NO_LOCAL_W23_SUPPORT:1	0	sshedy qokeey checthey oteedy lchedy chol sheeol qokeody raiin otedy otar aiin om	[sshedy:?]; heiß am Ende des Grades; [checthey:?]; [kalter Ansatz am Ende des Grades, abgeschlossen; schwach]; [lchedy:?]; [trocken; nominal trockenes Gut/Material; schwach]; [sheeol:?]; [qokeody:?]; [raiin:?]; [kalter Ansatz in der Mitte des Grades, abgeschlossen; schwach]; [kalte Drogenfraktion I im Ansatz; schwach]; [Menge III; schwach]; [om:?]	[sshedy: zurückgehaltene Altidentität]; heiß am Ende des Grades; [checthey: zurückgehaltene Altidentität]; [kalter Ansatz am Ende des Grades, abgeschlossen; schwach]; [lchedy: zurückgehaltene Altidentität]; [trocken; nominal trockenes Gut/Material; schwach]; behandelter Stoff im Endzustand; feucht gegen trocken offen; [qokeody:?]; [raiin: zurückgehaltene Altidentität]; [kalter Ansatz in der Mitte des Grades, abgeschlossen; schwach]; [kalte Drogenfraktion I im Ansatz; schwach]; [Menge III; schwach]; [om: zurückgehaltene Altidentität]	0	0
G747-L019	f111r	f111r.18	18	12	1	qochey	1	2	3	1	6	2	1	0.250	L0_NO_LOCAL_W23_SUPPORT:1	0	daiin shecthey oteody qochey qokeey chey teey qokeedy qokeedy cheol lokeedy lched	[Grad-/Maßwert III; schwach]; [shecthey:?]; [abgekühlter, fertiger Ansatz; schwach]; [qochey:?]; heiß am Ende des Grades; [trocken in der Mitte des Grades; schwach]; kalt am Ende des Grades; [heiß am Ende des Grades, abgeschlossen; schwach]; [heiß am Ende des Grades, abgeschlossen; schwach]; [trockener Drogenstoff; schwach]; [lokeedy:?]; [lched:?]	[Grad-/Maßwert III; schwach]; [shecthey:?]; [abgekühlter, fertiger Ansatz; schwach]; trocken; Mittelstufe wahrscheinlich, Funktion offen; heiß am Ende des Grades; [trocken in der Mitte des Grades; schwach]; kalt am Ende des Grades; [heiß am Ende des Grades, abgeschlossen; schwach]; [heiß am Ende des Grades, abgeschlossen; schwach]; [trockener Drogenstoff; schwach]; [lokeedy:?]; [lched: zurückgehaltene Altidentität]	0	0
G747-L020	f111r	f111r.30	30	11	1	chtar	1	2	3	1	4	3	1	0.273	L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	qockhedy qokeechy qotchey chtar ar chkeey lkar aiin chedy qokeey qoirain	[qockhedy:?]; [qokeechy:?]; kalt und trocken in der Mitte des Grades; [chtar:?]; [Drogenfraktion I; schwach]; [heiß-trocken, Endstufe; schwach]; [lkar:?]; [Menge III; schwach]; [trocken in der Mitte des Grades, abgeschlossen; schwach]; heiß am Ende des Grades; [qoirain:?]	[qockhedy:?]; [qokeechy:?]; kalt und trocken in der Mitte des Grades; trockene Teil-/Fraktionsform; Temperatur und Träger offen; [Drogenfraktion I; schwach]; [heiß-trocken, Endstufe; schwach]; [lkar: zurückgehaltene Altidentität]; [Menge III; schwach]; [trocken in der Mitte des Grades, abgeschlossen; schwach]; heiß am Ende des Grades; [qoirain:?]	0	0
G747-L021	f111r	f111r.52	52	12	1	alom	1	3	4	1	7	1	0	0.333	L0_NO_LOCAL_W23_SUPPORT:1	0	dair al qokeey qokaiin sheal qokeain shckhy sain chckhy char aiin alom	[abgemessene Fraktion II; schwach]; [Rohstoffklasse I; schwach]; heiß am Ende des Grades; [heiß, Grad III; schwach]; Rohstoffklasse I, feucht in der Gradmitte; [qokeain:?]; [Arzneikompositum: feucht, Gradanfang; schwach]; Skalarstufe II; Dimension offen; [Arzneikompositum: trocken, Gradanfang; schwach]; [Trockenfraktion I; schwach]; [Menge III; schwach]; [alom:?]	[abgemessene Fraktion II; schwach]; [Rohstoffklasse I; schwach]; heiß am Ende des Grades; [heiß, Grad III; schwach]; Rohstoffklasse I, feucht in der Gradmitte; [qokeain:?]; [Arzneikompositum: feucht, Gradanfang; schwach]; Skalarstufe II; Dimension offen; [Arzneikompositum: trocken, Gradanfang; schwach]; [Trockenfraktion I; schwach]; [Menge III; schwach]; Stoff-/Materialform; Maßlesung offen	0	0
G747-L022	f111v	f111v.13	13	12	1	chetar	1	2	3	1	6	2	1	0.250	L0_NO_LOCAL_W23_SUPPORT:1	0	sheaiin okaiin shckhy cheol kedy chetar okaiin shal lchdal tedy tar amd	[sheaiin:?]; [heiß, Grad III, im Ansatzrahmen; schwach]; [Arzneikompositum: feucht, Gradanfang; schwach]; [trockener Drogenstoff; schwach]; heiß in der Mitte des Grades, abgeschlossen; [chetar:?]; [heiß, Grad III, im Ansatzrahmen; schwach]; [Rohstoffklasse I, feucht am Gradanfang; schwach]; [lchdal:?]; kalt in der Mitte des Grades, abgeschlossen; [kalte Drogenfraktion I; schwach]; [amd:?]	[sheaiin:?]; [heiß, Grad III, im Ansatzrahmen; schwach]; [Arzneikompositum: feucht, Gradanfang; schwach]; [trockener Drogenstoff; schwach]; heiß in der Mitte des Grades, abgeschlossen; trockene Fraktion; Mittelstufe wahrscheinlich; [heiß, Grad III, im Ansatzrahmen; schwach]; [Rohstoffklasse I, feucht am Gradanfang; schwach]; [lchdal: zurückgehaltene Altidentität]; kalt in der Mitte des Grades, abgeschlossen; [kalte Drogenfraktion I; schwach]; [amd:?]	0	0
G747-L023	f111v	f111v.40	40	9	1	ykeeey	1	5	6	1	2	1	0	0.667	L0_NO_LOCAL_W23_SUPPORT:1	0	ykeeey lkain chckhy chokain chckhal sheckhedy qokeey qokeedy lchsl	[ykeeey:?]; Skalarstufe II [Carrier=PREPARATION; Dimension offen; provisorischer R4-Lauf]; [Arzneikompositum: trocken, Gradanfang; schwach]; erhitze den Trockenansatz auf Stufe II; trockenes Arzneikompositum, Rohstoffform I; feuchtes Arzneikompositum in der Gradmitte, abgeschlossen; heiß am Ende des Grades; [heiß am Ende des Grades, abgeschlossen; schwach]; [lchsl:?]	bis zur Endstufe führen; heiß und Abschluss wahrscheinlich; Skalarstufe II [Carrier=PREPARATION; Dimension offen; provisorischer R4-Lauf]; [Arzneikompositum: trocken, Gradanfang; schwach]; erhitze den Trockenansatz auf Stufe II; trockenes Arzneikompositum, Rohstoffform I; feuchtes Arzneikompositum in der Gradmitte, abgeschlossen; heiß am Ende des Grades; [heiß am Ende des Grades, abgeschlossen; schwach]; [lchsl:?]	0	0
G747-L024	f112v	f112v.12	12	9	1	sheeol	1	2	3	1	4	2	0	0.333	L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	daiin al olkeedain oteey sheeol qokeedy qochaiin oteey qoty	[Grad-/Maßwert III; schwach]; [Rohstoffklasse I; schwach]; [olkeedain:?]; kalter Ansatz am Ende des Grades; [sheeol:?]; [heiß am Ende des Grades, abgeschlossen; schwach]; [qochaiin:?]; kalter Ansatz am Ende des Grades; [kalt am Anfang des Grades; schwach]	[Grad-/Maßwert III; schwach]; [Rohstoffklasse I; schwach]; [olkeedain:?]; kalter Ansatz am Ende des Grades; behandelter Stoff im Endzustand; feucht gegen trocken offen; [heiß am Ende des Grades, abgeschlossen; schwach]; [qochaiin:?]; kalter Ansatz am Ende des Grades; [kalt am Anfang des Grades; schwach]	0	0
G747-L025	f113r	f113r.1	1	12	1	chetar	1	1	2	1	3	7	0	0.167	L0_NO_LOCAL_W23_SUPPORT:1	0	pches chy ypcheedy fchdy chetar qopchedaiin oteey oty lkchy chodain alar chedy	[pches:?]; [trocken am Anfang des Grades; schwach]; [ypcheedy:?]; [fchdy:?]; [chetar:?]; [qopchedaiin:?]; kalter Ansatz am Ende des Grades; [kalter Ansatz am Anfang des Grades; schwach]; [lkchy:?]; [chodain:?]; [alar:?]; [trocken in der Mitte des Grades, abgeschlossen; schwach]	[pches:?]; [trocken am Anfang des Grades; schwach]; [ypcheedy:?]; [fchdy:?]; trockene Fraktion; Mittelstufe wahrscheinlich; [qopchedaiin:?]; kalter Ansatz am Ende des Grades; [kalter Ansatz am Anfang des Grades; schwach]; [lkchy:?]; [chodain:?]; [alar:?]; [trocken in der Mitte des Grades, abgeschlossen; schwach]	0	0
G747-L026	f113r	f113r.17	17	13	1	alom	1	6	7	1	6	0	0	0.538	L0_NO_LOCAL_W23_SUPPORT:1	0	dor shar shol qokeey qok chol chedaiin qoky chokain chotar chokar char alom	miss eine Portion Droge ab; angefeuchtete Drogenfraktion I; [feucht; nominal feuchtes Gut/Material; schwach]; heiß am Ende des Grades; [heiß-trockenes Drogenmaterial; schwach]; [trocken; nominal trockenes Gut/Material; schwach]; [abgemessene Trockendroge, Dosis III; schwach]; heiß am Anfang des Grades; erhitze den Trockenansatz auf Stufe II; [abgekühlter trockener Anteil I; schwach]; erste heiß getrocknete Ansatzfraktion; [Trockenfraktion I; schwach]; [alom:?]	miss eine Portion Droge ab; angefeuchtete Drogenfraktion I; [feucht; nominal feuchtes Gut/Material; schwach]; heiß am Ende des Grades; [heiß-trockenes Drogenmaterial; schwach]; [trocken; nominal trockenes Gut/Material; schwach]; [abgemessene Trockendroge, Dosis III; schwach]; heiß am Anfang des Grades; erhitze den Trockenansatz auf Stufe II; [abgekühlter trockener Anteil I; schwach]; erste heiß getrocknete Ansatzfraktion; [Trockenfraktion I; schwach]; Stoff-/Materialform; Maßlesung offen	0	0
G747-L027	f113r	f113r.18	18	11	1	cheeey	1	3	4	1	3	3	1	0.364	L1_SINGLE_WHOLE_LOCAL_SUPPORT:1	1	ycheod cheoaiin chal olkaiin chkaiin cheeey lkeeo aiiin okeedy qokcheey rchedy	[ycheod:?]; [cheoaiin:?]; [Rohstoffklasse I, trocken am Gradanfang; schwach]; [heiße Drogenbasis, Stufe III; schwach]; heiß-trocken, Grad III; [cheeey:?]; [lkeeo:?]; [Menge-/Klassenwert IV; schwach]; heißer Ansatz am Ende des Grades, abgeschlossen; heiß und trocken am Ende des Grades; [rchedy:?]	[ycheod:?]; [cheoaiin:?]; [Rohstoffklasse I, trocken am Gradanfang; schwach]; [heiße Drogenbasis, Stufe III; schwach]; heiß-trocken, Grad III; trockener Zustand; Endbereich wahrscheinlich; [lkeeo:?]; [Menge-/Klassenwert IV; schwach]; heißer Ansatz am Ende des Grades, abgeschlossen; heiß und trocken am Ende des Grades; [rchedy: zurückgehaltene Altidentität]	0	0
G747-L028	f113r	f113r.41	41	10	1	okeeody	0	1	2	1	5	3	0	0.200	L0_NO_LOCAL_W23_SUPPORT:1	0	dsheo oin okaiin cheey taiin lkeechey okain sheey qoees okeeody	[dsheo:?]; bereite einen zweiten Ansatz; [heiß, Grad III, im Ansatzrahmen; schwach]; [trocken am Ende des Grades; schwach]; [kalt, Grad III; schwach]; [lkeechey:?]; [heiß im Zubereitungsrahmen, Grad II; schwach]; [feucht am Ende des Grades; schwach]; [qoees:?]; [okeeody:?]	[dsheo:?]; bereite einen zweiten Ansatz; [heiß, Grad III, im Ansatzrahmen; schwach]; [trocken am Ende des Grades; schwach]; [kalt, Grad III; schwach]; [lkeechey:?]; [heiß im Zubereitungsrahmen, Grad II; schwach]; [feucht am Ende des Grades; schwach]; [qoees:?]; Zubereitung im Endzustand; erhitzt oder ausgekocht wahrscheinlich	0	0
