statement_id	record_unit_id	visible_owner	field_ids	visible_sequence	portable_core_chain	local_register_chain	complete_local_translation_de	revised_event_count	reading_rule	revision_257	revision_260	revision_263	revision_268
H4-S002	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F011	daiin chedy talam	Sollmaß | überführen | verwahren; Schluss	Sollmaß | überführen | verwahren; Schluss	Die Sollmenge überführen und verwahren; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	REWRITTEN	UNCHANGED
H4-S003	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F012	ykaiin cheoar cheeky oldy	Sollportion | Auszug aus der Quelle | länger bearbeiten | fertig	Sollportion | Auszug aus der Quelle | länger bearbeiten | fertig	Eine Sollportion aus dem Quellauszug nehmen, länger bearbeiten und fertigstellen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H4-S004	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	F013	aiin okal oltchy or y orain	Sollmaß | dorthin einsetzen | die laufende Bereitung fortsetzen | Ansatz | dies | Bereitungsanteil	Sollmaß | dorthin einsetzen | die laufende Bereitung fortsetzen | Ansatz | dies | Bereitungsanteil	Das Sollmaß am Ziel einsetzen und aus diesem Ansatz mit dem Bereitungsanteil die Folgezubereitung bilden.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H5-S001	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F014|F015	chochor cho chodaly daiin sho kchol otchor choky dal	Zugabeansatz | EINGABE_ODER_BEDINGUNG | Zugabe am aktuellen Ziel | Sollmaß | EINGABE_ODER_BEDINGUNG | weiter bearbeiten | Folgeansatz | einsetzen | dorthin	Zugabeansatz | weitere Zutat | Zugabe am aktuellen Ziel | Sollmaß | weitere Zutat | weiter bearbeiten | Folgeansatz | einsetzen | dorthin	Einen Zugabeansatz herstellen, die weitere Zutat als Zielzugabe auf Sollmaß bringen, den Folgeansatz weiter bearbeiten, einsetzen und dorthin führen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H5-S002	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F016	schol choy choky cheeckhody	vom vorigen Arbeitsgang nehmen | aktuelle Zutat | einsetzen | auftragen; Schluss	vom vorigen Arbeitsgang nehmen | aktuelle Zutat | einsetzen | auftragen; Schluss	Vom vorigen Ansatz den Zugabeposten nehmen, einsetzen und an der Zielstelle auftragen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H5-S003	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F017	sh cho kchey qokokchy	Stängel | EINGABE_ODER_BEDINGUNG | den laufenden Posten kurz bearbeiten | denselben Posten erneut einsetzen	Stängel | weitere Zutat | den laufenden Posten kurz bearbeiten | denselben Posten erneut einsetzen	Den Stängel und eine weitere Zutat kurz bearbeiten und erneut einsetzen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H5-S004	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F018	okchy chokcheo kchal	den laufenden Posten einsetzen und weiterbearbeiten | Auszug einsetzen | an der Zielstelle bearbeiten	den laufenden Posten einsetzen und weiterbearbeiten | Auszug einsetzen | an der Zielstelle bearbeiten	Weiterbearbeiten, den Auszug einsetzen und an der Zielstelle verteilen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
H5-S005	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F019	sho chokchy kchoar sotodan	EINGABE_ODER_BEDINGUNG | den laufenden Posten einsetzen und weiterbearbeiten | bearbeiteter Quellauszug | zur Folgeanwendung weiterführen	weitere Zutat | den laufenden Posten einsetzen und weiterbearbeiten | bearbeiteter Quellauszug | zur Folgeanwendung weiterführen	Eine weitere Zutat mit dem bearbeiteten Quellauszug weiterbearbeiten und zur Folgeanwendung weiterführen.	0	read portable cores first; insert plant or station objects from owner; expand locally	REWRITTEN	UNCHANGED	UNCHANGED	UNCHANGED
H5-S006	H5	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	F020	otchey keol daiin	das nächste | kurz weiterbearbeiten | Sollmaß	das nächste | kurz weiterbearbeiten | Sollmaß	Zum nächsten Posten wechseln, kurz weiterbearbeiten und auf Sollmaß bringen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S001	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F021	qokedy	kurz einwirken; Schluss	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S002	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F022|F023	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	bemessen | Beckenlauf | dorthin einsetzen | davon | weiter | Portion | weiterer Anteil | dorthin | weiter | Anschluss | Zusatz | derselbe Ansatz | weiter | Kurze Zielpassage | Sollmaß | Langer Zieleinsatz | Sollmaß | durchleiten | überführen; Schluss	Eine Portion ansetzen, den Posten lang einwirken lassen und über den Fortsetzungsweg weitergeben.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	AIR_PATH_CORE
B1-S003	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F024|F025	qol sshkchdy	weiter | übertragen; Schluss	weiter | übertragen; Schluss	Weiterführen und übertragen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	REWRITTEN	UNCHANGED	UNCHANGED	UNCHANGED
B1-S004	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F026	chedy ol shedy	überführen | weiter | kurz absetzen; Schluss	überführen | weiter | kurz absetzen; Schluss	Überführen, weiterführen und kurz absetzen lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S005	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F027	qolchedy	weiterführen; Schluss	weiterführen; Schluss	Weiterführen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S006	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F028	qokain shckhy dl ral	Anteil zugeben | durchleiten | Zusatz | Zielmarke	Anteil zugeben | durchleiten | Zusatz | Zielmarke	Einen Anteil zugeben, durchleiten und den Zusatz an der Zielmarke halten.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S007	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F029	qokchdy	neuen Posten einsetzen; Schluss	neuen Posten einsetzen; Schluss	Einen neuen Posten in die offene Zielstelle einsetzen; Schluss.	1	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	REWRITTEN	UNCHANGED	UNCHANGED
B1-S008	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F030	chey ol cheky ol shedy	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	dies | weiter | kurz wärmen | weiter | kurz absetzen; Schluss	Diesen Posten weiterführen, kurz wärmen, nochmals weiterführen und kurz absetzen lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S009	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F031	qokedy	kurz einwirken; Schluss	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S010	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F032	qokedy	kurz einwirken; Schluss	kurz einwirken; Schluss	Kurz einwirken lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S011	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F033	chckhy qoky	durchleiten | einsetzen	durchleiten | einsetzen	Durch den verbundenen Gang leiten und einsetzen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S012	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F034	lsho qokey lshedy	Waschgang | KURZ_SETZEN | Waschgang; Schluss	Waschgang | kurz einwirken lassen | Waschgang; Schluss	Waschen, kurz einwirken lassen und nochmals waschen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S013	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F035	lshedy	Waschgang; Schluss	Waschgang; Schluss	Einen Waschgang ausführen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S014	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F036	chedy qolky lchedal qol otar	überführen | Weiterweg | Zielabführung | weiter | Folgequelle	überführen | Weiterweg | Zielabführung | weiter | Folgequelle	Überführen, über den Weiterweg an der Zielstelle abführen und zur Folgequelle weitergehen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S015	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F037	ytey okchedy	Kurzteil | vorigen Posten überführen; Schluss	Kurzteil | vorigen Posten überführen; Schluss	Den kurzen Teil aus der eben gesetzten Quelle als vorigen Posten überführen; Schluss.	1	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	REWRITTEN	UNCHANGED	UNCHANGED
B1-S016	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F038	qokal okeey qol cheedy	dorthin einsetzen | LAENGER_SETZEN_ODER_HALTEN | weiter | kurz absetzen; Schluss	dorthin einsetzen | länger einwirken lassen | weiter | kurz absetzen; Schluss	Am Ziel einsetzen, länger einwirken lassen, weiterführen und kurz absetzen lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S017	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F039	sal teol dchdy	dorthin | kurz weiterführen | Transfer; Schluss	dorthin | kurz weiterführen | Transfer; Schluss	Dorthin bringen, kurz weiterführen und übertragen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S018	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F040|F041	ly dsheol oiiin olkeedy	Auffanggefäß | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	Auffanggefäß | Kurzhalt | Arbeitsstufe | lange sammeln; Schluss	Im Auffanggefäß kurz halten, die Arbeitsstufe setzen und länger auffangen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S019	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F042	tedy	kurz absetzen; Schluss	kurz absetzen; Schluss	Kurz absetzen lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S020	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F043	cheky shckhedy	kurz wärmen | durchlassen; Schluss	kurz wärmen | durchlassen; Schluss	Kurz wärmen und durchlassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B1-S021	B1	gemeinsames zweireihiges Figuren-/Beckenfeld	F044	chal	dorthin	dorthin	Dorthin bringen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S001	B2	obere Paarbecken-/Zylinderstation	F045	dchedy	überführen; Schluss	überführen; Schluss	In die obere Paarbeckenstation überführen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S002	B2	obere Paarbecken-/Zylinderstation	F046	qolchedy	weiterführen; Schluss	weiterführen; Schluss	Durch die obere Station weiterführen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S003	B2	obere Paarbecken-/Zylinderstation	F047	qokain dy qokeedy	Anteil zugeben | dies | lange einwirken; Schluss	Anteil zugeben | dies | lange einwirken; Schluss	Einen Anteil zugeben, diesen Posten länger einwirken lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S004	B2	obere Paarbecken-/Zylinderstation	F048|F049	qokal lcheckhy lched qokeey lcheckhedy	dorthin einsetzen | Abführpassage | Abführung | LAENGER_SETZEN_ODER_HALTEN | Trennabzug; Schluss	dorthin einsetzen | Abführpassage | Abführung | länger einwirken lassen | Trennabzug; Schluss	Am Ziel einsetzen, durch die Abführpassage führen, abführen, länger einwirken lassen und getrennt abziehen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S005	B2	obere Paarbecken-/Zylinderstation	F050|F051	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	Zieleinsatz | Sollsammlung | durchleiten | bemessen | bemessen | Fortsetzung vorbereiten | Langwärmen | abziehen; Schluss	Am Ziel einsetzen, bis zum Soll sammeln, durchleiten, am Zeilenübergang einmal bemessen, die Fortsetzung vorbereiten, länger wärmen und abziehen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S006	B2	obere Paarbecken-/Zylinderstation	F052	oteey qokal sheckhy qoky	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	Langfolge | dorthin einsetzen | Kurzpassage | einsetzen	Die lange Folge ausführen, dorthin einsetzen, durch die kurze Passage führen und einsetzen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S007	B2	mittlere linke Geräte-/Inline-Knotenstation	F053	dshedy	Frischwasser zugeben; Schluss	Frischwasser zugeben; Schluss	An der mittleren linken Knotenstation Frischwasser zugeben; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S008	B2	mittlere linke Geräte-/Inline-Knotenstation	F054	sotaiin qokar shedy	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	Folgemaß | Quelleinsatz | kurz absetzen; Schluss	Das Folgemaß aus der Quelle einsetzen und kurz absetzen lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S009	B2	mittlere linke Geräte-/Inline-Knotenstation	F055	solshedy	Folgeabsetzen; Schluss	Folgeabsetzen; Schluss	Den Folgeposten absetzen lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S010	B2	mittlere linke Geräte-/Inline-Knotenstation	F056	qokeey qoky ls cheey	LAENGER_SETZEN_ODER_HALTEN | einsetzen | Auslass | Klarlauf	länger einwirken lassen | einsetzen | Auslass | Klarlauf	Länger einwirken lassen, einsetzen und den klaren Auszug zum Auslass führen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S011	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	F057	okain char okain qokeedy	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	Anteil zugeben | davon | Anteil zugeben | lange einwirken; Schluss	An der mittleren rechten Station einen Anteil zugeben, davon einen weiteren Anteil nehmen und länger einwirken lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S012	B2	ungelöste mittlere rechte Linie-/Liegepodeststation	F058|F059	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Abführgut | Klarlauf | kurz vorbereiten | LAENGER_SETZEN_ODER_HALTEN | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	Abführgut | Klarlauf | kurz vorbereiten | länger einwirken lassen | Klarabzug | Sollmaß | dies | Volleinsatz; Schluss	Das Abführgut als klaren Auszug kurz vorbereiten, länger einwirken lassen, klar abziehen, auf Sollmaß bringen und den aktuellen Posten vollständig einsetzen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S013	B2	unteres grünes Mehrfigurenfeld	F060	lchedy	abführen; Schluss	abführen; Schluss	In das untere grüne Mehrfigurenfeld abführen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S014	B2	unteres grünes Mehrfigurenfeld	F061	lar	Quellabzug	Quellabzug	Aus der Quelle abziehen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S015	B2	lokale Randstationen des unteren Feldes	F062	tshey qokeedy	Folgeklarlauf | lange einwirken; Schluss	Folgeklarlauf | lange einwirken; Schluss	An der lokalen Randstation den Folgeklarlauf länger einwirken lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S016	B2	lokale Randstationen des unteren Feldes	F063|F064	cheal lchedar ches aiin oteey qokaiin okey pchedy	dorthin | Quellabführung | teilen | Sollmaß | Langfolge | bemessen | KURZ_SETZEN | Zuführung; Schluss	dorthin | Quellabführung | teilen | Sollmaß | Langfolge | bemessen | kurz einwirken lassen | Zuführung; Schluss	Dorthin führen, aus der Quelle abführen, teilen, auf Sollmaß bringen, die lange Folge bemessen, kurz einwirken lassen und zuführen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S017	B2	lokale Randstationen des unteren Feldes	F065	rsheal daldy	Kurzhalt am Ziel | Zielschluss	Kurzhalt am Ziel | Zielschluss	Am Ziel kurz halten und den Zielschritt schließen.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S018	B2	lokale Randstationen des unteren Feldes	F066	qokeedy	lange einwirken; Schluss	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S019	B2	lokale Randstationen des unteren Feldes	F067	rshedy	Vollwaschung; Schluss	Vollwaschung; Schluss	Eine Vollwaschung ausführen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S020	B2	lokale Randstationen des unteren Feldes	F068	qoteedy	lange Folgestufe; Schluss	lange Folgestufe; Schluss	Die folgende Stufe länger halten; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S021	B2	lokale Randstationen des unteren Feldes	F069	qokeedy	lange einwirken; Schluss	lange einwirken; Schluss	Länger einwirken lassen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B2-S022	B2	lokale Randstationen des unteren Feldes	F070	lochedy	Abführung; Schluss	Abführung; Schluss	Abführen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B3-S001	B3	obere offene Fächer-Randstation	F071	olkeedy	lange sammeln; Schluss	lange sammeln; Schluss	An der oberen offenen Randstation länger auffangen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B3-S002	B3	obere offene Fächer-Randstation	F072	qotal chkeedy	danach dorthin | Langwärmen; Schluss	danach dorthin | Langwärmen; Schluss	Danach zur nächsten Stelle führen und dort länger erwärmen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
B3-S003	B3	obere offene Fächer-Randstation	F073	chey daiin chey lchedy	dies | Sollmaß | dies | abführen; Schluss	dies | Sollmaß | dies | abführen; Schluss	Diesen Posten auf Sollmaß bringen und abführen; Schluss.	0	read portable cores first; insert plant or station objects from owner; expand locally	UNCHANGED	UNCHANGED	UNCHANGED	UNCHANGED
