deck_order	component_id	component_tier	short_value_de	learning_rule	support_card_ids	support_event_count	licensing_scope	revision_268
17	OR	SHARED_PRODUCTIVE	ANSATZ	den aktuell bereiteten Ansatz oder Bedingungssatz halten	MC080	17	shared across the selected prose registers	UNCHANGED
18	HO	SHARED_PRODUCTIVE	ZUTAT	eine weitere Zutat oder einen Materialteil einsetzen	MC034	11	shared across the selected prose registers	UNCHANGED
19	CHEO	SHARED_PRODUCTIVE	AUSZUG	einen gewonnenen Auszug bezeichnen	MC006	4	shared across the selected prose registers	UNCHANGED
20	AIR	SHARED_PRODUCTIVE	LAUF_ODER_BAHN	mark a running path; locally water flow, basin flow, ring path or pointer path	MC014	5	shared across prose wet-work and Astro path labels	LIQUID_TO_ABSTRACT_PATH
21	CHED	SHARED_PRODUCTIVE	ÜBERFÜHREN	Material von einer Station in die nächste bringen	MC074	40	shared across the selected prose registers	UNCHANGED
22	CHD	SHARED_PRODUCTIVE	ÜBERFÜHREN	kurze Allomorphie derselben Transferhandlung	MC074	18	shared across the selected prose registers	UNCHANGED
23	CTH	SHARED_PRODUCTIVE	BEREIT	einen Posten als vorbereitet oder bereit setzen	MC161	16	shared across the selected prose registers	UNCHANGED
24	SHED	SHARED_PRODUCTIVE	ABSETZEN	ruhen und sich absetzen lassen	MC128	17	shared across the selected prose registers	UNCHANGED
25	CHK	SHARED_PRODUCTIVE	WÄRMEN	den Posten erwärmen oder warm halten	MC147	7	shared across the selected prose registers	UNCHANGED
26	CKH	SHARED_PRODUCTIVE	DURCHLASS	durch einen Gang oder eine Passage führen	MC035	9	shared across the selected prose registers	UNCHANGED
27	CKHE	SHARED_PRODUCTIVE	SEIHEN	durch einen trennenden Durchlass führen	MC143	4	shared across the selected prose registers	UNCHANGED
28	SOLK	SHARED_PRODUCTIVE	SAMMELN	an einer lokalen Sammel- oder Auffangstelle halten	MC045	6	shared across the selected prose registers	UNCHANGED
29	LSH	SHARED_PRODUCTIVE	WASCHEN	einen Wasch- oder Spülgang ausführen	MC038	3	shared across the selected prose registers	UNCHANGED
30	TY	SHARED_PRODUCTIVE	TEIL	einen Materialteil oder Rest bezeichnen	MC086	6	shared across the selected prose registers	UNCHANGED
31	CHO_INPUT	LICENSED_LOCAL_CORE	EINGABE	input or condition card in the cross-register slot	MC034|MC136	5	only in the listed card constructions	UNCHANGED
32	O_WITHDRAW	LICENSED_LOCAL_CORE	ZURUECKNEHMEN	licensed only inside the ODY terminal card	MC100	1	only in the listed card constructions	UNCHANGED
33	OS_RECEIVER	LICENSED_LOCAL_CORE	AUFNAHME	receiving or enclosing work field	MC159	1	only in the listed card constructions	UNCHANGED
34	CH_POUR	LICENSED_LOCAL_CORE	ZUGIESSEN	pour the running medium into the active preparation	MC014	1	only in the listed card constructions	UNCHANGED
35	TCH_PREPARATION	LICENSED_LOCAL_CORE	BEREITUNG	name the active preparation inside an OL continuation frame	MC021	1	only in the listed card constructions	UNCHANGED
36	OYK_VESSEL	LICENSED_LOCAL_CORE	GEFAESS	name the vessel carrying the active batch	MC027	1	only in the listed card constructions	UNCHANGED
37	K_BINDER	LICENSED_LOCAL_CORE	ARGUMENTBINDER	bind Y to a portion grade or CHO to a source	MC047|MC136|MC148|MC170	4	only in the listed card constructions	UNCHANGED
38	YTY_PART	LICENSED_LOCAL_CORE	FOLGETEIL	name the selected additive or following part	MC062|MC069	2	only in the listed card constructions	UNCHANGED
39	SHFY_DURATION	LICENSED_LOCAL_CORE	STEHZEIT	turn the prescribed value into a standing duration	MC111	1	only in the listed card constructions	UNCHANGED
40	D_PREVIOUS	LICENSED_LOCAL_CORE	VORIGER	take the continuation from the previous working step	MC142	2	only in the listed card constructions	UNCHANGED
