statement_id	register	record_unit_id	page	statement_events	selected_motifs	motif_events	residual_events	residual_spans	residual_event_ids	strategy	local_deck_item	complete_expansion_de
H4-S002	HERBAL	H4	f55v	3	NONE	0	3	1	E061|E062|E063	ONE_LOCAL_RESIDUAL	X:H4-S002	Quelle [RECORD_INHERITED]: zweite Teilportion von Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: Sollmaß; zweite Teilportion vom Pflanzenmaterial umsetzen; verwahren.
H4-S003	HERBAL	H4	f55v	4	M02	3	1	1	E067	SHARED_RESIDUAL_MINI_FORM	R02	Quelle [EXPLICIT]: Auszug aus der Quelle; Menge/Stufe [EXPLICIT]: zweite Teilportion vom Pflanzenmaterial auf Sollmaß zuführen; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [LOCAL_EXEMPLAR]: örtlich gelernte, nicht sichtbare Zielstelle. Handlung: zweite Teilportion vom Pflanzenmaterial auf Sollmaß zuführen; Auszug aus der Quelle; zweite Teilportion vom Pflanzenmaterial länger wärmen; fortsetzen; Schluss.
H4-S004	HERBAL	H4	f55v	6	M09|M06	4	2	2	E068||E071	KEEP_WHOLE_LOCAL_FORM	W:H4-S004	Quelle [RECORD_INHERITED]: zweite Teilportion von Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Sollmaß | Stoffportion des Ansatzes; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: an die Zielstelle „breitblättrige Rispenpflanze mit auffälligem Wurzelkörper“ setzen. Handlung: Sollmaß; an die Zielstelle „breitblättrige Rispenpflanze mit auffälligem Wurzelkörper“ setzen; zweite Teilportion vom Pflanzenmaterial weiter füllen; Ansatz; laufender Pflanzenansatz; Stoffportion des Ansatzes.
H5-S001	HERBAL	H5	f56r	9	M06	2	7	2	E074|E075||E078|E079|E080|E081|E082	KEEP_WHOLE_LOCAL_FORM	W:H5-S001	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: diese Zutat an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ | Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“. Handlung: Zutat aus dem Ansatz abziehen; Zutat; diese Zutat an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“; Sollmaß; Zutat; weiter zuführen; danach Ansatz abziehen; verwende den laufenden Pflanzenansatz; Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“.
H5-S002	HERBAL	H5	f56r	4	NONE	0	4	1	E083|E084|E085|E086	ONE_LOCAL_RESIDUAL	X:H5-S002	Quelle [RECORD_INHERITED]: laufender Pflanzenansatz; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [RECORD_INHERITED]: diese Zutat an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ | Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“. Handlung: fortsetzen; diese Zutat; verwende Zugabe; länger durch den Durchlass; Schluss.
H5-S003	HERBAL	H5	f56r	4	NONE	0	4	1	E087|E088|E089|E090	ONE_LOCAL_RESIDUAL	X:H5-S003	Quelle [RECORD_INHERITED]: Zugabe; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: halten; Zutat; Zugabe kurz zuführen; Zugabe erneut ansetzen.
H5-S004	HERBAL	H5	f56r	3	NONE	0	3	1	E091|E092|E093	ONE_LOCAL_RESIDUAL	X:H5-S004	Quelle [RECORD_INHERITED]: Zugabe; Menge/Stufe [NOT_REQUIRED]: —; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ zuführen. Handlung: Zugabe ansetzen; Auszug ansetzen; an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ zuführen.
H5-S005	HERBAL	H5	f56r	4	M06	2	2	1	E094|E095	ONE_LOCAL_RESIDUAL	X:H5-S005	Quelle [EXPLICIT]: Zutat aus dem Vorrat zuführen; Menge/Stufe [EXPLICIT]: danach eine Stoffportion; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [RECORD_INHERITED]: an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ zuführen. Handlung: Zutat; Zugabe ansetzen; Zutat aus dem Vorrat zuführen; danach eine Stoffportion.
H5-S006	HERBAL	H5	f56r	3	NONE	0	3	1	E098|E099|E100	ONE_LOCAL_RESIDUAL	X:H5-S006	Quelle [RECORD_INHERITED]: Teilportion von Zugabe; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: nächster Posten; kurz weiter zuführen; Sollmaß.
B1-S002	BIOLOGICAL	B1	f81v	19	M04|M07|M04|M07|M04	13	6	3	E104||E110|E111||E115|E116|E117	KEEP_WHOLE_LOCAL_FORM	W:B1-S002	Quelle [EXPLICIT]: aus der Arbeitsflüssigkeit; Menge/Stufe [EXPLICIT]: Sollmaß setzen | eine Stoffportion | weitere Stoffportion | Sollmaß | Sollmaß; Lauf [EXPLICIT]: Flüssigkeit in den Lauf geben; Ziel [EXPLICIT]: an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen | Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ | kurz an der Durchgangsstelle bei „gemeinsame zweireihige Figuren- und Beckenanlage“ | länger bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ halten. Handlung: Sollmaß setzen; Flüssigkeit in den Lauf geben; an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen; aus der Arbeitsflüssigkeit; fortsetzen; eine Stoffportion; weitere Stoffportion; Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“; fortsetzen; weiter abkühlen; weiterführen; weiterer Ansatz; fortsetzen; kurz an der Durchgangsstelle bei „gemeinsame zweireihige Figuren- und Beckenanlage“; Sollmaß; länger bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ halten; Sollmaß; durchführen; umsetzen; Schluss.
B1-S004	BIOLOGICAL	B1	f81v	3	M07	2	1	1	E125	SHARED_RESIDUAL_MINI_FORM	R03	Quelle [RECORD_INHERITED]: laufender Stationsansatz; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei gemeinsame zweireihige Figuren- und Beckenanlage; Ziel [OWNER_VISIBLE]: gemeinsame zweireihige Figuren- und Beckenanlage. Handlung: laufender Stationsansatz umsetzen; fortsetzen; absetzen; Schluss.
B1-S006	BIOLOGICAL	B1	f81v	4	M04	3	1	1	E130	ONE_LOCAL_RESIDUAL	X:B1-S006	Quelle [RECORD_INHERITED]: laufender Stationsansatz; Menge/Stufe [EXPLICIT]: eine Stoffportion zugeben; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei gemeinsame zweireihige Figuren- und Beckenanlage; Ziel [EXPLICIT]: bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ abkühlen. Handlung: eine Stoffportion zugeben; durchführen; weiterführen; bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ abkühlen.
B1-S008	BIOLOGICAL	B1	f81v	5	M07	2	3	1	E134|E135|E136	ONE_LOCAL_RESIDUAL	X:B1-S008	Quelle [RECORD_INHERITED]: laufender Stationsansatz; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei gemeinsame zweireihige Figuren- und Beckenanlage; Ziel [OWNER_VISIBLE]: gemeinsame zweireihige Figuren- und Beckenanlage. Handlung: laufender Stationsansatz; fortsetzen; kurz wärmen; fortsetzen; absetzen; Schluss.
B1-S011	BIOLOGICAL	B1	f81v	2	NONE	0	2	1	E139|E140	ONE_LOCAL_RESIDUAL	X:B1-S011	Quelle [RECORD_INHERITED]: laufender Stationsansatz; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei gemeinsame zweireihige Figuren- und Beckenanlage; Ziel [OWNER_VISIBLE]: gemeinsame zweireihige Figuren- und Beckenanlage. Handlung: durchführen; verwende den laufenden Stationsansatz.
B1-S014	BIOLOGICAL	B1	f81v	5	M03	3	2	1	E145|E146	ONE_LOCAL_RESIDUAL	X:B1-S014	Quelle [EXPLICIT]: danach von aufgefangener Bestand des laufender Stationsansatz; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei gemeinsame zweireihige Figuren- und Beckenanlage; Ziel [EXPLICIT]: zum Auslass führen. Handlung: laufender Stationsansatz umsetzen; laufender Stationsansatz auffangen; zum Auslass führen; fortsetzen; danach von aufgefangener Bestand des laufender Stationsansatz.
B1-S015	BIOLOGICAL	B1	f81v	2	NONE	0	2	1	E150|E151	ONE_LOCAL_RESIDUAL	X:B1-S015	Quelle [RECORD_INHERITED]: aufgefangener Bestand des laufender Stationsansatz; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei gemeinsame zweireihige Figuren- und Beckenanlage; Ziel [OWNER_VISIBLE]: gemeinsame zweireihige Figuren- und Beckenanlage. Handlung: aufgefangener Bestand des laufender Stationsansatz kurz füllen; Ansatz umsetzen; Schluss.
B1-S016	BIOLOGICAL	B1	f81v	4	NONE	0	4	1	E152|E153|E154|E155	ONE_LOCAL_RESIDUAL	X:B1-S016	Quelle [RECORD_INHERITED]: laufender Stationsansatz; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [EXPLICIT]: an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen. Handlung: an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen; länger ansetzen; fortsetzen; absetzen; Schluss.
B1-S017	BIOLOGICAL	B1	f81v	3	NONE	0	3	1	E156|E157|E158	ONE_LOCAL_RESIDUAL	X:B1-S017	Quelle [RECORD_INHERITED]: laufender Stationsansatz; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei gemeinsame zweireihige Figuren- und Beckenanlage; Ziel [EXPLICIT]: Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“. Handlung: Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“; kurz fortsetzen; umsetzen; Schluss.
B1-S018	BIOLOGICAL	B1	f81v	4	NONE	0	4	1	E159|E160|E161|E162	ONE_LOCAL_RESIDUAL	X:B1-S018	Quelle [RECORD_INHERITED]: laufender Stationsansatz; Menge/Stufe [EXPLICIT]: Sollstufe; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei gemeinsame zweireihige Figuren- und Beckenanlage; Ziel [OWNER_VISIBLE]: gemeinsame zweireihige Figuren- und Beckenanlage. Handlung: laufender Stationsansatz führen; kurz halten; Sollstufe; länger auffangen; Schluss.
B1-S021	BIOLOGICAL	B1	f81v	1	NONE	0	1	1	E166	ONE_LOCAL_RESIDUAL	X:B1-S021	Quelle [RECORD_INHERITED]: aufgefangener Bestand des laufender Stationsansatz; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei gemeinsame zweireihige Figuren- und Beckenanlage; Ziel [EXPLICIT]: Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“. Handlung: Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“.
B2-S001	BIOLOGICAL	B2	f82r	1	NONE	0	1	1	E167	ONE_LOCAL_RESIDUAL	X:B2-S001	Quelle [OWNER_VISIBLE]: obere Beckenflüssigkeit; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei obere Doppelbecken mit Zylinderstation; Ziel [OWNER_VISIBLE]: obere Doppelbecken mit Zylinderstation. Handlung: umsetzen; Schluss.
B2-S004	BIOLOGICAL	B2	f82r	5	M09	2	3	1	E174|E175|E176	ONE_LOCAL_RESIDUAL	X:B2-S004	Quelle [RECORD_INHERITED]: Teilportion von obere Beckenflüssigkeit; Menge/Stufe [RECORD_INHERITED]: eine Stoffportion zugeben; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei obere Doppelbecken mit Zylinderstation; Ziel [EXPLICIT]: an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen. Handlung: an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen; Teilportion von obere Beckenflüssigkeit zum Durchlass führen; hinausführen; länger ansetzen; hinaus seihen; Schluss.
B2-S005	BIOLOGICAL	B2	f82r	8	M09|M06|M04	7	1	1	E182	ONE_LOCAL_RESIDUAL	X:B2-S005	Quelle [RECORD_INHERITED]: Teilportion von obere Beckenflüssigkeit; Menge/Stufe [EXPLICIT]: Auffang-Sollmaß | Sollmaß setzen | Sollmaß setzen; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei obere Doppelbecken mit Zylinderstation; Ziel [EXPLICIT]: Teilportion von obere Beckenflüssigkeit an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen. Handlung: Teilportion von obere Beckenflüssigkeit an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen; Auffang-Sollmaß; durchführen; Sollmaß setzen; Sollmaß setzen; kurz bereit fortsetzen; Teilportion von obere Beckenflüssigkeit länger wärmen; abführen; Schluss.
B2-S006	BIOLOGICAL	B2	f82r	4	M09	2	2	2	E185||E188	KEEP_WHOLE_LOCAL_FORM	W:B2-S006	Quelle [RECORD_INHERITED]: Teilportion von obere Beckenflüssigkeit; Menge/Stufe [RECORD_INHERITED]: Auffang-Sollmaß | Sollmaß setzen | Sollmaß setzen; Lauf [NOT_REQUIRED]: —; Ziel [EXPLICIT]: an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen. Handlung: nächsten Posten länger halten; an die Zielstelle „obere Doppelbecken mit Zylinderstation“ setzen; Teilportion von obere Beckenflüssigkeit kurz im Durchlass halten; verwende Teilportion von obere Beckenflüssigkeit.
B2-S008	BIOLOGICAL	B2	f82r	3	M04	2	1	1	E192	SHARED_RESIDUAL_MINI_FORM	R03	Quelle [EXPLICIT]: von Flüssigkeit am Zwischenknoten einsetzen; Menge/Stufe [EXPLICIT]: nächstes Sollmaß; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei mittlere linke Seitenstation mit Zwischenknoten; Ziel [OWNER_VISIBLE]: mittlere linke Seitenstation mit Zwischenknoten. Handlung: nächstes Sollmaß; von Flüssigkeit am Zwischenknoten einsetzen; absetzen; Schluss.
B2-S010	BIOLOGICAL	B2	f82r	4	NONE	0	4	1	E194|E195|E196|E197	ONE_LOCAL_RESIDUAL	X:B2-S010	Quelle [RECORD_INHERITED]: Flüssigkeit am Zwischenknoten; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei mittlere linke Seitenstation mit Zwischenknoten; Ziel [OWNER_VISIBLE]: mittlere linke Seitenstation mit Zwischenknoten. Handlung: länger ansetzen; verwende Flüssigkeit am Zwischenknoten; abführen; EMPFANGSBESTAND.
B2-S012	BIOLOGICAL	B2	f82r	8	NONE	0	8	1	E202|E203|E204|E205|E206|E207|E208|E209	ONE_LOCAL_RESIDUAL	X:B2-S012	Quelle [RECORD_INHERITED]: zweite Teilportion von Posten der Einzelstation; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: zweite Teilportion des Postens der Einzelstation abziehen; EMPFANGSBESTAND; Empfangsbestand kurz bereithalten; länger ansetzen; Empfangsbestand länger abziehen; Sollmaß; Fraktion des Empfangsbestands; vollständig ansetzen; Schluss.
B2-S014	BIOLOGICAL	B2	f82r	1	NONE	0	1	1	E211	ONE_LOCAL_RESIDUAL	X:B2-S014	Quelle [EXPLICIT]: von Fraktion des Empfangsbestands abführen; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: von Fraktion des Empfangsbestands abführen.
B2-S016	BIOLOGICAL	B2	f82r	8	M07|M05|M05	7	1	1	E221	ONE_LOCAL_RESIDUAL	X:B2-S016	Quelle [EXPLICIT]: von Flüssigkeit am Beckenrand hinausführen; Menge/Stufe [EXPLICIT]: Sollmaß | Sollmaß setzen; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei untere Beckenrand- und Endstationen; Ziel [EXPLICIT]: Zielstelle „untere Beckenrand- und Endstationen“. Handlung: Zielstelle „untere Beckenrand- und Endstationen“; von Flüssigkeit am Beckenrand hinausführen; teilen; Sollmaß; nächsten Posten länger halten; Sollmaß setzen; kurz ansetzen; hineinführen; Schluss.
B2-S017	BIOLOGICAL	B2	f82r	2	NONE	0	2	1	E222|E223	ONE_LOCAL_RESIDUAL	X:B2-S017	Quelle [RECORD_INHERITED]: Flüssigkeit am Beckenrand; Menge/Stufe [NOT_REQUIRED]: —; Lauf [OWNER_VISIBLE]: sichtbarer lokaler Lauf bei untere Beckenrand- und Endstationen; Ziel [EXPLICIT]: bei der Zielstelle „untere Beckenrand- und Endstationen“ kurz abkühlen | bei der Zielstelle „untere Beckenrand- und Endstationen“ schließen. Handlung: bei der Zielstelle „untere Beckenrand- und Endstationen“ kurz abkühlen; bei der Zielstelle „untere Beckenrand- und Endstationen“ schließen.
B3-S001	BIOLOGICAL	B3	f83r	1	NONE	0	1	1	E229	ONE_LOCAL_RESIDUAL	X:B3-S001	Quelle [OWNER_VISIBLE]: Gut der Fächerstation; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [NOT_REQUIRED]: —. Handlung: länger auffangen; Schluss.
B3-S002	BIOLOGICAL	B3	f83r	2	NONE	0	2	1	E230|E231	ONE_LOCAL_RESIDUAL	X:B3-S002	Quelle [RECORD_INHERITED]: aufgefangener Bestand des Gut der Fächerstation; Menge/Stufe [NOT_REQUIRED]: —; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: nächste Zielstelle bei „obere offene Fächerstation am Rand“. Handlung: nächste Zielstelle bei „obere offene Fächerstation am Rand“; länger wärmen; Schluss.
B3-S003	BIOLOGICAL	B3	f83r	4	NONE	0	4	1	E232|E233|E234|E235	ONE_LOCAL_RESIDUAL	X:B3-S003	Quelle [RECORD_INHERITED]: aufgefangener Bestand des Gut der Fächerstation; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [OWNER_VISIBLE]: obere offene Fächerstation am Rand. Handlung: aufgefangener Bestand des Gut der Fächerstation; Sollmaß; aufgefangener Bestand des Gut der Fächerstation; hinausführen; Schluss.
B3-S004	BIOLOGICAL	B3	f83r	3	M04	3	0	0	NONE	MOTIFS_ONLY	NONE	Quelle [EXPLICIT]: von aufgefangener Bestand des Gut der Fächerstation; Menge/Stufe [EXPLICIT]: Sollmaß setzen; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: nächste Zielstelle bei „obere offene Fächerstation am Rand“. Handlung: Sollmaß setzen; nächste Zielstelle bei „obere offene Fächerstation am Rand“; von aufgefangener Bestand des Gut der Fächerstation.
B3-S006	BIOLOGICAL	B3	f83r	3	NONE	0	3	1	E240|E241|E242	ONE_LOCAL_RESIDUAL	X:B3-S006	Quelle [RECORD_INHERITED]: Gefäßflüssigkeit; Menge/Stufe [NOT_REQUIRED]: —; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: an die Zielstelle „mittlere runde Gefäßstation am Rand“ setzen. Handlung: Gefäßflüssigkeit umsetzen; an die Zielstelle „mittlere runde Gefäßstation am Rand“ setzen; weiterführen; Schluss.
B3-S007	BIOLOGICAL	B3	f83r	3	M04	2	1	1	E245	ONE_LOCAL_RESIDUAL	X:B3-S007	Quelle [RECORD_INHERITED]: Gefäßflüssigkeit; Menge/Stufe [EXPLICIT]: Sollmaß setzen; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [OWNER_VISIBLE]: mittlere runde Gefäßstation am Rand. Handlung: Sollmaß setzen; Gefäßflüssigkeit umsetzen; länger ansetzen; Schluss.
B3-S009	BIOLOGICAL	B3	f83r	1	NONE	0	1	1	E247	SHARED_RESIDUAL_MINI_FORM	R01	Quelle [RECORD_INHERITED]: Gefäßflüssigkeit; Menge/Stufe [NOT_REQUIRED]: —; Lauf [NOT_REQUIRED]: —; Ziel [OWNER_VISIBLE]: mittlere runde Gefäßstation am Rand. Handlung: verwende Gefäßflüssigkeit.
B3-S010	BIOLOGICAL	B3	f83r	2	NONE	0	2	1	E248|E249	ONE_LOCAL_RESIDUAL	X:B3-S010	Quelle [OWNER_VISIBLE]: Gut im Korbgefäß; Menge/Stufe [NOT_REQUIRED]: —; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: bei der Zielstelle „untere Korb- oder Gefäßstation am Rand“ hineinführen. Handlung: bei der Zielstelle „untere Korb- oder Gefäßstation am Rand“ hineinführen; kurzer Folgeschritt; Schluss.
