local_item_id	kind	component_or_statement_pattern	events_to_memorize	statement_ids	teaching_text_de
W:H3-S001	KEEP_WHOLE_LOCAL_FORM	HOLD>APPLY>PREPARE>MEASURE>MOVE>COLLECT>CLOSE	7	H3-S001	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Pflanzenmaterial bis zum Sollmaß halten; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten. Handlung: weiter gefüllt halten; bei der Zielstelle „dicht beblätterte Pflanze mit blauer Blütenkrone“ halten; auswringen; Pflanzenmaterial bis zum Sollmaß halten; Pflanzenmaterial hineinführen; EMPFANGSBESTAND; füllen und abziehen; Schluss.
W:H4-S004	KEEP_WHOLE_LOCAL_FORM	MEASURE>APPLY>MEASURE>PREPARE>MOVE>MEASURE	6	H4-S004	Quelle [RECORD_INHERITED]: zweite Teilportion von Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Sollmaß | Stoffportion des Ansatzes; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: an die Zielstelle „breitblättrige Rispenpflanze mit auffälligem Wurzelkörper“ setzen. Handlung: Sollmaß; an die Zielstelle „breitblättrige Rispenpflanze mit auffälligem Wurzelkörper“ setzen; zweite Teilportion vom Pflanzenmaterial weiter füllen; Ansatz; laufender Pflanzenansatz; Stoffportion des Ansatzes.
W:H5-S001	KEEP_WHOLE_LOCAL_FORM	COLLECT>SELECT>MOVE>MEASURE>SELECT>MOVE>COLLECT>APPLY>MOVE	9	H5-S001	Quelle [OWNER_VISIBLE]: Pflanzenmaterial; Menge/Stufe [EXPLICIT]: Sollmaß; Lauf [LOCAL_EXEMPLAR]: lokal gelernter Transferweg; Ziel [EXPLICIT]: diese Zutat an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ | Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“. Handlung: Zutat aus dem Ansatz abziehen; Zutat; diese Zutat an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“; Sollmaß; Zutat; weiter zuführen; danach Ansatz abziehen; verwende den laufenden Pflanzenansatz; Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“.
X:B1-S006	ONE_LOCAL_RESIDUAL	R+AL	1	B1-S006	bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ abkühlen
X:B1-S008	ONE_LOCAL_RESIDUAL	CHK+E+Y>OL>SHED+DY	3	B1-S008	kurz wärmen; fortsetzen; absetzen; Schluss
X:B1-S011	ONE_LOCAL_RESIDUAL	CKH+Y>OK+Y	2	B1-S011	durchführen; verwende den laufenden Stationsansatz
X:B1-S014	ONE_LOCAL_RESIDUAL	CHD+Y>SOLK+Y	2	B1-S014	laufender Stationsansatz umsetzen; laufender Stationsansatz auffangen
X:B1-S015	ONE_LOCAL_RESIDUAL	T+E+Y>OK+CHD+DY	2	B1-S015	aufgefangener Bestand des laufender Stationsansatz kurz füllen; Ansatz umsetzen; Schluss
X:B1-S016	ONE_LOCAL_RESIDUAL	OK+AL>OK+EE+Y>OL>SHED+DY	4	B1-S016	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen; länger ansetzen; fortsetzen; absetzen; Schluss
X:B1-S017	ONE_LOCAL_RESIDUAL	AL>E+OL>CHD+DY	3	B1-S017	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“; kurz fortsetzen; umsetzen; Schluss
X:B1-S018	ONE_LOCAL_RESIDUAL	L+Y>SH+E+OL>O+IIN>SOLK+EE+DY	4	B1-S018	laufender Stationsansatz führen; kurz halten; Sollstufe; länger auffangen; Schluss
X:B1-S021	ONE_LOCAL_RESIDUAL	AL	1	B1-S021	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“
X:B2-S001	ONE_LOCAL_RESIDUAL	CHD+DY	1	B2-S001	umsetzen; Schluss
X:B2-S004	ONE_LOCAL_RESIDUAL	L+CHD>OK+EE+Y>L+CKHE+DY	3	B2-S004	hinausführen; länger ansetzen; hinaus seihen; Schluss
X:B2-S005	ONE_LOCAL_RESIDUAL	O+CTH+E+OL	1	B2-S005	kurz bereit fortsetzen
X:B2-S010	ONE_LOCAL_RESIDUAL	OK+EE+Y>OK+Y>LS>WHOLE[cheey|shey]	4	B2-S010	länger ansetzen; verwende Flüssigkeit am Zwischenknoten; abführen; EMPFANGSBESTAND
X:B2-S012	ONE_LOCAL_RESIDUAL	L+CH+Y>WHOLE[cheey|shey]>CTH+E+Y>OK+EE+Y>L+EE+Y>AIIN>Y>OK+EEE+DY	8	B2-S012	zweite Teilportion des Postens der Einzelstation abziehen; EMPFANGSBESTAND; Empfangsbestand kurz bereithalten; länger ansetzen; Empfangsbestand länger abziehen; Sollmaß; Fraktion des Empfangsbestands; vollständig ansetzen; Schluss
X:B2-S014	ONE_LOCAL_RESIDUAL	L+AR	1	B2-S014	von Fraktion des Empfangsbestands abführen
X:B2-S016	ONE_LOCAL_RESIDUAL	P+CHD+DY	1	B2-S016	hineinführen; Schluss
X:B2-S017	ONE_LOCAL_RESIDUAL	R+SH+E+AL>AL+DY	2	B2-S017	bei der Zielstelle „untere Beckenrand- und Endstationen“ kurz abkühlen; bei der Zielstelle „untere Beckenrand- und Endstationen“ schließen
X:B3-S001	ONE_LOCAL_RESIDUAL	SOLK+EE+DY	1	B3-S001	länger auffangen; Schluss
X:B3-S002	ONE_LOCAL_RESIDUAL	OT+AL>CHK+EE+DY	2	B3-S002	nächste Zielstelle bei „obere offene Fächerstation am Rand“; länger wärmen; Schluss
X:B3-S003	ONE_LOCAL_RESIDUAL	Y>AIIN>Y>L+CHD+DY	4	B3-S003	aufgefangener Bestand des Gut der Fächerstation; Sollmaß; aufgefangener Bestand des Gut der Fächerstation; hinausführen; Schluss
X:B3-S006	ONE_LOCAL_RESIDUAL	CHD+Y>OK+AL>OL+CHD+DY	3	B3-S006	Gefäßflüssigkeit umsetzen; an die Zielstelle „mittlere runde Gefäßstation am Rand“ setzen; weiterführen; Schluss
X:B3-S007	ONE_LOCAL_RESIDUAL	OK+EE+DY	1	B3-S007	länger ansetzen; Schluss
X:B3-S010	ONE_LOCAL_RESIDUAL	P+CHD+AL>OT+E+DY	2	B3-S010	bei der Zielstelle „untere Korb- oder Gefäßstation am Rand“ hineinführen; kurzer Folgeschritt; Schluss
X:B3-S011	ONE_LOCAL_RESIDUAL	SH+E+CTH+CHD+Y>OK+Y>CHD+Y>AR+Y	4	B3-S011	Gut im Korbgefäß kurz bereit umsetzen; verwende Gut im Korbgefäß; Gut im Korbgefäß umsetzen; Gut im Korbgefäß aus der Quelle nehmen
X:B3-S014	ONE_LOCAL_RESIDUAL	OK+AIR>SH+EE+DY	2	B3-S014	Flüssigkeitslauf eröffnen; länger absetzen; Schluss
X:B3-S020	ONE_LOCAL_RESIDUAL	AL>L+CHD+DY	2	B3-S020	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“; hinausführen; Schluss
X:B3-S034	ONE_LOCAL_RESIDUAL	O+IIN>CTH+Y>T+Y>OT+AIIN>OL+AL+Y>SHED+DY	6	B3-S034	Sollstufe; bereit; Teilportion aus der Arbeitsflüssigkeit füllen; nächstes Sollmaß; Teilportion aus der Arbeitsflüssigkeit bei der Zielstelle „durch einen Bogen verbundenes Hauptpaar“ fortsetzen; absetzen; Schluss
X:B4-S002	ONE_LOCAL_RESIDUAL	OL+Y>OK+EE+Y>OK+E+DY	3	B4-S002	Flüssigkeit des Hauptpaares weiterführen; länger ansetzen; kurz ansetzen; Schluss
X:B4-S003	ONE_LOCAL_RESIDUAL	CHD+Y>OT+AL>OT+Y>OK+EE+Y>OK+Y>OL>SHED+DY	7	B4-S003	Flüssigkeit des Hauptpaares umsetzen; nächste Zielstelle bei „durch einen Bogen verbundenes Hauptpaar“; nächster Posten; länger ansetzen; verwende nächster Arbeitsposten; fortsetzen; absetzen; Schluss
X:B4-S004	ONE_LOCAL_RESIDUAL	OK+Y+LDDY	1	B4-S004	nächster Arbeitsposten befestigen; Schluss
X:B4-S011	ONE_LOCAL_RESIDUAL	OK+AIN>CHD+Y>OL>L+K+E+DY	4	B4-S011	eine Stoffportion zugeben; Teilportion von Gut der Randstation umsetzen; fortsetzen; kurz abführen; Schluss
X:B4-S014	ONE_LOCAL_RESIDUAL	OR>Y>O+CKH+E+Y>AIR+Y+DY	4	B4-S014	Ansatz; laufender Stationsansatz; laufender Stationsansatz kurz durchführen; Flüssigkeitslauf schließen
X:B5-S003	ONE_LOCAL_RESIDUAL	SHED+AL	1	B5-S003	bei der Zielstelle „linke offene Randstation des Nachtrags“ absetzen
X:B6-S001	ONE_LOCAL_RESIDUAL	SOLK+EE+Y>E+K+E+Y>R+AL+Y	3	B6-S001	länger auffangen; aufgefangener Bestand der rechten Nachtragsflüssigkeit kurz zuführen; aufgefangener Bestand der rechten Nachtragsflüssigkeit abkühlen
X:H1-S002	ONE_LOCAL_RESIDUAL	OK+Y>OT+CH+OL>OL>CTH+Y	4	H1-S002	abgezogene Flüssigkeitsfraktion ansetzen; danach weiter abziehen; fortsetzen; bereit
X:H2-S002	ONE_LOCAL_RESIDUAL	OT+CH+OR>OR>OT+OL	3	H2-S002	danach Ansatz abziehen; Ansatz; danach fortsetzen
X:H3-S002	ONE_LOCAL_RESIDUAL	SH+O+Y+T+Y	1	H3-S002	Fraktion des Empfangsbestands halten und füllen
X:H3-S003	ONE_LOCAL_RESIDUAL	OL>Y>K+Y>Y>AIIN	5	H3-S003	fortsetzen; Fraktion des Empfangsbestands; Fraktion des Empfangsbestands zuführen; Fraktion des Empfangsbestands; Sollmaß
X:H3-S004	ONE_LOCAL_RESIDUAL	OT+Y>OK+OL>CTH+Y>Y	4	H3-S004	nächster Posten; weiter ansetzen; bereit; nächster Arbeitsposten
X:H4-S001	ONE_LOCAL_RESIDUAL	OK+AIIN>AIIN>Y+K+AIN>Y+K+AIN>O+DY	5	H4-S001	Sollmaß setzen; Sollmaß; eine Stoffportion davon zuführen; eine Stoffportion davon zuführen; Arbeitsgang abschließen
X:H4-S002	ONE_LOCAL_RESIDUAL	AIIN>CHD+Y>TALAM	3	H4-S002	Sollmaß; zweite Teilportion vom Pflanzenmaterial umsetzen; verwahren
X:H5-S002	ONE_LOCAL_RESIDUAL	OL>HO+Y>OK+Y>CH+EE+CKH+O+DY	4	H5-S002	fortsetzen; diese Zutat; verwende Zugabe; länger durch den Durchlass; Schluss
X:H5-S003	ONE_LOCAL_RESIDUAL	SH>HO>K+E+Y>OK+OK+Y	4	H5-S003	halten; Zutat; Zugabe kurz zuführen; Zugabe erneut ansetzen
X:H5-S004	ONE_LOCAL_RESIDUAL	OK+Y>OK+CHEO>K+AL	3	H5-S004	Zugabe ansetzen; Auszug ansetzen; an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ zuführen
X:H5-S005	ONE_LOCAL_RESIDUAL	HO>OK+Y	2	H5-S005	Zutat; Zugabe ansetzen
X:H5-S006	ONE_LOCAL_RESIDUAL	OT+Y>K+E+OL>AIIN	3	H5-S006	nächster Posten; kurz weiter zuführen; Sollmaß
