residual_span_order	statement_id	span_in_statement	events	event_ids	component_pattern	phase_pattern	reading_de	shared_mini_form
13	H4-S001	1	5	E056|E057|E058|E059|E060	OK+AIIN>AIIN>Y+K+AIN>Y+K+AIN>O+DY	MEASURE>MEASURE>MEASURE>MEASURE>PREPARE	Sollmaß setzen; Sollmaß; eine Stoffportion davon zuführen; eine Stoffportion davon zuführen; Arbeitsgang abschließen	NONE
14	H4-S002	1	3	E061|E062|E063	AIIN>CHD+Y>TALAM	MEASURE>MEASURE>PREPARE	Sollmaß; zweite Teilportion vom Pflanzenmaterial umsetzen; verwahren	NONE
15	H4-S003	1	1	E067	OL+DY	PREPARE	fortsetzen; Schluss	R02
16	H4-S004	1	1	E068	AIIN	MEASURE	Sollmaß	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
17	H4-S004	2	1	E071	OR	PREPARE	Ansatz	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
18	H5-S001	1	2	E074|E075	HO+CH+OR>HO	COLLECT>SELECT	Zutat aus dem Ansatz abziehen; Zutat	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
19	H5-S001	2	5	E078|E079|E080|E081|E082	HO>K+OL>OT+CH+OR>OK+Y>AL	SELECT>MOVE>COLLECT>APPLY>MOVE	Zutat; weiter zuführen; danach Ansatz abziehen; verwende den laufenden Pflanzenansatz; Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
20	H5-S002	1	4	E083|E084|E085|E086	OL>HO+Y>OK+Y>CH+EE+CKH+O+DY	PREPARE>SELECT>APPLY>HOLD	fortsetzen; diese Zutat; verwende Zugabe; länger durch den Durchlass; Schluss	NONE
21	H5-S003	1	4	E087|E088|E089|E090	SH>HO>K+E+Y>OK+OK+Y	HOLD>SELECT>HOLD>SELECT	halten; Zutat; Zugabe kurz zuführen; Zugabe erneut ansetzen	NONE
22	H5-S004	1	3	E091|E092|E093	OK+Y>OK+CHEO>K+AL	SELECT>SELECT>MOVE	Zugabe ansetzen; Auszug ansetzen; an die Zielstelle „mehrköpfige stachelige oder zeichenhaft gezeichnete Pflanze“ zuführen	NONE
23	H5-S005	1	2	E094|E095	HO>OK+Y	SELECT>SELECT	Zutat; Zugabe ansetzen	NONE
24	H5-S006	1	3	E098|E099|E100	OT+Y>K+E+OL>AIIN	SELECT>HOLD>MEASURE	nächster Posten; kurz weiter zuführen; Sollmaß	NONE
25	B1-S002	1	1	E104	OK+AL	APPLY	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
26	B1-S002	2	2	E110|E111	OL>R+OL	PREPARE>HOLD	fortsetzen; weiter abkühlen	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
27	B1-S002	3	3	E115|E116|E117	SH+E+CKH+AL>AIIN>OK+EE+AL	HOLD>MEASURE>APPLY	kurz an der Durchgangsstelle bei „gemeinsame zweireihige Figuren- und Beckenanlage“; Sollmaß; länger bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ halten	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
28	B1-S004	1	1	E125	SHED+DY	HOLD	absetzen; Schluss	R03
29	B1-S006	1	1	E130	R+AL	HOLD	bei der Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ abkühlen	NONE
30	B1-S008	1	3	E134|E135|E136	CHK+E+Y>OL>SHED+DY	HOLD>PREPARE>HOLD	kurz wärmen; fortsetzen; absetzen; Schluss	NONE
31	B1-S011	1	2	E139|E140	CKH+Y>OK+Y	MOVE>APPLY	durchführen; verwende den laufenden Stationsansatz	NONE
32	B1-S014	1	2	E145|E146	CHD+Y>SOLK+Y	MOVE>COLLECT	laufender Stationsansatz umsetzen; laufender Stationsansatz auffangen	NONE
33	B1-S015	1	2	E150|E151	T+E+Y>OK+CHD+DY	HOLD>MOVE	aufgefangener Bestand des laufender Stationsansatz kurz füllen; Ansatz umsetzen; Schluss	NONE
34	B1-S016	1	4	E152|E153|E154|E155	OK+AL>OK+EE+Y>OL>SHED+DY	APPLY>HOLD>PREPARE>HOLD	an die Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“ setzen; länger ansetzen; fortsetzen; absetzen; Schluss	NONE
35	B1-S017	1	3	E156|E157|E158	AL>E+OL>CHD+DY	MOVE>HOLD>MOVE	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“; kurz fortsetzen; umsetzen; Schluss	NONE
36	B1-S018	1	4	E159|E160|E161|E162	L+Y>SH+E+OL>O+IIN>SOLK+EE+DY	MOVE>HOLD>MEASURE>COLLECT	laufender Stationsansatz führen; kurz halten; Sollstufe; länger auffangen; Schluss	NONE
37	B1-S021	1	1	E166	AL	MOVE	Zielstelle „gemeinsame zweireihige Figuren- und Beckenanlage“	NONE
38	B2-S001	1	1	E167	CHD+DY	MOVE	umsetzen; Schluss	NONE
39	B2-S004	1	3	E174|E175|E176	L+CHD>OK+EE+Y>L+CKHE+DY	MOVE>HOLD>MOVE	hinausführen; länger ansetzen; hinaus seihen; Schluss	NONE
40	B2-S005	1	1	E182	O+CTH+E+OL	HOLD	kurz bereit fortsetzen	NONE
41	B2-S006	1	1	E185	OT+EE+Y	HOLD	nächsten Posten länger halten	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
42	B2-S006	2	1	E188	OK+Y	APPLY	verwende Teilportion von obere Beckenflüssigkeit	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
43	B2-S008	1	1	E192	SHED+DY	HOLD	absetzen; Schluss	R03
44	B2-S010	1	4	E194|E195|E196|E197	OK+EE+Y>OK+Y>LS>WHOLE[cheey|shey]	HOLD>APPLY>MOVE>COLLECT	länger ansetzen; verwende Flüssigkeit am Zwischenknoten; abführen; EMPFANGSBESTAND	NONE
45	B2-S012	1	8	E202|E203|E204|E205|E206|E207|E208|E209	L+CH+Y>WHOLE[cheey|shey]>CTH+E+Y>OK+EE+Y>L+EE+Y>AIIN>Y>OK+EEE+DY	MEASURE>COLLECT>COLLECT>HOLD>COLLECT>MEASURE>COLLECT>HOLD	zweite Teilportion des Postens der Einzelstation abziehen; EMPFANGSBESTAND; Empfangsbestand kurz bereithalten; länger ansetzen; Empfangsbestand länger abziehen; Sollmaß; Fraktion des Empfangsbestands; vollständig ansetzen; Schluss	NONE
46	B2-S014	1	1	E211	L+AR	COLLECT	von Fraktion des Empfangsbestands abführen	NONE
47	B2-S016	1	1	E221	P+CHD+DY	MOVE	hineinführen; Schluss	NONE
48	B2-S017	1	2	E222|E223	R+SH+E+AL>AL+DY	HOLD>MOVE	bei der Zielstelle „untere Beckenrand- und Endstationen“ kurz abkühlen; bei der Zielstelle „untere Beckenrand- und Endstationen“ schließen	NONE
49	B3-S001	1	1	E229	SOLK+EE+DY	COLLECT	länger auffangen; Schluss	NONE
50	B3-S002	1	2	E230|E231	OT+AL>CHK+EE+DY	MOVE>HOLD	nächste Zielstelle bei „obere offene Fächerstation am Rand“; länger wärmen; Schluss	NONE
51	B3-S003	1	4	E232|E233|E234|E235	Y>AIIN>Y>L+CHD+DY	SELECT>MEASURE>SELECT>MOVE	aufgefangener Bestand des Gut der Fächerstation; Sollmaß; aufgefangener Bestand des Gut der Fächerstation; hinausführen; Schluss	NONE
52	B3-S006	1	3	E240|E241|E242	CHD+Y>OK+AL>OL+CHD+DY	MOVE>APPLY>MOVE	Gefäßflüssigkeit umsetzen; an die Zielstelle „mittlere runde Gefäßstation am Rand“ setzen; weiterführen; Schluss	NONE
53	B3-S007	1	1	E245	OK+EE+DY	HOLD	länger ansetzen; Schluss	NONE
54	B3-S009	1	1	E247	OK+Y	APPLY	verwende Gefäßflüssigkeit	R01
55	B3-S010	1	2	E248|E249	P+CHD+AL>OT+E+DY	MOVE>HOLD	bei der Zielstelle „untere Korb- oder Gefäßstation am Rand“ hineinführen; kurzer Folgeschritt; Schluss	NONE
56	B3-S011	1	4	E250|E251|E252|E253	SH+E+CTH+CHD+Y>OK+Y>CHD+Y>AR+Y	HOLD>APPLY>MOVE>MOVE	Gut im Korbgefäß kurz bereit umsetzen; verwende Gut im Korbgefäß; Gut im Korbgefäß umsetzen; Gut im Korbgefäß aus der Quelle nehmen	NONE
57	B3-S014	1	2	E260|E261	OK+AIR>SH+EE+DY	MOVE>HOLD	Flüssigkeitslauf eröffnen; länger absetzen; Schluss	NONE
58	B3-S020	1	2	E268|E269	AL>L+CHD+DY	MOVE>MOVE	Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“; hinausführen; Schluss	NONE
59	B3-S021	1	2	E270|E271	OK+AIIN>CTH+Y	MEASURE>CHECK	Sollmaß setzen; bereit	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
60	B3-S021	2	6	E275|E276|E277|E278|E279|E280	SHED+AL>SH+E+CTH+Y>Y>AL>CTH+Y>AL+CHD+DY	APPLY>HOLD>MOVE>MOVE>CHECK>MOVE	bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ absetzen; laufender Stationsansatz kurz bereit halten; laufender Stationsansatz; Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“; bereit; bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ überführen; Schluss	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
61	B3-S026	1	1	E285	EE+AR	HOLD	länger aus der Quelle führen	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
62	B3-S026	2	3	E289|E290|E291	CTH+Y>AL+R+OR>SOLK+EE+DY	CHECK>HOLD>COLLECT	bereit; Ansatz bei der Zielstelle „nicht gezeichneter Übergang vom Rand zum Hauptfeld“ abkühlen; länger auffangen; Schluss	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
63	B3-S030	1	1	E298	OK+Y	APPLY	verwende aufgefangener Bestand des Flüssigkeit des Hauptpaares	R01
64	B3-S034	1	6	E309|E310|E311|E312|E313|E314	O+IIN>CTH+Y>T+Y>OT+AIIN>OL+AL+Y>SHED+DY	MEASURE>CHECK>MEASURE>MEASURE>APPLY>HOLD	Sollstufe; bereit; Teilportion aus der Arbeitsflüssigkeit füllen; nächstes Sollmaß; Teilportion aus der Arbeitsflüssigkeit bei der Zielstelle „durch einen Bogen verbundenes Hauptpaar“ fortsetzen; absetzen; Schluss	NONE
65	B4-S002	1	3	E316|E317|E318	OL+Y>OK+EE+Y>OK+E+DY	MOVE>HOLD>HOLD	Flüssigkeit des Hauptpaares weiterführen; länger ansetzen; kurz ansetzen; Schluss	NONE
66	B4-S003	1	7	E319|E320|E321|E322|E323|E324|E325	CHD+Y>OT+AL>OT+Y>OK+EE+Y>OK+Y>OL>SHED+DY	MOVE>MOVE>SELECT>HOLD>APPLY>PREPARE>HOLD	Flüssigkeit des Hauptpaares umsetzen; nächste Zielstelle bei „durch einen Bogen verbundenes Hauptpaar“; nächster Posten; länger ansetzen; verwende nächster Arbeitsposten; fortsetzen; absetzen; Schluss	NONE
67	B4-S004	1	1	E326	OK+Y+LDDY	APPLY	nächster Arbeitsposten befestigen; Schluss	NONE
68	B4-S010	1	1	E337	OL+DY	PREPARE	fortsetzen; Schluss	R02
69	B4-S011	1	4	E341|E342|E343|E344	OK+AIN>CHD+Y>OL>L+K+E+DY	MEASURE>MEASURE>PREPARE>HOLD	eine Stoffportion zugeben; Teilportion von Gut der Randstation umsetzen; fortsetzen; kurz abführen; Schluss	NONE
70	B4-S014	1	4	E348|E349|E350|E351	OR>Y>O+CKH+E+Y>AIR+Y+DY	PREPARE>MOVE>HOLD>MOVE	Ansatz; laufender Stationsansatz; laufender Stationsansatz kurz durchführen; Flüssigkeitslauf schließen	NONE
71	B4-S015	1	2	E352|E353	OK+AIN>WHOLE[cheey|shey]	MEASURE>COLLECT	eine Stoffportion zugeben; EMPFANGSBESTAND	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
72	B4-S015	2	2	E356|E357	SOLK+E+Y>L+CHD+DY	COLLECT>MOVE	kurz auffangen; hinausführen; Schluss	NOT_APPLIED_TO_MULTI_SPAN_STATEMENT
73	B4-S016	1	1	E361	SHED+DY	HOLD	absetzen; Schluss	R03
74	B5-S003	1	1	E364	SHED+AL	APPLY	bei der Zielstelle „linke offene Randstation des Nachtrags“ absetzen	NONE
75	B6-S001	1	3	E373|E374|E375	SOLK+EE+Y>E+K+E+Y>R+AL+Y	COLLECT>HOLD>HOLD	länger auffangen; aufgefangener Bestand der rechten Nachtragsflüssigkeit kurz zuführen; aufgefangener Bestand der rechten Nachtragsflüssigkeit abkühlen	NONE
