event_id	page	record_unit_id	statement_id	visible_owner	visible_surface	master_card_id	component_parse	revised_compositional_reading_de	composition_status	memorized_residue
E058	f55v	H4	H4-S001	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ykain	MC047	Y + K + AIN	erste Portion	PARTIAL_COMPOSITION	K ordinal/index core
E059	f55v	H4	H4-S001	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ykan	MC148	Y + K + AIN	zweite Portion	PARTIAL_COMPOSITION	K ordinal/index core
E063	f55v	H4	H4-S002	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	talam	MC160	TALAM	Verwahrort	LEARNED_WHOLE_NOUN	TALAM storage-place core
E064	f55v	H4	H4-S003	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	ykaiin	MC170	Y + K + AIIN	Sollportion	PARTIAL_COMPOSITION	K ordinal/index core
E065	f55v	H4	H4-S003	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	cheoar	MC085	CHEO + AR	Auszug aus der Quelle	FULL_COMPOSITION	NONE
E073	f55v	H4	H4-S004	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	orain	MC072	OR + AIN	Bereitungsanteil	FULL_COMPOSITION	NONE
E074	f56r	H5	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	chochor	MC125	CHO + OR	Zugabeansatz	FULL_COMPOSITION	NONE
E075	f56r	H5	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	cho	MC034	CHO	weitere Zutat	LEARNED_WHOLE_NOUN	CHO ingredient core
E076	f56r	H5	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	chodaly	MC010	CHO + AL + Y	Zugabe am aktuellen Ziel	FULL_COMPOSITION	NONE
E078	f56r	H5	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sho	MC034	CHO	weitere Zutat	LEARNED_WHOLE_NOUN	CHO ingredient core
E080	f56r	H5	H5-S001	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	otchor	MC013	OT + OR	Folgeansatz	FULL_COMPOSITION	NONE
E084	f56r	H5	H5-S002	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	choy	MC131	CHO + Y	aktuelle Zutat	FULL_COMPOSITION	NONE
E087	f56r	H5	H5-S003	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sh	MC114	SH	Stängel	LEARNED_WHOLE_NOUN	SH stem core
E088	f56r	H5	H5-S003	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	cho	MC034	CHO	weitere Zutat	LEARNED_WHOLE_NOUN	CHO ingredient core
E094	f56r	H5	H5-S005	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	sho	MC034	CHO	weitere Zutat	LEARNED_WHOLE_NOUN	CHO ingredient core
E096	f56r	H5	H5-S005	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	kchoar	MC136	K + CHO + AR	bearbeiteter Quellauszug	PARTIAL_COMPOSITION	KCHO processed-extract core
