master_card_id	master_form	registered_surfaces	concrete_default_de	curriculum_layer	occurrence_count	event_ids	records	pages	value_invariant	learning_rule	component_parse	revised_default_de	composition_status	memorized_residue
MC074	chdy	chedy	überführen	COMMON_BIOLOGICAL_HERBAL_CORE	1	E062	H4	f55v	YES	reuse known card and keep the same short value	COMMON_CORE	überführen	KNOWN_FROM_BIOLOGICAL	NONE
MC075	ycheor	ycheor	Auszugsansatz	HERBAL_LOCAL_NOUN_SIGN	1	E015	H2	f10r	YES	learn one new pictured-material/container/preparation sign	Y + CHEO + OR	aktueller Auszugsansatz	FULL_COMPOSITION	NONE
MC077	kchal	kchal	Zielbearbeitung	HERBAL_LOCAL_OPERATION_SIGN	1	E093	H5	f56r	YES	learn or decompose one Herbal-specific work operation	K + AL	an der Zielstelle bearbeiten	FULL_COMPOSITION	NONE
MC080	chor	chor|shor|or	Ansatz	COMMON_BIOLOGICAL_HERBAL_CORE	5	E017|E025|E033|E034|E071	H2|H4	f10r|f55v	YES	reuse known card and keep the same short value	COMMON_CORE	Ansatz	KNOWN_FROM_BIOLOGICAL	NONE
MC085	cheoar	cheoar	Quellauszug	HERBAL_LOCAL_NOUN_SIGN	1	E065	H4	f55v	YES	learn one new pictured-material/container/preparation sign	CHEO + AR	Auszug aus der Quelle	FULL_COMPOSITION	NONE
MC086	chety	chty	Teil	COMMON_BIOLOGICAL_HERBAL_CORE	1	E004	H1	f10r	YES	reuse known card and keep the same short value	COMMON_CORE	Teil	KNOWN_FROM_BIOLOGICAL	NONE
MC087	chodaiin	chodaiin	Zugabemaß	HERBAL_LOCAL_NOUN_SIGN	1	E038	H2	f10r	YES	learn one new pictured-material/container/preparation sign	CHO + AIIN	Zugabemaß	FULL_COMPOSITION	NONE
MC090	kchol	kchol	weiter bearbeiten	HERBAL_LOCAL_OPERATION_SIGN	1	E079	H5	f56r	YES	learn or decompose one Herbal-specific work operation	K + OL	weiter bearbeiten	FULL_COMPOSITION	NONE
MC098	tshol	tshol	Kochgut	HERBAL_LOCAL_NOUN_SIGN	1	E039	H3	f11r	YES	learn one new pictured-material/container/preparation sign	TSHOL	Kochgut	LEARNED_WHOLE_NOUN	TSHOL cooking-material core
MC099	cheeckhody	cheeckhody	auftragen; Schluss	HERBAL_LOCAL_OPERATION_SIGN	1	E086	H5	f56r	YES	learn or decompose one Herbal-specific work operation	CHEECKHO + DY	auftragen; Schluss	LEARNED_WHOLE_OPERATION	CHEECKHO application operation
MC100	ody	ody	abkühlen; Schluss	HERBAL_LOCAL_OPERATION_SIGN	1	E060	H4	f55v	YES	learn or decompose one Herbal-specific work operation	O + DY	abkühlen; Schluss	LEARNED_WHOLE_OPERATION	O cooling operation
MC103	qokchy	qokchy|okchy|chokchy	weiterbearbeiten	HERBAL_LOCAL_OPERATION_SIGN	3	E011|E091|E095	H1|H5	f10r|f56r	YES	learn or decompose one Herbal-specific work operation	OK + Y	den laufenden Posten einsetzen und weiterbearbeiten	FULL_COMPOSITION	NONE
MC104	keol	keol	kurz weiterbearbeiten	HERBAL_LOCAL_OPERATION_SIGN	1	E099	H5	f56r	YES	learn or decompose one Herbal-specific work operation	K + E + OL	kurz weiterbearbeiten	FULL_COMPOSITION	NONE
MC107	qotchy	qotchy	nächster Posten	HERBAL_LOCAL_OPERATION_SIGN	1	E052	H3	f11r	YES	learn or decompose one Herbal-specific work operation	OT + Y	zum nächsten Posten wechseln	FULL_COMPOSITION	NONE
MC108	etyd	etyd	kleiner Rest	HERBAL_LOCAL_NOUN_SIGN	1	E010	H1	f10r	YES	learn one new pictured-material/container/preparation sign	ETYD	kleiner Rest	LEARNED_WHOLE_NOUN	ETYD remainder core
MC111	shfydaiin	shfydaiin	Stehzeit	HERBAL_LOCAL_OPERATION_SIGN	1	E042	H3	f11r	YES	learn or decompose one Herbal-specific work operation	SHFY + AIIN	eine vorgeschriebene Stehzeit einhalten	PARTIAL_COMPOSITION	SHFY standing core
MC114	sh	sh	Stängel	HERBAL_LOCAL_NOUN_SIGN	1	E087	H5	f56r	YES	learn one new pictured-material/container/preparation sign	SH	Stängel	LEARNED_WHOLE_NOUN	SH stem core
MC115	qoctholy	qoctholy	bereiter Folgeposten	HERBAL_LOCAL_OPERATION_SIGN	1	E019	H2	f10r	YES	learn or decompose one Herbal-specific work operation	OT + OL + Y	den bereiten Folgeposten wählen	FULL_COMPOSITION	NONE
MC117	kchy	kchy	Bearbeiten	HERBAL_LOCAL_OPERATION_SIGN	1	E049	H3	f11r	YES	learn or decompose one Herbal-specific work operation	K + Y	den laufenden Posten bearbeiten	FULL_COMPOSITION	NONE
MC119	cheey	shey	Klarlauf	COMMON_BIOLOGICAL_HERBAL_CORE	1	E044	H3	f11r	YES	reuse known card and keep the same short value	COMMON_CORE	Klarlauf	KNOWN_FROM_BIOLOGICAL	NONE
MC120	okaiin	qokaiin	bemessen	COMMON_BIOLOGICAL_HERBAL_CORE	1	E056	H4	f55v	YES	reuse known card and keep the same short value	COMMON_CORE	bemessen	KNOWN_FROM_BIOLOGICAL	NONE
MC122	kchey	kchey	Kurzbearbeitung	HERBAL_LOCAL_OPERATION_SIGN	1	E089	H5	f56r	YES	learn or decompose one Herbal-specific work operation	K + E + Y	den laufenden Posten kurz bearbeiten	FULL_COMPOSITION	NONE
MC123	chey	dy|chy|shy|y	dies	COMMON_BIOLOGICAL_HERBAL_CORE	9	E020|E021|E023|E035|E037|E048|E050|E055|E072	H2|H3|H4	f10r|f11r|f55v	YES	reuse known card and keep the same short value	COMMON_CORE	dies	KNOWN_FROM_BIOLOGICAL	NONE
MC125	chochor	chochor	Zugabeansatz	HERBAL_LOCAL_NOUN_SIGN	1	E074	H5	f56r	YES	learn one new pictured-material/container/preparation sign	CHO + OR	Zugabeansatz	FULL_COMPOSITION	NONE
MC129	cfhy	cfhy	auswringen	HERBAL_LOCAL_OPERATION_SIGN	1	E041	H3	f11r	YES	learn or decompose one Herbal-specific work operation	CFHY	auswringen	LEARNED_WHOLE_OPERATION	CFHY wringing operation
MC131	choy	choy	Zugabeposten	HERBAL_LOCAL_NOUN_SIGN	1	E084	H5	f56r	YES	learn one new pictured-material/container/preparation sign	CHO + Y	aktuelle Zutat	FULL_COMPOSITION	NONE
MC136	kchoar	kchoar	bearbeiteter Quellauszug	HERBAL_LOCAL_NOUN_SIGN	1	E096	H5	f56r	YES	learn one new pictured-material/container/preparation sign	K + CHO + AR	bearbeiteter Quellauszug	PARTIAL_COMPOSITION	KCHO processed-extract core
MC142	dchol	dchol|schol	vom vorigen	HERBAL_LOCAL_OPERATION_SIGN	2	E047|E083	H3|H5	f11r|f56r	YES	learn or decompose one Herbal-specific work operation	D + OL	vom vorigen Arbeitsgang nehmen	PARTIAL_COMPOSITION	D previous-source core
MC148	ykan	ykan	zweite Portion	HERBAL_LOCAL_NOUN_SIGN	1	E059	H4	f55v	YES	learn one new pictured-material/container/preparation sign	Y + K + AIN	zweite Portion	PARTIAL_COMPOSITION	K ordinal/index core
MC153	cheol	chol	weiter	COMMON_BIOLOGICAL_HERBAL_CORE	3	E013|E027|E029	H1|H2	f10r	YES	reuse known card and keep the same short value	COMMON_CORE	weiter	KNOWN_FROM_BIOLOGICAL	NONE
MC154	al	dal	dorthin	COMMON_BIOLOGICAL_HERBAL_CORE	1	E082	H5	f56r	YES	reuse known card and keep the same short value	COMMON_CORE	dorthin	KNOWN_FROM_BIOLOGICAL	NONE
MC156	cphy	cphy	nachseihen	HERBAL_LOCAL_OPERATION_SIGN	1	E043	H3	f11r	YES	learn or decompose one Herbal-specific work operation	CPHY	nachseihen	LEARNED_WHOLE_OPERATION	CPHY second-straining operation
MC157	cholor	cholor	derselbe Ansatz	COMMON_BIOLOGICAL_HERBAL_CORE	1	E028	H2	f10r	YES	reuse known card and keep the same short value	COMMON_CORE	derselbe Ansatz	KNOWN_FROM_BIOLOGICAL	NONE
MC158	cthoor	cthoor	Vorbereitung	HERBAL_LOCAL_OPERATION_SIGN	1	E002	H1	f10r	YES	learn or decompose one Herbal-specific work operation	CTH + OR	den Ansatz bereitstellen	FULL_COMPOSITION	NONE
MC159	os	os	Aufnahmegefäß	HERBAL_LOCAL_NOUN_SIGN	1	E005	H1	f10r	YES	learn one new pictured-material/container/preparation sign	OS	Aufnahmegefäß	LEARNED_WHOLE_NOUN	OS receiver-vessel core
MC160	talam	talam	Verwahrort	HERBAL_LOCAL_NOUN_SIGN	1	E063	H4	f55v	YES	learn one new pictured-material/container/preparation sign	TALAM	Verwahrort	LEARNED_WHOLE_NOUN	TALAM storage-place core
MC161	checthy	cthy	bereit	COMMON_BIOLOGICAL_HERBAL_CORE	3	E014|E016|E054	H1|H2|H3	f10r|f11r	YES	reuse known card and keep the same short value	COMMON_CORE	bereit	KNOWN_FROM_BIOLOGICAL	NONE
MC163	qotchol	qotchol	Folgegang	HERBAL_LOCAL_OPERATION_SIGN	1	E012	H1	f10r	YES	learn or decompose one Herbal-specific work operation	OT + OL	den Folgegang fortsetzen	FULL_COMPOSITION	NONE
MC169	cthaiin	cthaiin	Sollvorbereitung	HERBAL_LOCAL_OPERATION_SIGN	1	E018	H2	f10r	YES	learn or decompose one Herbal-specific work operation	CTH + AIIN	die Sollvorbereitung setzen	FULL_COMPOSITION	NONE
MC170	ykaiin	ykaiin	Sollportion	HERBAL_LOCAL_NOUN_SIGN	1	E064	H4	f55v	YES	learn one new pictured-material/container/preparation sign	Y + K + AIIN	Sollportion	PARTIAL_COMPOSITION	K ordinal/index core
MC171	otchey	otchey	das nächste	COMMON_BIOLOGICAL_HERBAL_CORE	1	E098	H5	f56r	YES	reuse known card and keep the same short value	COMMON_CORE	das nächste	KNOWN_FROM_BIOLOGICAL	NONE
