n	branch	model	observed	errors	full_bound_original_intervals	new_semantic_observations	independent_meaning_capacity
3	C3_ordinal_missing_stem_sensitivity	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	387	0	0
3	C0_local_current_conditional	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	387	0	0
3	C1_rockstro_ternary_conditional	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	387	0	0
3	C2_hurry_pes_prose_countercase	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	8087	0	0
3	C3_ordinal_missing_stem_sensitivity	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	387	0	0
3	C0_local_current_conditional	CO_ONSET_EVERY_MAIN_CYCLE	COHERENT	[]	387	0	0
3	C1_rockstro_ternary_conditional	CO_ONSET_EVERY_MAIN_CYCLE	COHERENT	[]	387	0	0
3	C2_hurry_pes_prose_countercase	CO_ONSET_EVERY_MAIN_CYCLE	CONTRADICTED	"[""STRONGER_EVERY_MAIN_RESTART_CO_ONSET""]"	8087	0	0
3	C3_ordinal_missing_stem_sensitivity	CO_ONSET_EVERY_MAIN_CYCLE	COHERENT	[]	387	0	0
4	C0_local_current_conditional	BASELINE	COHERENT	[]	498	0	0
4	C1_rockstro_ternary_conditional	BASELINE	COHERENT	[]	498	0	0
4	C2_hurry_pes_prose_countercase	BASELINE	COHERENT	[]	9936	0	0
4	C3_ordinal_missing_stem_sensitivity	BASELINE	COHERENT	[]	498	0	0
4	C0_local_current_conditional	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	498	0	0
4	C1_rockstro_ternary_conditional	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	498	0	0
4	C2_hurry_pes_prose_countercase	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	9936	0	0
4	C3_ordinal_missing_stem_sensitivity	COMPANIONS_AS_PES	CONTRADICTED	"[""D06_GROUP_OR_SILENCE""]"	498	0	0
4	C0_local_current_conditional	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	498	0	0
4	C1_rockstro_ternary_conditional	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	498	0	0
4	C2_hurry_pes_prose_countercase	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	9936	0	0
4	C3_ordinal_missing_stem_sensitivity	EVERY_MENTION_EXECUTES	CONTRADICTED	"[""D03_SECOND_FIRST_ENTRY""]"	498	0	0
4	C0_local_current_conditional	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	498	0	0
4	C1_rockstro_ternary_conditional	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	498	0	0
4	C2_hurry_pes_prose_countercase	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	9936	0	0
4	C3_ordinal_missing_stem_sensitivity	DUPLICATE_PES_CURSOR	CONTRADICTED	"[""D03_NOT_COMPLETE_ORDERED_PAIR""]"	498	0	0
4	C0_local_current_conditional	CO_ONSET_EVERY_MAIN_CYCLE	COHERENT	[]	498	0	0
4	C1_rockstro_ternary_conditional	CO_ONSET_EVERY_MAIN_CYCLE	COHERENT	[]	498	0	0
4	C2_hurry_pes_prose_countercase	CO_ONSET_EVERY_MAIN_CYCLE	CONTRADICTED	"[""STRONGER_EVERY_MAIN_RESTART_CO_ONSET""]"	9936	0	0
4	C3_ordinal_missing_stem_sensitivity	CO_ONSET_EVERY_MAIN_CYCLE	COHERENT	[]	498	0	0
