visible_surface	master_card_id	master_head_form	surface_role	corrected_semantic_atoms	surface_parse_de	observed_literal_cues	contextual_or_memorized_atoms	parse_class	short_default_de	observed_events	collision_guard
chedain	MC145	chedain	FIXED_REGISTERED_FORM	CHD+AIN	UMSETZEN + PORTION	CHD=ched@0-4 | AIN=ain@4-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Portion umsetzen	1	NONE
chedchy	MC064	chedchy	FIXED_REGISTERED_FORM	CHD+Y	UMSETZEN + DIESER POSTEN	CHD=ched@0-4 | Y=y@6-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten überführen	1	NONE
chedy	MC074	chdy	OTHER_REGISTERED_ALLOGRAPH	CHD+Y	UMSETZEN + DIESER POSTEN	CHD=ched@0-4 | Y=y@4-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	laufenden Posten umsetzen	10	NONE
cheeckhody	MC099	cheeckhody	FIXED_REGISTERED_FORM	EE+CKH+HO+CLOSE	LÄNGER + DURCHLASS + ZUTAT + SCHLUSS	EE=ee@2-4 | CKH=ckh@4-7 | CLOSE=dy@8-10	HO	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger auftragen; Schluss	1	NONE
cheedar	MC042	cheedar	FIXED_REGISTERED_FORM	CHD+AR	UMSETZEN + QUELLE	AR=ar@5-7	CHD	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	von dort umsetzen	1	NONE
cheedy	MC128	cheedy	MASTER_HEAD_FORM	SHED+E+CLOSE	ABSETZEN + KURZ + SCHLUSS	SHED=chee@0-4 | E=e@2-3 | CLOSE=eedy@2-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz absetzen lassen; Schluss	1	NONE
cheeety	MC094	cheeety	FIXED_REGISTERED_FORM	EEE+TY	VOLLSTÄNDIG + TEIL	EEE=eee@2-5 | TY=ty@5-7	NONE	LITERAL_PRODUCTIVE_PARSE	ganzen Teilposten	1	NONE
cheeky	MC032	cheeky	FIXED_REGISTERED_FORM	CHK+EE+Y	WÄRMEN + LÄNGER + DIESER POSTEN	CHK=cheek@0-5 | EE=ee@2-4 | Y=y@5-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger erwärmen und offen halten	2	NONE
cheey	MC119	cheey	MASTER_HEAD_FORM	CHEEY	KLARAUSZUG	NONE	CHEEY	MEMORIZED_WHOLE	klarer Auszug	2	NONE
cheky	MC147	cheky	FIXED_REGISTERED_FORM	CHK+E+Y	WÄRMEN + KURZ + DIESER POSTEN	CHK=chek@0-4 | E=e@2-3 | Y=y@4-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz wärmen	3	NONE
cheoar	MC085	cheoar	FIXED_REGISTERED_FORM	CHEO+AR	AUSZUG + QUELLE	CHEO=cheo@0-4 | AR=ar@4-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszug entnehmen	1	NONE
cheol	MC153	cheol	MASTER_HEAD_FORM	OL	FORTSETZEN	OL=ol@3-5	NONE	LITERAL_PRODUCTIVE_PARSE	fortsetzen	1	NONE
ches	MC152	ches	FIXED_REGISTERED_FORM	PARTITION	TEILEN	NONE	PARTITION	MEMORIZED_WHOLE	teilen	1	NONE
chety	MC086	chety	MASTER_HEAD_FORM	PARTITION+TY	TEILEN + TEIL	TY=ty@3-5	PARTITION	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Teil abtrennen	1	NONE
chey	MC123	chey	MASTER_HEAD_FORM	Y	DIESER POSTEN	Y=y@3-4	NONE	LITERAL_PRODUCTIVE_PARSE	dieser Posten	7	NONE
chkain	MC105	chkain	MASTER_HEAD_FORM	AIN	PORTION	AIN=ain@3-6	NONE	LITERAL_PRODUCTIVE_PARSE	eine Portion	1	NONE
chkeedy	MC110	chkeedy	FIXED_REGISTERED_FORM	CHK+EE+CLOSE	WÄRMEN + LÄNGER + SCHLUSS	CHK=chk@0-3 | EE=ee@3-5 | CLOSE=eedy@3-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger wärmen; Schluss	1	NONE
chkeey	MC166	chkeey	FIXED_REGISTERED_FORM	CHK+EE+Y	WÄRMEN + LÄNGER + DIESER POSTEN	CHK=chk@0-3 | EE=ee@3-5 | Y=y@5-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten länger warm halten	1	NONE
chldaiin	MC144	chldaiin	FIXED_REGISTERED_FORM	SHED+AIIN	ABSETZEN + SOLLMAß	AIIN=aiin@4-8	SHED	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Absetzmaß	1	NONE
cho	MC034	cho	MASTER_HEAD_FORM	HO	ZUTAT	HO=cho@0-3	NONE	LEXICAL_ROOT_ONLY	Zutat	2	NONE
chochor	MC125	chochor	FIXED_REGISTERED_FORM	HO+OR	ZUTAT + ANSATZ	HO=cho@0-3 | OR=or@5-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutatenansatz	1	NONE
chodaiin	MC087	chodaiin	FIXED_REGISTERED_FORM	HO+AIIN	ZUTAT + SOLLMAß	HO=cho@0-3 | AIIN=aiin@4-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutatenmaß	1	NONE
chodaly	MC010	chodaly	FIXED_REGISTERED_FORM	HO+AL+Y	ZUTAT + ZIELSTELLE + DIESER POSTEN	HO=cho@0-3 | AL=al@4-6 | Y=y@6-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diese Zutat zur Stelle bringen	1	NONE
chokcheo	MC006	chokcheo	FIXED_REGISTERED_FORM	OK+CHEO	ANSETZEN + AUSZUG	OK=ok@2-4 | CHEO=cheo@4-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszug zugeben	1	NONE
chokchy	MC103	chokchy	MASTER_HEAD_FORM	OK+Y	ANSETZEN + DIESER POSTEN	OK=ok@2-4 | Y=y@6-7	NONE	LITERAL_PRODUCTIVE_PARSE	Posten zur Weiterbearbeitung ansetzen	1	NONE
choky	MC026	choky	MASTER_HEAD_FORM	OK+Y	ANSETZEN + DIESER POSTEN	OK=ok@2-4 | Y=y@4-5	NONE	LITERAL_PRODUCTIVE_PARSE	aktuellen Posten ansetzen	2	NONE
chol	MC153	cheol	OTHER_REGISTERED_ALLOGRAPH	OL	FORTSETZEN	OL=ol@2-4	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	fortsetzen	3	NONE
cholor	MC157	cholor	MASTER_HEAD_FORM	OL+OR	FORTSETZEN + ANSATZ	OL=ol@2-4 | OR=or@4-6	NONE	LITERAL_PRODUCTIVE_PARSE	Fortsetzungsansatz	1	NONE
chor	MC080	chor	MASTER_HEAD_FORM	OR	ANSATZ	OR=or@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	Ansatz	3	NONE
choy	MC131	choy	FIXED_REGISTERED_FORM	HO+Y	ZUTAT + DIESER POSTEN	HO=cho@0-3 | Y=y@3-4	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diese Zutat	1	NONE
chty	MC086	chety	OTHER_REGISTERED_ALLOGRAPH	PARTITION+TY	TEILEN + TEIL	TY=ty@2-4	PARTITION	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Teil abtrennen	1	NONE
chy	MC123	chey	OTHER_REGISTERED_ALLOGRAPH	Y	DIESER POSTEN	Y=y@2-3	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dieser Posten	3	NONE
cphy	MC156	cphy	FIXED_REGISTERED_FORM	CPH+Y	NACHSEIHEN + DIESER POSTEN	Y=y@3-4	CPH	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	aktuellen Posten nachseihen	1	NONE
cthaiin	MC169	cthaiin	FIXED_REGISTERED_FORM	CTH+AIIN	BEREIT + SOLLMAß	CTH=cth@0-3 | AIIN=aiin@3-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Fertigmaß	1	NONE
cthoor	MC158	cthoor	FIXED_REGISTERED_FORM	CTH+OR	BEREIT + ANSATZ	CTH=cth@0-3 | OR=or@4-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Ansatz bereit	1	NONE
cthy	MC161	checthy	OTHER_REGISTERED_ALLOGRAPH	CTH+Y	BEREIT + DIESER POSTEN	CTH=cth@0-3 | Y=y@3-4	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereit	3	NONE
daiiin	MC172	daiiin	FIXED_REGISTERED_FORM	IIN	STUFE	IIN=iiin@2-6	NONE	LITERAL_PRODUCTIVE_PARSE	Öffnungsstufe	1	NONE
daiin	MC039	aiin	OTHER_REGISTERED_ALLOGRAPH	AIIN	SOLLMAß	AIIN=aiin@1-5	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	Sollmaß	11	NONE
dain	MC059	dain	FIXED_REGISTERED_FORM	DAIN	TUCH	NONE	DAIN	MEMORIZED_WHOLE	Tuch	2	NONE
dairydy	MC091	dairydy	FIXED_REGISTERED_FORM	AIR+Y+CLOSE	LAUFFLÜSSIGKEIT + DIESER POSTEN + SCHLUSS	AIR=air@1-4 | Y=y@6-7 | CLOSE=dy@5-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Wasserlauf schliessen; Schluss	1	NONE
dal	MC154	al	OTHER_REGISTERED_ALLOGRAPH	AL	ZIELSTELLE	AL=al@1-3	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dorthin	5	NONE
dalchdy	MC031	dalchdy	FIXED_REGISTERED_FORM	AL+CHD+CLOSE	ZIELSTELLE + UMSETZEN + SCHLUSS	AL=al@1-3 | CHD=chd@3-6 | CLOSE=dy@5-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	dorthin umsetzen; Schluss	1	NONE
daldy	MC079	daldy	FIXED_REGISTERED_FORM	AL+CLOSE	ZIELSTELLE + SCHLUSS	AL=al@1-3 | CLOSE=dy@3-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Nebenoeffnung; Schluss	1	NONE
dar	MC055	char	OTHER_REGISTERED_ALLOGRAPH	AR	QUELLE	AR=ar@1-3	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	aus dem Ansatz	2	NONE
dchdy	MC139	dchdy	FIXED_REGISTERED_FORM	CHD+CLOSE	UMSETZEN + SCHLUSS	CHD=chd@1-4 | CLOSE=dy@3-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	weitergeführten Posten überführen; Schluss	1	DCH_BLOCKED_BY_CHD_LONGEST_MATCH
dchedy	MC025	dchedy	MASTER_HEAD_FORM	CHD+CLOSE	UMSETZEN + SCHLUSS	CHD=ched@1-5 | CLOSE=edy@3-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Posten überführen; Schluss	1	DCH_BLOCKED_BY_CHD_LONGEST_MATCH
dchey	MC071	dchey	FIXED_REGISTERED_FORM	DCHE+Y	WURZEL + DIESER POSTEN	Y=y@4-5	DCHE	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	Wurzel als aktueller Posten	1	DCH_BLOCKED_BY_CHD_LONGEST_MATCH
dchol	MC142	dchol	MASTER_HEAD_FORM	DCHOL	VORIGER POSTEN	NONE	DCHOL	MEMORIZED_WHOLE	vorigen Posten fortsetzen	1	DCH_BLOCKED_BY_CHD_LONGEST_MATCH
dl	MC012	dl	FIXED_REGISTERED_FORM	LOCAL_WHOLE	ZUSATZ	NONE	LOCAL_WHOLE	MEMORIZED_WHOLE	Zusatz	2	NONE
dshedy	MC138	dshedy	FIXED_REGISTERED_FORM	SHED+E+CLOSE	ABSETZEN + KURZ + SCHLUSS	SHED=shed@1-5 | E=e@3-4 | CLOSE=edy@3-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz absetzen; Schluss	1	NONE
dsheol	MC076	dsheol	FIXED_REGISTERED_FORM	SH+E+OL	HALTEN + KURZ + FORTSETZEN	SH=sh@1-3 | E=e@3-4 | OL=ol@4-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz weiter ruhen lassen	1	NONE
dy	MC123	chey	OTHER_REGISTERED_ALLOGRAPH	Y	DIESER POSTEN	Y=y@1-2	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	dieser Posten	5	NONE
etyd	MC108	etyd	FIXED_REGISTERED_FORM	E+TY	KURZ + TEIL	E=e@0-1 | TY=ty@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	kleiner Restteil	1	NONE
kaiiin	MC048	kaiiin	FIXED_REGISTERED_FORM	IIN	STUFE	IIN=iiin@2-6	NONE	LITERAL_PRODUCTIVE_PARSE	Weichstufe	1	NONE
kain	MC105	chkain	OTHER_REGISTERED_ALLOGRAPH	AIN	PORTION	AIN=ain@1-4	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	eine Portion	2	NONE
kair	MC023	kair	FIXED_REGISTERED_FORM	AIR	LAUFFLÜSSIGKEIT	AIR=air@1-4	NONE	LITERAL_PRODUCTIVE_PARSE	Beckenwasser	1	NONE
kchal	MC077	kchal	FIXED_REGISTERED_FORM	KCH+AL	BEARBEITEN + ZIELSTELLE	KCH=kch@0-3 | AL=al@3-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	an der Zielstelle bearbeiten	1	NONE
kchey	MC122	kchey	FIXED_REGISTERED_FORM	KCH+E+Y	BEARBEITEN + KURZ + DIESER POSTEN	KCH=kch@0-3 | E=e@3-4 | Y=y@4-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten kurz bearbeiten	1	NONE
kchoar	MC136	kchoar	FIXED_REGISTERED_FORM	CHEO+AR	AUSZUG + QUELLE	AR=ar@4-6	CHEO	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszug daraus	1	NONE
kchol	MC090	kchol	FIXED_REGISTERED_FORM	KCH+OL	BEARBEITEN + FORTSETZEN	KCH=kch@0-3 | OL=ol@3-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	weiter bearbeiten	1	NONE
kchy	MC117	kchy	FIXED_REGISTERED_FORM	KCH+Y	BEARBEITEN + DIESER POSTEN	KCH=kch@0-3 | Y=y@3-4	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten bearbeiten	1	NONE
keol	MC104	keol	FIXED_REGISTERED_FORM	E+OL	KURZ + FORTSETZEN	E=e@1-2 | OL=ol@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	kurz weiterbearbeiten	1	NONE
lar	MC029	lar	FIXED_REGISTERED_FORM	L+AR	ABFÜHREN + QUELLE	L=l@0-1 | AR=ar@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	von dort abfuehren	1	NONE
lcheckhedy	MC133	lcheckhedy	FIXED_REGISTERED_FORM	L+CKHE+CLOSE	ABFÜHREN + SEIHEN + SCHLUSS	L=l@0-1 | CKHE=ckhe@4-8 | CLOSE=edy@7-10	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	abseihen; Schluss	1	NONE
lcheckhy	MC168	lcheckhy	FIXED_REGISTERED_FORM	L+CKH+Y	ABFÜHREN + DURCHLASS + DIESER POSTEN	L=l@0-1 | CKH=ckh@4-7 | Y=y@7-8	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Ausgangsdurchlass	1	NONE
lched	MC127	lched	FIXED_REGISTERED_FORM	L+CHD	ABFÜHREN + UMSETZEN	L=l@0-1 | CHD=ched@1-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	abführen	1	NONE
lchedal	MC051	lchedal	FIXED_REGISTERED_FORM	L+CHD+AL	ABFÜHREN + UMSETZEN + ZIELSTELLE	L=l@0-1 | CHD=ched@1-5 | AL=al@5-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	zur Ablaufstelle führen	1	NONE
lchedar	MC011	lchedar	FIXED_REGISTERED_FORM	L+CHD+AR	ABFÜHREN + UMSETZEN + QUELLE	L=l@0-1 | CHD=ched@1-5 | AR=ar@5-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	von dort abführen	1	NONE
lchedy	MC155	lchedy	FIXED_REGISTERED_FORM	L+CHD+CLOSE	ABFÜHREN + UMSETZEN + SCHLUSS	L=l@0-1 | CHD=ched@1-5 | CLOSE=edy@3-6	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	abführen; Schluss	8	NONE
lcheey	MC066	lcheey	FIXED_REGISTERED_FORM	L+CHEEY	ABFÜHREN + KLARAUSZUG	L=l@0-1	CHEEY	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Klarlauf abfuehren	1	NONE
lchy	MC008	lchy	FIXED_REGISTERED_FORM	L+Y	ABFÜHREN + DIESER POSTEN	L=l@0-1 | Y=y@3-4	NONE	LITERAL_PRODUCTIVE_PARSE	abziehen	1	NONE
ldalor	MC101	ldalor	FIXED_REGISTERED_FORM	AL	ZIELSTELLE	AL=al@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	Endziel	1	NONE
ldy	MC004	ldy	FIXED_REGISTERED_FORM	L+CLOSE	ABFÜHREN + SCHLUSS	L=l@0-1 | CLOSE=dy@1-3	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	abziehen; Ende	2	NONE
lkedy	MC124	lkedy	FIXED_REGISTERED_FORM	L+E+CLOSE	ABFÜHREN + KURZ + SCHLUSS	L=l@0-1 | E=e@2-3 | CLOSE=edy@2-5	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz abführen; Schluss	1	NONE
lo	MC030	lo	FIXED_REGISTERED_FORM	L	ABFÜHREN	L=l@0-1	NONE	LITERAL_PRODUCTIVE_PARSE	abfuehren	1	NONE
lochedy	MC167	lochedy	FIXED_REGISTERED_FORM	L+CHD+CLOSE	ABFÜHREN + UMSETZEN + SCHLUSS	L=l@0-1 | CHD=ched@2-6 | CLOSE=edy@4-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Rest abfuehren; Schluss	1	NONE
lol	MC092	lol	FIXED_REGISTERED_FORM	L+OL	ABFÜHREN + FORTSETZEN	L=l@0-1 | OL=ol@1-3	NONE	LITERAL_PRODUCTIVE_PARSE	von dort weiterfuehren	1	NONE
ls	MC065	ls	FIXED_REGISTERED_FORM	L	ABFÜHREN	L=l@0-1	NONE	LITERAL_PRODUCTIVE_PARSE	Durchlassöffnung	1	NONE
lshedy	MC038	lshedy	FIXED_REGISTERED_FORM	WASH+CLOSE	WASCHEN + SCHLUSS	CLOSE=edy@3-6	WASH	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	waschen; Schluss	2	NONE
lsho	MC130	lsho	FIXED_REGISTERED_FORM	WASH	WASCHEN	NONE	WASH	MEMORIZED_WHOLE	Waschgang beginnen	1	NONE
ly	MC118	ly	FIXED_REGISTERED_FORM	L+Y	ABFÜHREN + DIESER POSTEN	L=l@0-1 | Y=y@1-2	NONE	LITERAL_PRODUCTIVE_PARSE	aktuellen Posten abführen	1	NONE
octheol	MC112	octheol	FIXED_REGISTERED_FORM	CTH+OL	BEREIT + FORTSETZEN	CTH=cth@1-4 | OL=ol@5-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereitgestellten Gang fortsetzen	1	NONE
ody	MC100	ody	FIXED_REGISTERED_FORM	ODY	KÜHLEN	NONE	ODY	MEMORIZED_WHOLE	kühlen	1	NONE
oiiin	MC033	oiiin	MASTER_HEAD_FORM	IIN	STUFE	IIN=iiin@1-5	NONE	LITERAL_PRODUCTIVE_PARSE	Sollstufe	1	NONE
okaiin	MC120	okaiin	MASTER_HEAD_FORM	OK+AIIN	ANSETZEN + SOLLMAß	OK=ok@0-2 | AIIN=aiin@2-6	NONE	LITERAL_PRODUCTIVE_PARSE	auf Sollmaß einstellen	1	NONE
okain	MC017	okain	MASTER_HEAD_FORM	OK+AIN	ANSETZEN + PORTION	OK=ok@0-2 | AIN=ain@2-5	NONE	LITERAL_PRODUCTIVE_PARSE	eine Portion zugeben	3	NONE
okair	MC081	okair	FIXED_REGISTERED_FORM	OK+AIR	ANSETZEN + LAUFFLÜSSIGKEIT	OK=ok@0-2 | AIR=air@2-5	NONE	LITERAL_PRODUCTIVE_PARSE	Wasser einlassen	1	NONE
okal	MC040	okal	MASTER_HEAD_FORM	OK+AL	ANSETZEN + ZIELSTELLE	OK=ok@0-2 | AL=al@2-4	NONE	LITERAL_PRODUCTIVE_PARSE	dort ansetzen	2	NONE
okchedy	MC005	okchedy	MASTER_HEAD_FORM	OK+CHD+CLOSE	ANSETZEN + UMSETZEN + SCHLUSS	OK=ok@0-2 | CHD=ched@2-6 | CLOSE=edy@4-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	angesetzten Inhalt überführen; Schluss	1	NONE
okchol	MC041	okchol	FIXED_REGISTERED_FORM	OK+OL	ANSETZEN + FORTSETZEN	OK=ok@0-2 | OL=ol@4-6	NONE	LITERAL_PRODUCTIVE_PARSE	weiterlaufenden Posten aufnehmen	1	NONE
okchy	MC103	chokchy	OTHER_REGISTERED_ALLOGRAPH	OK+Y	ANSETZEN + DIESER POSTEN	OK=ok@0-2 | Y=y@4-5	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	Posten zur Weiterbearbeitung ansetzen	1	NONE
okeeol	MC150	okeeol	FIXED_REGISTERED_FORM	OK+EE+OL	ANSETZEN + LÄNGER + FORTSETZEN	OK=ok@0-2 | EE=ee@2-4 | OL=ol@4-6	NONE	LITERAL_PRODUCTIVE_PARSE	länger fortführen	1	NONE
okeey	MC002	okeey	MASTER_HEAD_FORM	OK+EE+Y	ANSETZEN + LÄNGER + DIESER POSTEN	OK=ok@0-2 | EE=ee@2-4 | Y=y@4-5	NONE	LITERAL_PRODUCTIVE_PARSE	länger ansetzen	1	NONE
okey	MC007	okey	MASTER_HEAD_FORM	OK+E+Y	ANSETZEN + KURZ + DIESER POSTEN	OK=ok@0-2 | E=e@2-3 | Y=y@3-4	NONE	LITERAL_PRODUCTIVE_PARSE	kurz ansetzen	1	NONE
oky	MC026	choky	OTHER_REGISTERED_ALLOGRAPH	OK+Y	ANSETZEN + DIESER POSTEN	OK=ok@0-2 | Y=y@2-3	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	aktuellen Posten ansetzen	1	NONE
ol	MC153	cheol	OTHER_REGISTERED_ALLOGRAPH	OL	FORTSETZEN	OL=ol@0-2	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	fortsetzen	8	NONE
olchedy	MC028	olchedy	MASTER_HEAD_FORM	OL+CHD+CLOSE	FORTSETZEN + UMSETZEN + SCHLUSS	OL=ol@0-2 | CHD=ched@2-6 | CLOSE=edy@4-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	weiterüberführen; Schluss	1	NONE
oldy	MC019	oldy	FIXED_REGISTERED_FORM	OL+CLOSE	FORTSETZEN + SCHLUSS	OL=ol@0-2 | CLOSE=dy@2-4	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Fortsetzung abschließen	2	NONE
olkain	MC097	olkain	MASTER_HEAD_FORM	OL+AIN	FORTSETZEN + PORTION	OL=ol@0-2 | AIN=ain@3-6	NONE	LITERAL_PRODUCTIVE_PARSE	weitere Portion	1	NONE
olkeedy	MC045	olkeedy	MASTER_HEAD_FORM	SOLK+EE+CLOSE	SAMMELN + LÄNGER + SCHLUSS	SOLK=olk@0-3 | EE=ee@3-5 | CLOSE=eedy@3-7	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger sammeln; Schluss	2	NONE
