master_card_id	master_head_form	registered_surface_family	corrected_semantic_atoms	literal_predictive_atoms	learned_or_contextual_atoms	parse_class	short_default_de	imperative_de	prose_events	surface_forms	surface_forms_with_observed_cue	forward_reading_rule	correction_from_previous_pass
MC015	qokokchy	qokokchy	OK+OK+Y	OK+OK+Y	NONE	LITERAL_PRODUCTIVE_PARSE	erneut ansetzen	Setze den aktuellen Posten erneut	1	1	1	ANSETZEN -> ANSETZEN -> DIESER POSTEN	NO
MC016	rol	rol	OL	OL	NONE	LITERAL_PRODUCTIVE_PARSE	vom vorigen Gang weiterführen	Führe fort	1	1	1	FORTSETZEN	NO
MC017	okain	okain|qokain	OK+AIN	OK+AIN	NONE	LITERAL_PRODUCTIVE_PARSE	eine Portion zugeben	Gib einen gezählten Anteil zu	7	2	2	ANSETZEN -> PORTION	NO
MC018	qotedaiin	qotedaiin	OT+E+AIIN	OT+E+AIIN	NONE	LITERAL_PRODUCTIVE_PARSE	kurzes Folgemass	Stelle den kurzen Folgewert ein	1	1	1	DANACH -> KURZ -> SOLLMAß	NO
MC019	oldy	oldy	OL+CLOSE	OL+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Fortsetzung abschließen	Führe fort und schließe	2	1	1	FORTSETZEN -> SCHLUSS	NO
MC020	solkeey	solkeey	SOLK+EE+Y	SOLK+EE+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger sammeln	Sammle länger	1	1	1	SAMMELN -> LÄNGER -> DIESER POSTEN	NO
MC021	oltchy	oltchy	OL+CTH+Y	OL+CTH+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereiten Posten weiterführen	Führe den bereiten Posten fort	1	1	1	FORTSETZEN -> BEREIT -> DIESER POSTEN	NO
MC022	chckhal	chckhal	CKH+AL	CKH+AL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	zur Zielstelle durchleiten	Leite zum Ziel durch	1	1	1	DURCHLASS -> ZIELSTELLE	NO
MC023	kair	kair	AIR	AIR	NONE	LITERAL_PRODUCTIVE_PARSE	Beckenwasser	Nutze den Wasserlauf	1	1	1	LAUFFLÜSSIGKEIT	NO
MC024	qokol	qokol	OK+OL	OK+OL	NONE	LITERAL_PRODUCTIVE_PARSE	Fortsetzung ansetzen	Setze die Fortsetzung	1	1	1	ANSETZEN -> FORTSETZEN	NO
MC025	dchedy	dchedy|schedy|tchedy	CHD+CLOSE	CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Posten überführen; Schluss	Übertrage und schließe	4	3	3	UMSETZEN -> SCHLUSS	NO
MC026	choky	choky|oky|qoky	OK+Y	OK+Y	NONE	LITERAL_PRODUCTIVE_PARSE	aktuellen Posten ansetzen	Setze den aktuellen Posten	10	3	3	ANSETZEN -> DIESER POSTEN	NO
MC027	oykchor	oykchor	Y+KCH+OR	Y+KCH+OR	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	aktuellen Ansatz bearbeiten	Bearbeite den aktuellen Ansatz	1	1	1	DIESER POSTEN -> BEARBEITEN -> ANSATZ	NO
MC028	olchedy	olchedy|qolchedy	OL+CHD+CLOSE	OL+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	weiterüberführen; Schluss	Übertrage weiter und schließe	3	2	2	FORTSETZEN -> UMSETZEN -> SCHLUSS	NO
MC029	lar	lar	L+AR	L+AR	NONE	LITERAL_PRODUCTIVE_PARSE	von dort abfuehren	Führe vom Ausgang ab	1	1	1	ABFÜHREN -> QUELLE	NO
MC030	lo	lo	L	L	NONE	LITERAL_PRODUCTIVE_PARSE	abfuehren	Führe ab	1	1	1	ABFÜHREN	NO
MC031	dalchdy	dalchdy	AL+CHD+CLOSE	AL+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	dorthin umsetzen; Schluss	Übertrage zum Ziel und schließe	1	1	1	ZIELSTELLE -> UMSETZEN -> SCHLUSS	NO
MC032	cheeky	cheeky	CHK+EE+Y	CHK+EE+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger erwärmen und offen halten	Wärme länger	2	1	1	WÄRMEN -> LÄNGER -> DIESER POSTEN	NO
MC033	oiiin	oiiin|soiiin	IIN	IIN	NONE	LITERAL_PRODUCTIVE_PARSE	Sollstufe	Stelle die Stufe ein	2	2	2	STUFE	NO
MC034	cho	cho|sho	HO	HO	NONE	LEXICAL_ROOT_ONLY	Zutat	Nimm den Eingangsposten	4	2	2	ZUTAT	NO
MC035	chckhy	chckhy|shckhy	CKH+Y	CKH+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	durchleiten	Leite den aktuellen Posten durch	4	2	2	DURCHLASS -> DIESER POSTEN	NO
MC036	solkaiin	solkaiin	SOLK+AIIN	SOLK+AIIN	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bis Sollmass sammeln	Sammle bis zum Vorgabewert	1	1	1	SAMMELN -> SOLLMAß	NO
MC037	tchody	tchody	HO+CLOSE	HO+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Eingangsposten beiseitestellen; Schluss	Stelle den Eingangsposten beiseite und schließe	1	1	1	ZUTAT -> SCHLUSS	NO
MC038	lshedy	lshedy	WASH+CLOSE	CLOSE	WASH	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	waschen; Schluss	Wasche und schließe	2	1	1	WASCHEN -> SCHLUSS	NO
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	AIIN	NONE	RENDERER_ALIAS_PLUS_PRODUCTIVE_PARSE	Sollmaß	Stelle den Vorgabewert ein	20	5	5	SOLLMAß	NO
MC040	okal	okal|qokal	OK+AL	OK+AL	NONE	LITERAL_PRODUCTIVE_PARSE	dort ansetzen	Setze am Ziel	6	2	2	ANSETZEN -> ZIELSTELLE	NO
MC041	okchol	okchol	OK+OL	OK+OL	NONE	LITERAL_PRODUCTIVE_PARSE	weiterlaufenden Posten aufnehmen	Setze die Fortsetzung	1	1	1	ANSETZEN -> FORTSETZEN	NO
MC042	cheedar	cheedar	CHD+AR	CHD+AR	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	von dort umsetzen	Übertrage vom Ausgang	1	1	1	UMSETZEN -> QUELLE	NO
MC043	shecthedchy	shecthedchy	CTH+CHD+Y	CTH+CHD+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereiten Posten umsetzen	Übertrage den bereiten Posten	1	1	1	BEREIT -> UMSETZEN -> DIESER POSTEN	NO
MC044	qokar	qokar	OK+AR	OK+AR	NONE	LITERAL_PRODUCTIVE_PARSE	daraus ansetzen	Setze vom Ausgang aus an	1	1	1	ANSETZEN -> QUELLE	NO
MC045	olkeedy	olkeedy|solkeedy	SOLK+EE+CLOSE	SOLK+EE+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger sammeln; Schluss	Sammle länger und schließe	3	2	2	SAMMELN -> LÄNGER -> SCHLUSS	NO
MC046	raly	raly	AL+Y	AL+Y	NONE	LITERAL_PRODUCTIVE_PARSE	diesen Posten dorthin	Führe den aktuellen Posten zum Ziel	1	1	1	ZIELSTELLE -> DIESER POSTEN	NO
MC047	ykain	ykain	Y+AIN	Y+AIN	NONE	LITERAL_PRODUCTIVE_PARSE	Postenportion	Nimm einen Anteil des Postens	1	1	1	DIESER POSTEN -> PORTION	NO
MC048	kaiiin	kaiiin	IIN	IIN	NONE	LITERAL_PRODUCTIVE_PARSE	Weichstufe	Stelle die Stufe ein	1	1	1	STUFE	NO
MC049	schoal	schoal	HO+AL	HO+AL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutat an die Arbeitsstelle geben	Führe den Eingangsposten zum Ziel	1	1	1	ZUTAT -> ZIELSTELLE	NO
MC050	solkey	solkey	SOLK+E+Y	SOLK+E+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz sammeln	Sammle kurz	1	1	1	SAMMELN -> KURZ -> DIESER POSTEN	NO
MC051	lchedal	lchedal	L+CHD+AL	L+CHD+AL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	zur Ablaufstelle führen	Führe zum Ziel ab	1	1	1	ABFÜHREN -> UMSETZEN -> ZIELSTELLE	NO
MC052	qekey	qekey	KCH+E+Y	KCH+E+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	aktuellen Posten kurz bearbeiten	Bearbeite den aktuellen Posten kurz	1	1	1	BEARBEITEN -> KURZ -> DIESER POSTEN	NO
MC053	otol	otol	OT+OL	OT+OL	NONE	LITERAL_PRODUCTIVE_PARSE	danach fortsetzen	Danach führe fort	1	1	1	DANACH -> FORTSETZEN	NO
MC054	qokaly	qokaly	OK+AL+Y	OK+AL+Y	NONE	LITERAL_PRODUCTIVE_PARSE	dies dort ansetzen	Setze den aktuellen Posten am Ziel	1	1	1	ANSETZEN -> ZIELSTELLE -> DIESER POSTEN	NO
MC055	char	char|dar|sar	AR	AR	NONE	LITERAL_PRODUCTIVE_PARSE	aus dem Ansatz	Nimm vom Ausgang	5	3	3	QUELLE	NO
MC056	ral	ral	AL	AL	NONE	LITERAL_PRODUCTIVE_PARSE	zur Zielstelle	Führe zum Ziel	1	1	1	ZIELSTELLE	NO
MC057	otchedy	otchedy|qotchedy	OT+CHD+CLOSE	OT+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	nächsten Posten überführen; Schluss	Übertrage den Folgeposten und schließe	2	2	2	DANACH -> UMSETZEN -> SCHLUSS	NO
MC058	sheckhal	sheckhal	CKH+E+AL	CKH+E+AL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz zur Zielstelle durchleiten	Leite kurz zum Ziel durch	1	1	1	DURCHLASS -> KURZ -> ZIELSTELLE	NO
MC059	dain	dain	DAIN	NONE	DAIN	MEMORIZED_WHOLE	Tuch	Nimm den Abdeckträger	2	1	0	TUCH	NO
MC060	otaiin	otaiin|sotaiin	OT+AIIN	OT+AIIN	NONE	LITERAL_PRODUCTIVE_PARSE	Folgemaß	Stelle den Folgewert ein	3	2	2	DANACH -> SOLLMAß	NO
MC061	sshkchdy	sshkchdy	SH+KCH+CHD+CLOSE	SH+KCH+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	im Arbeitsgang schwenken; Schluss	Halte, bearbeite, übertrage und schließe	1	1	1	HALTEN -> BEARBEITEN -> UMSETZEN -> SCHLUSS	NO
MC062	shoyty	shoyty	HO+Y+TY	HO+Y+TY	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutatenteil	Nimm einen Teil des Eingangspostens	1	1	1	ZUTAT -> DIESER POSTEN -> TEIL	NO
MC063	oteey	oteey	OT+EE+Y	OT+EE+Y	NONE	LITERAL_PRODUCTIVE_PARSE	langer Folgeposten	Nimm den nächsten Posten in langer Stufe	2	1	1	DANACH -> LÄNGER -> DIESER POSTEN	NO
MC064	chedchy	chedchy	CHD+Y	CHD+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten überführen	Übertrage den aktuellen Posten	1	1	1	UMSETZEN -> DIESER POSTEN	NO
MC065	ls	ls	L	L	NONE	LITERAL_PRODUCTIVE_PARSE	Durchlassöffnung	Nutze den Auslass	1	1	1	ABFÜHREN	NO
MC066	lcheey	lcheey	L+CHEEY	L	CHEEY	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Klarlauf abfuehren	Führe den freigegebenen Wert ab	1	1	1	ABFÜHREN -> KLARAUSZUG	NO
MC067	otchdy	otchdy	OT+CHD+CLOSE	OT+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Folgegang vollziehen; Schluss	Übertrage den Folgeposten und schließe	1	1	1	DANACH -> UMSETZEN -> SCHLUSS	NO
MC068	sotodan	sotodan	OT+DAN	OT	DAN	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	danach anwenden	Wende danach an	1	1	1	DANACH -> ANWENDEN	NO
MC069	otytchol	otytchol	OT+TY+OL	OT+TY+OL	NONE	LITERAL_PRODUCTIVE_PARSE	naechsten Teilposten weiterfuehren	Führe den nächsten Teil fort	1	1	1	DANACH -> TEIL -> FORTSETZEN	NO
MC070	pchedy	pchedy	P+CHD+CLOSE	P+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	einführen; Schluss	Führe ein und schließe	1	1	1	ZUFÜHREN -> UMSETZEN -> SCHLUSS	NO
MC071	dchey	dchey	DCHE+Y	Y	DCHE	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	Wurzel als aktueller Posten	Nimm die Wurzel als aktuellen Posten	1	1	1	WURZEL -> DIESER POSTEN	NO
MC072	orain	orain	OR+AIN	OR+AIN	NONE	LITERAL_PRODUCTIVE_PARSE	Ansatzportion	Nimm einen Anteil des Ansatzes	1	1	1	ANSATZ -> PORTION	NO
MC073	qcthey	qcthey|shcthey	CTH+E+Y	CTH+E+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz bereithalten	Halte kurz bereit	2	2	2	BEREIT -> KURZ -> DIESER POSTEN	NO
MC074	chdy	chdy|chedy	CHD+Y	CHD+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	laufenden Posten umsetzen	Übertrage den aktuellen Posten	11	2	2	UMSETZEN -> DIESER POSTEN	NO
MC075	ycheor	ycheor	Y+CHEO+OR	Y+CHEO+OR	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszugsansatz	Bereite den Auszugsansatz	1	1	1	DIESER POSTEN -> AUSZUG -> ANSATZ	NO
MC076	dsheol	dsheol	SH+E+OL	SH+E+OL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz weiter ruhen lassen	Halte kurz und führe fort	1	1	1	HALTEN -> KURZ -> FORTSETZEN	NO
MC077	kchal	kchal	KCH+AL	KCH+AL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	an der Zielstelle bearbeiten	Bearbeite am Ziel	1	1	1	BEARBEITEN -> ZIELSTELLE	NO
MC078	olsaly	olsaly	AL+Y	AL+Y	NONE	LITERAL_PRODUCTIVE_PARSE	untere Zielstelle	Führe den Posten zur unteren Zielstelle	1	1	1	ZIELSTELLE -> DIESER POSTEN	NO
MC079	daldy	daldy	AL+CLOSE	AL+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Nebenoeffnung; Schluss	Schließe das Ziel	1	1	1	ZIELSTELLE -> SCHLUSS	NO
MC080	chor	chor|or|shor|sor	OR	OR	NONE	LITERAL_PRODUCTIVE_PARSE	Ansatz	Bereite den Ansatz	7	4	4	ANSATZ	NO
MC081	okair	okair	OK+AIR	OK+AIR	NONE	LITERAL_PRODUCTIVE_PARSE	Wasser einlassen	Öffne den Wasserlauf	1	1	1	ANSETZEN -> LAUFFLÜSSIGKEIT	NO
MC082	qokeedy	qokeedy	OK+EE+CLOSE	OK+EE+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger ansetzen; Schluss	Setze länger und schließe	10	1	1	ANSETZEN -> LÄNGER -> SCHLUSS	NO
MC083	qokedy	qokedy	OK+E+CLOSE	OK+E+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz ansetzen; Schluss	Setze kurz und schließe	8	1	1	ANSETZEN -> KURZ -> SCHLUSS	NO
MC084	rshedy	rshedy	WASH+CLOSE	CLOSE	WASH	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Waschgang abschließen	Wasche und schließe	1	1	1	WASCHEN -> SCHLUSS	NO
MC085	cheoar	cheoar	CHEO+AR	CHEO+AR	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Auszug entnehmen	Nimm den Auszug vom Ausgang	1	1	1	AUSZUG -> QUELLE	NO
MC086	chety	chety|chty	PARTITION+TY	TY	PARTITION	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Teil abtrennen	Trenne einen Teil ab	2	2	2	TEILEN -> TEIL	NO
MC087	chodaiin	chodaiin	HO+AIIN	HO+AIIN	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutatenmaß	Stelle den Eingangswert ein	1	1	1	ZUTAT -> SOLLMAß	NO
MC088	qokchdy	qokchdy	OK+CHD+CLOSE	OK+CHD+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Umsetzung ansetzen; Schluss	Setze an, übertrage und schließe	3	1	1	ANSETZEN -> UMSETZEN -> SCHLUSS	NO
MC089	skar	skar	SK+AR	AR	SK	PRODUCTIVE_FRAME_PLUS_MEMORIZED_BODY	vom Ausgang ausgießen	Gieße vom Ausgang aus	1	1	1	AUSGIESSEN -> QUELLE	NO
MC090	kchol	kchol	KCH+OL	KCH+OL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	weiter bearbeiten	Bearbeite weiter	1	1	1	BEARBEITEN -> FORTSETZEN	NO
MC091	dairydy	dairydy	AIR+Y+CLOSE	AIR+Y+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Wasserlauf schliessen; Schluss	Schließe den Wasserlauf	1	1	1	LAUFFLÜSSIGKEIT -> DIESER POSTEN -> SCHLUSS	NO
MC092	lol	lol	L+OL	L+OL	NONE	LITERAL_PRODUCTIVE_PARSE	von dort weiterfuehren	Führe die Abführung fort	1	1	1	ABFÜHREN -> FORTSETZEN	NO
MC093	otal	otal|qotal	OT+AL	OT+AL	NONE	LITERAL_PRODUCTIVE_PARSE	danach dorthin	Führe danach zum Ziel	3	2	2	DANACH -> ZIELSTELLE	NO
MC094	cheeety	cheeety	EEE+TY	EEE+TY	NONE	LITERAL_PRODUCTIVE_PARSE	ganzen Teilposten	Nimm den ganzen Teil	1	1	1	VOLLSTÄNDIG -> TEIL	NO
MC095	sheey	sheey	SH+EE+Y	SH+EE+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	laenger ruhen	Halte länger	1	1	1	HALTEN -> LÄNGER -> DIESER POSTEN	NO
MC096	qokeedal	qokeedal	OK+EE+AL	OK+EE+AL	NONE	LITERAL_PRODUCTIVE_PARSE	dort länger halten	Halte länger am Ziel	1	1	1	ANSETZEN -> LÄNGER -> ZIELSTELLE	NO
MC097	olkain	olkain|qolkain	OL+AIN	OL+AIN	NONE	LITERAL_PRODUCTIVE_PARSE	weitere Portion	Nimm einen weiteren Anteil	2	2	2	FORTSETZEN -> PORTION	NO
MC098	tshol	tshol	HO+L	HO+L	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Zutat entnehmen	Entnimm den Eingangsposten	1	1	1	ZUTAT -> ABFÜHREN	NO
MC099	cheeckhody	cheeckhody	EE+CKH+HO+CLOSE	EE+CKH+HO+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger auftragen; Schluss	Führe den Eingangsposten länger und schließe	1	1	1	LÄNGER -> DURCHLASS -> ZUTAT -> SCHLUSS	NO
MC100	ody	ody	ODY	NONE	ODY	MEMORIZED_WHOLE	kühlen	Nimm zurück	1	1	0	KÜHLEN	NO
MC101	ldalor	ldalor	AL	AL	NONE	LITERAL_PRODUCTIVE_PARSE	Endziel	Führe zum Endziel	1	1	1	ZIELSTELLE	NO
MC102	rsheal	rsheal	SH+E+AL	SH+E+AL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	kurz am Ziel ruhen	Halte kurz am Ziel	1	1	1	HALTEN -> KURZ -> ZIELSTELLE	NO
MC103	chokchy	chokchy|okchy|qokchy	OK+Y	OK+Y	NONE	LITERAL_PRODUCTIVE_PARSE	Posten zur Weiterbearbeitung ansetzen	Setze den aktuellen Posten	3	3	3	ANSETZEN -> DIESER POSTEN	NO
MC104	keol	keol	E+OL	E+OL	NONE	LITERAL_PRODUCTIVE_PARSE	kurz weiterbearbeiten	Führe kurz fort	1	1	1	KURZ -> FORTSETZEN	NO
MC105	chkain	chkain|kain	AIN	AIN	NONE	LITERAL_PRODUCTIVE_PARSE	eine Portion	Nimm einen Anteil	3	2	2	PORTION	NO
MC106	teol	teol	E+OL	E+OL	NONE	LITERAL_PRODUCTIVE_PARSE	kurz weiterleiten	Führe kurz fort	1	1	1	KURZ -> FORTSETZEN	NO
MC107	qotchy	qotchy	OT+Y	OT+Y	NONE	LITERAL_PRODUCTIVE_PARSE	anschließender Arbeitsposten	Nimm den Folgeposten	1	1	1	DANACH -> DIESER POSTEN	NO
MC108	etyd	etyd	E+TY	E+TY	NONE	LITERAL_PRODUCTIVE_PARSE	kleiner Restteil	Nimm einen kurzen Teil	1	1	1	KURZ -> TEIL	NO
MC109	ytey	ytey	Y+E+TY	Y+E+TY	NONE	LITERAL_PRODUCTIVE_PARSE	kurzen Teil des aktuellen Postens nehmen	Nimm einen kurzen Teil des aktuellen Postens	1	1	1	DIESER POSTEN -> KURZ -> TEIL	NO
MC110	chkeedy	chkeedy	CHK+EE+CLOSE	CHK+EE+CLOSE	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	länger wärmen; Schluss	Wärme länger und schließe	1	1	1	WÄRMEN -> LÄNGER -> SCHLUSS	NO
MC111	shfydaiin	shfydaiin	SH+AIIN	SH+AIIN	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	Standmaß	Halte bis zum Vorgabewert	1	1	1	HALTEN -> SOLLMAß	NO
MC112	octheol	octheol	CTH+OL	CTH+OL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereitgestellten Gang fortsetzen	Führe den bereiten Posten fort	1	1	1	BEREIT -> FORTSETZEN	NO
MC113	shedal	shedal	SHED+AL	SHED+AL	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	dort absetzen	Lass am Ziel absetzen	2	1	1	ABSETZEN -> ZIELSTELLE	NO
MC114	sh	sh	SH	SH	NONE	LEXICAL_ROOT_ONLY	halten	Halte den aktuellen Posten	1	1	1	HALTEN	NO
MC115	qoctholy	qoctholy	CTH+OL+Y	CTH+OL+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	bereiten Posten weiterfuehren	Führe den bereiten Posten fort	1	1	1	BEREIT -> FORTSETZEN -> DIESER POSTEN	NO
MC116	schedair	schedair	AIR	AIR	NONE	LITERAL_PRODUCTIVE_PARSE	Wasser weiterleiten	Nutze den Wasserlauf	1	1	1	LAUFFLÜSSIGKEIT	NO
MC117	kchy	kchy	KCH+Y	KCH+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten bearbeiten	Bearbeite den aktuellen Posten	1	1	1	BEARBEITEN -> DIESER POSTEN	NO
MC118	ly	ly	L+Y	L+Y	NONE	LITERAL_PRODUCTIVE_PARSE	aktuellen Posten abführen	Führe den aktuellen Posten ab	1	1	1	ABFÜHREN -> DIESER POSTEN	NO
MC119	cheey	cheey|shey	CHEEY	NONE	CHEEY	MEMORIZED_WHOLE	klarer Auszug	Lies den freigegebenen Wert	4	2	0	KLARAUSZUG	NO
MC120	okaiin	okaiin|qokaiin	OK+AIIN	OK+AIIN	NONE	LITERAL_PRODUCTIVE_PARSE	auf Sollmaß einstellen	Stelle auf den Vorgabewert ein	9	2	2	ANSETZEN -> SOLLMAß	NO
MC121	otar	otar	OT+AR	OT+AR	NONE	LITERAL_PRODUCTIVE_PARSE	danach von dort	Nimm danach vom Ausgang	1	1	1	DANACH -> QUELLE	NO
MC122	kchey	kchey	KCH+E+Y	KCH+E+Y	NONE	LEXICAL_BODY_PLUS_PRODUCTIVE_SUFFIX	diesen Posten kurz bearbeiten	Bearbeite kurz	1	1	1	BEARBEITEN -> KURZ -> DIESER POSTEN	NO
