card_no	surfaces	component_parse	component_count	short_card_default_de	spoken_as_de	old_portable_role_reading_de	old_role_word_count	old_sentence_sized	case_expansion_policy	composition_status	occurrences	sections	records
PROC012	qotchol	OT+CH+OL	3	DANACH·ABZIEHEN·FORTSETZEN	danach abziehen fortsetzen	danach fortsetzen den laufenden Posten abziehen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H1
PROC013	cheol|chol|ol|qol|sol|tol	OL	1	FORTSETZEN	fortsetzen	fortsetzen	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	19	HERBAL|BIOLOGICAL	H1|H2|B1|B3|B4|B5|B6
PROC014	checthy|cthy|shcthy	CTH+Y	2	BEREIT·DIES	bereit dies	bereit · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H1|H2|H3|B3
PROC015	ycheor	Y+CH+E+OR	4	DIES·ABZIEHEN·KURZ·ANSATZ	dies abziehen kurz ansatz	diesen Posten kurz abziehen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2
PROC016	chor|or|shor|sor	OR	1	ANSATZ	ansatz	Ansatz	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	7	HERBAL|BIOLOGICAL	H2|H4|B3|B4
PROC017	cthaiin	CTH+AIIN	2	BEREIT·MASS	bereit mass	bereit · vorgeschriebenes Maß	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2
PROC018	qoctholy	O+CTH+OL+Y	4	GANG·BEREIT·FORTSETZEN·DIES	gang bereit fortsetzen dies	Arbeitsgang · bereit · fortsetzen · dieser Posten	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2
PROC019	chey|chy|dy|shy|sy|y	Y	1	DIES	dies	dieser Posten	2	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	18	HERBAL|BIOLOGICAL	H2|H3|H4|B1|B2|B3|B4|B6
PROC020	otchor|qotchor	OT+CH+OR	3	DANACH·ABZIEHEN·ANSATZ	danach abziehen ansatz	danach den Ansatz abziehen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL	H2|H5
PROC021	otol	OT+OL	2	DANACH·FORTSETZEN	danach fortsetzen	danach · fortsetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2
PROC022	cholor|olor	OL+OR	2	FORTSETZEN·ANSATZ	fortsetzen ansatz	fortsetzen · Ansatz	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H2|B1
PROC023	oykchor	O+Y+K+OR	4	GANG·DIES·ZUFUEHREN·ANSATZ	gang dies zufuehren ansatz	diesen Posten zuführen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2
PROC024	kaiiin	K+IIN	2	ZUFUEHREN·STUFE	zufuehren stufe	den laufenden Posten zuführen bis Sollstufe	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2
PROC025	chodaiin	CH+O+AIIN	3	ABZIEHEN·GANG·MASS	abziehen gang mass	den Arbeitsgang nach vorgeschriebenes Maß abziehen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H2
PROC026	tshol	T+SH+OL	3	EINTRAGEN·HALTEN·FORTSETZEN	eintragen halten fortsetzen	fortsetzen den laufenden Posten eintragen und halten	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3
PROC027	schoal	SH+O+AL	3	HALTEN·GANG·ZIEL	halten gang ziel	den Arbeitsgang an bezeichnete Stelle halten	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3
PROC028	cfhy	CFH+Y	2	AUSWRINGEN·DIES	auswringen dies	diesen Posten auswringen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	PARTIAL_WITH_LEARNED_ATOM	1	HERBAL	H3
PROC029	shfydaiin	SH+Y+AIIN	3	HALTEN·DIES·MASS	halten dies mass	diesen Posten nach vorgeschriebenes Maß halten	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3
PROC030	cphy	P+Y	2	HINEIN·DIES	hinein dies	diesen Posten hineingeben	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3
PROC031	cheey|shey	SH+EE+Y	3	HALTEN·LANG·DIES	halten lang dies	diesen Posten länger halten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	4	HERBAL|BIOLOGICAL	H3|B2|B4
PROC032	tchody	T+CH+O+DY	4	EINTRAGEN·ABZIEHEN·GANG·SCHLUSS	eintragen abziehen gang schluss	den Arbeitsgang eintragen und abziehen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3
PROC033	shoyty	SH+O+Y+T+Y	5	HALTEN·GANG·DIES·EINTRAGEN·DIES	halten gang dies eintragen dies	diesen Posten halten und eintragen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3
PROC034	dchol|schol	OL	1	FORTSETZEN	fortsetzen	fortsetzen	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL	H3|H5
PROC035	kchy	K+Y	2	ZUFUEHREN·DIES	zufuehren dies	diesen Posten zuführen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3
PROC036	qotchy	OT+Y	2	DANACH·DIES	danach dies	danach · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3
PROC037	okchol	OK+OL	2	ANSETZEN·FORTSETZEN	ansetzen fortsetzen	fortsetzen den laufenden Posten ansetzen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H3
PROC038	okaiin|qokaiin	OK+AIIN	2	ANSETZEN·MASS	ansetzen mass	den laufenden Posten nach vorgeschriebenes Maß ansetzen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	9	HERBAL|BIOLOGICAL	H4|B1|B2|B3
PROC039	ykain	Y+K+AIN	3	DIES·ZUFUEHREN·PORTION	dies zufuehren portion	diesen Posten nach Portion zuführen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4
PROC040	ykan	Y+K+AIN	3	DIES·ZUFUEHREN·PORTION	dies zufuehren portion	diesen Posten nach Portion zuführen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4
PROC041	ody	O+DY	2	GANG·SCHLUSS	gang schluss	Arbeitsgang; Schritt schließen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4
PROC042	chdy|chedy	CHD+Y	2	UMSETZEN·DIES	umsetzen dies	diesen Posten umsetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	11	HERBAL|BIOLOGICAL	H4|B1|B3|B4|B5
PROC043	talam	TALAM	1	VERWAHREN	verwahren	den laufenden Posten verwahren	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	LEARNED_WHOLE_CARD	1	HERBAL	H4
PROC044	ykaiin	Y+K+AIIN	3	DIES·ZUFUEHREN·MASS	dies zufuehren mass	diesen Posten nach vorgeschriebenes Maß zuführen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4
PROC045	cheoar	CH+E+O+AR	4	ABZIEHEN·KURZ·GANG·QUELLE	abziehen kurz gang quelle	den Arbeitsgang von dort kurz abziehen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4
PROC046	cheeky	CHK+EE+Y	3	WAERMEN·LANG·DIES	waermen lang dies	diesen Posten länger wärmen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H4|B4
PROC047	oldy	OL+DY	2	FORTSETZEN·SCHLUSS	fortsetzen schluss	fortsetzen; Schritt schließen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H4|B4
PROC048	okal|qokal	OK+AL	2	ANSETZEN·ZIEL	ansetzen ziel	den laufenden Posten an bezeichnete Stelle ansetzen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	6	HERBAL|BIOLOGICAL	H4|B1|B2|B3
PROC049	oltchy	OL+T+Y	3	FORTSETZEN·EINTRAGEN·DIES	fortsetzen eintragen dies	fortsetzen diesen Posten eintragen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4
PROC050	orain	OR+AIN	2	ANSATZ·PORTION	ansatz portion	Ansatz · Portion	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H4
PROC051	chochor	HO+CH+OR	3	GABE·ABZIEHEN·ANSATZ	gabe abziehen ansatz	den Gabe und Ansatz abziehen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC052	cho|sho	HO	1	GABE	gabe	Gabe	1	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	4	HERBAL	H5
PROC053	chodaly	HO+AL+Y	3	GABE·ZIEL·DIES	gabe ziel dies	Gabe · bezeichnete Stelle · dieser Posten	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC054	kchol	K+OL	2	ZUFUEHREN·FORTSETZEN	zufuehren fortsetzen	fortsetzen den laufenden Posten zuführen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC055	al|chal|cheal|dal|sal|tal	AL	1	ZIEL	ziel	bezeichnete Stelle	2	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	10	HERBAL|BIOLOGICAL	H5|B1|B2|B3|B4|B5
PROC056	choy	HO+Y	2	GABE·DIES	gabe dies	Gabe · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC057	cheeckhody	CH+EE+CKH+O+DY	5	ABZIEHEN·LANG·DURCHLASS·GANG·SCHLUSS	abziehen lang durchlass gang schluss	den Arbeitsgang durch Durchlass länger abziehen; Schritt schließen	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC058	sh	SH	1	HALTEN	halten	den laufenden Posten halten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC059	kchey	K+E+Y	3	ZUFUEHREN·KURZ·DIES	zufuehren kurz dies	diesen Posten kurz zuführen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC060	qokokchy	OK+OK+Y	3	ANSETZEN·ANSETZEN·DIES	ansetzen ansetzen dies	diesen Posten ansetzen und ansetzen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC061	chokcheo	OK+CH+E+O	4	ANSETZEN·ABZIEHEN·KURZ·GANG	ansetzen abziehen kurz gang	den Arbeitsgang kurz ansetzen und abziehen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC062	kchal	K+AL	2	ZUFUEHREN·ZIEL	zufuehren ziel	den laufenden Posten an bezeichnete Stelle zuführen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC063	kchoar	K+HO+AR	3	ZUFUEHREN·GABE·QUELLE	zufuehren gabe quelle	den Gabe von dort zuführen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC064	sotodan	OT+O+AIN	3	DANACH·GANG·PORTION	danach gang portion	danach · Arbeitsgang · Portion	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC065	otchey	OT+Y	2	DANACH·DIES	danach dies	danach · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	HERBAL|BIOLOGICAL	H5|B4
PROC066	keol	K+E+OL	3	ZUFUEHREN·KURZ·FORTSETZEN	zufuehren kurz fortsetzen	fortsetzen den laufenden Posten kurz zuführen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	HERBAL	H5
PROC067	qokedy	OK+E+DY	3	ANSETZEN·KURZ·SCHLUSS	ansetzen kurz schluss	den laufenden Posten kurz ansetzen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	8	BIOLOGICAL	B1|B3|B4
PROC068	kair	K+AIR	2	ZUFUEHREN·LAUF	zufuehren lauf	den laufenden Posten durch laufender Bestand zuführen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC069	chkain|kain	K+AIN	2	ZUFUEHREN·PORTION	zufuehren portion	den laufenden Posten nach Portion zuführen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B3|B4
PROC070	olkain|qolkain	OL+K+AIN	3	FORTSETZEN·ZUFUEHREN·PORTION	fortsetzen zufuehren portion	fortsetzen den laufenden Posten nach Portion zuführen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1|B4
PROC071	rol	R+OL	2	KUEHLEN·FORTSETZEN	kuehlen fortsetzen	fortsetzen den laufenden Posten abkühlen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC072	dl	L	1	FUEHREN	fuehren	den laufenden Posten führen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1
PROC073	sheckhal	SH+E+CKH+AL	4	HALTEN·KURZ·DURCHLASS·ZIEL	halten kurz durchlass ziel	den laufenden Posten an bezeichnete Stelle durch Durchlass kurz halten	10	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC074	qokeedal	OK+EE+AL	3	ANSETZEN·LANG·ZIEL	ansetzen lang ziel	den laufenden Posten an bezeichnete Stelle länger ansetzen	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC075	chckhy|shckhy	CKH+Y	2	DURCHLASS·DIES	durchlass dies	Durchlass · dieser Posten	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	4	BIOLOGICAL	B1|B2
PROC076	dchedy|schedy|tchedy	CHD+DY	2	UMSETZEN·SCHLUSS	umsetzen schluss	den laufenden Posten umsetzen; Schritt schließen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	4	BIOLOGICAL	B1|B2|B3
PROC077	sshkchdy	SH+K+CHD+DY	4	HALTEN·ZUFUEHREN·UMSETZEN·SCHLUSS	halten zufuehren umsetzen schluss	den laufenden Posten halten und zuführen und umsetzen; Schritt schließen	10	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC078	cheedy|shedy|tedy	SHED+DY	2	ABSETZEN·SCHLUSS	absetzen schluss	den laufenden Posten absetzen; Schritt schließen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	12	BIOLOGICAL	B1|B2|B3|B4
PROC079	olchedy|qolchedy	OL+CHD+DY	3	FORTSETZEN·UMSETZEN·SCHLUSS	fortsetzen umsetzen schluss	fortsetzen den laufenden Posten umsetzen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B2|B3
PROC080	okain|qokain	OK+AIN	2	ANSETZEN·PORTION	ansetzen portion	den laufenden Posten nach Portion ansetzen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	7	BIOLOGICAL	B1|B2|B3|B4
PROC081	ral	R+AL	2	KUEHLEN·ZIEL	kuehlen ziel	den laufenden Posten an bezeichnete Stelle abkühlen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC082	qokchdy	OK+CHD+DY	3	ANSETZEN·UMSETZEN·SCHLUSS	ansetzen umsetzen schluss	den laufenden Posten ansetzen und umsetzen; Schritt schließen	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B3|B5
PROC083	cheky	CHK+E+Y	3	WAERMEN·KURZ·DIES	waermen kurz dies	diesen Posten kurz wärmen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B4
PROC084	lsho	LSH+O	2	WASCHEN·GANG	waschen gang	den Arbeitsgang waschen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC085	okey|qokey	OK+E+Y	3	ANSETZEN·KURZ·DIES	ansetzen kurz dies	diesen Posten kurz ansetzen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1|B2
PROC086	lshedy	LSH+E+DY	3	WASCHEN·KURZ·SCHLUSS	waschen kurz schluss	den laufenden Posten kurz waschen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1
PROC087	qolky	SOLK+Y	2	AUFFANGEN·DIES	auffangen dies	diesen Posten auffangen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC088	lchedal	L+CHD+AL	3	FUEHREN·UMSETZEN·ZIEL	fuehren umsetzen ziel	den laufenden Posten an bezeichnete Stelle führen und umsetzen	9	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC089	otar	OT+AR	2	DANACH·QUELLE	danach quelle	danach · von dort	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC090	ytey	T+E+Y	3	EINTRAGEN·KURZ·DIES	eintragen kurz dies	diesen Posten kurz eintragen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC091	okchedy|qokchedy	OK+CHD+DY	3	ANSETZEN·UMSETZEN·SCHLUSS	ansetzen umsetzen schluss	den laufenden Posten ansetzen und umsetzen; Schritt schließen	8	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1|B3
PROC092	okeey|qokeey	OK+EE+Y	3	ANSETZEN·LANG·DIES	ansetzen lang dies	diesen Posten länger ansetzen	4	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	7	BIOLOGICAL	B1|B2|B3|B4
PROC093	teol	E+OL	2	KURZ·FORTSETZEN	kurz fortsetzen	kurz · fortsetzen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC094	dchdy	CHD+DY	2	UMSETZEN·SCHLUSS	umsetzen schluss	den laufenden Posten umsetzen; Schritt schließen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC095	ly	L+Y	2	FUEHREN·DIES	fuehren dies	diesen Posten führen	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC096	dsheol	SH+E+OL	3	HALTEN·KURZ·FORTSETZEN	halten kurz fortsetzen	fortsetzen den laufenden Posten kurz halten	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B1
PROC097	oiiin|soiiin	O+IIN	2	GANG·STUFE	gang stufe	Arbeitsgang · Sollstufe	3	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	2	BIOLOGICAL	B1|B3
PROC098	olkeedy|solkeedy	SOLK+EE+DY	3	AUFFANGEN·LANG·SCHLUSS	auffangen lang schluss	den laufenden Posten länger auffangen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B3
PROC099	shckhedy	SH+CKH+E+DY	4	HALTEN·DURCHLASS·KURZ·SCHLUSS	halten durchlass kurz schluss	den laufenden Posten durch Durchlass kurz halten; Schritt schließen	9	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	3	BIOLOGICAL	B1|B4
PROC100	qokeedy	OK+EE+DY	3	ANSETZEN·LANG·SCHLUSS	ansetzen lang schluss	den laufenden Posten länger ansetzen; Schritt schließen	7	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	10	BIOLOGICAL	B2|B3|B4
PROC101	lcheckhy	L+CKH+Y	3	FUEHREN·DURCHLASS·DIES	fuehren durchlass dies	diesen Posten durch Durchlass führen	5	NO	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC102	lched	L+CHD	2	FUEHREN·UMSETZEN	fuehren umsetzen	den laufenden Posten führen und umsetzen	6	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2
PROC103	lcheckhedy	L+CKH+E+DY	4	FUEHREN·DURCHLASS·KURZ·SCHLUSS	fuehren durchlass kurz schluss	den laufenden Posten durch Durchlass kurz führen; Schritt schließen	9	YES	USE_OWNER_AND_CASE_LEDGER__NOT_CARD_DICTIONARY	COMPOSITIONAL	1	BIOLOGICAL	B2
