surface	working_meaning_de	composition	strongest_rival_de	family
qotedal	miss eine Portion kalten Rohstoff I ab	QO_COMMAND+T_COLD+E_MIDDLE+D_MEASURE+AL_RAW_I	kalte Rohstoffdosis, Mittelstufe	MEASURE
kechy	erhitze die Droge mäßig, trockne sie leicht	K_HOT+E_MIDDLE+CH_DRY+Y_START_OR_CLOSE	mäßig erhitzte Trockendroge	HEAT_DRY
oeedaiin	drei Dosen vollständig geführten Ansatz	O_PREP+EE_END+D_MEASURE+AIIN_III	drei Teile Ansatz auf Endstufe	DOSE
qokeedain	erhitze vollständig und miss zwei Dosen ab	QO_COMMAND+K_HOT+EE_END+D_MEASURE+AIN_II	zwei Dosen vollständig erhitzter Ansatz	DOSE
alchedy	Rohdroge I mäßig trocknen und fertigstellen	AL_RAW_I+CH_DRY+E_MIDDLE+DY_FINISHED	fertige mäßig getrocknete Rohdroge	DRY
shsodaiin	drei Dosen eingeweichten Saatgutansatz	SH_MOIST+SOL_SEED_PREP+D_MEASURE+AIIN_III	drei Dosen feuchte Arzneispecies	SOAK
sheky	weiche bis zur Mittelstufe ein und erwärme leicht	SH_MOIST+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	mäßig warmes Feuchtgut	SOAK_HEAT
qokod	erhitze den Ansatz und schließe ab	QO_COMMAND+K_HOT+O_PREP+D_TERM_CLOSE	fertiger Heißansatz	HEAT
kald	erhitzte Rohdroge I abschließen	K_HOT+AL_RAW_I+D_TERM_CLOSE	ziehe Rohdroge I warm ab	HEAT
oteol	kalter Drogenstoff bis zur Mittelstufe	O_PREP+T_COLD+E_MIDDLE+OL_MATERIAL	mäßig gekühlter Auszug	COLD
cholchom	ein Maß getrockneten Drogenstoff	CH_DRY+OL_MATERIAL+CH_DRY+O_PREP+AM_UNIT_I	Trockenansatz aus zweimal getrocknetem Stoff	MEASURE
ychy	trockne hiervon leicht	Y_REFERENCE+CH_DRY+Y_START_OR_CLOSE	leicht getrocknete Droge	DRY
yko	erhitze hiervon den Ansatz	Y_REFERENCE+K_HOT+O_PREP	hiervon heißer Ansatz	HEAT
qoeees	führe den Ansatz bis zur letzten Stufe und schließe	QO_COMMAND+EEE_LONG_OR_FINAL+S_TERM_SPECIES	letzte Arzneispecies	FINISH
ychoees	trockne hiervon den Ansatz bis zur letzten Stufe	Y_REFERENCE+CH_DRY+O_PREP+EEE_LONG_OR_FINAL+S_TERM_SPECIES	fertige Trockencharge	DRY
doky	eine Dosis Ansatz leicht erhitzen	D_MEASURE+O_PREP+K_HOT+Y_START_OR_CLOSE	leicht erhitzte Ansatzdosis	DOSE
ddor	eine Dosis Wurzelportion abmessen	D_MEASURE+D_MEASURE+OR_PORTION	zweite abgemessene Portion	ROOT
ytym	kühle hiervon leicht; eine Handvoll	Y_REFERENCE+T_COLD+Y_START_OR_CLOSE+MANIPULUS_SIGLUM	nimm hiervon eine Handvoll Kaltgut	MEASURE
qoear	nimm die erste Fraktion auf Mittelstufe	QO_COMMAND+E_MIDDLE+AR_FRACTION_I	führe Fraktion I zur Mittelstufe	FRACTION
ychol	nimm hiervon den getrockneten Drogenstoff	Y_REFERENCE+CH_DRY+OL_MATERIAL	hiervon Trockenrückstand	DRY_MATERIAL
shotchor	eingeweichter kalter Pflanzenteil	SH_MOIST+O_PREP+T_COLD+CHOR_PLANT_PART	kalt angesetzter Pflanzenteil	PLANT
ykeeb	erhitze hiervon vollständig im Bad	LEARNED_YKEEB_WHOLE	hiervon vollständig erhitzter Ansatz	HEAT
yches	trockne hiervon bis zur Endstufe und schließe die Charge	Y_REFERENCE+CH_DRY+EE_END+S_TERM_SPECIES	fertige Trockenspecies	DRY
oldam	ein Maß fertigen Holzdrogenansatz	O_PREP+L_WOOD+D_MEASURE+AM_UNIT_I	ein Maß Holzauszug	MEASURE
chetchaiin	getrocknete Kaltdroge, Stufe III	CH_DRY+E_MIDDLE+T_COLD+CH_DRY+AIIN_III	drei Teile mäßig getrocknete Kaltdroge	DRY_COLD
tch	kalt trocknen	T_COLD+CH_DRY	kalte Trockendroge	COLD_DRY
chd	Trocknung abschließen	CH_DRY+D_TERM_CLOSE	getrocknete Dosis	DRY
choy	Trockenansatz leicht abschließen	CH_DRY+O_PREP+Y_START_OR_CLOSE	leicht getrockneter Ansatz	DRY
chekl	getrocknete Droge mäßig erwärmen, mit Holzdroge	CH_DRY+E_MIDDLE+K_HOT+L_WOOD	mäßig erhitztes Trockenholz	HEAT_DRY
qot	kühle den Ansatz	QO_COMMAND+T_COLD	kalte Portion	COLD
qotcham	nimm ein Maß kalte Trockendroge	QO_COMMAND+T_COLD+CH_DRY+AM_UNIT_I	kalter Trockenansatz, ein Maß	MEASURE
qocheor	nimm die erste getrocknete Drogenportion	QO_COMMAND+CH_DRY+E_MIDDLE+OR_PORTION	trockne eine Portion mäßig	PORTION
sheam	ein Maß eingeweichte Droge	SH_MOIST+E_MIDDLE+AM_UNIT_I	weiche ein Maß bis zur Mittelstufe	MEASURE
kary	erhitze die erste Fraktion leicht	K_HOT+AR_FRACTION_I+Y_START_OR_CLOSE	leicht erhitzte Fraktion I	FRACTION
dey	Dosis bis zur Mittelstufe fertigstellen	D_MEASURE+E_MIDDLE+Y_START_OR_CLOSE	zweite Dosis	DOSE
ykchey	erhitze hiervon und trockne bis zur Mittelstufe	Y_REFERENCE+K_HOT+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	mäßig erhitzte Trockendroge	HEAT_DRY
dairl	zweite Fraktion Holzdroge	D_MEASURE+AIR_FRACTION_II+L_WOOD	zweite abgemessene Holzfraktion	WOOD
otydal	miss kalten Ansatz leicht als Rohstoff I ab	O_PREP+T_COLD+Y_START_OR_CLOSE+D_MEASURE+AL_RAW_I	Dosis leicht gekühlter Rohdroge	MEASURE
cheos	getrockneten Ansatz als Charge abschließen	CH_DRY+E_MIDDLE+O_PREP+S_TERM_SPECIES	getrocknete Ansatzspecies	DRY
chtedy	Trocknung und Kühlung bis zur Mittelstufe fertigstellen	CH_DRY+T_COLD+E_MIDDLE+DY_FINISHED	fertige kaltgetrocknete Droge	COLD_DRY
qotchar	nimm die erste kalte Trockenfraktion	QO_COMMAND+T_COLD+CH_DRY+AR_FRACTION_I	kühle und trockne Fraktion I	FRACTION
sheeod	Einweichung vollständig abschließen	SH_MOIST+EE_END+O_PREP+D_TERM_CLOSE	vollständig eingeweichter Ansatz	SOAK
chokeeody	Trockenansatz vollständig erhitzen und fertigstellen	CH_DRY+O_PREP+K_HOT+EE_END+O_PREP+DY_FINISHED	fertiger heißer Trockenansatz	HEAT_DRY
shtaiin	feuchte Kaltdroge auf Stufe III	SH_MOIST+T_COLD+AIIN_III	drei Teile kalt eingeweichte Droge	SOAK_COLD
chokody	getrockneten Ansatz erhitzen und fertigstellen	CH_DRY+O_PREP+K_HOT+O_PREP+DY_FINISHED	fertiger heißer Trockenansatz	HEAT_DRY
ykchol	erhitze hiervon den getrockneten Drogenstoff	Y_REFERENCE+K_HOT+CH_DRY+OL_MATERIAL	hiervon heißer Trockenrückstand	HEAT_DRY
tcheody	kalten Trockenansatz bis zur Mittelstufe fertigstellen	T_COLD+CH_DRY+E_MIDDLE+O_PREP+DY_FINISHED	fertiger mäßig kaltgetrockneter Ansatz	COLD_DRY
yokeey	erhitze hiervon den Ansatz vollständig und schließe	Y_REFERENCE+O_PREP+K_HOT+EE_END+Y_START_OR_CLOSE	vollständig erhitzter Ansatz	HEAT
ychocthy	trockne hiervon die Krautdroge leicht	Y_REFERENCE+CH_DRY+O_PREP+CTH_HERB+Y_START_OR_CLOSE	leichter Trockenansatz aus Kraut	HERB
ykaiir	nimm hiervon die dritte erhitzte Fraktion	Y_REFERENCE+K_HOT+AIIR_FRACTION_III	heiße Fraktion III	FRACTION
ksho	erhitze den Feuchtansatz	K_HOT+SH_MOIST+O_PREP	heiß eingeweichte Droge	SOAK_HEAT
tchain	kalte Trockendroge, Stufe II	T_COLD+CH_DRY+AIN_II	zwei Teile kaltgetrocknete Droge	COLD_DRY
sheoldy	fertiger Auszug aus eingeweichtem Drogenstoff	SH_MOIST+E_MIDDLE+OL_MATERIAL+DY_FINISHED	fertiger eingeweichter Grundansatz	EXTRACT
qokaly	erhitze Rohdroge I leicht und schließe	QO_COMMAND+K_HOT+AL_RAW_I+Y_START_OR_CLOSE	leicht erhitzte Rohdroge I	HEAT
qocthol	nimm den Krautdrogenstoff	QO_COMMAND+CTH_HERB+OL_MATERIAL	führe Krautansatz aus	HERB
octham	ein Maß Krautansatz	O_PREP+CTH_HERB+AM_UNIT_I	ein Maß Ansatzwasser für Kraut	MEASURE
qokom	nimm ein Maß erhitzten Ansatz	QO_COMMAND+K_HOT+O_PREP+AM_UNIT_I	erhitze ein Maß Ansatz	MEASURE
chkar	erhitze die erste Trockenfraktion	CH_DRY+K_HOT+AR_FRACTION_I	heiße Trockenfraktion I	FRACTION
olshees	Holzdrogenansatz vollständig einweichen; Charge schließen	O_PREP+L_WOOD+SH_MOIST+EE_END+S_TERM_SPECIES	vollständig eingeweichte Holzspecies	SOAK
qolain	gib zwei Teile Drogenstoff hinzu	QOL_ADD+AIN_II	Drogenstoffzugabe Stufe II	ADD
olchdar	erste abgemessene Trockenfraktion aus Holzdrogenansatz	O_PREP+L_WOOD+CH_DRY+D_MEASURE+AR_FRACTION_I	getrocknete Holzfraktion I	WOOD
chkorol	heiß getrocknete Wurzelportion	CH_DRY+K_HOT+OR_PORTION+OL_MATERIAL	heißer Trockenstoff, eine Portion	ROOT
dairol	zweite Fraktion Drogenstoff abmessen	D_MEASURE+AIR_FRACTION_II+OL_MATERIAL	zweite Fraktion Auszug	FRACTION
olchdy	Holzdrogenansatz trocknen und fertigstellen	O_PREP+L_WOOD+CH_DRY+DY_FINISHED	fertiger getrockneter Holzauszug	WOOD
tshedor	kalten Einweichvorgang abschließen; eine Portion	T_COLD+SH_MOIST+E_MIDDLE+D_TERM_CLOSE+OR_PORTION	eine Portion fertig gekühlter Feuchtdroge	SOAK_COLD
qokedar	erhitze bis zur Mittelstufe und miss Fraktion I ab	QO_COMMAND+K_HOT+E_MIDDLE+D_MEASURE+AR_FRACTION_I	erhitzte Fraktion I, Mittelstufe	FRACTION
qolsheey	gib vollständig eingeweichte Droge hinzu	QOL_ADD+SH_MOIST+EE_END+Y_START_OR_CLOSE	vollständige Feuchtstoffzugabe	ADD
otlol	kalter Ansatz aus Holzdrogenstoff	O_PREP+T_COLD+L_WOOD+OL_MATERIAL	gekühlter Holzauszug	WOOD
sheeky	vollständig einweichen, dann leicht erwärmen	SH_MOIST+EE_END+K_HOT+Y_START_OR_CLOSE	vollständig warmes Feuchtgut	SOAK_HEAT
sshkchdy	Saatgutkompositum einweichen, erhitzen, trocknen und fertigstellen	S_SEED+SH_MOIST+K_HOT+CH_DRY+DY_FINISHED	fertiges feucht-heißes Trockenkompositum	COMPOSITE
dedy	Dosis bis zur Mittelstufe fertigstellen	D_MEASURE+E_MIDDLE+DY_FINISHED	fertige Dosis II	DOSE
dairydy	zweite Fraktion abmessen und fertigstellen	D_MEASURE+AIR_FRACTION_II+Y_START_OR_CLOSE+DY_FINISHED	fertige zweite Fraktion	FRACTION
cheg	getrocknete Droge vollständig als Gran	LEARNED_CHEG_WHOLE	Trocknung vollständig abschließen	MEASURE
lched	Holzdroge trocknen und abschließen	L_WOOD+CH_DRY+E_MIDDLE+D_TERM_CLOSE	fertig getrocknetes Holz	WOOD
qolteedy	gib vollständig gekühlte Droge hinzu und schließe ab	QOL_ADD+T_COLD+EE_END+DY_FINISHED	fertige Kaltstoffzugabe	ADD
olfar	erste Blütenfraktion des Holzdrogenansatzes	O_PREP+L_WOOD+F_FLOWER+AR_FRACTION_I	erste Fraktion Holzauszug	FLOWER
okeeeykeey	Ansatz vollständig erhitzen; nochmals vollständig erhitzen	O_PREP+K_HOT+EEE_LONG_OR_FINAL+Y_REFERENCE+K_HOT+EE_END+Y_START_OR_CLOSE	lang erhitzter Ansatz, abgeschlossen	HEAT
chorolk	Pflanzenteil im Drogenstoff erhitzen	CHOR_PLANT_PART+OL_MATERIAL+K_HOT	heißer Auszug aus Pflanzenteil	PLANT
ckheckhy	Arzneikompositum trocknen, nochmals als Kompositum leicht schließen	CKH_COMPOSITE+E_MIDDLE+CKH_COMPOSITE+Y_START_OR_CLOSE	zweifach gebundenes Trockenkompositum	COMPOSITE
olkaycthy	Holzdrogenansatz erhitzen und Krautdroge leicht trocknen	O_PREP+L_WOOD+K_HOT+Y_REFERENCE+CTH_HERB+Y_START_OR_CLOSE	heißer Holz-Kraut-Ansatz	HERB
dolas	eine Dosis Holzdrogenansatz als Arzneispecies	D_MEASURE+O_PREP+L_WOOD+A_PART_OR_LINK+S_TERM_SPECIES	Dosis Holzauszug, gleicher Anteil	DOSE
olkees	Holzdrogenansatz vollständig erhitzen; Charge schließen	O_PREP+L_WOOD+K_HOT+EE_END+S_TERM_SPECIES	vollständig erhitzte Holzspecies	WOOD
odol	eine Dosis Holzdrogenstoff	O_PREP+D_MEASURE+O_PREP+L_WOOD	abgezogener Holzauszug	DOSE
agairom	zweite Fraktion als ein Maß abnehmen	LEARNED_AGAIROM_WHOLE	ein Maß Wurzeldroge	MEASURE
ctheol	Krautdrogenstoff bis zur Mittelstufe trocknen	CTH_HERB+E_MIDDLE+OL_MATERIAL	mäßiger Krautauszug	HERB
chshoty	getrockneten Feuchtansatz leicht kühlen	CH_DRY+SH_MOIST+O_PREP+T_COLD+Y_START_OR_CLOSE	kalt getrockneter Feuchtansatz	COLD_DRY
cphol	Pulverstoff aus Blütenfraktion	LEARNED_CPHOL_WHOLE	getrockneter Pulverstoff	POWDER
