rank	locus	zl3b_line	manual_workshop_translation_de	notes
11	f18v.10	yko dshy dair ykol dom	Erhitze hiervon einen Ansatz. Eine Dosis leicht angefeuchtete Droge und die abgemessene zweite Fraktion; erhitze hiervon den Drogenstoff und miss eine Handvoll Ansatz ab.	yko regiert den Ansatz, ykol den Drogenstoff; dom allein trägt die Handvoll.
12	f18v.2	qoeees or oaiin shy okshy qokchy qokchy s g	Nimm eine Charge der letzten Stufe: Drogenportion; Ansatzmenge III; leicht angefeuchtet; heiß-feuchter Ansatz auf der Anfangsstufe; zweimal heiß angetrocknet; Saatgutposten. Schließe den vorstehenden Rezeptposten ab.	qoeees ist Charge plus Endstufe; freies g folgt dem GDT666-Kontextaudit als Postenabschluss.
13	f18v.9	okchor qotchy qokchy ytol doky dy	Eine Portion heiß-trockene Droge im Ansatz zunächst kalt, danach heiß antrocknen. Kühle hiervon den Drogenstoff; miss einen Ansatz ab, erhitze ihn leicht und schließe ab.	doky enthält Abmessen, leichtes Erhitzen und Abschluss; dy bleibt im sichtbaren Schlussverband.
14	f19v.9	ychor oky chor ytol chol oky ddor	Nimm hiervon den Pflanzenteil; leicht erhitzter Ansatz; Pflanzenteil. Kühle hiervon den Drogenstoff. Trockengut; leicht erhitzter Ansatz; miss eine Portion als Dosis ab.	ddor als gelernte doppelte d-Messform, nicht als zwei Portionen.
15	f24v.9	ychol chol or chor om	Trockne hiervon den Drogenstoff. Trockengut; dazu eine Drogenportion mit Pflanzenteil und eine Handvoll Ansatz.	Kurze Herbal-Anweisung; chol bleibt als Trockengut sichtbar, or und om tragen die beiden unterschiedlichen Mengen.
16	f35v.15	ykol cheol okchy tch	Erhitze hiervon den trockenen Drogenstoff; bringe ihn als heiß-trockenen Ansatz auf die Anfangsstufe, kühle ihn anschließend ab und trockne ihn nach.	tch verlangt sichtbar Abkühlen und Trocknen, nicht bloß einen Stoffzustand.
17	f36v.12	ytol kchy oty chd	Kühle hiervon den Drogenstoff. Trockne ihn heiß auf der Anfangsstufe, kühle den Ansatz leicht und schließe die Trocknung ab.	chd als terminaler Trockenabschluss; kein Abziehen oder Fluss.
18	f3r.2	ycheor chor dam qotcham cham	Nimm hiervon eine bis zur Mittelstufe getrocknete Portion Pflanzenteil, Dosis I. Kühle ein Maß Trockendroge; dazu ein weiteres Maß Trockendroge.	qotcham ist Kühlhandlung an einem Maß Trockendroge; cham liefert ein weiteres Maß.
19	f3r.3	ochor qocheor chol daiin cthy	Angesetzter Pflanzenteil: Nimm eine Portion bis zur Mittelstufe getrockneter Droge; dazu Trockengut auf Stufe III und Krautdroge.	qocheor als konkreter Portionsbefehl; daiin bleibt hier Stufenwert III.
20	f44v.13	lchor shol dairl	Holziger Pflanzenteil mit Feuchtgut; miss die zweite Fraktion der Holzdroge ab.	dairl ist die Handlung, die zweite Holzfraktion abzumessen; kein bloßer Zustand.
21	f53v.10	ychocthy qodal shodaiin	Trockne hiervon einen Ansatz mit Krautdroge leicht; dazu abgemessenen Rohstoff I im Ansatz und drei Dosen Feuchtansatz.	ychocthy bewahrt Referenz-, Trocken-, Ansatz- und Krautblock; beide Mengen sind sichtbar markiert.
22	f6v.21	ycheor chor octham	Nimm hiervon eine bis zur Mittelstufe getrocknete Portion Pflanzenteil und ein Maß Krautansatz.	octham als exakte Krautansatz-Maßform.
23	f83r.38	or chey qockhey dairydy	Eine Drogenportion bis zur Mittelstufe trocknen; den zusammengesetzten Arzneiansatz bis zur Mittelstufe aufbereiten, die zweite Fraktion abmessen und fertigstellen.	dairydy als gelernte Fraktion-II-Fertigform; internes y wird nicht exportiert.
24	f93r.18	olkees shodaiin shody	Charge vollständig erhitzten Drogenstoffs mit drei Dosen Feuchtansatz, vollständig eingeweicht.	Nominale Herbal-Charge; ol ist der Ergebnisträger und terminales s die Charge.
25	f9v.11	ychor chshoty oky kaiin	Nimm hiervon den Pflanzenteil. Trockne die Droge, weiche sie ein, setze sie an, kühle sie ab und schließe ab; erwärme den Ansatz anschließend leicht und dann auf Stufe III.	chshoty bewahrt die vollständige Trocken→Feucht→Ansatz→Kalt→Abschluss-Folge; kein unmarkierter Stoff.
