deck_order	entry_kind	entry_id	visible_or_card_form	short_value_de	learning_rule	support_events
30	PRODUCTIVE_COMPONENT	TY	TY	TEIL	einen Materialteil oder Rest bezeichnen	6
31	MEMORIZED_WHOLE_SIGN	MC012	dl	Zusatz	copy and recall as one sign	2
32	MEMORIZED_WHOLE_SIGN	MC037	tchody	kalt stellen; Schluss	copy and recall as one sign	1
33	MEMORIZED_WHOLE_SIGN	MC049	schoal	Sudansatz	copy and recall as one sign	1
34	MEMORIZED_WHOLE_SIGN	MC052	qekey	kurz bearbeiten	copy and recall as one sign	1
35	MEMORIZED_WHOLE_SIGN	MC059	dain	Einlage	copy and recall as one sign	2
36	MEMORIZED_WHOLE_SIGN	MC061	sshkchdy	übertragen; Schluss	copy and recall as one sign	1
37	MEMORIZED_WHOLE_SIGN	MC068	sotodan	zur Folgeanwendung weiterführen	copy and recall as one sign	1
38	MEMORIZED_WHOLE_SIGN	MC071	dchey	Wurzel	copy and recall as one sign	1
39	MEMORIZED_WHOLE_SIGN	MC084	rshedy	Vollwaschung; Schluss	copy and recall as one sign	1
40	MEMORIZED_WHOLE_SIGN	MC098	tshol	Kochgut	copy and recall as one sign	1
41	MEMORIZED_WHOLE_SIGN	MC099	cheeckhody	auftragen; Schluss	copy and recall as one sign	1
42	MEMORIZED_WHOLE_SIGN	MC108	etyd	kleiner Rest	copy and recall as one sign	1
43	MEMORIZED_WHOLE_SIGN	MC109	ytey	Kurzteil	copy and recall as one sign	1
44	MEMORIZED_WHOLE_SIGN	MC114	sh	Stängel	copy and recall as one sign	1
45	MEMORIZED_WHOLE_SIGN	MC118	ly	Auffanggefäß	copy and recall as one sign	1
46	MEMORIZED_WHOLE_SIGN	MC119	cheey	Klarlauf	copy and recall as one sign	4
47	MEMORIZED_WHOLE_SIGN	MC124	lkedy	weiter abziehen; Schluss	copy and recall as one sign	1
48	MEMORIZED_WHOLE_SIGN	MC129	cfhy	auswringen	copy and recall as one sign	1
49	MEMORIZED_WHOLE_SIGN	MC138	dshedy	Frischwasser zugeben; Schluss	copy and recall as one sign	1
50	MEMORIZED_WHOLE_SIGN	MC152	ches	teilen	copy and recall as one sign	1
51	MEMORIZED_WHOLE_SIGN	MC156	cphy	nachseihen	copy and recall as one sign	1
52	MEMORIZED_WHOLE_SIGN	MC160	talam	Verwahrort	copy and recall as one sign	1
53	MEMORIZED_WHOLE_SIGN	MC164	qokylddy	befestigen; Schluss	copy and recall as one sign	1
