order	event_id	statement_id	surface	drawer	small_value_de	owner_zone
25	E191	B2-S008	qokar	B2_PRODUCTIVE_COMPOSITION	von dort einsetzen	B2_ZONE_B_SIDE_POOL
26	E192	B2-S008	shedy	B1_TRANSFER	kurz absetzen; Schluss	B2_ZONE_B_SIDE_POOL
27	E193	B2-S009	solshedy	B2_PRODUCTIVE_COMPOSITION	mit dem Vorigen kurz absetzen; Schluss	B2_ZONE_B_SIDE_POOL
28	E194	B2-S010	qokeey	B1_TRANSFER	länger ansetzen	B2_ZONE_B_SIDE_POOL
29	E195	B2-S010	qoky	B1_TRANSFER	verwende dies	B2_ZONE_B_SIDE_POOL
30	E196	B2-S010	ls	B2_LOCAL_WHOLE_CARD	erste Öffnung	B2_ZONE_B_SIDE_POOL
31	E197	B2-S010	cheey	PORTABLE_RECURRENT_WHOLE_CARD	Klarauszug	B2_ZONE_B_SIDE_POOL
32	E198	B2-S011	okain	B1_TRANSFER	eine Portion zugeben	B2_ZONE_C_CENTRAL_VESSEL
33	E199	B2-S011	char	B1_TRANSFER	dasselbe	B2_ZONE_C_CENTRAL_VESSEL
34	E200	B2-S011	okain	B1_TRANSFER	eine Portion zugeben	B2_ZONE_C_CENTRAL_VESSEL
35	E201	B2-S011	qokeedy	B2_PRODUCTIVE_COMPOSITION	länger ansetzen; Schluss	B2_ZONE_C_CENTRAL_VESSEL
36	E202	B2-S012	lchy	B2_PRODUCTIVE_COMPOSITION	dies abziehen	B2_ZONE_C_CENTRAL_VESSEL
37	E203	B2-S012	cheey	PORTABLE_RECURRENT_WHOLE_CARD	Klarauszug	B2_ZONE_D_LOWER_STATIONS
38	E204	B2-S012	qcthey	B2_PRODUCTIVE_COMPOSITION	dies kurz bereithalten	B2_ZONE_D_LOWER_STATIONS
39	E205	B2-S012	qokeey	B1_TRANSFER	länger ansetzen	B2_ZONE_D_LOWER_STATIONS
40	E206	B2-S012	lcheey	B2_PRODUCTIVE_COMPOSITION	dies länger abziehen	B2_ZONE_D_LOWER_STATIONS
41	E207	B2-S012	daiin	B1_TRANSFER	Mass	B2_ZONE_D_LOWER_STATIONS
42	E208	B2-S012	chey	B1_TRANSFER	dies	B2_ZONE_D_LOWER_STATIONS
43	E209	B2-S012	qokeeedy	B2_PRODUCTIVE_COMPOSITION	vollständig ansetzen; Schluss	B2_ZONE_D_LOWER_STATIONS
44	E210	B2-S013	lchedy	B2_PRODUCTIVE_COMPOSITION	hinausführen; Schluss	B2_ZONE_D_LOWER_STATIONS
45	E211	B2-S014	lar	B2_PRODUCTIVE_COMPOSITION	von dort abführen	B2_ZONE_D_LOWER_STATIONS
46	E212	B2-S015	tshey	B2_LOCAL_WHOLE_CARD	Spülwasser	B2_ZONE_E_TERMINAL_CELL_ROW
47	E213	B2-S015	qokeedy	B2_PRODUCTIVE_COMPOSITION	länger ansetzen; Schluss	B2_ZONE_E_TERMINAL_CELL_ROW
48	E214	B2-S016	cheal	B1_TRANSFER	Stelle	B2_ZONE_E_TERMINAL_CELL_ROW
49	E215	B2-S016	lchedar	B2_PRODUCTIVE_COMPOSITION	von dort hinausführen	B2_ZONE_E_TERMINAL_CELL_ROW
50	E216	B2-S016	ches	B2_LOCAL_WHOLE_CARD	gleiche Anteile	B2_ZONE_E_TERMINAL_CELL_ROW
51	E217	B2-S016	aiin	B1_TRANSFER	Mass	B2_ZONE_E_TERMINAL_CELL_ROW
52	E218	B2-S016	oteey	B2_PRODUCTIVE_COMPOSITION	nächsten Posten länger halten	B2_ZONE_E_TERMINAL_CELL_ROW
53	E219	B2-S016	qokaiin	B1_TRANSFER	bemessen	B2_ZONE_E_TERMINAL_CELL_ROW
54	E220	B2-S016	okey	B1_TRANSFER	kurz ansetzen	B2_ZONE_E_TERMINAL_CELL_ROW
55	E221	B2-S016	pchedy	B2_PRODUCTIVE_COMPOSITION	hineinführen; Schluss	B2_ZONE_E_TERMINAL_CELL_ROW
56	E222	B2-S017	rsheal	B2_PRODUCTIVE_COMPOSITION	Waschflüssigkeit an die Stelle	B2_ZONE_E_TERMINAL_CELL_ROW
57	E223	B2-S017	daldy	B2_LOCAL_WHOLE_CARD	zweite Öffnung; Ende	B2_ZONE_E_TERMINAL_CELL_ROW
58	E224	B2-S018	qokeedy	B2_PRODUCTIVE_COMPOSITION	länger ansetzen; Schluss	B2_ZONE_E_TERMINAL_CELL_ROW
59	E225	B2-S019	rshedy	B2_LOCAL_WHOLE_CARD	Waschung; Schluss	B2_ZONE_E_TERMINAL_CELL_ROW
60	E226	B2-S020	qoteedy	B2_PRODUCTIVE_COMPOSITION	nächsten Schritt länger halten; Schluss	B2_ZONE_E_TERMINAL_CELL_ROW
61	E227	B2-S021	qokeedy	B2_PRODUCTIVE_COMPOSITION	länger ansetzen; Schluss	B2_ZONE_E_TERMINAL_CELL_ROW
62	E228	B2-S022	lochedy	B2_PRODUCTIVE_COMPOSITION	hinausführen; Schluss	B2_ZONE_E_TERMINAL_CELL_ROW
