surface	formula_card_id	component_recipe	workshop_formula_de	image_formula_de	events	physical_pages	channel_class	surface_role
qokain	F006	OK+AIN	EINE PORTION ANSETZEN	Bildplatz aktivieren; Einheit oder Index	30	f55v|f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okain	F006	OK+AIN	EINE PORTION ANSETZEN	Bildplatz aktivieren; Einheit oder Index	6	f67r2|f81v|f82r|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
chokain	F006	OK+AIN	EINE PORTION ANSETZEN	Bildplatz aktivieren; Einheit oder Index	1	f70v	IMAGE_ONLY	POSITION_OR_HAND_VARIANT
qokeey	F007	OK+EE+Y	LAENGER ANSETZEN	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	20	f56r|f75r|f81v|f82r|f83r|f88r	PROSE_ONLY	PRIMARY_FORM
okeey	F007	OK+EE+Y	LAENGER ANSETZEN	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	8	f68r1|f69v|f75r|f81v	BICHANNEL	POSITION_OR_HAND_VARIANT
chokeey	F007	OK+EE+Y	LAENGER ANSETZEN	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	2	f56r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qokaiin	F008	OK+AIIN	NACH SOLLMASS ANSETZEN	Bildplatz aktivieren; verzeichneter Sollwert	18	f55v|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okaiin	F008	OK+AIIN	NACH SOLLMASS ANSETZEN	Bildplatz aktivieren; verzeichneter Sollwert	8	f55v|f56r|f75r|f81v|f88r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qokal	F009	OK+AL	AN DER ZIELSTELLE ANSETZEN	Bildplatz aktivieren; Zielplatz	16	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okal	F009	OK+AL	AN DER ZIELSTELLE ANSETZEN	Bildplatz aktivieren; Zielplatz	9	f55v|f67r2|f75r|f81v|f82r	BICHANNEL	POSITION_OR_HAND_VARIANT
chokal	F009	OK+AL	AN DER ZIELSTELLE ANSETZEN	Bildplatz aktivieren; Zielplatz	1	f68r1	PROSE_ONLY	POSITION_OR_HAND_VARIANT
shey	F010	SH+E+Y	KURZ HALTEN	Bezug festhalten; erster Grad; dieser Bildplatz	25	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	BICHANNEL	PRIMARY_FORM
tshey	F010	SH+E+Y	KURZ HALTEN	Bezug festhalten; erster Grad; dieser Bildplatz	1	f82r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qoty	F011	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	10	f10r|f11r|f13r|f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
oty	F011	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	6	f56r|f69v|f70v|f75r	BICHANNEL	POSITION_OR_HAND_VARIANT
qotchy	F011	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	5	f10r|f11r|f56r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
otchey	F011	OT+Y	DANACH DIESER POSTEN	nächster Bildplatz; dieser Bildplatz	3	f56r|f67r2|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
dar	F012	D_ADDR+AR	AUS DEM BEZEICHNETEN TEIL	Unterplatz; Quell- oder Bezugsstelle	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
okar	F013	OK+AR	AUS DER QUELLE ANSETZEN	Bildplatz aktivieren; Quell- oder Bezugsstelle	13	f55v|f56r|f67r2|f69v|f75r|f81v	BICHANNEL	PRIMARY_FORM
qokar	F013	OK+AR	AUS DER QUELLE ANSETZEN	Bildplatz aktivieren; Quell- oder Bezugsstelle	8	f75r|f81v|f82r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
cheey	F014	SH+EE+Y	LAENGER HALTEN	Bezug festhalten; zweiter Grad; dieser Bildplatz	15	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
sheey	F014	SH+EE+Y	LAENGER HALTEN	Bezug festhalten; zweiter Grad; dieser Bildplatz	6	f69v|f81v|f82r|f83r	BICHANNEL	POSITION_OR_HAND_VARIANT
lchedy	F015	L+CHD+DY	WEITER UMSETZEN; ENDE	Bildverbindung; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	20	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
otar	F016	OT+AR	DANACH AUS DER QUELLE	nächster Bildplatz; Quell- oder Bezugsstelle	15	f10r|f55v|f67r2|f70v|f75r|f81v	BICHANNEL	PRIMARY_FORM
qotar	F016	OT+AR	DANACH AUS DER QUELLE	nächster Bildplatz; Quell- oder Bezugsstelle	4	f75r|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qokey	F017	OK+E+Y	KURZ ANSETZEN	Bildplatz aktivieren; erster Grad; dieser Bildplatz	9	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
okey	F017	OK+E+Y	KURZ ANSETZEN	Bildplatz aktivieren; erster Grad; dieser Bildplatz	6	f67r2|f69v|f70v|f75r|f82r	BICHANNEL	POSITION_OR_HAND_VARIANT
oldy	F018	OL+DY	DAMIT FORTFAHREN; ENDE	dieselbe Reihe fortführen; Bildeintrag schließen	12	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	PROSE_ONLY	PRIMARY_FORM
qoldy	F018	OL+DY	DAMIT FORTFAHREN; ENDE	dieselbe Reihe fortführen; Bildeintrag schließen	2	f75r|f81v	PROSE_ONLY	POSITION_OR_HAND_VARIANT
cheol	F019	CHEO+L	DEN AUSZUG WEITERFUEHREN	lokaler Eintrag; Bildverbindung	13	f81v|f82r|f83r|f88r	PROSE_ONLY	PRIMARY_FORM
chckhy	F020	CKH+Y	DURCH DEN DURCHLASS FUEHREN	Verbindung oder Durchlass; dieser Bildplatz	10	f13r|f55v|f75r|f81v|f82r	PROSE_ONLY	PRIMARY_FORM
ckhy	F020	CKH+Y	DURCH DEN DURCHLASS FUEHREN	Verbindung oder Durchlass; dieser Bildplatz	2	f10r|f81v	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qckhsy	F020	CKH+Y	DURCH DEN DURCHLASS FUEHREN	Verbindung oder Durchlass; dieser Bildplatz	1	f75r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
otedy	F021	OT+E+DY	NAECHSTEN SCHRITT KURZ; ENDE	nächster Bildplatz; erster Grad; Bildeintrag schließen	8	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
qotedy	F021	OT+E+DY	NAECHSTEN SCHRITT KURZ; ENDE	nächster Bildplatz; erster Grad; Bildeintrag schließen	5	f75r|f81v|f82r|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
qoteedy	F022	OT+EE+DY	NAECHSTEN SCHRITT LAENGER; ENDE	nächster Bildplatz; zweiter Grad; Bildeintrag schließen	8	f75r|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
oteedy	F022	OT+EE+DY	NAECHSTEN SCHRITT LAENGER; ENDE	nächster Bildplatz; zweiter Grad; Bildeintrag schließen	3	f70v|f75r	BICHANNEL	POSITION_OR_HAND_VARIANT
oteey	F023	OT+EE+Y	NAECHSTEN POSTEN LAENGER HALTEN	nächster Bildplatz; zweiter Grad; dieser Bildplatz	7	f69v|f70v|f82r	BICHANNEL	PRIMARY_FORM
qoteey	F023	OT+EE+Y	NAECHSTEN POSTEN LAENGER HALTEN	nächster Bildplatz; zweiter Grad; dieser Bildplatz	4	f75r|f82r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
sar	F024	S+AR	QUELLE WAEHLEN	Bildklasse auswählen; Quell- oder Bezugsstelle	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	PRIMARY_FORM
cthy	F025	CTH+Y	BIS BEREIT FUEHREN	Bereitschaftsklasse; dieser Bildplatz	7	f10r|f11r|f56r	PROSE_ONLY	PRIMARY_FORM
checthy	F025	CTH+Y	BIS BEREIT FUEHREN	Bereitschaftsklasse; dieser Bildplatz	3	f75r|f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
otor	F026	OT+OR	DER NAECHSTE ANSATZ	nächster Bildplatz; Eintragsklasse	7	f10r|f68r1|f70v|f83r|f88r	BICHANNEL	PRIMARY_FORM
qotor	F026	OT+OR	DER NAECHSTE ANSATZ	nächster Bildplatz; Eintragsklasse	3	f10r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
saiin	F027	S+AIIN	SOLLWERT WAEHLEN	Bildklasse auswählen; verzeichneter Sollwert	9	f67r2|f70v|f75r|f81v|f83r|f88r	BICHANNEL	PRIMARY_FORM
saii	F027	S+AIIN	SOLLWERT WAEHLEN	Bildklasse auswählen; verzeichneter Sollwert	1	f83r	PROSE_ONLY	POSITION_OR_HAND_VARIANT
chor	F028	CH+OR	VOM ANSATZ ENTNEHMEN	Klasse oder Figur kennzeichnen; Eintragsklasse	9	f10r|f13r|f56r|f88r	PROSE_ONLY	PRIMARY_FORM
sain	F029	S+AIN	EINHEIT WAEHLEN	Bildklasse auswählen; Einheit oder Index	9	f67r2|f75r|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
cheky	F030	CHK+E+Y	KURZ BEHANDELN	Behandlungsklasse; erster Grad; dieser Bildplatz	6	f55v|f75r|f81v|f83r	PROSE_ONLY	PRIMARY_FORM
chekey	F030	CHK+E+Y	KURZ BEHANDELN	Behandlungsklasse; erster Grad; dieser Bildplatz	1	f70v	IMAGE_ONLY	POSITION_OR_HAND_VARIANT
sal	F031	S+AL	ZIELSTELLE WAEHLEN	Bildklasse auswählen; Zielplatz	7	f67r2|f70v|f75r|f81v|f82r	BICHANNEL	PRIMARY_FORM
sheedy	F032	SH+EE+DY	LAENGER HALTEN; ENDE	Bezug festhalten; zweiter Grad; Bildeintrag schließen	7	f75r|f81v|f82r|f83r	PROSE_ONLY	PRIMARY_FORM
shol	F033	SH+OL	WEITER HALTEN	Bezug festhalten; dieselbe Reihe fortführen	7	f13r|f56r|f70v|f81v|f83r	BICHANNEL	PRIMARY_FORM
cheor	F034	CHEO+R	AUSZUG MARKIEREN	lokaler Eintrag; Zustandsmarke	6	f68r1|f69v|f82r|f88r	BICHANNEL	PRIMARY_FORM
qokol	F035	OK+OL	ANSETZEN UND WEITERFÜHREN	Bildgang aktivieren und fortsetzen	6	f83r|f88r	WORKSHOP_PROSE	PRIMARY_FORM
okol	F035	OK+OL	ANSETZEN UND WEITERFÜHREN	Bildgang aktivieren und fortsetzen	4	f67r2|f88r	BICHANNEL	POSITION_OR_HAND_VARIANT
chokchol	F035	OK+OL	ANSETZEN UND WEITERFÜHREN	Bildgang aktivieren und fortsetzen	1	f56r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
chokol	F035	OK+OL	ANSETZEN UND WEITERFÜHREN	Bildgang aktivieren und fortsetzen	1	f88r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
okchol	F035	OK+OL	ANSETZEN UND WEITERFÜHREN	Bildgang aktivieren und fortsetzen	1	f11r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
qokchol	F035	OK+OL	ANSETZEN UND WEITERFÜHREN	Bildgang aktivieren und fortsetzen	1	f10r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
oly	F036	OL+Y	MIT DIESEM POSTEN WEITER	diesem Bildplatz weiter folgen	6	f67r2|f70v|f75r|f82r	BICHANNEL	PRIMARY_FORM
olchey	F036	OL+Y	MIT DIESEM POSTEN WEITER	diesem Bildplatz weiter folgen	3	f56r|f75r|f81v	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
choly	F036	OL+Y	MIT DIESEM POSTEN WEITER	diesem Bildplatz weiter folgen	2	f56r|f69v	BICHANNEL	POSITION_OR_HAND_VARIANT
qoly	F036	OL+Y	MIT DIESEM POSTEN WEITER	diesem Bildplatz weiter folgen	2	f75r|f82r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
qolchey	F036	OL+Y	MIT DIESEM POSTEN WEITER	diesem Bildplatz weiter folgen	1	f83r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
qokchdy	F037	OK+CHD+DY	ANSETZEN, UMSETZEN; ENDE	Bildgang beginnen, Platz wechseln, schließen	5	f75r|f81v|f83r	WORKSHOP_PROSE	PRIMARY_FORM
okchdy	F037	OK+CHD+DY	ANSETZEN, UMSETZEN; ENDE	Bildgang beginnen, Platz wechseln, schließen	2	f68r1|f75r	BICHANNEL	POSITION_OR_HAND_VARIANT
okchedy	F037	OK+CHD+DY	ANSETZEN, UMSETZEN; ENDE	Bildgang beginnen, Platz wechseln, schließen	1	f81v	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
olchedy	F038	OL+CHD+DY	WEITER UMSETZEN; ENDE	Folgeplatz wechseln und Eintrag schließen	5	f75r|f82r|f83r	WORKSHOP_PROSE	PRIMARY_FORM
qolchedy	F038	OL+CHD+DY	WEITER UMSETZEN; ENDE	Folgeplatz wechseln und Eintrag schließen	2	f81v|f82r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
otal	F039	OT+AL	ZUR NÄCHSTEN STELLE	nächster Zielplatz	6	f70v|f83r	BICHANNEL	PRIMARY_FORM
qotal	F039	OT+AL	ZUR NÄCHSTEN STELLE	nächster Zielplatz	5	f82r|f83r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
dol	F040	D_ADDR+OL	DEN BEZEICHNETEN TEIL WEITERFÜHREN	Unterplatz der Folge	4	f13r|f81v|f82r|f88r	WORKSHOP_PROSE	PRIMARY_FORM
dchol	F040	D_ADDR+OL	DEN BEZEICHNETEN TEIL WEITERFÜHREN	Unterplatz der Folge	2	f11r|f13r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
lshedy	F041	LSH+E+DY	KURZ SPÜLEN; ENDE	lokalen Prüfweg kurz ausführen und schließen	6	f75r|f81v|f82r|f83r	WORKSHOP_PROSE	PRIMARY_FORM
dshedy	F042	SH+E+DY	KURZ HALTEN; ENDE	Bezug kurz halten und schließen	6	f75r|f81v|f82r	WORKSHOP_PROSE	PRIMARY_FORM
sheol	F043	SH+E+OL	KURZ HALTEN UND WEITERFÜHREN	Bezug kurz halten und fortsetzen	4	f75r|f82r|f83r	WORKSHOP_PROSE	PRIMARY_FORM
dsheol	F043	SH+E+OL	KURZ HALTEN UND WEITERFÜHREN	Bezug kurz halten und fortsetzen	2	f81v|f88r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
cheeky	F044	CHK+EE+Y	DIESEN POSTEN LÄNGER BEHANDELN	diesen Eintrag länger behandeln	4	f55v|f75r|f81v|f83r	WORKSHOP_PROSE	PRIMARY_FORM
chkeey	F044	CHK+EE+Y	DIESEN POSTEN LÄNGER BEHANDELN	diesen Eintrag länger behandeln	1	f82r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
dor	F045	D_ADDR+OR	BEZEICHNETER TEILANSATZ	untergeordnete Reihe	5	f11r|f13r|f75r|f83r	WORKSHOP_PROSE	PRIMARY_FORM
kar	F046	K+AR	VON DER ENTNAHMESTELLE ZUGEBEN	Wert am Quellplatz zuordnen	4	f55v|f75r|f81v	WORKSHOP_PROSE	PRIMARY_FORM
skar	F046	K+AR	VON DER ENTNAHMESTELLE ZUGEBEN	Wert am Quellplatz zuordnen	1	f83r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
kchol	F047	K+OL	WEITER ZUGEBEN	Wert in der Folgereihe zuordnen	4	f11r|f13r|f56r	WORKSHOP_PROSE	PRIMARY_FORM
kol	F047	K+OL	WEITER ZUGEBEN	Wert in der Folgereihe zuordnen	1	f75r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
sor	F048	S+OR	ZUBEREITUNGSVARIANTE	Reihenklasse	5	f10r|f67r2|f75r|f83r	WORKSHOP_PROSE	PRIMARY_FORM
olkeedy	F049	SOLK+EE+DY	LÄNGER AUFFANGEN; ENDE	Sammelplatz länger halten und schließen	5	f75r|f81v|f83r	WORKSHOP_PROSE	PRIMARY_FORM
olkeey	F050	SOLK+EE+Y	DIESEN POSTEN LÄNGER AUFFANGEN	diesen Sammelplatz länger halten	3	f75r|f83r|f88r	WORKSHOP_PROSE	PRIMARY_FORM
solkeey	F050	SOLK+EE+Y	DIESEN POSTEN LÄNGER AUFFANGEN	diesen Sammelplatz länger halten	2	f81v|f83r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
qokshedy	F051	OK+SH+E+DY	ANSETZEN, KURZ HALTEN; ENDE	Platz aktivieren, kurz halten und schließen	3	f75r|f83r	WORKSHOP_PROSE	PRIMARY_FORM
okshedy	F051	OK+SH+E+DY	ANSETZEN, KURZ HALTEN; ENDE	Platz aktivieren, kurz halten und schließen	2	f75r|f81v	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
pchedy	F052	P+CHD+DY	EINSETZEN, UMSETZEN; ENDE	Eintrag einsetzen, zum Folgeplatz wechseln und schließen	5	f75r|f81v|f82r	WORKSHOP_PROSE	PRIMARY_FORM
ytchy	F053	Y+T+Y	DIESEN POSTEN EINSTELLEN	diesen Bildplatz einstellen	2	f11r|f13r	WORKSHOP_PROSE	PRIMARY_FORM
yty	F053	Y+T+Y	DIESEN POSTEN EINSTELLEN	diesen Bildplatz einstellen	2	f10r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
ytshy	F053	Y+T+Y	DIESEN POSTEN EINSTELLEN	diesen Bildplatz einstellen	1	f13r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
qockhey	F054	O+CKH+E+Y	DIESEN POSTEN KURZ DURCHFÜHREN	diesen Bildplatz kurz durch den Gang führen	3	f82r|f83r|f88r	WORKSHOP_PROSE	PRIMARY_FORM
ockhey	F054	O+CKH+E+Y	DIESEN POSTEN KURZ DURCHFÜHREN	diesen Bildplatz kurz durch den Gang führen	1	f83r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
olshedy	F055	OL+SH+E+DY	WEITER KURZ HALTEN; ENDE	Folgebezug kurz halten und schließen	3	f75r	WORKSHOP_PROSE	PRIMARY_FORM
solshedy	F055	OL+SH+E+DY	WEITER KURZ HALTEN; ENDE	Folgebezug kurz halten und schließen	1	f82r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
otchol	F056	OT+CH+OL	DANACH TEIL ENTNEHMEN UND WEITER	nächste Klasse wählen und weiter	2	f13r|f88r	WORKSHOP_PROSE	PRIMARY_FORM
qotchol	F056	OT+CH+OL	DANACH TEIL ENTNEHMEN UND WEITER	nächste Klasse wählen und weiter	2	f10r|f13r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
tchedy	F057	T+CHD+Y	DIESEN POSTEN UMSTELLEN	diesen Bildplatz umstellen	4	f75r|f83r	WORKSHOP_PROSE	PRIMARY_FORM
checkhy	F058	CH+E+CKH+Y	DIESEN TEIL KURZ DURCHFÜHREN	gewählte Klasse kurz durch den Gang führen	3	f75r|f81v|f83r	WORKSHOP_PROSE	PRIMARY_FORM
chody	F059	CH+O+D_ADDR+Y	DEN BEZEICHNETEN TEIL BEARBEITEN	den bezeichneten Unterplatz bearbeiten	3	f11r|f56r|f88r	WORKSHOP_PROSE	PRIMARY_FORM
chos	F060	CH+O+S	TEIL BEARBEITEN UND VARIANTE WÄHLEN	Klasse bearbeiten und Unterklasse wählen	3	f56r|f67r2	WORKSHOP_PROSE	PRIMARY_FORM
dchedy	F061	D_ADDR+CHD+Y	DEN BEZEICHNETEN TEIL UMSETZEN	den Unterplatz zum Folgeplatz wechseln	3	f75r|f81v|f82r	WORKSHOP_PROSE	PRIMARY_FORM
lkedy	F062	L+K+E+DY	AM WEG KURZ ZUGEBEN; ENDE	am Bildweg kurz einen Wert zuordnen und schließen	3	f82r|f83r	WORKSHOP_PROSE	PRIMARY_FORM
otchor	F063	OT+CH+OR	DANACH TEIL FÜR DEN ANSATZ ENTNEHMEN	nächste Klasse des Eintrags wählen	2	f13r|f56r	WORKSHOP_PROSE	PRIMARY_FORM
qotchor	F063	OT+CH+OR	DANACH TEIL FÜR DEN ANSATZ ENTNEHMEN	nächste Klasse des Eintrags wählen	1	f10r	WORKSHOP_PROSE	POSITION_OR_HAND_VARIANT
shckhedy	F064	SH+CKH+E+DY	KURZ IM DURCHLASS HALTEN; ENDE	Bezug kurz im Gang halten und schließen	3	f81v|f83r	WORKSHOP_PROSE	PRIMARY_FORM
ykeey	F065	Y+K+EE+Y	DIESEN POSTEN LÄNGER ZUGEBEN	diesem Bildplatz länger einen Wert zuordnen	5	f69v|f70v|f75r|f81v|f82r	BICHANNEL	PRIMARY_FORM
ykor	F066	Y+K+OR	DIESEN POSTEN DEM ANSATZ ZUGEBEN	diesen Bildplatz der Eintragsklasse zuordnen	3	f13r|f67r2|f68r1	WORKSHOP_PROSE	PRIMARY_FORM
