formula_card_id	source_family_id	component_recipe	workshop_formula_de	image_formula_de	surface_variants	surface_variant_count	events_including_local	physical_pages	registers
F012	P942-K19	D_ADDR+AR	AUS DEM BEZEICHNETEN TEIL	Unterplatz; Quell- oder Bezugsstelle	dar	1	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC
F013	P942-K20	OK+AR	AUS DER QUELLE ANSETZEN	Bildplatz aktivieren; Quell- oder Bezugsstelle	okar|qokar	2	21	f55v|f56r|f67r2|f69v|f75r|f81v|f82r	BIOLOGICAL|HERBAL|ZODIAC
F014	P942-K21	SH+EE+Y	LAENGER HALTEN	Bezug festhalten; zweiter Grad; dieser Bildplatz	cheey|sheey	2	21	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA|ZODIAC
F015	P942-K22	L+CHD+DY	WEITER UMSETZEN; ENDE	Bildverbindung; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	lchedy	1	20	f75r|f81v|f82r|f83r	BIOLOGICAL
F016	P942-K24	OT+AR	DANACH AUS DER QUELLE	nächster Bildplatz; Quell- oder Bezugsstelle	otar|qotar	2	19	f10r|f55v|f67r2|f70v|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC
F017	P942-K25	OK+E+Y	KURZ ANSETZEN	Bildplatz aktivieren; erster Grad; dieser Bildplatz	qokey|okey	2	15	f67r2|f69v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|ZODIAC
F018	P942-K26	OL+DY	DAMIT FORTFAHREN; ENDE	dieselbe Reihe fortführen; Bildeintrag schließen	oldy|qoldy	2	14	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC
F019	P942-K27	CHEO+L	DEN AUSZUG WEITERFUEHREN	lokaler Eintrag; Bildverbindung	cheol	1	13	f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA
F020	P942-K28	CKH+Y	DURCH DEN DURCHLASS FUEHREN	Verbindung oder Durchlass; dieser Bildplatz	chckhy|ckhy|qckhsy	3	13	f10r|f13r|f55v|f75r|f81v|f82r	BIOLOGICAL|HERBAL
F021	P942-K29	OT+E+DY	NAECHSTEN SCHRITT KURZ; ENDE	nächster Bildplatz; erster Grad; Bildeintrag schließen	otedy|qotedy	2	13	f75r|f81v|f82r|f83r	BIOLOGICAL
F022	P942-K30	OT+EE+DY	NAECHSTEN SCHRITT LAENGER; ENDE	nächster Bildplatz; zweiter Grad; Bildeintrag schließen	qoteedy|oteedy	2	11	f70v|f75r|f82r|f83r	BIOLOGICAL|ZODIAC
F023	P942-K31	OT+EE+Y	NAECHSTEN POSTEN LAENGER HALTEN	nächster Bildplatz; zweiter Grad; dieser Bildplatz	oteey|qoteey	2	11	f69v|f70v|f75r|f82r	BIOLOGICAL|ZODIAC
F024	P942-K32	S+AR	QUELLE WAEHLEN	Bildklasse auswählen; Quell- oder Bezugsstelle	sar	1	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC
F025	P942-K34	CTH+Y	BIS BEREIT FUEHREN	Bereitschaftsklasse; dieser Bildplatz	cthy|checthy	2	10	f10r|f11r|f56r|f75r|f83r	BIOLOGICAL|HERBAL
F026	P942-K36	OT+OR	DER NAECHSTE ANSATZ	nächster Bildplatz; Eintragsklasse	otor|qotor	2	10	f10r|f68r1|f70v|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC
F027	P942-K38	S+AIIN	SOLLWERT WAEHLEN	Bildklasse auswählen; verzeichneter Sollwert	saiin|saii	2	10	f67r2|f70v|f75r|f81v|f83r|f88r	BIOLOGICAL|PHARMA|ZODIAC
F028	P942-K39	CH+OR	VOM ANSATZ ENTNEHMEN	Klasse oder Figur kennzeichnen; Eintragsklasse	chor	1	9	f10r|f13r|f56r|f88r	HERBAL|PHARMA
F029	P942-K40	S+AIN	EINHEIT WAEHLEN	Bildklasse auswählen; Einheit oder Index	sain	1	9	f67r2|f75r|f82r|f83r	BIOLOGICAL|ZODIAC
F030	P942-K41	CHK+E+Y	KURZ BEHANDELN	Behandlungsklasse; erster Grad; dieser Bildplatz	cheky|chekey	2	7	f55v|f70v|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC
F031	P942-K43	S+AL	ZIELSTELLE WAEHLEN	Bildklasse auswählen; Zielplatz	sal	1	7	f67r2|f70v|f75r|f81v|f82r	BIOLOGICAL|ZODIAC
F032	P942-K44	SH+EE+DY	LAENGER HALTEN; ENDE	Bezug festhalten; zweiter Grad; Bildeintrag schließen	sheedy	1	7	f75r|f81v|f82r|f83r	BIOLOGICAL
F033	P942-K45	SH+OL	WEITER HALTEN	Bezug festhalten; dieselbe Reihe fortführen	shol	1	7	f13r|f56r|f70v|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC
F034	P942-K46	CHEO+R	AUSZUG MARKIEREN	lokaler Eintrag; Zustandsmarke	cheor	1	6	f68r1|f69v|f82r|f88r	BIOLOGICAL|PHARMA|ZODIAC
F035	P949-K48	OK+OL	ANSETZEN UND WEITERFÜHREN	Bildgang aktivieren und fortsetzen	qokol|okol|chokchol|chokol|okchol|qokchol	6	14	f10r|f11r|f56r|f67r2|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC
F036	P949-K49	OL+Y	MIT DIESEM POSTEN WEITER	diesem Bildplatz weiter folgen	oly|olchey|choly|qoly|qolchey	5	14	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC
F037	P949-K50	OK+CHD+DY	ANSETZEN, UMSETZEN; ENDE	Bildgang beginnen, Platz wechseln, schließen	qokchdy|okchdy|okchedy	3	8	f68r1|f75r|f81v|f83r	BIOLOGICAL|ZODIAC
F038	P949-K51	OL+CHD+DY	WEITER UMSETZEN; ENDE	Folgeplatz wechseln und Eintrag schließen	olchedy|qolchedy	2	7	f75r|f81v|f82r|f83r	BIOLOGICAL
F039	P949-K52	OT+AL	ZUR NÄCHSTEN STELLE	nächster Zielplatz	otal|qotal	2	11	f70v|f82r|f83r	BIOLOGICAL|ZODIAC
F040	P949-K53	D_ADDR+OL	DEN BEZEICHNETEN TEIL WEITERFÜHREN	Unterplatz der Folge	dol|dchol	2	6	f11r|f13r|f81v|f82r|f88r	BIOLOGICAL|HERBAL|PHARMA
F041	P949-K54	LSH+E+DY	KURZ SPÜLEN; ENDE	lokalen Prüfweg kurz ausführen und schließen	lshedy	1	6	f75r|f81v|f82r|f83r	BIOLOGICAL
F042	P949-K55	SH+E+DY	KURZ HALTEN; ENDE	Bezug kurz halten und schließen	dshedy	1	6	f75r|f81v|f82r	BIOLOGICAL
F043	P949-K56	SH+E+OL	KURZ HALTEN UND WEITERFÜHREN	Bezug kurz halten und fortsetzen	sheol|dsheol	2	6	f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA
F044	P949-K57	CHK+EE+Y	DIESEN POSTEN LÄNGER BEHANDELN	diesen Eintrag länger behandeln	cheeky|chkeey	2	5	f55v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL
F045	P949-K58	D_ADDR+OR	BEZEICHNETER TEILANSATZ	untergeordnete Reihe	dor	1	5	f11r|f13r|f75r|f83r	BIOLOGICAL|HERBAL
F046	P949-K59	K+AR	VON DER ENTNAHMESTELLE ZUGEBEN	Wert am Quellplatz zuordnen	kar|skar	2	5	f55v|f75r|f81v|f83r	BIOLOGICAL|HERBAL
F047	P949-K60	K+OL	WEITER ZUGEBEN	Wert in der Folgereihe zuordnen	kchol|kol	2	5	f11r|f13r|f56r|f75r	BIOLOGICAL|HERBAL
F048	P949-K61	S+OR	ZUBEREITUNGSVARIANTE	Reihenklasse	sor	1	5	f10r|f67r2|f75r|f83r	BIOLOGICAL|HERBAL|ZODIAC
F049	P949-K62	SOLK+EE+DY	LÄNGER AUFFANGEN; ENDE	Sammelplatz länger halten und schließen	olkeedy	1	5	f75r|f81v|f83r	BIOLOGICAL
F050	P949-K63	SOLK+EE+Y	DIESEN POSTEN LÄNGER AUFFANGEN	diesen Sammelplatz länger halten	olkeey|solkeey	2	5	f75r|f81v|f83r|f88r	BIOLOGICAL|PHARMA
F051	P952-K64	OK+SH+E+DY	ANSETZEN, KURZ HALTEN; ENDE	Platz aktivieren, kurz halten und schließen	qokshedy|okshedy	2	5	f75r|f81v|f83r	BIOLOGICAL
F052	P952-K65	P+CHD+DY	EINSETZEN, UMSETZEN; ENDE	Eintrag einsetzen, zum Folgeplatz wechseln und schließen	pchedy	1	5	f75r|f81v|f82r	BIOLOGICAL
F053	P952-K66	Y+T+Y	DIESEN POSTEN EINSTELLEN	diesen Bildplatz einstellen	ytchy|yty|ytshy	3	5	f10r|f11r|f13r	HERBAL
F054	P952-K67	O+CKH+E+Y	DIESEN POSTEN KURZ DURCHFÜHREN	diesen Bildplatz kurz durch den Gang führen	qockhey|ockhey	2	4	f82r|f83r|f88r	BIOLOGICAL|PHARMA
F055	P952-K68	OL+SH+E+DY	WEITER KURZ HALTEN; ENDE	Folgebezug kurz halten und schließen	olshedy|solshedy	2	4	f75r|f82r	BIOLOGICAL
F056	P952-K69	OT+CH+OL	DANACH TEIL ENTNEHMEN UND WEITER	nächste Klasse wählen und weiter	otchol|qotchol	2	4	f10r|f13r|f88r	HERBAL|PHARMA
F057	P952-K70	T+CHD+Y	DIESEN POSTEN UMSTELLEN	diesen Bildplatz umstellen	tchedy	1	4	f75r|f83r	BIOLOGICAL
F058	P952-K71	CH+E+CKH+Y	DIESEN TEIL KURZ DURCHFÜHREN	gewählte Klasse kurz durch den Gang führen	checkhy	1	3	f75r|f81v|f83r	BIOLOGICAL
F059	P952-K72	CH+O+D_ADDR+Y	DEN BEZEICHNETEN TEIL BEARBEITEN	den bezeichneten Unterplatz bearbeiten	chody	1	3	f11r|f56r|f88r	HERBAL|PHARMA
F060	P952-K73	CH+O+S	TEIL BEARBEITEN UND VARIANTE WÄHLEN	Klasse bearbeiten und Unterklasse wählen	chos	1	3	f56r|f67r2	HERBAL|ZODIAC
F061	P952-K74	D_ADDR+CHD+Y	DEN BEZEICHNETEN TEIL UMSETZEN	den Unterplatz zum Folgeplatz wechseln	dchedy	1	3	f75r|f81v|f82r	BIOLOGICAL
F062	P952-K75	L+K+E+DY	AM WEG KURZ ZUGEBEN; ENDE	am Bildweg kurz einen Wert zuordnen und schließen	lkedy	1	3	f82r|f83r	BIOLOGICAL
F063	P952-K76	OT+CH+OR	DANACH TEIL FÜR DEN ANSATZ ENTNEHMEN	nächste Klasse des Eintrags wählen	otchor|qotchor	2	3	f10r|f13r|f56r	HERBAL
F064	P952-K77	SH+CKH+E+DY	KURZ IM DURCHLASS HALTEN; ENDE	Bezug kurz im Gang halten und schließen	shckhedy	1	3	f81v|f83r	BIOLOGICAL
F065	P952-K78	Y+K+EE+Y	DIESEN POSTEN LÄNGER ZUGEBEN	diesem Bildplatz länger einen Wert zuordnen	ykeey	1	5	f69v|f70v|f75r|f81v|f82r	BIOLOGICAL|ZODIAC
F066	P952-K79	Y+K+OR	DIESEN POSTEN DEM ANSATZ ZUGEBEN	diesen Bildplatz der Eintragsklasse zuordnen	ykor	1	3	f13r|f67r2|f68r1	HERBAL|ZODIAC
