root_no	component	compact_value_de	entry_kind	diagnostic_fragments	historical_layer	apprentice_rule	card_types	events_with_entry
R27	AIIN	MASS	COMPOSABLE_WORK_COMPONENT	aiin	MEASURE_STAGE_SIGN	als unteilbaren Parameterwert lesen	10	39
R28	IIN	STUFE	COMPOSABLE_WORK_COMPONENT	iin	MEASURE_STAGE_SIGN	als unteilbaren Parameterwert lesen	3	4
R29	E	KURZ	COMPOSABLE_WORK_COMPONENT	e	BOUND_GRADE	nur an einer lizenzierten Basis als Grad lesen	34	49
R30	EE	LANG	COMPOSABLE_WORK_COMPONENT	ee|e	BOUND_GRADE	nur an einer lizenzierten Basis als Grad lesen	17	40
R31	EEE	VOLL	COMPOSABLE_WORK_COMPONENT	eee	BOUND_GRADE	nur an einer lizenzierten Basis als Grad lesen	2	2
R32	R	KUEHLEN	COMPOSABLE_WORK_COMPONENT	r	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	6	6
R33	AN	NACHGABE	COMPOSABLE_WORK_COMPONENT	an	MEASURE_STAGE_SIGN	als unteilbaren Parameterwert lesen	1	1
R34	DA	ZWEIT	COMPOSABLE_WORK_COMPONENT	da	MEASURE_STAGE_SIGN	als unteilbaren Parameterwert lesen	1	1
R35	LD	BEFESTIGEN	COMPOSABLE_WORK_COMPONENT	ld	OPERATION_SIGN	als kurzes Verb im Bedeutungsrezept lernen	1	1
R36	DY	SCHLUSS	COMPOSABLE_WORK_COMPONENT	dy	BOUND_ENDPOINT	nur in einer lizenzierten exakten Endkarte als Schluss lesen	37	89
R37	OS	FACH	MEMORIZED_WHOLE_COMMAND	os	WHOLE_NOMENCLATOR	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	1
R38	RESUME_CARD	WIEDERAUFNEHMEN	MEMORIZED_WHOLE_COMMAND	chol	WHOLE_NOMENCLATOR	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	2
R39	TALAM	VERWAHREN	MEMORIZED_WHOLE_COMMAND	talam	WHOLE_NOMENCLATOR	als ganze Karte lernen; innere Zeichen nicht zerlegen	1	1
