statement_id	record_unit_id	page	visible_surface_sequence	complete_spoken_card_chain_de	continuous_working_reading_de	shared_kernel_de
H4-S002	H4	f55v	daiin chedy talam	Sollmaß | diesen Posten übertragen | Zielstelle · verwahren	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.	Sollmaß diesen Posten übertragen
H4-S003	H4	f55v	ykaiin cheoar cheeky oldy	Posten · Sollmaß | Auszug · Ausgang | länger bearbeiten | fortsetzen; abschließen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand. Schließe den Arbeitsgang.	länger bearbeiten fortsetzen; abschließen
H4-S004	H4	f55v	aiin okal oltchy or y orain	Sollmaß | dorthin einsetzen | weiter · bereitstellen · Posten | Arbeitsansatz | dieser Posten | Ansatz · Anteil	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.	Sollmaß dorthin einsetzen Arbeitsansatz dieser Posten
H5-S001	H5	f56r	chochor cho chodaly daiin sho kchol otchor choky dal	Zutat · Ansatz | weitere Zutat | Zutat · Zielstelle · Posten | Sollmaß | weitere Zutat | bearbeiten · weiter | nächster Arbeitsansatz | diesen Posten einsetzen | dorthin	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es kurz in Wasser ein und bereite daraus eine Waschung.	Sollmaß diesen Posten einsetzen dorthin
H5-S002	H5	f56r	schol choy choky cheeckhody	vom vorigen Posten | Zutat · Posten | diesen Posten einsetzen | länger · Durchgang · Zutat; schließen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.	diesen Posten einsetzen
H5-S003	H5	f56r	sh cho kchey qokokchy	halten | weitere Zutat | bearbeiten · kurz · Posten | einsetzen · einsetzen · Posten	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.	NONE
H5-S004	H5	f56r	okchy chokcheo kchal	diesen Posten weiterbearbeiten | einsetzen · Auszug | bearbeiten · Zielstelle	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.	NONE
H5-S005	H5	f56r	sho chokchy kchoar sotodan	weitere Zutat | diesen Posten weiterbearbeiten | Auszug · Ausgang | danach · anwenden	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.	NONE
H5-S006	H5	f56r	otchey keol daiin	der nächste Posten | kurz · weiter | Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.	der nächste Posten Sollmaß
B1-S001	B1	f81v	qokedy	kurz einwirken; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	NONE
B1-S002	B1	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	auf Sollmaß stellen | Flüssigkeitslauf | dorthin einsetzen | davon | weiter | einen Anteil | weiter · Anteil | dorthin | weiter | weiter | Zusatz | damit weiter | weiter | Durchgang · kurz · Zielstelle | Sollmaß | einsetzen · länger · Zielstelle | Sollmaß | durchführen | übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Stelle auf Sollmaß, setze den Posten dort ein, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle auf Sollmaß, halte dort länger, leite durch, setze um und schließe.	auf Sollmaß stellen dorthin einsetzen davon weiter dorthin weiter damit weiter weiter Sollmaß Sollmaß
B1-S003	B1	f81v	qol sshkchdy	weiter | halten · bearbeiten · übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe	weiter
B1-S004	B1	f81v	chedy ol shedy	diesen Posten übertragen | weiter | kurz absetzen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Übertrage, führe weiter, lass absetzen und schließe	diesen Posten übertragen weiter
B1-S005	B1	f81v	qolchedy	weiter übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe	NONE
B1-S006	B1	f81v	qokain shckhy dl ral	einen Anteil zugeben | durchführen | Zusatz | Zielstelle	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.	NONE
B1-S007	B1	f81v	qokchdy	einsetzen, übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe	NONE
B1-S008	B1	f81v	chey ol cheky ol shedy	dieser Posten | weiter | kurz wärmen | weiter | kurz absetzen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe	dieser Posten weiter weiter
B1-S009	B1	f81v	qokedy	kurz einwirken; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	NONE
B1-S010	B1	f81v	qokedy	kurz einwirken; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe	NONE
B1-S011	B1	f81v	chckhy qoky	durchführen | diesen Posten einsetzen	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze diesen Posten ein	diesen Posten einsetzen
B1-S012	B1	f81v	lsho qokey lshedy	waschen | kurz einwirken | waschen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe	NONE
B1-S013	B1	f81v	lshedy	waschen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe	NONE
B1-S014	B1	f81v	chedy qolky lchedal qol otar	diesen Posten übertragen | weiter | abführen · übertragen · Zielstelle | weiter | danach · Ausgang	Im gemeinsamen zweireihigen Figurenbecken: Übertrage, führe weiter, leite am Auslass ab und führe danach von dort weiter.	diesen Posten übertragen weiter
B1-S015	B1	f81v	ytey okchedy	Posten · kurz · Teil | einsetzen, übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe	NONE
B1-S016	B1	f81v	qokal okeey qol cheedy	dorthin einsetzen | länger einwirken | weiter | kurz absetzen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe	dorthin einsetzen weiter
B1-S017	B1	f81v	sal teol dchdy	dorthin | kurz · weiter | übertragen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.	dorthin
B1-S018	B1	f81v	ly dsheol oiiin olkeedy	abführen · Posten | halten · kurz · weiter | Arbeitsstufe | länger auffangen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.	NONE
B1-S019	B1	f81v	tedy	kurz absetzen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe	NONE
B1-S020	B1	f81v	cheky shckhedy	kurz wärmen | seihen; schließen	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe	NONE
B1-S021	B1	f81v	chal	dorthin	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin	dorthin
B2-S001	B2	f82r	dchedy	übertragen; schließen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.	NONE
B2-S002	B2	f82r	qolchedy	weiter übertragen; schließen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.	NONE
B2-S003	B2	f82r	qokain dy qokeedy	einen Anteil zugeben | dieser Posten | länger einwirken; schließen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.	dieser Posten
B2-S004	B2	f82r	qokal lcheckhy lched qokeey lcheckhedy	dorthin einsetzen | abführen · Durchgang · Posten | abführen · übertragen | länger einwirken | abführen · trennen; schließen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort ein, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.	dorthin einsetzen
B2-S005	B2	f82r	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	einsetzen · Zielstelle · Posten | auffangen · Sollmaß | durchführen | auf Sollmaß stellen | auf Sollmaß stellen | bereitstellen · weiter | wärmen · länger · Posten | abziehen; schließen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle auf Sollmaß, führe bereit weiter, wärme länger, ziehe ab und schließe.	auf Sollmaß stellen auf Sollmaß stellen
B2-S006	B2	f82r	oteey qokal sheckhy qoky	danach · länger · Posten | dorthin einsetzen | Durchgang · kurz · Posten | diesen Posten einsetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort ein, leite ihn kurz durch und setze diesen Posten ein.	dorthin einsetzen diesen Posten einsetzen
B2-S007	B2	f82r	dshedy	absetzen · kurz; schließen	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.	NONE
B2-S008	B2	f82r	sotaiin qokar shedy	nächstes Sollmaß | einsetzen · Ausgang | kurz absetzen; schließen	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.	NONE
B2-S009	B2	f82r	solshedy	weiter · absetzen; schließen	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.	NONE
B2-S010	B2	f82r	qokeey qoky ls cheey	länger einwirken | diesen Posten einsetzen | abführen | Klarlauf	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.	diesen Posten einsetzen Klarlauf
B2-S011	B2	f82r	okain char okain qokeedy	einen Anteil zugeben | davon | einen Anteil zugeben | länger einwirken; schließen	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.	davon
B2-S012	B2	f82r	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	abführen · Posten | Klarlauf | bereitstellen · kurz · Posten | länger einwirken | abführen · Klarlauf | Sollmaß | dieser Posten | einsetzen · vollständig; schließen	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.	Klarlauf Sollmaß dieser Posten
B2-S013	B2	f82r	lchedy	abführen; schließen	Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.	NONE
B2-S014	B2	f82r	lar	abführen · Ausgang	Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.	NONE
B2-S015	B2	f82r	tshey qokeedy	Klarlauf | länger einwirken; schließen	Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.	NONE
B2-S016	B2	f82r	cheal lchedar ches aiin oteey qokaiin okey pchedy	dorthin | abführen · übertragen · Ausgang | teilen | Sollmaß | danach · länger · Posten | auf Sollmaß stellen | kurz einwirken | zuführen · übertragen; schließen	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle auf Sollmaß, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.	dorthin Sollmaß auf Sollmaß stellen
B2-S017	B2	f82r	rsheal daldy	halten · kurz · Zielstelle | Zielstelle; schließen	Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.	NONE
B2-S018	B2	f82r	qokeedy	länger einwirken; schließen	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.	NONE
B2-S019	B2	f82r	rshedy	waschen; schließen	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.	NONE
B2-S020	B2	f82r	qoteedy	danach · länger; schließen	Für die Rand- und Servicebadansatz des unteren Beckens: Nimm die lange Folge und schließe.	NONE
B2-S021	B2	f82r	qokeedy	länger einwirken; schließen	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.	NONE
B2-S022	B2	f82r	lochedy	abführen · übertragen; schließen	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Rest ab und schließe.	NONE
B3-S001	B3	f83r	olkeedy	länger auffangen; schließen	Für die Charge der oberen offenen Fächerstation: Sammle länger und schließe.	NONE
B3-S002	B3	f83r	qotal chkeedy	danach dorthin | wärmen · länger; schließen	Für die Charge der oberen offenen Fächerstation: Führe danach dorthin, wärme länger und schließe.	NONE
B3-S003	B3	f83r	chey daiin chey lchedy	dieser Posten | Sollmaß | dieser Posten | abführen; schließen	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.	dieser Posten Sollmaß dieser Posten
B3-S004	B3	f83r	qokaiin qotal dar	auf Sollmaß stellen | danach dorthin | davon	Für die Charge der oberen offenen Fächerstation: Stelle auf Sollmaß, führe danach dorthin und nimm daraus.	auf Sollmaß stellen davon
B3-S005	B3	f83r	schedy	übertragen; schließen	Für die Charge des runden Randgefäßes: Setze die entnommene Sollmaßportion um und schließe.	NONE
B3-S006	B3	f83r	chedchy qokal olchedy	übertragen · Posten | dorthin einsetzen | weiter übertragen; schließen	Für die Charge des runden Randgefäßes: Übertrage dorthin, führe weiter und schließe.	dorthin einsetzen
B3-S007	B3	f83r	qokaiin chedy qokeedy	auf Sollmaß stellen | diesen Posten übertragen | länger einwirken; schließen	Für die Charge des runden Randgefäßes: Stelle auf Sollmaß, übertrage, setze länger an und schließe.	auf Sollmaß stellen diesen Posten übertragen
B3-S008	B3	f83r	lchedy	abführen; schließen	Für die Charge des runden Randgefäßes: Führe ab und schließe.	NONE
B3-S009	B3	f83r	qoky	diesen Posten einsetzen	Für die Charge des runden Randgefäßes: Setze diesen Posten ein.	diesen Posten einsetzen
B3-S010	B3	f83r	pchedal otedy	zuführen · übertragen · Zielstelle | danach · kurz; schließen	Für die Charge des unteren Korb-/Randgefäßes: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.	NONE
B3-S011	B3	f83r	shecthedchy qoky chedy chary	bereitstellen · übertragen · Posten | diesen Posten einsetzen | diesen Posten übertragen | Ausgang · Posten	Für die Charge des unteren Korb-/Randgefäßes: Übertrage den bereiten Posten, setze ihn ein, setze erneut um und nimm daraus den folgenden Posten.	diesen Posten einsetzen diesen Posten übertragen
B3-S012	B3	f83r	sor shedy	Arbeitsansatz | kurz absetzen; schließen	Für die Charge des unteren Korb-/Randgefäßes: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe.	Arbeitsansatz
B3-S013	B3	f83r	qokaiin chkain shcthey qokedy	auf Sollmaß stellen | einen Anteil | bereitstellen · kurz · Posten | kurz einwirken; schließen	Für die Charge des unteren Korb-/Randgefäßes: Stelle auf Sollmaß, nimm eine Portion, halte kurz bereit, setze kurz an und schließe.	auf Sollmaß stellen
B3-S014	B3	f83r	okair sheedy	einsetzen · Flüssigkeitslauf | absetzen · länger; schließen	Für die Charge des unteren Korb-/Randgefäßes: Lass Wasser ein, lass länger absetzen und schließe.	NONE
B3-S015	B3	f83r	lchedy	abführen; schließen	Für die Charge des unteren Korb-/Randgefäßes: Führe ab und schließe.	NONE
B3-S016	B3	f83r	lo qokchedy	abführen | einsetzen, übertragen; schließen	Führe die Charge des unteren Korbgefäßes ab. Beginne jenseits der Bildlücke einen eigenen Übergangsansatz, setze ihn um und schließe; die Lücke ist keine Leitung.	NONE
B3-S017	B3	f83r	qokeedy	länger einwirken; schließen	Den örtlichen Übergangsansatz länger ansetzen und schließen.	NONE
B3-S018	B3	f83r	shedy	kurz absetzen; schließen	Den örtlichen Übergangsansatz kurz absetzen lassen und schließen.	NONE
B3-S019	B3	f83r	qokshedy	einsetzen · absetzen; schließen	Den örtlichen Übergangsansatz ansetzen, absetzen lassen und schließen.	NONE
B3-S020	B3	f83r	dal lchedy	dorthin | abführen; schließen	Den örtlichen Übergangsansatz zur im Exemplar bezeichneten Stelle führen, dort abführen und schließen.	dorthin
B3-S021	B3	f83r	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	auf Sollmaß stellen | diesen Posten bereitstellen | dorthin | dieser Posten | Sollmaß | absetzen · Zielstelle | bereitstellen · kurz · Posten | dieser Posten | dorthin | diesen Posten bereitstellen | Zielstelle · übertragen; schließen	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.	auf Sollmaß stellen diesen Posten bereitstellen dorthin dieser Posten Sollmaß dieser Posten dorthin diesen Posten bereitstellen
B3-S022	B3	f83r	qotchedy	danach · übertragen; schließen	Danach den nächsten Übergangsansatz umsetzen und schließen.	NONE
B3-S023	B3	f83r	lchedy	abführen; schließen	Den Übergangsansatz abführen und schließen.	NONE
B3-S024	B3	f83r	tchedy	übertragen; schließen	Den Übergangsansatz umsetzen und schließen.	NONE
B3-S025	B3	f83r	qokchdy	einsetzen, übertragen; schließen	Den nächsten Übergangsansatz ansetzen, umsetzen und schließen.	NONE
B3-S026	B3	f83r	cheedar chldaiin chedy qokain checthy chealror solkeedy	übertragen · Ausgang | absetzen · Sollmaß | diesen Posten übertragen | einen Anteil zugeben | diesen Posten bereitstellen | Zielstelle · Ansatz | länger auffangen; schließen	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.	diesen Posten übertragen diesen Posten bereitstellen
B3-S027	B3	f83r	qoteedy	danach · länger; schließen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Nimm die lange Folge und schließe.	NONE
B3-S028	B3	f83r	qokeey qokedy	länger einwirken | kurz einwirken; schließen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger, dann kurz an und schließe.	NONE
B3-S029	B3	f83r	sol cheeety qokedy	weiter | vollständig · Teil | kurz einwirken; schließen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	weiter
B3-S030	B3	f83r	qoky saiin schedair otchedy	diesen Posten einsetzen | Sollmaß | Flüssigkeitslauf | danach · übertragen; schließen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.	diesen Posten einsetzen Sollmaß
B3-S031	B3	f83r	qokeedy	länger einwirken; schließen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger an und schließe.	NONE
B3-S032	B3	f83r	chedain chedy qotedaiin otaiin otedy	übertragen · Anteil | diesen Posten übertragen | danach · kurz · Sollmaß | nächstes Sollmaß | danach · kurz; schließen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Übertrage eine Portion, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.	diesen Posten übertragen
B3-S033	B3	f83r	ldy	abziehen; schließen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Ziehe ab und schließe.	NONE
B3-S034	B3	f83r	soiiin checthy chety otaiin olsaly shedy	Arbeitsstufe | diesen Posten bereitstellen | einen Teil abtrennen | nächstes Sollmaß | Zielstelle · Posten | kurz absetzen; schließen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.	diesen Posten bereitstellen einen Teil abtrennen
B4-S001	B4	f83r	qokeedy	länger einwirken; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe	NONE
B4-S002	B4	f83r	qolchey qokeey qokedy	weiter · Posten | länger einwirken | kurz einwirken; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.	NONE
B4-S003	B4	f83r	chedy otal otchey qokeey qoky tol shedy	diesen Posten übertragen | danach dorthin | der nächste Posten | länger einwirken | diesen Posten einsetzen | weiter | kurz absetzen; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Übertrage, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe	diesen Posten übertragen der nächste Posten diesen Posten einsetzen weiter
B4-S004	B4	f83r	qokylddy	einsetzen · Posten · festbinden	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe	NONE
B4-S005	B4	f83r	dain chedy qokeedy	Tuch | diesen Posten übertragen | länger einwirken; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, übertrage, setze länger an und schließe	diesen Posten übertragen
B4-S006	B4	f83r	shckhedy	seihen; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	NONE
B4-S007	B4	f83r	shckhedy	seihen; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe	NONE
B4-S008	B4	f83r	saiin cheeky sheey qokedy	Sollmaß | länger bearbeiten | halten · länger · Posten | kurz einwirken; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, bearbeite länger, lass länger ruhen, setze kurz an und schließe.	Sollmaß länger bearbeiten
B4-S009	B4	f83r	shedy	kurz absetzen; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe	NONE
B4-S010	B4	f83r	oldy	fortsetzen; abschließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe	fortsetzen; abschließen
B4-S011	B4	f83r	saiin cheky okeeol okain chdy sol lkedy	Sollmaß | kurz wärmen | einsetzen · länger · weiter | einen Anteil zugeben | diesen Posten übertragen | weiter | abführen · kurz; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, übertrage, führe weiter, wasche nach und schließe	Sollmaß diesen Posten übertragen weiter
B4-S012	B4	f83r	lchedy	abführen; schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe	NONE
