visible_surface	master_card_id	master_form	renderer_gesture	family_class	semantic_atoms	current_spoken_default_de	teaching_layer	drawer
aiin	MC039	aiin	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE
chaiin	MC039	aiin	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE
daiin	MC039	aiin	D_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE
saiin	MC039	aiin	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE
taiin	MC039	aiin	T_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIIN	Sollmaß	REVISED_SHARED_17	ACTIVE_CORE
okal	MC040	okal	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AL	dorthin einsetzen	REVISED_SHARED_17	ACTIVE_CORE
qokal	MC040	okal	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+AL	dorthin einsetzen	REVISED_SHARED_17	ACTIVE_CORE
okchol	MC041	okchol	ZERO	SINGLE_REGISTERED_FORM	OK+OL	einsetzen · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
cheedar	MC042	cheedar	ZERO	SINGLE_REGISTERED_FORM	CHD+AR	übertragen · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
shecthedchy	MC043	shecthedchy	ZERO	SINGLE_REGISTERED_FORM	CTH+CHD+Y	bereitstellen · übertragen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
qokar	MC044	qokar	ZERO	SINGLE_REGISTERED_FORM	OK+AR	einsetzen · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
olkeedy	MC045	olkeedy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	SOLK+EE+CLOSE	länger auffangen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
solkeedy	MC045	olkeedy	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	SOLK+EE+CLOSE	länger auffangen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
raly	MC046	raly	ZERO	SINGLE_REGISTERED_FORM	AL+Y	Zielstelle · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
ykain	MC047	ykain	ZERO	SINGLE_REGISTERED_FORM	Y+AIN	Posten · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
kaiiin	MC048	kaiiin	ZERO	SINGLE_REGISTERED_FORM	IIN	Arbeitsstufe	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
schoal	MC049	schoal	ZERO	SINGLE_REGISTERED_FORM	HO+AL	Zutat · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
solkey	MC050	solkey	ZERO	SINGLE_REGISTERED_FORM	SOLK+E+Y	auffangen · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
lchedal	MC051	lchedal	ZERO	SINGLE_REGISTERED_FORM	L+CHD+AL	abführen · übertragen · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
qekey	MC052	qekey	ZERO	SINGLE_REGISTERED_FORM	KCH+E+Y	bearbeiten · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
otol	MC053	otol	ZERO	SINGLE_REGISTERED_FORM	OT+OL	danach · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
qokaly	MC054	qokaly	ZERO	SINGLE_REGISTERED_FORM	OK+AL+Y	einsetzen · Zielstelle · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
char	MC055	char	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	AR	davon	REVISED_SHARED_17	ACTIVE_CORE
dar	MC055	char	D_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	AR	davon	REVISED_SHARED_17	ACTIVE_CORE
sar	MC055	char	S_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	AR	davon	REVISED_SHARED_17	ACTIVE_CORE
ral	MC056	ral	ZERO	SINGLE_REGISTERED_FORM	AL	Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
otchedy	MC057	otchedy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OT+CHD+CLOSE	danach · übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
qotchedy	MC057	otchedy	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+CHD+CLOSE	danach · übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
sheckhal	MC058	sheckhal	ZERO	SINGLE_REGISTERED_FORM	CKH+E+AL	Durchgang · kurz · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
dain	MC059	dain	ZERO	SINGLE_REGISTERED_FORM	DAIN	Tuch	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
otaiin	MC060	otaiin	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AIIN	nächstes Sollmaß	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
sotaiin	MC060	otaiin	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AIIN	nächstes Sollmaß	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
sshkchdy	MC061	sshkchdy	ZERO	SINGLE_REGISTERED_FORM	SH+KCH+CHD+CLOSE	halten · bearbeiten · übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
shoyty	MC062	shoyty	ZERO	SINGLE_REGISTERED_FORM	HO+Y+TY	Zutat · Posten · Teil	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
oteey	MC063	oteey	ZERO	SINGLE_REGISTERED_FORM	OT+EE+Y	danach · länger · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
chedchy	MC064	chedchy	ZERO	SINGLE_REGISTERED_FORM	CHD+Y	übertragen · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
ls	MC065	ls	ZERO	SINGLE_REGISTERED_FORM	L	abführen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
lcheey	MC066	lcheey	ZERO	SINGLE_REGISTERED_FORM	L+CHEEY	abführen · Klarlauf	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
otchdy	MC067	otchdy	ZERO	SINGLE_REGISTERED_FORM	OT+CHD+CLOSE	danach · übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
sotodan	MC068	sotodan	ZERO	SINGLE_REGISTERED_FORM	OT+DAN	danach · anwenden	SPECIALIST_DRAWER_WHOLE_CARD	D7_APPLICATION_FASTEN_STORE
otytchol	MC069	otytchol	ZERO	SINGLE_REGISTERED_FORM	OT+TY+OL	danach · Teil · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
pchedy	MC070	pchedy	ZERO	SINGLE_REGISTERED_FORM	P+CHD+CLOSE	zuführen · übertragen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
dchey	MC071	dchey	ZERO	SINGLE_REGISTERED_FORM	DCHE+Y	Wurzel · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
orain	MC072	orain	ZERO	SINGLE_REGISTERED_FORM	OR+AIN	Ansatz · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
qcthey	MC073	qcthey	Q_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CTH+E+Y	bereitstellen · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
shcthey	MC073	qcthey	SH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CTH+E+Y	bereitstellen · kurz · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
chdy	MC074	chdy	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+Y	diesen Posten übertragen	REVISED_SHARED_17	ACTIVE_CORE
chedy	MC074	chdy	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	CHD+Y	diesen Posten übertragen	REVISED_SHARED_17	ACTIVE_CORE
ycheor	MC075	ycheor	ZERO	SINGLE_REGISTERED_FORM	Y+CHEO+OR	Posten · Auszug · Ansatz	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
dsheol	MC076	dsheol	ZERO	SINGLE_REGISTERED_FORM	SH+E+OL	halten · kurz · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
kchal	MC077	kchal	ZERO	SINGLE_REGISTERED_FORM	KCH+AL	bearbeiten · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
olsaly	MC078	olsaly	ZERO	SINGLE_REGISTERED_FORM	AL+Y	Zielstelle · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
daldy	MC079	daldy	ZERO	SINGLE_REGISTERED_FORM	AL+CLOSE	Zielstelle; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
chor	MC080	chor	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OR	Arbeitsansatz	REVISED_SHARED_17	ACTIVE_CORE
or	MC080	chor	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OR	Arbeitsansatz	REVISED_SHARED_17	ACTIVE_CORE
shor	MC080	chor	SH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OR	Arbeitsansatz	REVISED_SHARED_17	ACTIVE_CORE
sor	MC080	chor	S_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OR	Arbeitsansatz	REVISED_SHARED_17	ACTIVE_CORE
okair	MC081	okair	ZERO	SINGLE_REGISTERED_FORM	OK+AIR	einsetzen · Flüssigkeitslauf	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
qokeedy	MC082	qokeedy	ZERO	SINGLE_REGISTERED_FORM	OK+EE+CLOSE	länger einwirken; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qokedy	MC083	qokedy	ZERO	SINGLE_REGISTERED_FORM	OK+E+CLOSE	kurz einwirken; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
rshedy	MC084	rshedy	ZERO	SINGLE_REGISTERED_FORM	WASH+CLOSE	waschen; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
cheoar	MC085	cheoar	ZERO	SINGLE_REGISTERED_FORM	CHEO+AR	Auszug · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
chety	MC086	chety	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	PARTITION+TY	einen Teil abtrennen	REVISED_SHARED_17	ACTIVE_CORE
chty	MC086	chety	CH_ENTRY	BOUND_STABLE_HOST_PLUS_ENTRIES	PARTITION+TY	einen Teil abtrennen	REVISED_SHARED_17	ACTIVE_CORE
chodaiin	MC087	chodaiin	ZERO	SINGLE_REGISTERED_FORM	HO+AIIN	Zutat · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
qokchdy	MC088	qokchdy	ZERO	SINGLE_REGISTERED_FORM	OK+CHD+CLOSE	einsetzen, übertragen; schließen	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
skar	MC089	skar	ZERO	SINGLE_REGISTERED_FORM	SK+AR	ausgießen · Ausgang	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
kchol	MC090	kchol	ZERO	SINGLE_REGISTERED_FORM	KCH+OL	bearbeiten · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
dairydy	MC091	dairydy	ZERO	SINGLE_REGISTERED_FORM	AIR+Y+CLOSE	Flüssigkeitslauf · Posten; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
lol	MC092	lol	ZERO	SINGLE_REGISTERED_FORM	L+OL	abführen · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
otal	MC093	otal	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AL	danach dorthin	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qotal	MC093	otal	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OT+AL	danach dorthin	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
cheeety	MC094	cheeety	ZERO	SINGLE_REGISTERED_FORM	EEE+TY	vollständig · Teil	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
sheey	MC095	sheey	ZERO	SINGLE_REGISTERED_FORM	SH+EE+Y	halten · länger · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
qokeedal	MC096	qokeedal	ZERO	SINGLE_REGISTERED_FORM	OK+EE+AL	einsetzen · länger · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
olkain	MC097	olkain	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OL+AIN	weiter · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
qolkain	MC097	olkain	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OL+AIN	weiter · Anteil	SPECIALIST_DRAWER_WHOLE_CARD	D5_QUANTITY_PART_STAGE
tshol	MC098	tshol	ZERO	SINGLE_REGISTERED_FORM	HO+L	Zutat · abführen	SPECIALIST_DRAWER_WHOLE_CARD	D1_MATERIAL_PRODUCT_VESSEL
cheeckhody	MC099	cheeckhody	ZERO	SINGLE_REGISTERED_FORM	EE+CKH+HO+CLOSE	länger · Durchgang · Zutat; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D2_FILTER_WASH_FLOW
ody	MC100	ody	ZERO	SINGLE_REGISTERED_FORM	ODY	kühlen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
ldalor	MC101	ldalor	ZERO	SINGLE_REGISTERED_FORM	AL	Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D4_TRANSFER_SOURCE_TARGET
rsheal	MC102	rsheal	ZERO	SINGLE_REGISTERED_FORM	SH+E+AL	halten · kurz · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
chokchy	MC103	chokchy	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	diesen Posten weiterbearbeiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
okchy	MC103	chokchy	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	diesen Posten weiterbearbeiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
qokchy	MC103	chokchy	Q_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	OK+Y	diesen Posten weiterbearbeiten	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
keol	MC104	keol	ZERO	SINGLE_REGISTERED_FORM	E+OL	kurz · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
chkain	MC105	chkain	CH_ENTRY	FREE_STABLE_HOST_PLUS_ENTRIES	AIN	einen Anteil	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
kain	MC105	chkain	ZERO	FREE_STABLE_HOST_PLUS_ENTRIES	AIN	einen Anteil	REVISED_EXTENSION_CORE_24	ACTIVE_CORE
teol	MC106	teol	ZERO	SINGLE_REGISTERED_FORM	E+OL	kurz · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
qotchy	MC107	qotchy	ZERO	SINGLE_REGISTERED_FORM	OT+Y	danach · Posten	SPECIALIST_DRAWER_WHOLE_CARD	D6_ORDER_CONTINUATION
etyd	MC108	etyd	ZERO	SINGLE_REGISTERED_FORM	E+TY	kurz · Teil	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
ytey	MC109	ytey	ZERO	SINGLE_REGISTERED_FORM	Y+E+TY	Posten · kurz · Teil	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
chkeedy	MC110	chkeedy	ZERO	SINGLE_REGISTERED_FORM	CHK+EE+CLOSE	wärmen · länger; schließen	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
shfydaiin	MC111	shfydaiin	ZERO	SINGLE_REGISTERED_FORM	SH+AIIN	halten · Sollmaß	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
octheol	MC112	octheol	ZERO	SINGLE_REGISTERED_FORM	CTH+OL	bereitstellen · weiter	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
shedal	MC113	shedal	ZERO	SINGLE_REGISTERED_FORM	SHED+AL	absetzen · Zielstelle	SPECIALIST_DRAWER_WHOLE_CARD	D3_HEAT_SETTLE_STATE
