record_unit_id	page	record_line_no	locus	owner_sequence	incoming_state	incoming_state_de	master_instruction_de	source_instruction_values_de	source_instruction_count	visible_event_count	visible_surfaces	anticipation_surfaces	outgoing_state	outgoing_state_de	decision_to_next_line	next_line_instruction_de
H5	f56r	4	f56r.12	Stängel-/Pflanzenteil der abgebildeten Pflanze	M1_RAW_PART	Rohteil	Bei Stängel-/Pflanzenteil der abgebildeten Pflanze, am Rohteil: Bezug/Folge: Pflanzenteil; dann Bezug/Folge: Zutat; dann Bereit/Schluss: Kurzbindeposten; dann Ziel/Anwendung: Wiedereinsatz.	Pflanzenteil → Zutat → Kurzbindeposten → Wiedereinsatz	4	4	sh cho kchey qokokchy	NONE	M1_RAW_PART	Rohteil	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H5	f56r	5	f56r.13	Stängel-/Pflanzenteil der abgebildeten Pflanze	M1_RAW_PART	Rohteil	Bei Stängel-/Pflanzenteil der abgebildeten Pflanze, am Rohteil: Ziel/Anwendung: Einsetzen; dann Material/Maß: Auszugzugabe; dann Ziel/Anwendung: Zielbindung.	Einsetzen → Auszugzugabe → Zielbindung	3	3	okchy chokcheo kchal	NONE	M1_RAW_PART	Rohteil	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H5	f56r	6	f56r.18	Stängel-/Pflanzenteil der abgebildeten Pflanze	M1_RAW_PART	Rohteil	Bei Stängel-/Pflanzenteil der abgebildeten Pflanze, am Rohteil: Bezug/Folge: Zutat; dann Ziel/Anwendung: Einsetzen; dann Bezug/Folge: Quellenzutatbindung; dann Ziel/Anwendung: Gebrauchen.	Zutat → Einsetzen → Quellenzutatbindung → Gebrauchen	4	4	sho chokchy kchoar sotodan	NONE	M5_APPLICATION_ITEM	Anwendungsposten	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
H5	f56r	7	f56r.19	Stängel-/Pflanzenteil der abgebildeten Pflanze	M5_APPLICATION_ITEM	Anwendungsposten	Bei Stängel-/Pflanzenteil der abgebildeten Pflanze, am Anwendungsposten: Bezug/Folge: Folgeposten; dann Bezug/Folge: Kurzbindefortsetzung; dann Material/Maß: Sollmaß.	Folgeposten → Kurzbindefortsetzung → Sollmaß	3	3	otchey keol daiin	NONE	M4_MEASURED_PORTION	Bemessene Portion	RECORD_END	Record hier beenden.
B1	f81v	1	f81v.2	B1_SHARED_TWO_ROW_POOL	M2_PREPARATION	Ansatz	Bei B1_SHARED_TWO_ROW_POOL, am Ansatz: Dauer/Zustand: Kurzkontakt; dann Material/Maß: Sollstellung; dann Arbeitsgang: Beckenlauf; dann Ziel/Anwendung: Zieleinsatz; dann Bezug/Folge: Quelle; dann Bezug/Folge: Fortsetzung; dann Material/Maß: Portion; dann Material/Maß: Folgeportion; dann Ziel/Anwendung: Stelle; dann Bezug/Folge: Fortsetzung; dann Bezug/Folge: Anschluss; dann Material/Maß: Zusatz.	Kurzkontakt → Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz	12	12	qokedy okaiin kair okal sar ol kain olkain al ol rol dl	NONE	M1_RAW_PART	Rohteil	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B1	f81v	2	f81v.7	B1_SHARED_TWO_ROW_POOL	M1_RAW_PART	Rohteil	Bei B1_SHARED_TWO_ROW_POOL, am Rohteil: Bezug/Folge: Fortsetzungsansatz; dann Bezug/Folge: Fortsetzung; dann Arbeitsgang: Zielkurzpassage; dann Material/Maß: Sollmaß; dann Dauer/Zustand: Ziellanghalt; dann Material/Maß: Sollmaß; dann Arbeitsgang: durchleiten; dann Arbeitsgang: überführen; dann Bezug/Folge: Fortsetzung.	Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen → Fortsetzung	9	9	olor ol sheckhal daiin qokeedal daiin chckhy schedy qol	NONE	M4_MEASURED_PORTION	Bemessene Portion	CONTINUE_ACROSS_LINE	Auf der nächsten Zeile denselben Mikrogang weiterlesen.
B1	f81v	3	f81v.17	B1_SHARED_TWO_ROW_POOL	M4_MEASURED_PORTION	Bemessene Portion	Bei B1_SHARED_TWO_ROW_POOL, am Bemessene Portion: Arbeitsgang: Umsetzschluss; dann Arbeitsgang: Umsetzen; dann Bezug/Folge: Fortsetzung; dann Arbeitsgang: Kurzabsetzung; dann Bezug/Folge: weiterführen; dann Material/Maß: Zugabe; dann Arbeitsgang: durchleiten; dann Material/Maß: Zusatz; dann Ziel/Anwendung: Zielmarke.	Umsetzschluss → Umsetzen → Fortsetzung → Kurzabsetzung → weiterführen → Zugabe → durchleiten → Zusatz → Zielmarke	9	9	sshkchdy chedy ol shedy qolchedy qokain shckhy dl ral	NONE	M1_RAW_PART	Rohteil	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B1	f81v	4	f81v.18	B1_SHARED_TWO_ROW_POOL	M1_RAW_PART	Rohteil	Bei B1_SHARED_TWO_ROW_POOL, am Rohteil: Ziel/Anwendung: Neueinsatz; dann Bezug/Folge: Diesposten; dann Bezug/Folge: Fortsetzung; dann Dauer/Zustand: Kurzwärme; dann Bezug/Folge: Fortsetzung; dann Arbeitsgang: Kurzabsetzung; dann Dauer/Zustand: Kurzkontakt; dann Dauer/Zustand: Kurzkontakt; dann Arbeitsgang: durchleiten; dann Ziel/Anwendung: Einsetzen.	Neueinsatz → Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung → Kurzkontakt → Kurzkontakt → durchleiten → Einsetzen	10	10	qokchdy chey ol cheky ol shedy qokedy qokedy chckhy qoky	NONE	M1_RAW_PART	Rohteil	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B1	f81v	5	f81v.21	B1_SHARED_TWO_ROW_POOL	M1_RAW_PART	Rohteil	Bei B1_SHARED_TWO_ROW_POOL, am Rohteil: Arbeitsgang: Waschgang; dann Dauer/Zustand: Kurzkontakt; dann Arbeitsgang: Waschgang; dann Arbeitsgang: Waschgang; dann Arbeitsgang: Umsetzen; dann Bezug/Folge: Weiterweg; dann Arbeitsgang: Zielabführung; dann Bezug/Folge: Fortsetzung; dann Bezug/Folge: Folgequelle.	Waschgang → Kurzkontakt → Waschgang → Waschgang → Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle	9	9	lsho qokey lshedy lshedy chedy qolky lchedal qol otar	NONE	M1_RAW_PART	Rohteil	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B1	f81v	6	f81v.24	B1_SHARED_TWO_ROW_POOL	M1_RAW_PART	Rohteil	Bei B1_SHARED_TWO_ROW_POOL, am Rohteil: Material/Maß: Kurzteil; dann Arbeitsgang: Rücktransfer; dann Ziel/Anwendung: Zieleinsatz; dann Dauer/Zustand: Langkontakt; dann Bezug/Folge: Fortsetzung; dann Arbeitsgang: Kurzabsetzung; dann Ziel/Anwendung: Stelle; dann Bezug/Folge: Kurzfortgang; dann Arbeitsgang: Transfer; dann Arbeitsgang: Auffanggefäß.	Kurzteil → Rücktransfer → Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung → Stelle → Kurzfortgang → Transfer → Auffanggefäß	10	10	ytey okchedy qokal okeey qol cheedy sal teol dchdy ly	NONE	M1_RAW_PART	Rohteil	CONTINUE_ACROSS_LINE	Auf der nächsten Zeile denselben Mikrogang weiterlesen.
B1	f81v	7	f81v.27	B1_SHARED_TWO_ROW_POOL	M1_RAW_PART	Rohteil	Bei B1_SHARED_TWO_ROW_POOL, am Rohteil: Dauer/Zustand: Kurzhalt; dann Material/Maß: Arbeitsstufe; dann Arbeitsgang: Langsammlung; dann Arbeitsgang: Kurzabsetzung; dann Dauer/Zustand: Kurzwärme; dann Arbeitsgang: durchlassen; dann Ziel/Anwendung: Stelle.	Kurzhalt → Arbeitsstufe → Langsammlung → Kurzabsetzung → Kurzwärme → durchlassen → Stelle	7	7	dsheol oiiin olkeedy tedy cheky shckhedy chal	NONE	M4_MEASURED_PORTION	Bemessene Portion	RECORD_END	Record hier beenden.
B2	f82r	1	f82r.2	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	M3_CLEAR_EXTRACT	Klarauszug	Bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER, am Klarauszug: Arbeitsgang: überführen; dann Bezug/Folge: weiterführen; dann Material/Maß: Zugabe; dann Bezug/Folge: Diesposten; dann Dauer/Zustand: Langkontakt; dann Ziel/Anwendung: Zieleinsatz; dann Arbeitsgang: Abführpassage; dann Arbeitsgang: Abführung.	überführen → weiterführen → Zugabe → Diesposten → Langkontakt → Zieleinsatz → Abführpassage → Abführung	8	8	dchedy qolchedy qokain dy qokeedy qokal lcheckhy lched	NONE	M3_CLEAR_EXTRACT	Klarauszug	CONTINUE_ACROSS_LINE	Auf der nächsten Zeile denselben Mikrogang weiterlesen.
B2	f82r	2	f82r.3	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	M3_CLEAR_EXTRACT	Klarauszug	Bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER, am Klarauszug: Dauer/Zustand: Langkontakt; dann Arbeitsgang: Trennabzug; dann Ziel/Anwendung: Zieleinsatz; dann Arbeitsgang: Sollsammlung; dann Arbeitsgang: durchleiten. Schreibe am rechten Rand als Vorgriff: qokaiin; sprich den Wert erst auf der nächsten Zeile.	Langkontakt → Trennabzug → Zieleinsatz → Sollsammlung → durchleiten	5	6	qokeey lcheckhedy qokaly solkaiin chckhy qokaiin	qokaiin	M3_CLEAR_EXTRACT	Klarauszug	READ_ONCE_CARRY	Randvorgriff und nächsten Zeilenanfang als eine Karte lesen.
B2	f82r	3	f82r.4	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	M3_CLEAR_EXTRACT	Klarauszug	Bei B2_UPPER_PAIRED_BASINS_AND_CYLINDER, am Klarauszug: Material/Maß: Sollstellung; dann Bezug/Folge: Folgevorbereitung; dann Dauer/Zustand: Langwärmen; dann Arbeitsgang: abziehen; dann Bezug/Folge: Langfolge; dann Ziel/Anwendung: Zieleinsatz; dann Arbeitsgang: Kurzpassage; dann Ziel/Anwendung: Einsetzen.	Sollstellung → Folgevorbereitung → Langwärmen → abziehen → Langfolge → Zieleinsatz → Kurzpassage → Einsetzen	8	8	qokaiin octheol chkeey ldy oteey qokal sheckhy qoky	NONE	M3_CLEAR_EXTRACT	Klarauszug	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B2	f82r	4	f82r.7	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	M3_CLEAR_EXTRACT	Klarauszug	Bei B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE, am Klarauszug: Arbeitsgang: Vorabsetzschluss; dann Material/Maß: Folgemaß; dann Ziel/Anwendung: Quelleinsatz; dann Arbeitsgang: Kurzabsetzung; dann Arbeitsgang: Folgeabsetzen; dann Dauer/Zustand: Langkontakt; dann Ziel/Anwendung: Einsetzen; dann Arbeitsgang: Auslass; dann Arbeitsgang: Klarauszug.	Vorabsetzschluss → Folgemaß → Quelleinsatz → Kurzabsetzung → Folgeabsetzen → Langkontakt → Einsetzen → Auslass → Klarauszug	9	9	dshedy sotaiin qokar shedy solshedy qokeey qoky ls cheey	NONE	M3_CLEAR_EXTRACT	Klarauszug	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B2	f82r	5	f82r.19	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	M3_CLEAR_EXTRACT	Klarauszug	Bei B2_MIDDLE_RIGHT_AMBIGUOUS_STATION, am Klarauszug: Material/Maß: Zugabe; dann Bezug/Folge: Quelle; dann Material/Maß: Zugabe; dann Dauer/Zustand: Langkontakt; dann Arbeitsgang: Abführgut.	Zugabe → Quelle → Zugabe → Langkontakt → Abführgut	5	5	okain char okain qokeedy lchy	NONE	M3_CLEAR_EXTRACT	Klarauszug	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B2	f82r	6	f82r.23	B2_LOWER_GREEN_MULTI_FIGURE_POOL	M3_CLEAR_EXTRACT	Klarauszug	Bei B2_LOWER_GREEN_MULTI_FIGURE_POOL, am Klarauszug: Arbeitsgang: Klarauszug; dann Dauer/Zustand: Kurzvorbereitung; dann Dauer/Zustand: Langkontakt; dann Arbeitsgang: Klarabzug; dann Material/Maß: Sollmaß; dann Bezug/Folge: Diesposten; dann Ziel/Anwendung: Volleinsatz; dann Arbeitsgang: abführen; dann Arbeitsgang: Quellabzug.	Klarauszug → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → Diesposten → Volleinsatz → abführen → Quellabzug	9	9	cheey qcthey qokeey lcheey daiin chey qokeeedy lchedy lar	NONE	M5_APPLICATION_ITEM	Anwendungsposten	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B2	f82r	7	f82r.26	B2_LOWER_POOL_EDGE_STATIONS	M5_APPLICATION_ITEM	Anwendungsposten	Bei B2_LOWER_POOL_EDGE_STATIONS, am Anwendungsposten: Bezug/Folge: Folgeklarlauf; dann Dauer/Zustand: Langkontakt; dann Ziel/Anwendung: Stelle; dann Arbeitsgang: Quellabführung; dann Material/Maß: teilen; dann Material/Maß: Sollmaß; dann Bezug/Folge: Langfolge; dann Material/Maß: Sollstellung; dann Dauer/Zustand: Kurzkontakt.	Folgeklarlauf → Langkontakt → Stelle → Quellabführung → teilen → Sollmaß → Langfolge → Sollstellung → Kurzkontakt	9	9	tshey qokeedy cheal lchedar ches aiin oteey qokaiin okey	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B2	f82r	8	f82r.27	B2_LOWER_POOL_EDGE_STATIONS	M4_MEASURED_PORTION	Bemessene Portion	Bei B2_LOWER_POOL_EDGE_STATIONS, am Bemessene Portion: Arbeitsgang: Zuführung; dann Dauer/Zustand: Zielkurzhalt; dann Ziel/Anwendung: Zielschluss; dann Dauer/Zustand: Langkontakt; dann Arbeitsgang: Absetzschluss; dann Bezug/Folge: Langfolgestufe; dann Dauer/Zustand: Langkontakt; dann Arbeitsgang: Abführung.	Zuführung → Zielkurzhalt → Zielschluss → Langkontakt → Absetzschluss → Langfolgestufe → Langkontakt → Abführung	8	8	pchedy rsheal daldy qokeedy rshedy qoteedy qokeedy lochedy	NONE	M4_MEASURED_PORTION	Bemessene Portion	RECORD_END	Record hier beenden.
B3	f83r	1	f83r.3	B3_UPPER_MARGIN_OPEN_FAN_STATION	M2_PREPARATION	Ansatz	Bei B3_UPPER_MARGIN_OPEN_FAN_STATION, am Ansatz: Arbeitsgang: Langsammlung; dann Ziel/Anwendung: Folgeziel; dann Dauer/Zustand: Langwärmen; dann Bezug/Folge: Diesposten; dann Material/Maß: Sollmaß; dann Bezug/Folge: Diesposten; dann Arbeitsgang: abführen; dann Material/Maß: Sollstellung; dann Ziel/Anwendung: Folgeziel; dann Bezug/Folge: Quelle.	Langsammlung → Folgeziel → Langwärmen → Diesposten → Sollmaß → Diesposten → abführen → Sollstellung → Folgeziel → Quelle	10	10	olkeedy qotal chkeedy chey daiin chey lchedy qokaiin qotal dar	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B3	f83r	2	f83r.6	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	M4_MEASURED_PORTION	Bemessene Portion	Bei B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION, am Bemessene Portion: Arbeitsgang: überführen; dann Arbeitsgang: Postentransfer; dann Ziel/Anwendung: Zieleinsatz; dann Bezug/Folge: weiterführen; dann Material/Maß: Sollstellung; dann Arbeitsgang: Umsetzen; dann Dauer/Zustand: Langkontakt; dann Arbeitsgang: abführen; dann Ziel/Anwendung: Einsetzen.	überführen → Postentransfer → Zieleinsatz → weiterführen → Sollstellung → Umsetzen → Langkontakt → abführen → Einsetzen	9	9	schedy chedchy qokal olchedy qokaiin chedy qokeedy lchedy qoky	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
B3	f83r	3	f83r.8	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	M4_MEASURED_PORTION	Bemessene Portion	Bei B3_LOWER_MARGIN_BASKET_VESSEL_STATION, am Bemessene Portion: Arbeitsgang: Zielzuführung; dann Bezug/Folge: Kurzfolge; dann Arbeitsgang: Vorbereitungstransfer; dann Ziel/Anwendung: Einsetzen; dann Arbeitsgang: Umsetzen; dann Bezug/Folge: Quellposten.	Zielzuführung → Kurzfolge → Vorbereitungstransfer → Einsetzen → Umsetzen → Quellposten	6	6	pchedal otedy shecthedchy qoky chedy chary	NONE	M4_MEASURED_PORTION	Bemessene Portion	REAL_CYCLE_OR_OWNER_RESET	Auf der nächsten Zeile Mikrogang oder Besitzer neu eröffnen.
