statement_id	record_unit_id	page	loci	surface_sequence	formula_family	formula_rule_de	present_slots	terminal_status	grammar_close_slot	grammar_close_disagreement	family_sequence_de	local_sequence_de	fluent_formula_reading_de
H4-S002	H4	f55v	f55v.5	daiin · chedy · talam	QUANTIFIED_PROCESS	Die bezeichnete Menge nehmen und den Arbeitsgang damit ausführen.	SOURCE_ITEM|QUANTITY|OPERATION	CLOSED	OFFEN: nächste Arbeitszelle darf fortführen	YES	SOLLWERT; DIES_AKTUELLER_POSTEN + UEBERFUEHREN; verwahren; Schluss	Sollmaß; überführen; verwahren; Schluss	Beim Besitzer „abgebildete Pflanze auf f55v“: Nimm vorgeschriebenes Maß; den laufenden Posten umsetzen oder durcharbeiten aus den laufenden Posten umsetzen oder durcharbeiten; klaren Auszug verwahren. Den Schritt festsetzen.
H4-S003	H4	f55v	f55v.11	ykaiin · cheoar · cheeky · oldy	GRADED_PROCESS	Den Arbeitsgang bis zum bezeichneten Zustand oder Grad führen.	LINK_SELECT|SOURCE_ITEM|QUANTITY|OPERATION|STATE_GRADE|CLOSE	CLOSED	oldy=weiterführen; Ende	NO	SOLLWERT; AUSZUG; GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN; WEITER_GLEICHER_LAUF + FESTSETZEN	Sollportion; Auszug aus der Quelle; länger bearbeiten; fertig; Arbeitsschritt festsetzen	Beim Besitzer „abgebildete Pflanze auf f55v“: Auszug daraus entnehmen bis länger warm halten mit Maß des laufenden Postens. Den Schritt festsetzen.
H4-S004	H4	f55v	f55v.11	aiin · okal · oltchy · or · y · orain	FULL_ADDRESS_PROCESS	Quelle und Menge nehmen, den Arbeitsgang ausführen, zum Ziel führen und den Zustand setzen.	SOURCE_ITEM|QUANTITY|OPERATION|TARGET	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	SOLLWERT; EINSETZEN + ZU_ZIEL; WEITER_GLEICHER_LAUF + DIES_AKTUELLER_POSTEN + BEREITUNG; BEDINGUNGSANSATZ; DIES_AKTUELLER_POSTEN; PORTION	Sollmaß; dorthin einsetzen; die laufende Bereitung fortsetzen; Ansatz; dies; Bereitungsanteil	Beim Besitzer „abgebildete Pflanze auf f55v“: Nimm der laufende Posten; dies oder es; Zubereitung; eine Portion der Zubereitung in der Angabe vorgeschriebenes Maß; eine Portion der Zubereitung; an der Zielstelle einsetzen; gelind erwärmen; führe ihn zu an der Zielstelle einsetzen; behalte den örtlichen Zustand. Den Posten für die nächste Zelle offen halten.
H5-S001	H5	f56r	f56r.5|f56r.7	chochor · cho · chodaly · daiin · sho · kchol · otchor · choky · dal	FULL_ADDRESS_PROCESS	Quelle und Menge nehmen, den Arbeitsgang ausführen, zum Ziel führen und den Zustand setzen.	LINK_SELECT|SOURCE_ITEM|QUANTITY|OPERATION|TARGET	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	BEDINGUNGSANSATZ + EINGABE; EINGABE; DIES_AKTUELLER_POSTEN + EINGABE; SOLLWERT; EINGABE; ARGUMENTBINDER; FOLGEPOSTEN + BEDINGUNGSANSATZ; EINSETZEN + DIES_AKTUELLER_POSTEN; ZU_ZIEL	Zugabeansatz; weitere Zutat; Zugabe am aktuellen Ziel; Sollmaß; weitere Zutat; weiter bearbeiten; Folgeansatz; einsetzen; dorthin	Beim Besitzer „abgebildete Pflanze auf f56r“: Nimm Pflanzenzubereitung; Pflanze; Blütebeginn; den laufenden Posten anwenden oder in Arbeit nehmen; die nächste Zubereitung in der Angabe vorgeschriebenes Maß; auflegen; den laufenden Posten anwenden oder in Arbeit nehmen; führe ihn zu Zielstelle; behalte den örtlichen Zustand. Den Posten für die nächste Zelle offen halten.
H5-S002	H5	f56r	f56r.8	schol · choy · choky · cheeckhody	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	LINK_SELECT|SOURCE_ITEM|OPERATION|MEDIUM_FLOW|CLOSE	CLOSED	cheeckhody=äußerlich anwenden; Ende	NO	VORIGER; DIES_AKTUELLER_POSTEN + EINGABE; EINSETZEN + DIES_AKTUELLER_POSTEN; auftragen; Schluss	vom vorigen Arbeitsgang nehmen; aktuelle Zutat; einsetzen; auftragen; Schluss	Beim Besitzer „abgebildete Pflanze auf f56r“: vom vorigen Posten nehmen; den laufenden Posten anwenden oder in Arbeit nehmen; äußerlich anwenden; Ende; führe oder verwende mit Wasser waschen. Den Schritt festsetzen.
H5-S003	H5	f56r	f56r.12	sh · cho · kchey · qokokchy	SOURCED_PROCESS	Den Posten aus der bezeichneten Quelle nehmen und bearbeiten.	LINK_SELECT|SOURCE_ITEM|OPERATION	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	Stängel; EINGABE; DIES_AKTUELLER_POSTEN + ARGUMENTBINDER; EINSETZEN + DIES_AKTUELLER_POSTEN	Stängel; weitere Zutat; den laufenden Posten kurz bearbeiten; denselben Posten erneut einsetzen	Beim Besitzer „abgebildete Pflanze auf f56r“: Nimm Pflanzenteil; Pflanze; den laufenden Posten erneut in Arbeit nehmen; grob zerreiben; den laufenden Posten erneut in Arbeit nehmen. Den Posten für die nächste Zelle offen halten.
H5-S004	H5	f56r	f56r.13	okchy · chokcheo · kchal	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	SOURCE_ITEM|OPERATION|MEDIUM_FLOW	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	EINSETZEN + DIES_AKTUELLER_POSTEN; EINSETZEN + AUSZUG; ARGUMENTBINDER	den laufenden Posten einsetzen und weiterbearbeiten; Auszug einsetzen; an der Zielstelle bearbeiten	Beim Besitzer „abgebildete Pflanze auf f56r“: den laufenden Posten anwenden oder in Arbeit nehmen; Auszugsflüssigkeit zugeben; durch Tuch; führe oder verwende Auszugsflüssigkeit zugeben. Den Posten für die nächste Zelle offen halten.
H5-S005	H5	f56r	f56r.18	sho · chokchy · kchoar · sotodan	SOURCED_PROCESS	Den Posten aus der bezeichneten Quelle nehmen und bearbeiten.	SOURCE_ITEM|OPERATION	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	EINGABE; EINSETZEN + DIES_AKTUELLER_POSTEN; ARGUMENTBINDER; zur Folgeanwendung weiterführen	weitere Zutat; den laufenden Posten einsetzen und weiterbearbeiten; bearbeiteter Quellauszug; zur Folgeanwendung weiterführen	Beim Besitzer „abgebildete Pflanze auf f56r“: Nimm Pflanze; den laufenden Posten anwenden oder in Arbeit nehmen; den laufenden Posten anwenden oder in Arbeit nehmen; Brusttrank; gebrauchen. Den Posten für die nächste Zelle offen halten.
H5-S006	H5	f56r	f56r.19	otchey · keol · daiin	QUANTIFIED_PROCESS	Die bezeichnete Menge nehmen und den Arbeitsgang damit ausführen.	LINK_SELECT|SOURCE_ITEM|QUANTITY|OPERATION	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	FOLGEPOSTEN + DIES_AKTUELLER_POSTEN; ARGUMENTBINDER; SOLLWERT	das nächste; kurz weiterbearbeiten; Sollmaß	Beim Besitzer „abgebildete Pflanze auf f56r“: Nimm vorgeschriebenes Maß; je Gabe aus den nächsten Posten wählen. Den Posten für die nächste Zelle offen halten.
B1-S001	B1	f81v	f81v.2	qokedy	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	OPERATION|MEDIUM_FLOW|CLOSE	CLOSED	qokedy=kurz spülen oder benetzen und den Schritt abschließen	NO	EINSETZEN + GRAD + FESTSETZEN	kurz einwirken; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: kurz spülen oder benetzen und den Schritt abschließen; führe oder verwende kurz spülen oder benetzen und den Schritt abschließen. Den Schritt festsetzen.
B1-S002	B1	f81v	f81v.2|f81v.7	okaiin · kair · okal · sar · ol · kain · olkain · al · ol · rol · dl · olor · ol · sheckhal · daiin · qokeedal · daiin · chckhy · schedy	FULL_ADDRESS_PROCESS	Quelle und Menge nehmen, den Arbeitsgang ausführen, zum Ziel führen und den Zustand setzen.	LINK_SELECT|SOURCE_ITEM|QUANTITY|OPERATION|MEDIUM_FLOW|TARGET|STATE_GRADE|CLOSE	CLOSED	schedy=Arbeitsbewegung abschließen	NO	EINSETZEN + SOLLWERT; LAUF_BAHN + ARGUMENTBINDER; EINSETZEN + ZU_ZIEL; VON_QUELLE; WEITER_GLEICHER_LAUF; PORTION; WEITER_GLEICHER_LAUF + PORTION; ZU_ZIEL; WEITER_GLEICHER_LAUF; WEITER_GLEICHER_LAUF; Zusatz; WEITER_GLEICHER_LAUF + BEDINGUNGSANSATZ; WEITER_GLEICHER_LAUF; ZU_ZIEL + GRAD + DURCHLASS; SOLLWERT; EINSETZEN + ZU_ZIEL + GRAD; SOLLWERT; DIES_AKTUELLER_POSTEN + DURCHLASS; UEBERFUEHREN	bemessen; Beckenlauf; dorthin einsetzen; davon; weiter; Portion; weiterer Anteil; dorthin; weiter; Anschluss; Zusatz; derselbe Ansatz; weiter; Kurze Zielpassage; Sollmaß; Langer Zieleinsatz; Sollmaß; durchleiten; überführen; Schluss	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: Nimm aus demselben Vorrat; Badezusatz; mit der vorigen Zubereitung in der Angabe auf das vorgeschriebene Maß einstellen; eine Portion; eine weitere Portion zugeben; mäßige Menge; vorgeschriebenes Maß; auf das vorgeschriebene Maß einstellen; an der Zielstelle einsetzen; mit Vorigem weiter; eine weitere Portion zugeben; vor dem Abkühlen; an der Zielstelle anhaltend in Kontakt halten; durch verbundenen Lauf; Arbeitsbewegung abschließen; führe ihn zu an der Zielstelle einsetzen; Zielstelle; an der Zielstelle anhaltend in Kontakt halten; an der Zielstelle anhaltend in Kontakt halten. Den Schritt festsetzen.
B1-S003	B1	f81v	f81v.7|f81v.17	qol · sshkchdy	LINKED_PROCESS	Mit dem vorigen oder folgenden Posten weiterarbeiten.	LINK_SELECT|OPERATION|CLOSE	CLOSED	sshkchdy=unter besonderer Bedingung umsetzen; Schluss	NO	WEITER_GLEICHER_LAUF; übertragen; Schluss	weiter; übertragen; Schluss	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: mit Vorigem weiter; mit Vorigem weiter; unter besonderer Bedingung umsetzen; Schluss. Den Schritt festsetzen.
B1-S004	B1	f81v	f81v.17	chedy · ol · shedy	GRADED_PROCESS	Den Arbeitsgang bis zum bezeichneten Zustand oder Grad führen.	LINK_SELECT|SOURCE_ITEM|OPERATION|STATE_GRADE|CLOSE	CLOSED	shedy=kurz oder gewöhnlich ruhen lassen; Schluss	NO	DIES_AKTUELLER_POSTEN + UEBERFUEHREN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	überführen; weiter; kurz absetzen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: den laufenden Posten umsetzen oder durcharbeiten; mit Vorigem weiter bis kurz oder gewöhnlich ruhen lassen; Schluss. Den Schritt festsetzen.
B1-S005	B1	f81v	f81v.17	qolchedy	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	LINK_SELECT|OPERATION|MEDIUM_FLOW|CLOSE	CLOSED	qolchedy=weiterführen; Schluss	NO	WEITER_GLEICHER_LAUF + FESTSETZEN + UEBERFUEHREN	weiterführen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: weiterführen; Schluss; führe oder verwende weiterführen; Schluss. Den Schritt festsetzen.
B1-S006	B1	f81v	f81v.17	qokain · shckhy · dl · ral	QUANTIFIED_PROCESS	Die bezeichnete Menge nehmen und den Arbeitsgang damit ausführen.	SOURCE_ITEM|QUANTITY|OPERATION	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	EINSETZEN + PORTION; DIES_AKTUELLER_POSTEN + DURCHLASS; Zusatz; ZU_ZIEL	Anteil zugeben; durchleiten; Zusatz; Zielmarke	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: Nimm eine Portion zugeben; eine Portion zugeben; durch verbundenen Lauf; abkühlen aus Badezusatz. Den Posten für die nächste Zelle offen halten.
B1-S007	B1	f81v	f81v.18	qokchdy	SOURCED_PROCESS	Den Posten aus der bezeichneten Quelle nehmen und bearbeiten.	SOURCE_ITEM|OPERATION|CLOSE	CLOSED	qokchdy=Ansatz umsetzen; Schluss	NO	EINSETZEN + FESTSETZEN + UEBERFUEHREN	neuen Posten einsetzen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: Nimm Ansatz umsetzen; Schluss; Ansatz umsetzen; Schluss. Den Schritt festsetzen.
B1-S008	B1	f81v	f81v.18	chey · ol · cheky · ol · shedy	GRADED_PROCESS	Den Arbeitsgang bis zum bezeichneten Zustand oder Grad führen.	LINK_SELECT|SOURCE_ITEM|OPERATION|STATE_GRADE|CLOSE	CLOSED	shedy=kurz oder gewöhnlich ruhen lassen; Schluss	NO	DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF; GRAD + DIES_AKTUELLER_POSTEN + ZUSTAND_JUSTIEREN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	dies; weiter; kurz wärmen; weiter; kurz absetzen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: mit Vorigem weiter bis kurz oder mild erwärmen; kurz oder gewöhnlich ruhen lassen; Schluss. Den Schritt festsetzen.
B1-S009	B1	f81v	f81v.18	qokedy	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	OPERATION|MEDIUM_FLOW|CLOSE	CLOSED	qokedy=kurz spülen oder benetzen und den Schritt abschließen	NO	EINSETZEN + GRAD + FESTSETZEN	kurz einwirken; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: kurz spülen oder benetzen und den Schritt abschließen; führe oder verwende kurz spülen oder benetzen und den Schritt abschließen. Den Schritt festsetzen.
B1-S010	B1	f81v	f81v.18	qokedy	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	OPERATION|MEDIUM_FLOW|CLOSE	CLOSED	qokedy=kurz spülen oder benetzen und den Schritt abschließen	NO	EINSETZEN + GRAD + FESTSETZEN	kurz einwirken; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: kurz spülen oder benetzen und den Schritt abschließen; führe oder verwende kurz spülen oder benetzen und den Schritt abschließen. Den Schritt festsetzen.
B1-S011	B1	f81v	f81v.18	chckhy · qoky	SOURCED_PROCESS	Den Posten aus der bezeichneten Quelle nehmen und bearbeiten.	SOURCE_ITEM|OPERATION	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	DIES_AKTUELLER_POSTEN + DURCHLASS; EINSETZEN + DIES_AKTUELLER_POSTEN	durchleiten; einsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: Nimm den laufenden Posten anwenden oder in Arbeit nehmen; durch verbundenen Lauf; den laufenden Posten anwenden oder in Arbeit nehmen. Den Posten für die nächste Zelle offen halten.
B1-S012	B1	f81v	f81v.21	lsho · qokey · lshedy	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	SOURCE_ITEM|OPERATION|MEDIUM_FLOW|STATE_GRADE|CLOSE	CLOSED	lshedy=waschen; Ende	NO	WASCHEN; EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN; FESTSETZEN + WASCHEN	Waschgang; kurz einwirken lassen; Waschgang; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: Spülung beginnen; den laufenden Posten kurz anlegen oder benetzen; führe oder verwende waschen; Ende bis den laufenden Posten kurz anlegen oder benetzen. Den Schritt festsetzen.
B1-S013	B1	f81v	f81v.21	lshedy	SIMPLE_OR_ELLIPTIC_PROCESS	Den örtlich bezeichneten Arbeitsschritt ausführen; ausgelassene Argumente vom Besitzer erben.	MEDIUM_FLOW|CLOSE	CLOSED	lshedy=waschen; Ende	NO	FESTSETZEN + WASCHEN	Waschgang; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: Waschgang; Schluss; Arbeitsschritt festsetzen. Den Schritt festsetzen.
B1-S014	B1	f81v	f81v.21	chedy · qolky · lchedal · qol · otar	FLOW_TRANSFER_PROCESS	Den laufenden Posten bearbeiten und über das angegebene Medium oder den Lauf führen.	LINK_SELECT|SOURCE_ITEM|OPERATION|MEDIUM_FLOW|TARGET	OPEN	OFFEN: nächste Arbeitszelle darf fortführen	NO	DIES_AKTUELLER_POSTEN + UEBERFUEHREN; WEITER_GLEICHER_LAUF; ZU_ZIEL + AB + UEBERFUEHREN; WEITER_GLEICHER_LAUF; FOLGEPOSTEN + VON_QUELLE	überführen; Weiterweg; Zielabführung; weiter; Folgequelle	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: den laufenden Posten umsetzen oder durcharbeiten; betroffene Stelle; Auslassstelle; mit Vorigem weiter; führe oder verwende Auslassstelle an Auslassstelle. Den Posten für die nächste Zelle offen halten.
B1-S015	B1	f81v	f81v.24	ytey · okchedy	SOURCED_PROCESS	Den Posten aus der bezeichneten Quelle nehmen und bearbeiten.	SOURCE_ITEM|OPERATION|CLOSE	CLOSED	okchedy=Ansatz umsetzen; Schluss	NO	Kurzteil; EINSETZEN + FESTSETZEN + UEBERFUEHREN	Kurzteil; vorigen Posten überführen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: Nimm Ansatz umsetzen; Schluss; Gefäß füllen; Ansatz umsetzen; Schluss. Den Schritt festsetzen.
B1-S016	B1	f81v	f81v.24	qokal · okeey · qol · cheedy	TARGET_APPLICATION_PROCESS	Den laufenden Posten an der Zielstelle einsetzen oder anwenden.	LINK_SELECT|SOURCE_ITEM|OPERATION|TARGET|STATE_GRADE|CLOSE	CLOSED	cheedy=kurz oder gewöhnlich ruhen lassen; Schluss	NO	EINSETZEN + ZU_ZIEL; EINSETZEN + GRAD + DIES_AKTUELLER_POSTEN; WEITER_GLEICHER_LAUF; GRAD + FESTSETZEN + ABSETZEN	dorthin einsetzen; länger einwirken lassen; weiter; kurz absetzen; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: an der Zielstelle einsetzen; den laufenden Posten anhaltend in Kontakt halten; mit Vorigem weiter an an der Zielstelle einsetzen bis den laufenden Posten anhaltend in Kontakt halten; kurz oder gewöhnlich ruhen lassen; Schluss. Den Schritt festsetzen.
B1-S017	B1	f81v	f81v.24	sal · teol · dchdy	TARGET_APPLICATION_PROCESS	Den laufenden Posten an der Zielstelle einsetzen oder anwenden.	OPERATION|TARGET|CLOSE	CLOSED	dchdy=Umsetzung abschließen	NO	ZU_ZIEL; WEITER_GLEICHER_LAUF + GRAD; FESTSETZEN + UEBERFUEHREN	dorthin; kurz weiterführen; Transfer; Schluss; Arbeitsschritt festsetzen	Beim Besitzer „gemeinsames Becken- und Figurenfeld auf f81v“: erste Öffnung; Umsetzung abschließen an Zielstelle. Den Schritt festsetzen.
