entry_id	entry_tier	entry_type	recognition_form	portable_value_de	teaching_rule_de	material_workshop_expansion_de	station_workshop_expansion_de	celestial_lookup_expansion_de
R-CTH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CTH	BEREIT	Grundtafel: frei zusammensetzen.	gebrauchsfertig	anwendungsbereit	gültiger/freigegebener Eintrag
R-SHED	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SHED	ABSETZEN	Grundtafel: frei zusammensetzen.	stehen und absetzen lassen	im Becken absetzen lassen	Eintrag ablegen
R-CKH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CKH	DURCHLASS	Grundtafel: frei zusammensetzen.	durch Tuch, Sieb oder Auslass	durch sichtbaren Anschluss/Durchlass	formale Verbindung
R-AM_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AM_ADDR	INNEN	Grundtafel: frei zusammensetzen.	im Gefäß oder inneren Anteil	im inneren Becken	Innenring/-platz
R-CHEO	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHEO	AUSZUG	Grundtafel: frei zusammensetzen.	der gewonnene Auszug	Arbeitsauszug oder laufende Flüssigkeit	lokale Eintragsklasse
R-DA	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	DA	ZWEIT	Grundtafel: frei zusammensetzen.	zweiter Ansatz oder zweite Zugabe	zweite Station oder zweite Füllung	zweiter Ring/zweite Stufe
R-CARRIER_Q	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CARRIER_Q	BEGINNEN	Grundtafel: frei zusammensetzen.	einen neuen Ansatz beginnen	neue Stationszelle beginnen	neue Reihe beginnen
R-A_ADDR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	A_ADDR	ORT	Grundtafel: frei zusammensetzen.	die bezeichnete Gefäß-/Gebrauchsstelle	sichtbare Station	lokale Adresse
R-AIR	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	AIR	LAUF	Grundtafel: frei zusammensetzen.	der Flüssigkeitslauf	lokaler Wasser-/Arbeitslauf	Ringlauf
R-CHK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	CHK	BEHANDELN	Grundtafel: frei zusammensetzen.	zerkleinern, wärmen, mischen oder bearbeiten	baden, waschen oder technisch bearbeiten	eingetragene Regel anwenden
R-IIN	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	IIN	STUFE	Grundtafel: frei zusammensetzen.	Ernte-, Reife- oder Arbeitsstufe	Stationsstufe	Grad/Stufe
R-S_ADDR	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	S_ADDR	STERNORT	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	zugeordneter Himmelsplatz	sternort	sternort
R-SOLK	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	SOLK	AUFFANGEN	Grundtafel: frei zusammensetzen.	im Gefäß auffangen	im Empfangsbecken auffangen	Ergebnisplatz
R-EEE	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	EEE	VOLL	Grundtafel: frei zusammensetzen.	bis zum vollen Grad	vollständig halten/füllen	voller Grad
R-LSH	A_COMMON_PRODUCTIVE_ROOT	ROOT_OR_LOCAL_SIGN	LSH	SPÜLEN	Grundtafel: frei zusammensetzen.	mit Arbeitsflüssigkeit spülen	Becken oder Körperstelle spülen	Reihe durchlaufen
R-LOCAL_CHAR_F	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_F	NEBENWEG	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	zweiter Auszug oder Nebenweg	Nebenrinne oder Nebenstation	Nebenring/-zweig
R-CPH	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	CPH	UMLEITEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	in einen anderen Empfänger leiten	zum anderen Becken umleiten	auf Alternativplatz führen
R-HO	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	HO	TEILSTOFF	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	weiterer Pflanzenteil oder Hilfsstoff	Badezusatz oder Arbeitsstoff	Unterklasse
R-AN	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	AN	ZUSATZ	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	ein Zusatz	Zusatz in der Station	Zusatzmarke
R-G_LABEL	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	G_LABEL	PRÜFEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	Farbe, Klarheit oder Zustand prüfen	sichtbaren Zustand prüfen	Platz/Regel prüfen
R-CFH	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	CFH	TRENNEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	Fraktion oder Pflanzenteil trennen	Lauf oder Fraktion trennen	Klasse oder Ring trennen
R-LOCAL_CHAR_G	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_G	EINMAL	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	einmal oder eine Portion	ein Durchgang	ein Platz/ein Umlauf
R-LOCAL_CHAR_I	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_I	UNTERSTUFE	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	untere/zweite Arbeitsstufe	untere Station/Stufe	Untergrad
R-OS	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	OS	DAZU	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	zum bisherigen Ansatz	zur aktuellen Station	zugeordnet
R-D_LABEL	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	D_LABEL	RAND	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	am Gefäßrand oder äußeren Anteil	am Beckenrand	Außenrand
R-S_LABEL	D_LOCAL_DIAGRAM_SIGN	ROOT_OR_LOCAL_SIGN	S_LABEL	RAHMEN	Nur auf der lokalen Bild-/Diagrammtafel lernen; kein allgemeiner Wortstamm.	die abgebildete Materialgruppe	die abgebildete Stationsgruppe	Diagrammrahmen
R-LOCAL_CHAR_B	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_B	PAAR	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	ein Paar oder zwei gleiche Portionen	Paarbecken oder Paarposten	Paarposten
R-M_LOCAL	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	M_LOCAL	MITTE	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	im Mittelgefäß oder mittleren Anteil	Mittelbecken/Mittelstelle	Mittelpunkt/Mittelplatz
R-Z_ADDR	D_LOCAL_DIAGRAM_SIGN	ROOT_OR_LOCAL_SIGN	Z_ADDR	AUSSEN	Nur auf der lokalen Bild-/Diagrammtafel lernen; kein allgemeiner Wortstamm.	äußerlich oder am Außenplatz	Außenbecken/Außenstelle	Außenring/-platz
R-LD	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LD	BEFESTIGEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	Auflage oder Einsatz befestigen	Auflage oder Einsatz befestigen	Marke fixieren
R-LOCAL_CHAR_J	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_J	VERBINDEN	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	Materialien oder Gefäßwege verbinden	zwei Stationen verbinden	Plätze verbinden
R-LOCAL_CHAR_Z	D_LOCAL_DIAGRAM_SIGN	ROOT_OR_LOCAL_SIGN	LOCAL_CHAR_Z	ZWISCHEN	Nur auf der lokalen Bild-/Diagrammtafel lernen; kein allgemeiner Wortstamm.	Zwischenfraktion oder Zwischenplatz	Zwischenbecken oder Zwischenweg	Zwischenplatz
R-RESUME_CARD	B_RARE_PRODUCTIVE_EXTENSION	ROOT_OR_LOCAL_SIGN	RESUME_CARD	WIEDER	Erweiterungstafel: nur in belegten Fachverbindungen verwenden.	den Gang wiederholen	Stationsgang wiederholen	Platzfolge wiederholen
F001	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CHD+Y	UMSETZEN · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	in ein anderes Gefäß versetzen · dieser Pflanzen-/Drogenposten	zur nächsten Station versetzen · dieser Stationsposten	auf anderen Platz übertragen · dieser Himmels-/Ringposten
F002	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SHED+DY	ABSETZEN · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	stehen und absetzen lassen · Teilansatz abschließen	im Becken absetzen lassen · Stationszelle schließen	Eintrag ablegen · Eintrag schließen
F003	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+E+DY	SETZEN · KURZ · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · kurz einwirken lassen · Teilansatz abschließen	an der Station ansetzen · kurz halten · Stationszelle schließen	Posten aktivieren · erster Grad · Eintrag schließen
F004	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+EE+DY	SETZEN · LÄNGER · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · länger halten oder ziehen lassen · Teilansatz abschließen	an der Station ansetzen · länger halten · Stationszelle schließen	Posten aktivieren · zweiter/längerer Grad · Eintrag schließen
F005	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+Y	SETZEN · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · dieser Pflanzen-/Drogenposten	an der Station ansetzen · dieser Stationsposten	Posten aktivieren · dieser Himmels-/Ringposten
F006	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AIN	SETZEN · EINHEIT	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · eine Portion	an der Station ansetzen · eine Stationsfüllung	Posten aktivieren · eine Tabellen- oder Ringzelle
F007	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+EE+Y	SETZEN · LÄNGER · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · länger halten oder ziehen lassen · dieser Pflanzen-/Drogenposten	an der Station ansetzen · länger halten · dieser Stationsposten	Posten aktivieren · zweiter/längerer Grad · dieser Himmels-/Ringposten
F008	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AIIN	SETZEN · SOLLWERT	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · die vorgeschriebene Menge	an der Station ansetzen · die vorgeschriebene Stationsmenge	Posten aktivieren · eingetragener Wert
F009	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AL	SETZEN · ZIEL	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · in das Zielgefäß oder an die Gebrauchsstelle	an der Station ansetzen · zur Ziel-/Aufnahmestelle	Posten aktivieren · Zielplatz
F010	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+E+Y	HALTEN · KURZ · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	halten, ziehen oder stehen lassen · kurz einwirken lassen · dieser Pflanzen-/Drogenposten	an der Station halten · kurz halten · dieser Stationsposten	Posten festhalten · erster Grad · dieser Himmels-/Ringposten
F011	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+Y	DANACH · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	den nächsten Teilgang nehmen · dieser Pflanzen-/Drogenposten	zur nächsten Station · dieser Stationsposten	nächster Platz · dieser Himmels-/Ringposten
F012	C_LEARNED_FORMULA_CARD	FORMULA_CARD	D_ADDR+AR	TEIL · QUELLE	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	Wurzel-, Blatt-, Blüten- oder Fruchtteil · aus Wurzelstock oder Vorrat	Teilbecken oder Arbeitsanteil · von Ausgangs-/Entnahmestelle	Unterplatz · Quellplatz
F013	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+AR	SETZEN · QUELLE	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · aus Wurzelstock oder Vorrat	an der Station ansetzen · von Ausgangs-/Entnahmestelle	Posten aktivieren · Quellplatz
F014	C_LEARNED_FORMULA_CARD	FORMULA_CARD	SH+EE+Y	HALTEN · LÄNGER · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	halten, ziehen oder stehen lassen · länger halten oder ziehen lassen · dieser Pflanzen-/Drogenposten	an der Station halten · länger halten · dieser Stationsposten	Posten festhalten · zweiter/längerer Grad · dieser Himmels-/Ringposten
F015	C_LEARNED_FORMULA_CARD	FORMULA_CARD	L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	gießen, abführen oder durchleiten · in ein anderes Gefäß versetzen · Teilansatz abschließen	über den sichtbaren Weg leiten · zur nächsten Station versetzen · Stationszelle schließen	zu verbundenem Platz führen · auf anderen Platz übertragen · Eintrag schließen
F016	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+AR	DANACH · QUELLE	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	den nächsten Teilgang nehmen · aus Wurzelstock oder Vorrat	zur nächsten Station · von Ausgangs-/Entnahmestelle	nächster Platz · Quellplatz
F017	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+E+Y	SETZEN · KURZ · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · kurz einwirken lassen · dieser Pflanzen-/Drogenposten	an der Station ansetzen · kurz halten · dieser Stationsposten	Posten aktivieren · erster Grad · dieser Himmels-/Ringposten
F018	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OL+DY	FORTSETZEN · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	denselben Ansatz fortführen · Teilansatz abschließen	im selben Lauf fortfahren · Stationszelle schließen	in derselben Reihe fortfahren · Eintrag schließen
F019	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CHEO+L	AUSZUG · LEITEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	der gewonnene Auszug · gießen, abführen oder durchleiten	Arbeitsauszug oder laufende Flüssigkeit · über den sichtbaren Weg leiten	lokale Eintragsklasse · zu verbundenem Platz führen
F020	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CKH+Y	DURCHLASS · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	durch Tuch, Sieb oder Auslass · dieser Pflanzen-/Drogenposten	durch sichtbaren Anschluss/Durchlass · dieser Stationsposten	formale Verbindung · dieser Himmels-/Ringposten
F021	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+E+DY	DANACH · KURZ · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	den nächsten Teilgang nehmen · kurz einwirken lassen · Teilansatz abschließen	zur nächsten Station · kurz halten · Stationszelle schließen	nächster Platz · erster Grad · Eintrag schließen
F022	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+EE+DY	DANACH · LÄNGER · SCHLIESSEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	den nächsten Teilgang nehmen · länger halten oder ziehen lassen · Teilansatz abschließen	zur nächsten Station · länger halten · Stationszelle schließen	nächster Platz · zweiter/längerer Grad · Eintrag schließen
F023	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+EE+Y	DANACH · LÄNGER · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	den nächsten Teilgang nehmen · länger halten oder ziehen lassen · dieser Pflanzen-/Drogenposten	zur nächsten Station · länger halten · dieser Stationsposten	nächster Platz · zweiter/längerer Grad · dieser Himmels-/Ringposten
F024	C_LEARNED_FORMULA_CARD	FORMULA_CARD	S+AR	AUSWÄHLEN · QUELLE	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	den bezeichneten Drogenposten wählen · aus Wurzelstock oder Vorrat	sichtbare Station wählen · von Ausgangs-/Entnahmestelle	Ring-/Sternplatz wählen · Quellplatz
F025	C_LEARNED_FORMULA_CARD	FORMULA_CARD	CTH+Y	BEREIT · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	gebrauchsfertig · dieser Pflanzen-/Drogenposten	anwendungsbereit · dieser Stationsposten	gültiger/freigegebener Eintrag · dieser Himmels-/Ringposten
F026	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+OR	DANACH · SATZ	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	den nächsten Teilgang nehmen · der laufende Ansatz	zur nächsten Station · laufende Stationskonfiguration	nächster Platz · Eintragsklasse
F027	C_LEARNED_FORMULA_CARD	FORMULA_CARD	S+AIIN	AUSWÄHLEN · SOLLWERT	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	den bezeichneten Drogenposten wählen · die vorgeschriebene Menge	sichtbare Station wählen · die vorgeschriebene Stationsmenge	Ring-/Sternplatz wählen · eingetragener Wert
F035	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OK+OL	SETZEN · FORTSETZEN	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	im Ansatz ansetzen · denselben Ansatz fortführen	an der Station ansetzen · im selben Lauf fortfahren	Posten aktivieren · in derselben Reihe fortfahren
F036	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OL+Y	FORTSETZEN · DIES	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	denselben Ansatz fortführen · dieser Pflanzen-/Drogenposten	im selben Lauf fortfahren · dieser Stationsposten	in derselben Reihe fortfahren · dieser Himmels-/Ringposten
F039	C_LEARNED_FORMULA_CARD	FORMULA_CARD	OT+AL	DANACH · ZIEL	Als ganze Karte lernen; innere Stämme nur als Merkhilfe.	den nächsten Teilgang nehmen · in das Zielgefäß oder an die Gebrauchsstelle	zur nächsten Station · zur Ziel-/Aufnahmestelle	nächster Platz · Zielplatz
