frame_id	visible_frame	recipe_frame	recipe_atom_count	frame_realization_class	frame_realization_trace	old_alias_evidence	sequence_target_count	sequence_targets	strong_peer_count	strong_peers	target_mode_coverage_count	same_mode_peer_contact_count	same_mode_peer_map	target_positions	peer_positions	all_targets_have_same_mode_peer	guard
F011	chor	CH+OR	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	chor→CH+OR	chor:LEARNED_SHORT_RENDERER:n85:share0.944444	1	choraly	2	choraiin|chory	1	2	choraly:choraiin|chory	choraly:START	choraiin:START|chory:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F012	shol	SH+OL	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	shol→SH+OL	shol:LEARNED_SHORT_RENDERER:n37:share0.672727	1	shyshol	2	ltsholy|sholfordaiin	1	2	shyshol:ltsholy|sholfordaiin	shyshol:END	ltsholy:INTERNAL|sholfordaiin:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F013	edy	E+DY	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	edy→E+DY	edy:LEARNED_SHORT_RENDERER:n395:share0.914352	1	dalalshedy	2	chckhedy|ykshedy	1	1	dalalshedy:chckhedy	dalalshedy:END	chckhedy:END|ykshedy:END	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F014	pch	P+CH	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	pch→P+CH	pch:LEARNED_SHORT_RENDERER:n64:share0.864865	1	ypches	2	lpchees|pchof	1	1	ypches:pchof	ypches:INTERNAL	lpchees:INTERNAL|pchof:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F015	ysh	Y+SH	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	ysh→Y+SH	ysh:LEARNED_SHORT_RENDERER:n13:share1.000000	1	shyshol	2	yshedair|ysheeod	1	2	shyshol:yshedair|ysheeod	shyshol:INTERNAL	yshedair:START|ysheeod:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F016	shedy	SH+E+DY	3	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	shedy→SH+E+DY	shedy:LEARNED_SHORT_RENDERER:n159:share0.981481	1	dalalshedy	1	ykshedy	0	0	dalalshedy:NONE	dalalshedy:END	ykshedy:END	NO	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F017	ches	CH+E+S	3	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	ches→CH+E+S	ches:LEARNED_SHORT_RENDERER:n13:share1.000000	1	ypches	1	yches	1	1	ypches:yches	ypches:END	yches:END	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F018	kod	K+O+D_ADDR	3	COALESCED_ADJACENT_OLD_ALIAS_SEGMENTS	k→K | od→O+D_ADDR	k:CANONICAL_AND_LEARNED:n937:share0.961026 | od:LEARNED_SHORT_RENDERER:n226:share0.849624	1	kodary	1	kodalchy	1	1	kodary:kodalchy	kodary:START	kodalchy:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F019	yko	Y+K+O	3	COALESCED_ADJACENT_OLD_ALIAS_SEGMENTS	yk→Y+K | o→O	yk:LEARNED_SHORT_RENDERER:n138:share0.896104 | o:CANONICAL_AND_LEARNED:n1340:share0.949681	1	dairykodas	1	ykoiin	1	1	dairykodas:ykoiin	dairykodas:INTERNAL	ykoiin:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F020	olsh	OL+SH	2	COALESCED_ADJACENT_OLD_ALIAS_SEGMENTS	ol→OL | sh→SH	ol:CANONICAL_AND_LEARNED:n956:share0.965657 | sh:CANONICAL_AND_LEARNED:n1298:share0.985573	1	tolshy	1	olsheor	1	1	tolshy:olsheor	tolshy:INTERNAL	olsheor:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F021	hes	E+S	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	hes→E+S	hes:LEARNED_SHORT_RENDERER:n13:share0.764706	1	ypches	1	yches	1	1	ypches:yches	ypches:END	yches:END	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F022	es	E+S	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	es→E+S	es:LEARNED_SHORT_RENDERER:n70:share0.897436	1	ypches	1	yches	1	1	ypches:yches	ypches:END	yches:END	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
F023	pc	P+CH	2	SINGLE_OLD_LEARNED_OR_CANONICAL_ALIAS	pc→P+CH	pc:LEARNED_SHORT_RENDERER:n53:share0.946429	1	ypches	1	pchof	1	1	ypches:pchof	ypches:INTERNAL	pchof:START	YES	EXACT_FRAME_INSIDE_FULL_OLD_ALIAS_COVERS__CURRENT_STRONG_PEERS_ONLY
