surface	component_recipe	portable_core_de	events	physical_pages	layers	decode_instruction_de
chalaly	CH+AL+AL+Y	NEHMEN · ZIEL · ZIEL · DIES	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
char	AR	QUELLE	4	f10r|f69v|f75r|f82r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chary	AR+Y	QUELLE · DIES	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chchs	CH+CH+S	NEHMEN · NEHMEN · AUSWÄHLEN	1	f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chckhal	CH+CKH+AL	NEHMEN · DURCHLASS · ZIEL	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chckhdy	CH+CKH+D_ADDR+Y	NEHMEN · DURCHLASS · TEIL · DIES	2	f55v|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chckhey	CH+CKH+E+Y	NEHMEN · DURCHLASS · KURZ · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chckhy	CKH+Y	DURCHLASS · DIES	10	f13r|f55v|f75r|f81v|f82r	LEARNED_FORMULA_CARD	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chcthdy	CH+CTH+D_ADDR+Y	NEHMEN · BEREIT · TEIL · DIES	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chcthedy	CH+CTH+E+DY	NEHMEN · BEREIT · KURZ · SCHLIESSEN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chcthey	CH+CTH+E+Y	NEHMEN · BEREIT · KURZ · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chcthol	CH+CTH+OL	NEHMEN · BEREIT · FORTSETZEN	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chcthy	CH+CTH+Y	NEHMEN · BEREIT · DIES	5	f10r|f70v|f75r|f81v	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chda	CHD+A_ADDR	UMSETZEN · ORT	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chdal	CHD+AL	UMSETZEN · ZIEL	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chdy	CHD+Y	UMSETZEN · DIES	8	f56r|f69v|f75r|f81v|f82r|f83r	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheal	AL	ZIEL	2	f69v|f82r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chealror	AL+R+OR	ZIEL · MARKIEREN · SATZ	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chear	CH+E+AR	NEHMEN · KURZ · QUELLE	3	f69v|f88r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
checholtar	CH+E+OL+T+AR	NEHMEN · KURZ · FORTSETZEN · EINSTELLEN · QUELLE	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
checkho	CH+E+CKH+O	NEHMEN · KURZ · DURCHLASS · AUSFÜHREN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
checkhy	CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · DIES	3	f75r|f81v|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
checphedy	CH+E+CPH+E+DY	NEHMEN · KURZ · UMLEITEN · KURZ · SCHLIESSEN	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
checthy	CTH+Y	BEREIT · DIES	3	f75r|f83r	LEARNED_FORMULA_CARD	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ched	CHD	UMSETZEN	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chedaiin	CHD+AIIN	UMSETZEN · SOLLWERT	3	f67r2|f70v|f83r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chedain	CHD+AIN	UMSETZEN · EINHEIT	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chedar	CHD+AR	UMSETZEN · QUELLE	2	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chedchy	CHD+Y	UMSETZEN · DIES	1	f83r	LEARNED_FORMULA_CARD	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chedol	CHD+OL	UMSETZEN · FORTSETZEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chedy	CHD+Y	UMSETZEN · DIES	43	f55v|f70v|f75r|f81v|f82r|f83r	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chedykar	CHD+Y+K+AR	UMSETZEN · DIES · GEBEN · QUELLE	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chedyqokam	CHD+Y+OK+AM_ADDR	UMSETZEN · DIES · SETZEN · INNEN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheeb	CH+EE+LOCAL_CHAR_B	NEHMEN · LÄNGER · PAAR	2	f83r|f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheeckhody	CH+EE+CKH+O+DY	NEHMEN · LÄNGER · DURCHLASS · AUSFÜHREN · SCHLIESSEN	1	f56r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheedar	EE+AR	LÄNGER · QUELLE	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheedy	CH+EE+D_ADDR+Y	NEHMEN · LÄNGER · TEIL · DIES	2	f81v|f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheeety	EEE+T+Y	VOLL · EINSTELLEN · DIES	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheeky	CHK+EE+Y	BEHANDELN · LÄNGER · DIES	4	f55v|f75r|f81v|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheeor	CH+EE+OR	NEHMEN · LÄNGER · SATZ	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chees	SH+EE+S_ADDR	HALTEN · LÄNGER · STERNORT	2	f69v|f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheeteey	CH+EE+T+EE+Y	NEHMEN · LÄNGER · EINSTELLEN · LÄNGER · DIES	1	f68r1	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheey	SH+EE+Y	HALTEN · LÄNGER · DIES	15	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	LEARNED_FORMULA_CARD|LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheg	CH+E+LOCAL_CHAR_G	NEHMEN · KURZ · EINMAL	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chekal	CHK+AL	BEHANDELN · ZIEL	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chekam	CHK+AM_ADDR	BEHANDELN · INNEN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chekar	CHK+AR	BEHANDELN · QUELLE	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chekeal	CHK+E+AL	BEHANDELN · KURZ · ZIEL	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chekeedy	CHK+EE+DY	BEHANDELN · LÄNGER · SCHLIESSEN	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chekey	CHK+E+Y	BEHANDELN · KURZ · DIES	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chekody	CHK+O+D_ADDR+Y	BEHANDELN · AUSFÜHREN · TEIL · DIES	1	f67r2	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheky	CHK+E+Y	BEHANDELN · KURZ · DIES	6	f55v|f75r|f81v|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheo	CHEO	AUSZUG	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheoar	CH+E+O+AR	NEHMEN · KURZ · AUSFÜHREN · QUELLE	1	f55v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheody	CHEO+Y	AUSZUG · DIES	5	f55v|f69v|f70v|f88r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheojam	CHEO+LOCAL_CHAR_J+A_ADDR+AM_ADDR	AUSZUG · VERBINDEN · ORT · INNEN	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheokeeo	CH+E+OK+EE+O	NEHMEN · KURZ · SETZEN · LÄNGER · AUSFÜHREN	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheokeo	CH+E+OK+E+O	NEHMEN · KURZ · SETZEN · KURZ · AUSFÜHREN	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheokorchey	CHEO+K+OR+CH+E+Y	AUSZUG · GEBEN · SATZ · NEHMEN · KURZ · DIES	1	f68r1	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheoky	CHEO+K+Y	AUSZUG · GEBEN · DIES	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheol	CHEO+L	AUSZUG · LEITEN	13	f81v|f82r|f83r|f88r	LEARNED_FORMULA_CARD	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheoltey	CH+E+OL+T+E+Y	NEHMEN · KURZ · FORTSETZEN · EINSTELLEN · KURZ · DIES	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheom	CHEO+AM_ADDR	AUSZUG · INNEN	3	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheor	CHEO+R	AUSZUG · MARKIEREN	6	f68r1|f69v|f82r|f88r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheos	CHEO+S	AUSZUG · AUSWÄHLEN	2	f67r2|f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheotey	CHEO+T+E+Y	AUSZUG · EINSTELLEN · KURZ · DIES	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chepol	CH+E+P+OL	NEHMEN · KURZ · EINSETZEN · FORTSETZEN	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
ches	CH+E+S	NEHMEN · KURZ · AUSWÄHLEN	1	f82r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chetalchs	CH+E+T+AL+CH+S_ADDR	NEHMEN · KURZ · EINSTELLEN · ZIEL · NEHMEN · STERNORT	1	f70v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chetchy	CH+E+T+CH+Y	NEHMEN · KURZ · EINSTELLEN · NEHMEN · DIES	1	f88r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chetedy	CH+E+T+E+D_ADDR+Y	NEHMEN · KURZ · EINSTELLEN · KURZ · TEIL · DIES	1	f81v	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheteeser	CH+E+T+EE+S_ADDR+E+R	NEHMEN · KURZ · EINSTELLEN · LÄNGER · STERNORT · KURZ · MARKIEREN	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chetody	CH+E+T+O+D_ADDR+Y	NEHMEN · KURZ · EINSTELLEN · AUSFÜHREN · TEIL · DIES	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chety	T+Y	EINSTELLEN · DIES	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chey	Y	DIES	29	f55v|f56r|f69v|f75r|f81v|f82r|f83r|f88r	LOCAL_NOMENCLATOR_OR_ADDRESS|PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
cheyky	CH+E+Y+K+Y	NEHMEN · KURZ · DIES · GEBEN · DIES	1	f69v	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chkain	CHK+AIN	BEHANDELN · EINHEIT	1	f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chkal	CHK+AL	BEHANDELN · ZIEL	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chkar	CHK+AR	BEHANDELN · QUELLE	1	f75r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chkchdar	CHK+CHD+AR	BEHANDELN · UMSETZEN · QUELLE	1	f67r2	LOCAL_NOMENCLATOR_OR_ADDRESS	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chkchykoly	CHK+CH+Y+K+OL+Y	BEHANDELN · NEHMEN · DIES · GEBEN · FORTSETZEN · DIES	1	f68r1	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
chkedy	CHK+E+D_ADDR+Y	BEHANDELN · KURZ · TEIL · DIES	2	f82r|f83r	PRODUCTIVE_ABBREVIATION_COMPOSITION	Oberfläche als exakt diese Stammfolge lesen; sichtbaren Besitzer lokal ergänzen.
