component_recipe	portable_core_de	default_surface	default_surface_events	allowed_observed_surfaces	variant_count	encode_instruction_de
AL+Y+S	ZIEL · DIES · AUSWÄHLEN	alys	1	alys	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AM_ADDR	INNEN	am	10	am	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AM_ADDR+DY	INNEN · SCHLIESSEN	amdy	1	amdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AM_ADDR+Y	INNEN · DIES	amy	1	amy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AR	QUELLE	ar	21	ar|char	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AR+AIIN	QUELLE · SOLLWERT	araiin	1	araiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AR+AL	QUELLE · ZIEL	aral	1	aral	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AR+AL+Y	QUELLE · ZIEL · DIES	araly	1	araly	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AR+AM_ADDR	QUELLE · INNEN	aram	1	aram	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AR+AR	QUELLE · QUELLE	arar	2	arar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AR+A_ADDR+Y+DY	QUELLE · ORT · DIES · SCHLIESSEN	araydy	1	araydy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
AR+Y	QUELLE · DIES	chary	1	chary	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
A_ADDR	ORT	a	1	a	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
A_ADDR+IIN+L+DY	ORT · STUFE · LEITEN · SCHLIESSEN	aildy	1	aildy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
A_ADDR+SH+Y+T+EE+D_ADDR	ORT · HALTEN · DIES · EINSTELLEN · LÄNGER · TEIL	ashyteed	1	ashyteed	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
A_ADDR+Y	ORT · DIES	ay	2	ay|ajy	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+E+AR	BEGINNEN · KURZ · QUELLE	qear	1	qear	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+E+DY	BEGINNEN · KURZ · SCHLIESSEN	qedy	1	qedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+E+K+AIIN	BEGINNEN · KURZ · GEBEN · SOLLWERT	qekaiin	1	qekaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+E+K+EE+Y	BEGINNEN · KURZ · GEBEN · LÄNGER · DIES	qekeey	1	qekeey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+E+T+AL	BEGINNEN · KURZ · EINSTELLEN · ZIEL	qetal	1	qetal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+E+T+CH+Y	BEGINNEN · KURZ · EINSTELLEN · NEHMEN · DIES	qetchy	1	qetchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+E+Y+K+EE+Y	BEGINNEN · KURZ · DIES · GEBEN · LÄNGER · DIES	qeykeey	1	qeykeey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+EEE+D_ADDR+Y	BEGINNEN · VOLL · TEIL · DIES	qeeedy	1	qeeedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+K+O+Y	BEGINNEN · GEBEN · AUSFÜHREN · DIES	qkoy	1	qkoy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+AIIN	BEGINNEN · AUSFÜHREN · SOLLWERT	qoaiin	1	qoaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+CH+EE+Y	BEGINNEN · AUSFÜHREN · NEHMEN · LÄNGER · DIES	qocheey	1	qocheey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+CKH+OL	BEGINNEN · AUSFÜHREN · DURCHLASS · FORTSETZEN	qockhol	2	qockhol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+CKH+Y	BEGINNEN · AUSFÜHREN · DURCHLASS · DIES	qockhy	1	qockhy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+CTH+E+Y	BEGINNEN · AUSFÜHREN · BEREIT · KURZ · DIES	qocthey	1	qocthey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+CTH+OL+Y	BEGINNEN · AUSFÜHREN · BEREIT · FORTSETZEN · DIES	qoctholy	1	qoctholy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+DY	BEGINNEN · AUSFÜHREN · SCHLIESSEN	qody	1	qody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+D_ADDR+CHD	BEGINNEN · AUSFÜHREN · TEIL · UMSETZEN	qodched	1	qodched	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+D_ADDR+OR	BEGINNEN · AUSFÜHREN · TEIL · SATZ	qodor	1	qodor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+E+K+E+OR	BEGINNEN · AUSFÜHREN · KURZ · GEBEN · KURZ · SATZ	qoekeor	1	qoekeor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+E+K+OL	BEGINNEN · AUSFÜHREN · KURZ · GEBEN · FORTSETZEN	qoekol	2	qoekol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+E+S+E+DY	BEGINNEN · AUSFÜHREN · KURZ · AUSWÄHLEN · KURZ · SCHLIESSEN	qoesedy	1	qoesedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+EE+D_ADDR+Y	BEGINNEN · AUSFÜHREN · LÄNGER · TEIL · DIES	qoeedy	1	qoeedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+LOCAL_CHAR_F+AIR	BEGINNEN · AUSFÜHREN · NEBENWEG · LAUF	qofair	1	qofair	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	BEGINNEN · AUSFÜHREN · NEBENWEG · UMSETZEN · DIES	qofchedy	1	qofchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+OL	BEGINNEN · AUSFÜHREN · FORTSETZEN	qool	1	qool	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+OR	BEGINNEN · AUSFÜHREN · SATZ	qoor	1	qoor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+P	BEGINNEN · AUSFÜHREN · EINSETZEN	qop	1	qop	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+P+CHD+Y	BEGINNEN · AUSFÜHREN · EINSETZEN · UMSETZEN · DIES	qopchedy	1	qopchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+P+OL	BEGINNEN · AUSFÜHREN · EINSETZEN · FORTSETZEN	qopol	1	qopol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+P+SH+D_ADDR+Y	BEGINNEN · AUSFÜHREN · EINSETZEN · HALTEN · TEIL · DIES	qopshdy	1	qopshdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+P+Y	BEGINNEN · AUSFÜHREN · EINSETZEN · DIES	qopy	1	qopy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+O+SH+EE+D_ADDR+Y	BEGINNEN · AUSFÜHREN · HALTEN · LÄNGER · TEIL · DIES	qosheedy	1	qosheedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CARRIER_Q+S+G_LABEL	BEGINNEN · AUSWÄHLEN · PRÜFEN	qsg	1	qsg	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CFH+OL+DY	TRENNEN · FORTSETZEN · SCHLIESSEN	cfholdy	1	cfholdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CFH+Y	TRENNEN · DIES	cfhy	2	cfhy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH	NEHMEN	ch	3	ch	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+AIIN	NEHMEN · SOLLWERT	chaiin	4	chaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+AIR	NEHMEN · LAUF	chair	1	chair	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+AL	NEHMEN · ZIEL	chal	3	chal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+AL+AL+Y	NEHMEN · ZIEL · ZIEL · DIES	chalaly	1	chalaly	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+CH+S	NEHMEN · NEHMEN · AUSWÄHLEN	chchs	1	chchs	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+CKH+AL	NEHMEN · DURCHLASS · ZIEL	chckhal	1	chckhal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+CKH+D_ADDR+Y	NEHMEN · DURCHLASS · TEIL · DIES	chckhdy	2	chckhdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+CKH+E+Y	NEHMEN · DURCHLASS · KURZ · DIES	chckhey	1	chckhey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+CTH+D_ADDR+Y	NEHMEN · BEREIT · TEIL · DIES	chcthdy	1	chcthdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+CTH+E+DY	NEHMEN · BEREIT · KURZ · SCHLIESSEN	chcthedy	1	chcthedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+CTH+E+Y	NEHMEN · BEREIT · KURZ · DIES	chcthey	1	chcthey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+CTH+OL	NEHMEN · BEREIT · FORTSETZEN	chcthol	1	chcthol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+CTH+Y	NEHMEN · BEREIT · DIES	chcthy	5	chcthy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+AR	NEHMEN · KURZ · QUELLE	chear	3	chear	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+CKH+O	NEHMEN · KURZ · DURCHLASS · AUSFÜHREN	checkho	1	checkho	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · DIES	checkhy	3	checkhy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+CPH+E+DY	NEHMEN · KURZ · UMLEITEN · KURZ · SCHLIESSEN	checphedy	1	checphedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+LOCAL_CHAR_G	NEHMEN · KURZ · EINMAL	cheg	1	cheg	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+O+AR	NEHMEN · KURZ · AUSFÜHREN · QUELLE	cheoar	1	cheoar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+OK+E+O	NEHMEN · KURZ · SETZEN · KURZ · AUSFÜHREN	cheokeo	1	cheokeo	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+OK+EE+O	NEHMEN · KURZ · SETZEN · LÄNGER · AUSFÜHREN	cheokeeo	1	cheokeeo	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+OL+T+AR	NEHMEN · KURZ · FORTSETZEN · EINSTELLEN · QUELLE	checholtar	1	checholtar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+OL+T+E+Y	NEHMEN · KURZ · FORTSETZEN · EINSTELLEN · KURZ · DIES	cheoltey	1	cheoltey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+P+OL	NEHMEN · KURZ · EINSETZEN · FORTSETZEN	chepol	1	chepol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+S	NEHMEN · KURZ · AUSWÄHLEN	ches	1	ches	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+T+AL+CH+S_ADDR	NEHMEN · KURZ · EINSTELLEN · ZIEL · NEHMEN · STERNORT	chetalchs	1	chetalchs	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+T+CH+Y	NEHMEN · KURZ · EINSTELLEN · NEHMEN · DIES	chetchy	1	chetchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+T+E+D_ADDR+Y	NEHMEN · KURZ · EINSTELLEN · KURZ · TEIL · DIES	chetedy	1	chetedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+T+EE+S_ADDR+E+R	NEHMEN · KURZ · EINSTELLEN · LÄNGER · STERNORT · KURZ · MARKIEREN	cheteeser	1	cheteeser	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+T+O+D_ADDR+Y	NEHMEN · KURZ · EINSTELLEN · AUSFÜHREN · TEIL · DIES	chetody	1	chetody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+Y	NEHMEN · KURZ · DIES	dchey	3	dchey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+E+Y+K+Y	NEHMEN · KURZ · DIES · GEBEN · DIES	cheyky	1	cheyky	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+EE+CKH+O+DY	NEHMEN · LÄNGER · DURCHLASS · AUSFÜHREN · SCHLIESSEN	cheeckhody	1	cheeckhody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+EE+D_ADDR+Y	NEHMEN · LÄNGER · TEIL · DIES	cheedy	2	cheedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+EE+LOCAL_CHAR_B	NEHMEN · LÄNGER · PAAR	cheeb	2	cheeb	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+EE+OR	NEHMEN · LÄNGER · SATZ	cheeor	1	cheeor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+EE+T+EE+Y	NEHMEN · LÄNGER · EINSTELLEN · LÄNGER · DIES	cheeteey	1	cheeteey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+AIIN	NEHMEN · AUSFÜHREN · SOLLWERT	choaiin	1	choaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+CFH+Y	NEHMEN · AUSFÜHREN · TRENNEN · DIES	chocfhy	2	chocfhy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+CTH+EEE+Y	NEHMEN · AUSFÜHREN · BEREIT · VOLL · DIES	choctheeey	1	choctheeey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+CTH+Y	NEHMEN · AUSFÜHREN · BEREIT · DIES	chocthy	1	chocthy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+D_ADDR	NEHMEN · AUSFÜHREN · TEIL	chod	1	chod	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+D_ADDR+AIIN	NEHMEN · AUSFÜHREN · TEIL · SOLLWERT	chodaiin	1	chodaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+D_ADDR+L	NEHMEN · AUSFÜHREN · TEIL · LEITEN	chodl	1	chodl	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+D_ADDR+Y	NEHMEN · AUSFÜHREN · TEIL · DIES	chody	3	chody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+E+R	NEHMEN · AUSFÜHREN · KURZ · MARKIEREN	choer	1	choer	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+EE+A_ADDR	NEHMEN · AUSFÜHREN · LÄNGER · ORT	choeea	1	choeea	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+P+CH+AL	NEHMEN · AUSFÜHREN · EINSETZEN · NEHMEN · ZIEL	chopchal	1	chopchal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+P+CHD+Y	NEHMEN · AUSFÜHREN · EINSETZEN · UMSETZEN · DIES	chopchedy	1	chopchedy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+S	NEHMEN · AUSFÜHREN · AUSWÄHLEN	chos	3	chos	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+O+S+AL+S	NEHMEN · AUSFÜHREN · AUSWÄHLEN · ZIEL · AUSWÄHLEN	chosals	1	chosals	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+OR	NEHMEN · SATZ	chor	9	chor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+OR+CH+Y	NEHMEN · SATZ · NEHMEN · DIES	chorchy	2	chorchy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+OR+OL+S+AL	NEHMEN · SATZ · FORTSETZEN · AUSWÄHLEN · ZIEL	chorcholsal	1	chorcholsal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+OT+CH+E+Y	NEHMEN · DANACH · NEHMEN · KURZ · DIES	chotchey	1	chotchey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+OT+EE+Y	NEHMEN · DANACH · LÄNGER · DIES	choteey	2	choteey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+OT+OL	NEHMEN · DANACH · FORTSETZEN	chotol	2	chotol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+OT+Y	NEHMEN · DANACH · DIES	choty	2	choty	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+P+OR	NEHMEN · EINSETZEN · SATZ	chpor	1	chpor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+S+DY	NEHMEN · AUSWÄHLEN · SCHLIESSEN	chsdy	2	chsdy	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+T+CH+OR	NEHMEN · EINSTELLEN · NEHMEN · SATZ	chtchor	1	chtchor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+T+EE+Y	NEHMEN · EINSTELLEN · LÄNGER · DIES	chteey	1	chteey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+T+OR+OL	NEHMEN · EINSTELLEN · SATZ · FORTSETZEN	chtorol	1	chtorol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+T+Y	NEHMEN · EINSTELLEN · DIES	chty	1	chty	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+Y+K+AR	NEHMEN · DIES · GEBEN · QUELLE	chykar	1	chykar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+Y+K+CH+S	NEHMEN · DIES · GEBEN · NEHMEN · AUSWÄHLEN	chykchs	1	chykchs	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CH+Y+K+E+Y	NEHMEN · DIES · GEBEN · KURZ · DIES	chykey	1	chykey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD	UMSETZEN	ched	1	ched	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+AIIN	UMSETZEN · SOLLWERT	chedaiin	3	chedaiin	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+AIN	UMSETZEN · EINHEIT	chedain	1	chedain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+AIR	UMSETZEN · LAUF	schedair	1	schedair	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+AL	UMSETZEN · ZIEL	chdal	1	chdal	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+AR	UMSETZEN · QUELLE	chedar	2	chedar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+A_ADDR	UMSETZEN · ORT	chda	1	chda	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+DY	UMSETZEN · SCHLIESSEN	schedy	2	schedy|dchdy	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+OL	UMSETZEN · FORTSETZEN	chedol	1	chedol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+Y	UMSETZEN · DIES	chedy	43	chedy|chdy|chedchy	3	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+Y+K+AR	UMSETZEN · DIES · GEBEN · QUELLE	chedykar	1	chedykar	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHD+Y+OK+AM_ADDR	UMSETZEN · DIES · SETZEN · INNEN	chedyqokam	1	chedyqokam	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO	AUSZUG	cheo	1	cheo	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO+AM_ADDR	AUSZUG · INNEN	cheom	3	cheom	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO+K+OR+CH+E+Y	AUSZUG · GEBEN · SATZ · NEHMEN · KURZ · DIES	cheokorchey	1	cheokorchey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO+K+Y	AUSZUG · GEBEN · DIES	cheoky	1	cheoky	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO+L	AUSZUG · LEITEN	cheol	13	cheol	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO+LOCAL_CHAR_J+A_ADDR+AM_ADDR	AUSZUG · VERBINDEN · ORT · INNEN	cheojam	1	cheojam	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO+R	AUSZUG · MARKIEREN	cheor	6	cheor	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO+S	AUSZUG · AUSWÄHLEN	cheos	2	cheos	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO+T+E+Y	AUSZUG · EINSTELLEN · KURZ · DIES	cheotey	1	cheotey	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHEO+Y	AUSZUG · DIES	cheody	5	cheody	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+AIN	BEHANDELN · EINHEIT	chkain	1	chkain	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+AL	BEHANDELN · ZIEL	chekal	1	chekal|chkal	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+AM_ADDR	BEHANDELN · INNEN	chekam	1	chekam	1	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
CHK+AR	BEHANDELN · QUELLE	chekar	1	chekar|chkar	2	Default schreiben; nur eine gelistete Stellungs-/Handvariante einsetzen.
