action_case_id	operation_agreement	degree_agreement	material_agreement	completion_agreement	result_role	competing_or_missing_patient	decision	decision_reason_de	portable_default
A045	CONFLICT	CONFLICT	CONFLICT	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Einweichen und Erhitzen bis zum Abschluss wechseln zu kaltem Holz auf Stufe II.	NO
A046	SINGLE_EXACT	UNSPECIFIED	CONFLICT	UNSPECIFIED	QUANTITY	NONE	HOLD_NEW	Abmessen wird als abgemessene Menge gespiegelt; Arzneikompositum wird jedoch ohne Brücke zu feuchtem Rohstoff, und Mittelstufe steht nur rechts.	NO
A047	CONFLICT	UNSPECIFIED	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Fertig getrocknetes Pulver wird unmittelbar als angefeuchtete Drogenportion beschrieben; Mittelstufe steht nur rechts.	NO
A048	NONPRODUCTIVE	UNSPECIFIED	GENERIC	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Hinzunehmen der Endportion erklärt den heißen Grad III nicht.	NO
A049	CONFLICT	CONFLICT	CONFLICT	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Zugegebener Drogenstoff wechselt zu kaltem Holz auf Stufe III.	NO
A052	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	LEFT_OPEN	OPEN_PARTIAL	Getrocknete Wurzel kann der genommene Patient sein, nicht das Produkt des Nehmens.	NO
A053	CONFLICT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	RETAIN_PRIOR_HOLD	Endtrocknung und heißer Mittelstufenansatz widersprechen sich als unmittelbarer gleicher Zustand.	NO
A055	CONFLICT	CONFLICT	RELATED	RELATED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Vollständiges Trocknen und Abschließen wird als mittlere Heizstufe ohne Trockenstand fortgesetzt.	NO
A056	ONE_OPERATION_PLUS_COMPLETION_EQUIVALENT	UNSPECIFIED	GENERIC_PORTION_NO_MATERIAL_HEAD	SEMANTIC_EQUIVALENT	MATERIAL_STATE_PRODUCT	RESULT_MATERIAL_IDENTITY_UNWRITTEN	ADMIT_NEW	Abmessen erscheint direkt als abgemessen; Abschließen entspricht semantisch fertig. Trocken, Mittelstufe und Materialidentität stehen nur rechts beziehungsweise bleiben ungeschrieben.	NO
A057	TWO_EXACT	EXACT	MATERIAL_IDENTITY_UNRESOLVED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	LEFT_PATIENT_OPEN_SHECKHY_ARZNEIKOMPOSITUM	ADMIT_NEW	Einweichen, Erhitzen und Mittelstufe werden im geschriebenen Drogenstoffzustand exakt gespiegelt; der linke Patient bleibt wegen sheckhy#2 offen.	NO
A059	NONE	UNSPECIFIED	GENERIC	UNSPECIFIED	MATERIAL_LABEL	LEFT_OPEN	OPEN_PARTIAL	Grundansatz nennt mögliches Material, schreibt aber weder Trocknung noch Kühlstufe II als Ergebnis.	NO
A060	CONFLICT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	CONTROL_CONFLICT	Gleiches sheky verliert Einweichen und Mittelstufe; rechts steht heißer Rohstoff am Gradanfang.	NO
A063	NONPRODUCTIVE	UNSPECIFIED	GENERIC	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Heiß Grad II kann ein Registerwert sein; Zugabe von Drogenstoff erzeugt ihn nicht eindeutig.	NO
A064	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	STATE_ATTRIBUTE	NONE	OPEN_PARTIAL	Abmessen von Holzdroge erklärt Trockenheit und den erst rechts genannten Gradendpunkt nicht.	NO
A065	CONFLICT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Abkühlen und Trocknen bis Mitte stehen heißem Grad II gegenüber.	NO
A066	SINGLE_EXACT	UNSPECIFIED	UNRESOLVED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	LEFT_OPEN	HOLD_NEW	Erhitzen passt zu heiß; Trockengut, Stufe II und der Bezug des gleichen Teils kommen nur aus dem Umfeld.	NO
A067	CONFLICT	CONFLICT	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Getrockneten Pulverstoff nehmen wird unmittelbar zu feucht.	NO
A068	CONFLICT	CONFLICT	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Mittelstufen-Trocknung wechselt zu kaltem Ansatz Grad II.	NO
A070	NONE	UNSPECIFIED	GENERIC	UNSPECIFIED	STATE_ATTRIBUTE	LEFT_OPEN	OPEN_PARTIAL	Erhitzen eines Maßes kann einem Trockenwert vorausgehen, doch rechts werden weder Nehmen noch Erhitzen gespiegelt und Maß sowie Hitze fehlen.	NO
A071	CONFLICT	CONFLICT	CONFLICT	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Getrockneter Pulverstoff wechselt zu kaltem Rohstoff am Gradanfang.	NO
A072	COOL_STATE_EXACT	UNSPECIFIED	RELATED	UNSPECIFIED	QUANTITY	LEFT_OPEN	HOLD_NEW	Abkühlen wird als kalt gespiegelt; Maß und Ansatz sind jedoch neue Angaben und der Drogenstoffkopf bleibt nicht erhalten.	NO
A073	SINGLE_EXACT	CONFLICT	GENERIC	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	CONTROL_CONFLICT	Erhitzen passt, aber Stufe II wird zum Gradanfang und der Rohstoffkopf erscheint nur rechts.	NO
A074	CONFLICT	CONFLICT	CONFLICT	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	CONTROL_CONFLICT	Samenpulver-Trocknung bis Mitte wechselt zu heißem Ansatz am Gradanfang.	NO
A075	CONFLICT	CONFLICT	RELATED	UNSPECIFIED	CONFLICTING_STATE	LEFT_OPEN	CONTROL_CONFLICT	Abkühlen bis Endstufe steht heißem Drogenanteil I gegenüber.	NO
A077	NONE	UNSPECIFIED	RELATED	UNSPECIFIED	POSTPOSED_OBJECT	LEFT_OPEN	OPEN_PARTIAL	Die Drogenportion kann Patient sein; rechts werden weder Nehmen noch Erhitzen und kein heißer Stufe-III-Ergebniszustand ausgeschrieben.	NO
A078	QUANTITY_RELATED	UNSPECIFIED	CONFLICT	UNSPECIFIED	QUANTITY	NONE	OPEN_PARTIAL	Nur die Mengenidee ist verwandt; Nehmen und Kühlen werden nicht gespiegelt, und Kaltansatz wechselt zu Drogenmaterial.	NO
A079	CONFLICT	UNSPECIFIED	RELATED	UNSPECIFIED	CONFLICTING_STATE	NONE	CONTROL_CONFLICT	Trockenportion bis Mitte wechselt ohne Heizschritt zu heißem Absud; der Zielgrad bleibt ungeschrieben.	NO
A082	NONPRODUCTIVE	UNSPECIFIED	RELATED	UNSPECIFIED	MATERIAL_STATE_PRODUCT	NONE	OPEN_PARTIAL	Der heiße Ansatzstoff kann eine Folgecharge sein; Zugabe allein erklärt seine Hitze nicht.	NO
A083	CONFLICT	UNSPECIFIED	CONFLICT	UNSPECIFIED	POSTPOSED_OBJECT	NONE	CONTROL_CONFLICT	Getrocknete Mittelstufen-Portion wechselt zu Drogenstoff aus Arzneikompositum ohne Zustandsfortsetzung.	NO
