error_serial	error_code	teaching_axis	statement_id	record_id	page	surface_sequence	correct_atom_sequence	wrong_atom_or_register_reading	wrong_choice_de	concrete_wrong_result_de	correct_full_sentence_de	repair_rule_de	copying_exercise_de
11	E03_SOURCE_TARGET_SWAP	AR_AL	H5-S001	H5	f56r	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	HO+OR | HO | HO+AR!+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AR!	AR↔AL	der Schreiber entnimmt aus der Zielschale oder bringt den Posten an die Vorratsquelle	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-1; die geltende Zieladresse ist Zielstelle H5-1. Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	AR immer als Ausgangsadresse, AL immer als Zieladresse lesen	Lies H5-S001 erneut; nenne zuerst AR_AL, dann sprich nur die korrigierte Folge.
12	E03_SOURCE_TARGET_SWAP	AR_AL	B1-S002	B1	f81v	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	OK+AIIN | AIR | OK+AR! | AL! | OL | AIN | OL+AIN | AR! | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AR! | AIIN | OK+EE+AR! | AIIN | CKH+Y | CHD+CLOSE	AR↔AL	der Schreiber entnimmt aus der Zielschale oder bringt den Posten an die Vorratsquelle	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-1; die geltende Zieladresse ist Zielstelle B1-1; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	AR immer als Ausgangsadresse, AL immer als Zieladresse lesen	Lies B1-S002 erneut; nenne zuerst AR_AL, dann sprich nur die korrigierte Folge.
13	E04_QUANTITY_CLASS_SWAP	AIIN_AIN_IIN	H2-S001	H2	f10r	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Y+CHEO+OR | CTH+Y | OR | CTH+AIN! | CTH+OL+Y | Y | Y | AIN! | Y	AIIN→AIN, AIN→IIN oder IIN→AIIN	eine Portion wird zur Stufe oder ein Sollstand zur abzutrennenden Menge	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H2-1. Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze. Sammle sie, wenn sie sich eben öffnen. Führe sie als frischen Ansatz. Zerstoße das Kraut. Presse den Saft durch ein Tuch. Fange die erste Fraktion auf. Gib Olivenöl hinzu. Nimm das örtlich vorgeschriebene Maß. Erwärme gelinde.	AIIN=Sollwert, AIN=Portion und IIN=Stufe getrennt halten	Lies H2-S001 erneut; nenne zuerst AIIN_AIN_IIN, dann sprich nur die korrigierte Folge.
14	E04_QUANTITY_CLASS_SWAP	AIIN_AIN_IIN	H3-S003	H3	f11r	dchol chy kchy dy daiin	PREV+OL | Y | KCH+Y | Y | AIIN	PREV+OL | Y | KCH+Y | Y | AIN!	AIIN→AIN, AIN→IIN oder IIN→AIIN	eine Portion wird zur Stufe oder ein Sollstand zur abzutrennenden Menge	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-2; ‚das Vorige‘ bezeichnet Vorposten H3-2. Nimm den ersten Auszug wieder auf. Nimm davon einen Anteil. Gib ihn als Trank. Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust. Gib ein kleines örtliches Maß.	AIIN=Sollwert, AIN=Portion und IIN=Stufe getrennt halten	Lies H3-S003 erneut; nenne zuerst AIIN_AIN_IIN, dann sprich nur die korrigierte Folge.
15	E04_QUANTITY_CLASS_SWAP	AIIN_AIN_IIN	H4-S001	H4	f55v	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+AIN | Y+AIN | ODY	OK+AIN! | AIN! | Y+IIN! | Y+IIN! | ODY	AIIN→AIN, AIN→IIN oder IIN→AIIN	eine Portion wird zur Stufe oder ein Sollstand zur abzutrennenden Menge	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-1. Setze den ersten Posten an. Nimm ein örtlich vorgeschriebenes Maß. Zerstoße breite Blätter der unbenannten Pflanze. Gib Weißwein hinzu. Verschließe das Gefäß und lass es kühl stehen; damit endet der Posten.	AIIN=Sollwert, AIN=Portion und IIN=Stufe getrennt halten	Lies H4-S001 erneut; nenne zuerst AIIN_AIN_IIN, dann sprich nur die korrigierte Folge.
16	E04_QUANTITY_CLASS_SWAP	AIIN_AIN_IIN	H5-S006	H5	f56r	otchey keol daiin	OT+Y | E+OL | AIIN	OT+Y | E+OL | AIN!	AIIN→AIN, AIN→IIN oder IIN→AIIN	eine Portion wird zur Stufe oder ein Sollstand zur abzutrennenden Menge	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-3; ‚das Vorige‘ bezeichnet Vorposten H5-2. Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.	AIIN=Sollwert, AIN=Portion und IIN=Stufe getrennt halten	Lies H5-S006 erneut; nenne zuerst AIIN_AIN_IIN, dann sprich nur die korrigierte Folge.
17	E05_ORDER_SWAP	OL_OT	H1-S002	H1	f10r	qokchy qotchol chol cthy	OK+Y | OT+OL | OL | CTH+Y	OK+Y | OL!+OT! | OT! | CTH+Y	OL↔OT	der laufende Ansatz wird zu früh verlassen oder ein neuer Posten nie begonnen	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H1-1; die geltende Zieladresse ist Zielstelle H1-1; ‚das Vorige‘ bezeichnet Vorposten H1-2. Nimm erneut von dem frischen ersten Auszug. Erwärme ihn gelinde. Führe ihn als denselben laufenden Ansatz fort. Sobald er zum Gebrauch bereit ist, gebrauche ihn.	OL behält den Gang, OT öffnet den folgenden Gang	Lies H1-S002 erneut; nenne zuerst OL_OT, dann sprich nur die korrigierte Folge.
18	E05_ORDER_SWAP	OL_OT	H3-S004	H3	f11r	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	OL!+Y | OK+OT! | CTH+Y | Y	OL↔OT	der laufende Ansatz wird zu früh verlassen oder ein neuer Posten nie begonnen	Der Text gehört zu der ganzen dicht blau bekrönten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H3-1; die geltende Zieladresse ist Zielstelle H3-3; ‚das Vorige‘ bezeichnet Vorposten H3-2. Nimm die zurückbehaltenen Blüten. Erwärme sie in Olivenöl. Warte, bis der örtliche Bereitschaftszustand erreicht ist. Streiche das Öl äußerlich um die Lider, ohne das Auge zu berühren.	OL behält den Gang, OT öffnet den folgenden Gang	Lies H3-S004 erneut; nenne zuerst OL_OT, dann sprich nur die korrigierte Folge.
19	E05_ORDER_SWAP	OL_OT	H4-S004	H4	f55v	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	AIIN | OK+AL | OT!+CTH+Y | OR | Y | OR+AIN	OL↔OT	der laufende Ansatz wird zu früh verlassen oder ein neuer Posten nie begonnen	Der Text gehört zu der ganzen breitblättrigen rispigen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H4-2; ‚das Vorige‘ bezeichnet Vorposten H4-1. Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	OL behält den Gang, OT öffnet den folgenden Gang	Lies H4-S004 erneut; nenne zuerst OL_OT, dann sprich nur die korrigierte Folge.
20	E05_ORDER_SWAP	OL_OT	H5-S002	H5	f56r	schol choy choky cheeckhody	PREV+OL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	PREV+OT! | HO+Y | OK+Y | EE+CKH+HO+CLOSE	OL↔OT	der laufende Ansatz wird zu früh verlassen oder ein neuer Posten nie begonnen	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-1; die geltende Zieladresse ist Zielstelle H5-1. Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	OL behält den Gang, OT öffnet den folgenden Gang	Lies H5-S002 erneut; nenne zuerst OL_OT, dann sprich nur die korrigierte Folge.
21	E06_GRADE_SWAP	E_EE_EEE	H5-S003	H5	f56r	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	SH | HO | KCH+EE!+Y | OK+OK+Y	E→EE, EE→EEE oder EEE→E	Kontakt, Halten oder Tabellenstufe dauert falsch lang	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-1; die geltende Zieladresse ist Zielstelle H5-2; ‚das Vorige‘ bezeichnet Vorposten H5-1. Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	E kurz, EE länger, EEE vollständig nur innerhalb der lizenzierten Familie	Lies H5-S003 erneut; nenne zuerst E_EE_EEE, dann sprich nur die korrigierte Folge.
22	E06_GRADE_SWAP	E_EE_EEE	B1-S001	B1	f81v	qokedy	OK+E+CLOSE	OK+EE!+CLOSE	E→EE, EE→EEE oder EEE→E	Kontakt, Halten oder Tabellenstufe dauert falsch lang	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-1; die geltende Zieladresse ist Zielstelle B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	E kurz, EE länger, EEE vollständig nur innerhalb der lizenzierten Familie	Lies B1-S001 erneut; nenne zuerst E_EE_EEE, dann sprich nur die korrigierte Folge.
23	E06_GRADE_SWAP	E_EE_EEE	B2-S003	B2	f82r	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	OK+AIN | Y | OK+EEE!+CLOSE	E→EE, EE→EEE oder EEE→E	Kontakt, Halten oder Tabellenstufe dauert falsch lang	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-2. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	E kurz, EE länger, EEE vollständig nur innerhalb der lizenzierten Familie	Lies B2-S003 erneut; nenne zuerst E_EE_EEE, dann sprich nur die korrigierte Folge.
24	E06_GRADE_SWAP	E_EE_EEE	B3-S001	B3	f83r	olkeedy	SOLK+EE+CLOSE	SOLK+EEE!+CLOSE	E→EE, EE→EEE oder EEE→E	Kontakt, Halten oder Tabellenstufe dauert falsch lang	Der Text gehört zu der oberen offenen Fächerstation; der laufende Gegenstand ist Arbeitsposten B3-1. [[LOKALER BESITZER: obere offene Fächer-Randstation]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	E kurz, EE länger, EEE vollständig nur innerhalb der lizenzierten Familie	Lies B3-S001 erneut; nenne zuerst E_EE_EEE, dann sprich nur die korrigierte Folge.
25	E07_CURRENT_CLOSE_SWAP	Y_CLOSE	H2-S003	H2	f10r	oykchor shor chor chy kaiiin dy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	CLOSE!+KCH+OR | OR | OR | CLOSE! | IIN | CLOSE! | HO+AIIN	Y↔CLOSE	der Arbeitsposten wird vorzeitig geschlossen oder eine fertige Zelle bleibt offen	Der Text gehört zu der ganzen breitblättrigen gezähnten Bildpflanze; der laufende Gegenstand ist Arbeitsposten H2-2; ‚das Vorige‘ bezeichnet Vorposten H2-1. Gib sie in ein glasiertes Gefäß. Führe die Mischung als Salbenansatz. Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten. Rühre bei kleinem Feuer. Bis eine weiche Salbe entsteht. Bewahre sie bedeckt. Lege sie äußerlich auf ein Geschwür oder eine harte Schwellung.	Y hält ACTIVE verfügbar; nur die registrierte Schlusskarte beendet die Zelle	Lies H2-S003 erneut; nenne zuerst Y_CLOSE, dann sprich nur die korrigierte Folge.
26	E07_CURRENT_CLOSE_SWAP	Y_CLOSE	H5-S004	H5	f56r	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	OK+CLOSE! | OK+CHEO | KCH+AL	Y↔CLOSE	der Arbeitsposten wird vorzeitig geschlossen oder eine fertige Zelle bleibt offen	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-2; die geltende Zieladresse ist Zielstelle H5-3; ‚das Vorige‘ bezeichnet Vorposten H5-1. Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	Y hält ACTIVE verfügbar; nur die registrierte Schlusskarte beendet die Zelle	Lies H5-S004 erneut; nenne zuerst Y_CLOSE, dann sprich nur die korrigierte Folge.
27	E07_CURRENT_CLOSE_SWAP	Y_CLOSE	B1-S003	B1	f81v	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	OL | SH+KCH+CHD+Y!	Y↔CLOSE	der Arbeitsposten wird vorzeitig geschlossen oder eine fertige Zelle bleibt offen	Der Text gehört zu dem gemeinsamen zweireihigen Becken; der laufende Gegenstand ist Arbeitsposten B1-2; die geltende Zieladresse ist Zielstelle B1-5; ‚das Vorige‘ bezeichnet Vorposten B1-1. [[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	Y hält ACTIVE verfügbar; nur die registrierte Schlusskarte beendet die Zelle	Lies B1-S003 erneut; nenne zuerst Y_CLOSE, dann sprich nur die korrigierte Folge.
28	E07_CURRENT_CLOSE_SWAP	Y_CLOSE	B2-S001	B2	f82r	dchedy	CHD+CLOSE	CHD+Y!	Y↔CLOSE	der Arbeitsposten wird vorzeitig geschlossen oder eine fertige Zelle bleibt offen	Der Text gehört zu den oberen Paarbecken mit Zylinder; der laufende Gegenstand ist Arbeitsposten B2-1; die geltende Zieladresse ist Zielstelle B2-1. [[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	Y hält ACTIVE verfügbar; nur die registrierte Schlusskarte beendet die Zelle	Lies B2-S001 erneut; nenne zuerst Y_CLOSE, dann sprich nur die korrigierte Folge.
29	E08_RENDERER_AS_WORD	SCRIBE_FRAME	H5-S005	H5	f56r	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	EXTRA_WRAPPER_ACTION! | HO | OK+Y | CHEO+AR | OT+DAN	Schreiberrahmen als eigenes Verb	vor die echte Karte wird ein nie diktierter Arbeitsschritt eingeschoben	Der Text gehört zu der ganzen mehrköpfigen stacheligen Bildpflanze; der laufende Gegenstand ist Arbeitsposten H5-2; die geltende Zieladresse ist Zielstelle H5-4; ‚das Vorige‘ bezeichnet Vorposten H5-1. Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.	zuerst registrierte Oberfläche zum Kartenkörper normalisieren, dann Bedeutung lesen	Lies H5-S005 erneut; nenne zuerst SCRIBE_FRAME, dann sprich nur die korrigierte Folge.
