sample_mark	stage	page	source_id	surface	opaque_identity	visible_working_reading_de	picture_argument_de	master_argument_de
M017	WHAT_PREPARATION	f56r	E090	qokokchy	PROC060	ANSETZEN · ANSETZEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M018	WHAT_PREPARATION	f56r	E091	okchy	PROC011	ANSETZEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M019	WHAT_PREPARATION	f56r	E092	chokcheo	PROC061	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M020	WHAT_PREPARATION	f56r	E093	kchal	PROC062	ZUGEBEN · ZIELSTELLE	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M021	WHAT_PREPARATION	f56r	E094	sho	PROC052	ZUTAT	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M022	WHAT_PREPARATION	f56r	E095	chokchy	PROC011	ANSETZEN · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M023	WHAT_PREPARATION	f56r	E096	kchoar	PROC063	ZUGEBEN · ZUTAT · QUELLE	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M024	WHAT_PREPARATION	f56r	E097	sotodan	PROC064	DANACH · ARBEITSGANG · PORTION	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M025	WHAT_PREPARATION	f56r	E098	otchey	PROC065	DANACH · POSTEN	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M026	WHAT_PREPARATION	f56r	E099	keol	PROC066	ZUGEBEN · KURZ · WEITER	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M027	WHAT_PREPARATION	f56r	E100	daiin	PROC009	SOLLMASS	abgebildete Pflanze als Besitzer	konkreter Pflanzen- und Produktname; reale Maß-/Zeitwerte
M028	HOW_APPLICATION	f82r	E167	dchedy	PROC076	UMSETZEN · SCHLUSS	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M029	HOW_APPLICATION	f82r	E168	qolchedy	PROC079	WEITER · UMSETZEN · SCHLUSS	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M030	HOW_APPLICATION	f82r	E169	qokain	PROC080	ANSETZEN · PORTION	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M031	HOW_APPLICATION	f82r	E170	dy	PROC019	POSTEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M032	HOW_APPLICATION	f82r	E171	qokeedy	PROC100	ANSETZEN · LANG · SCHLUSS	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M033	HOW_APPLICATION	f82r	E172	qokal	PROC048	ANSETZEN · ZIELSTELLE	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M034	HOW_APPLICATION	f82r	E173	lcheckhy	PROC101	LEITEN · DURCHLASS · POSTEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M035	HOW_APPLICATION	f82r	E174	lched	PROC102	LEITEN · UMSETZEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M036	HOW_APPLICATION	f82r	E175	qokeey	PROC092	ANSETZEN · LANG · POSTEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M037	HOW_APPLICATION	f82r	E176	lcheckhedy	PROC103	LEITEN · DURCHLASS · KURZ · SCHLUSS	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M038	HOW_APPLICATION	f82r	E177	qokaly	PROC104	ANSETZEN · ZIELSTELLE · POSTEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M039	HOW_APPLICATION	f82r	E178	solkaiin	PROC105	SAMMELN · SOLLMASS	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M040	HOW_APPLICATION	f82r	E179	chckhy	PROC075	DURCHLASS · POSTEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M041	HOW_APPLICATION	f82r	E180	qokaiin	PROC038	ANSETZEN · SOLLMASS	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M042	HOW_APPLICATION	f82r	E181	qokaiin	PROC038	ANSETZEN · SOLLMASS	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M043	HOW_APPLICATION	f82r	E182	octheol	PROC106	ARBEITSGANG · BEREITEN · KURZ · WEITER	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M044	HOW_APPLICATION	f82r	E183	chkeey	PROC107	WAERMEN · LANG · POSTEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M045	HOW_APPLICATION	f82r	E184	ldy	PROC108	LEITEN · SCHLUSS	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M046	HOW_APPLICATION	f82r	E185	oteey	PROC109	DANACH · LANG · POSTEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M047	HOW_APPLICATION	f82r	E186	qokal	PROC048	ANSETZEN · ZIELSTELLE	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M048	HOW_APPLICATION	f82r	E187	sheckhy	PROC110	HALTEN · KURZ · DURCHLASS · POSTEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M049	HOW_APPLICATION	f82r	E188	qoky	PROC008	ANSETZEN · POSTEN	oberes Beckenpaar mit Zylinder	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M050	HOW_APPLICATION	f82r	E189	dshedy	PROC111	HALTEN · KURZ · SCHLUSS	mittleres linkes Handgerät mit Inline-Knoten	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M051	HOW_APPLICATION	f82r	E190	sotaiin	PROC112	DANACH · SOLLMASS	mittleres linkes Handgerät mit Inline-Knoten	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M052	HOW_APPLICATION	f82r	E191	qokar	PROC113	ANSETZEN · QUELLE	mittleres linkes Handgerät mit Inline-Knoten	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M053	HOW_APPLICATION	f82r	E192	shedy	PROC078	STEHENLASSEN · SCHLUSS	mittleres linkes Handgerät mit Inline-Knoten	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M054	HOW_APPLICATION	f82r	E193	solshedy	PROC114	WEITER · HALTEN · KURZ · SCHLUSS	mittleres linkes Handgerät mit Inline-Knoten	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M055	HOW_APPLICATION	f82r	E194	qokeey	PROC092	ANSETZEN · LANG · POSTEN	mittleres linkes Handgerät mit Inline-Knoten	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M056	HOW_APPLICATION	f82r	E195	qoky	PROC008	ANSETZEN · POSTEN	mittleres linkes Handgerät mit Inline-Knoten	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M057	HOW_APPLICATION	f82r	E196	ls	PROC115	WEITER	mittleres linkes Handgerät mit Inline-Knoten	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M058	HOW_APPLICATION	f82r	E197	cheey	PROC031	HALTEN · LANG · POSTEN	mittleres linkes Handgerät mit Inline-Knoten	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M059	HOW_APPLICATION	f82r	E198	okain	PROC080	ANSETZEN · PORTION	mittlere rechte unklare Station	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M060	HOW_APPLICATION	f82r	E199	char	PROC003	QUELLE	mittlere rechte unklare Station	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M061	HOW_APPLICATION	f82r	E200	okain	PROC080	ANSETZEN · PORTION	mittlere rechte unklare Station	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M062	HOW_APPLICATION	f82r	E201	qokeedy	PROC100	ANSETZEN · LANG · SCHLUSS	mittlere rechte unklare Station	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M063	HOW_APPLICATION	f82r	E202	lchy	PROC116	LEITEN · ENTNEHMEN · POSTEN	mittlere rechte unklare Station	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M064	HOW_APPLICATION	f82r	E203	cheey	PROC031	HALTEN · LANG · POSTEN	unteres grünes Mehrfigurenbecken	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M065	HOW_APPLICATION	f82r	E204	qcthey	PROC117	BEREITEN · KURZ · POSTEN	unteres grünes Mehrfigurenbecken	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M066	HOW_APPLICATION	f82r	E205	qokeey	PROC092	ANSETZEN · LANG · POSTEN	unteres grünes Mehrfigurenbecken	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M067	HOW_APPLICATION	f82r	E206	lcheey	PROC118	LEITEN · LANG · POSTEN	unteres grünes Mehrfigurenbecken	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M068	HOW_APPLICATION	f82r	E207	daiin	PROC009	SOLLMASS	unteres grünes Mehrfigurenbecken	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M069	HOW_APPLICATION	f82r	E208	chey	PROC019	POSTEN	unteres grünes Mehrfigurenbecken	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M070	HOW_APPLICATION	f82r	E209	qokeeedy	PROC119	ANSETZEN · VOLL · SCHLUSS	unteres grünes Mehrfigurenbecken	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M071	HOW_APPLICATION	f82r	E210	lchedy	PROC120	LEITEN · UMSETZEN · SCHLUSS	unteres grünes Mehrfigurenbecken	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M072	HOW_APPLICATION	f82r	E211	lar	PROC121	LEITEN · QUELLE	unteres grünes Mehrfigurenbecken	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M073	HOW_APPLICATION	f82r	E212	tshey	PROC122	HALTEN · KURZ · POSTEN	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M074	HOW_APPLICATION	f82r	E213	qokeedy	PROC100	ANSETZEN · LANG · SCHLUSS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M075	HOW_APPLICATION	f82r	E214	cheal	PROC055	ZIELSTELLE	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M076	HOW_APPLICATION	f82r	E215	lchedar	PROC123	LEITEN · UMSETZEN · QUELLE	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M077	HOW_APPLICATION	f82r	E216	ches	PROC124	ENTNEHMEN · KURZ · PROBE	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M078	HOW_APPLICATION	f82r	E217	aiin	PROC009	SOLLMASS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M079	HOW_APPLICATION	f82r	E218	oteey	PROC109	DANACH · LANG · POSTEN	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M080	HOW_APPLICATION	f82r	E219	qokaiin	PROC038	ANSETZEN · SOLLMASS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M081	HOW_APPLICATION	f82r	E220	okey	PROC085	ANSETZEN · KURZ · POSTEN	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M082	HOW_APPLICATION	f82r	E221	pchedy	PROC125	EINBRINGEN · UMSETZEN · SCHLUSS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M083	HOW_APPLICATION	f82r	E222	rsheal	PROC126	KUEHLEN · HALTEN · KURZ · ZIELSTELLE	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M084	HOW_APPLICATION	f82r	E223	daldy	PROC127	ZIELSTELLE · SCHLUSS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M085	HOW_APPLICATION	f82r	E224	qokeedy	PROC100	ANSETZEN · LANG · SCHLUSS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M086	HOW_APPLICATION	f82r	E225	rshedy	PROC128	KUEHLEN · STEHENLASSEN · SCHLUSS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M087	HOW_APPLICATION	f82r	E226	qoteedy	PROC129	DANACH · LANG · SCHLUSS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M088	HOW_APPLICATION	f82r	E227	qokeedy	PROC100	ANSETZEN · LANG · SCHLUSS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M089	HOW_APPLICATION	f82r	E228	lochedy	PROC130	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS	kleine Randstationen des unteren Beckens	konkreter Körper-/Sachreferent; reale Maß-/Zeitwerte; Ergebnis
M090	WHEN_CONDITION	f69v	A3:G118	otody	A3:G118	lokales Etikett in C4 kopieren	A3_LEFT_RADIAL_SLOT_09	konkreter Himmels-/Kalender-/Qualitätswert dieses Locus
