group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface	visible_owner	local_namespace	transfer_status	exact_prose_joint_tuple_id	selected_component_parse	candidate_workshop_value_de	parse_alternatives	owner_and_namespace_preserved	cross_instrument_join	previous_candidate_value_de	atomic_common_root_value_de	common_root_revision
24	A1	f67r2	f67r2.11	1	A1:G024	chky	A1_RIGHT_SECTOR_SLOT_11	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	CHK+Y	waermen + dies	NONE	YES	NONE	waermen + dies	waermen + dies	NO
25	A1	f67r2	f67r2.11	2	A1:G025	chykchs	A1_RIGHT_SECTOR_SLOT_11	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
26	A1	f67r2	f67r2.11	3	A1:G026	chy	A1_RIGHT_SECTOR_SLOT_11	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b921a237be883a820352	Y	dies	NONE	YES	NONE	dies	dies	NO
27	A1	f67r2	f67r2.12	1	A1:G027	ykees	A1_RIGHT_SECTOR_SLOT_12	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
28	A1	f67r2	f67r2.12	2	A1:G028	ykchos	A1_RIGHT_SECTOR_SLOT_12	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
29	A1	f67r2	f67r2.13	1	A1:G029	opodchol	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+P+O+OL	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	NONE	YES	NONE	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	NO
30	A1	f67r2	f67r2.13	2	A1:G030	s	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
31	A1	f67r2	f67r2.13	3	A1:G031	ain	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AIN	Portion	NONE	YES	NONE	Portion	Portion	NO
32	A1	f67r2	f67r2.13	4	A1:G032	aldy	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	AMBIGUOUS_COMPONENT_SEQUENCE	NONE	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	AL+DY || AL+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	mehrdeutige lokale Etikette	NO
33	A1	f67r2	f67r2.14	1	A1:G033	soeey	A1_RIGHT_RING_BAND_02	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
34	A1	f67r2	f67r2.14	2	A1:G034	doiin	A1_RIGHT_RING_BAND_02	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
35	A1	f67r2	f67r2.14	3	A1:G035	oldy	A1_RIGHT_RING_BAND_02	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	1b1ffdd869fb1429ad03	OL+DY	fortsetzen; Schluss	NONE	YES	NONE	fortsetzen; Schluss	fortsetzen; Schluss	NO
36	A1	f67r2	f67r2.15	1	A1:G036	dolchsody	A1_LEFT_LOCAL_FIELD_15	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
37	A1	f67r2	f67r2.16	1	A1:G037	odaeiin	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
38	A1	f67r2	f67r2.16	2	A1:G038	okoes	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
39	A1	f67r2	f67r2.16	3	A1:G039	oekain	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+E+K+AIN	Arbeitsgang + kurz + zufuehren + Portion	NONE	YES	NONE	Arbeitsgang + kurz + zufuehren + Portion	Arbeitsgang + kurz + zufuehren + Portion	NO
40	A1	f67r2	f67r2.16	4	A1:G040	y	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b921a237be883a820352	Y	dies	NONE	YES	NONE	dies	dies	NO
41	A1	f67r2	f67r2.17	1	A1:G041	otchey	A1_LEFT_LOCAL_FIELD_17	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	faf321940aed922846a9	OT+Y	nächster Posten	NONE	YES	NONE	nächster Posten	nächster Posten	NO
42	A1	f67r2	f67r2.17	2	A1:G042	soraiir	A1_LEFT_LOCAL_FIELD_17	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
43	A1	f67r2	f67r2.17	3	A1:G043	dy	A1_LEFT_LOCAL_FIELD_17	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b921a237be883a820352	Y	dies	NONE	YES	NONE	dies	dies	NO
44	A1	f67r2	f67r2.18	1	A1:G044	qopchy	A1_LEFT_LOCAL_FIELD_18	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+P+Y	Arbeitsgang + hinein + dies	NONE	YES	NONE	Arbeitsgang + hinein + dies	Arbeitsgang + hinein + dies	NO
45	A1	f67r2	f67r2.18	2	A1:G045	daiin	A1_LEFT_LOCAL_FIELD_18	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	2f1c5e56e8f0ff459065	AIIN	Mass	NONE	YES	NONE	Mass	Mass	NO
46	A1	f67r2	f67r2.18	3	A1:G046	dal	A1_LEFT_LOCAL_FIELD_18	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	dd0ecaf5e27d81befffc	AL	Stelle	NONE	YES	NONE	Stelle	Stelle	NO
47	A1	f67r2	f67r2.19	1	A1:G047	ydchos	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
48	A1	f67r2	f67r2.19	2	A1:G048	ain	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AIN	Portion	NONE	YES	NONE	Portion	Portion	NO
49	A1	f67r2	f67r2.19	3	A1:G049	ar	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR	von dort	NONE	YES	NONE	von dort	von dort	NO
50	A1	f67r2	f67r2.19	4	A1:G050	amy	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
51	A1	f67r2	f67r2.20	1	A1:G051	chocfhy	A1_LEFT_LOCAL_FIELD_20	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
52	A1	f67r2	f67r2.20	2	A1:G052	saral	A1_LEFT_LOCAL_FIELD_20	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR+AL	von dort + Stelle	NONE	YES	NONE	von dort + Stelle	von dort + Stelle	NO
53	A1	f67r2	f67r2.21	1	A1:G053	sain	A1_LEFT_LOCAL_FIELD_21	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
54	A1	f67r2	f67r2.21	2	A1:G054	am	A1_LEFT_LOCAL_FIELD_21	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
55	A1	f67r2	f67r2.21	3	A1:G055	ar	A1_LEFT_LOCAL_FIELD_21	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR	von dort	NONE	YES	NONE	von dort	von dort	NO
56	A1	f67r2	f67r2.22	1	A1:G056	okal	A1_LEFT_LOCAL_FIELD_22	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	308e8ea2d5d190c498e8	OK+AL	an die Stelle setzen	NONE	YES	NONE	an die Stelle setzen	an die Stelle setzen	NO
57	A1	f67r2	f67r2.23	1	A1:G057	oparchy	A1_LEFT_LOCAL_FIELD_23	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+P+AR+Y	Arbeitsgang + hinein + von dort + dies	NONE	YES	NONE	Arbeitsgang + hinein + von dort + dies	Arbeitsgang + hinein + von dort + dies	NO
58	A1	f67r2	f67r2.23	2	A1:G058	salsain	A1_LEFT_LOCAL_FIELD_23	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
59	A1	f67r2	f67r2.24	1	A1:G059	sodar	A1_LEFT_LOCAL_FIELD_24	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
60	A1	f67r2	f67r2.24	2	A1:G060	ofar	A1_LEFT_LOCAL_FIELD_24	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
61	A1	f67r2	f67r2.24	3	A1:G061	ar	A1_LEFT_LOCAL_FIELD_24	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR	von dort	NONE	YES	NONE	von dort	von dort	NO
62	A1	f67r2	f67r2.25	1	A1:G062	ydam	A1_LEFT_LOCAL_FIELD_25	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
63	A1	f67r2	f67r2.26	1	A1:G063	yteoor	A1_LEFT_LOCAL_FIELD_26	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+T+E+O+OR	dies + fuellen + kurz + Arbeitsgang + Ansatz	NONE	YES	NONE	dies + fuellen + kurz + Arbeitsgang + Ansatz	dies + eintragen + kurz + Arbeitsgang + Ansatz	YES
64	A1	f67r2	f67r2.26	2	A1:G064	yto	A1_LEFT_LOCAL_FIELD_26	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+T+O	dies + fuellen + Arbeitsgang	NONE	YES	NONE	dies + fuellen + Arbeitsgang	dies + eintragen + Arbeitsgang	YES
65	A1	f67r2	f67r2.26	3	A1:G065	ykor	A1_LEFT_LOCAL_FIELD_26	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	Y+K+OR	dies + zufuehren + Ansatz	NONE	YES	NONE	dies + zufuehren + Ansatz	dies + zufuehren + Ansatz	NO
66	A1	f67r2	f67r2.27	1	A1:G066	okeo	A1_LEFT_LOCAL_FIELD_27	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	OK+E+O	ansetzen + kurz + Arbeitsgang	NONE	YES	NONE	ansetzen + kurz + Arbeitsgang	ansetzen + kurz + Arbeitsgang	NO
67	A1	f67r2	f67r2.27	2	A1:G067	r	A1_LEFT_LOCAL_FIELD_27	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	R	abkuehlen	NONE	YES	NONE	abkuehlen	abkuehlen	NO
68	A1	f67r2	f67r2.27	3	A1:G068	aiin	A1_LEFT_LOCAL_FIELD_27	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	2f1c5e56e8f0ff459065	AIIN	Mass	NONE	YES	NONE	Mass	Mass	NO
69	A1	f67r2	f67r2.27	4	A1:G069	am	A1_LEFT_LOCAL_FIELD_27	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
70	A1	f67r2	f67r2.28	1	A1:G070	okain	A1_LEFT_LOCAL_FIELD_28	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	1645e612504fcef59ced	OK+AIN	eine Portion zugeben	NONE	YES	NONE	eine Portion zugeben	eine Portion zugeben	NO
71	A1	f67r2	f67r2.28	2	A1:G071	am	A1_LEFT_LOCAL_FIELD_28	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
72	A1	f67r2	f67r2.29	1	A1:G072	ytody	A1_LEFT_LOCAL_FIELD_29	A67_LEFT_CELESTIAL_WHEEL	AMBIGUOUS_COMPONENT_SEQUENCE	NONE	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	Y+T+O+DY || Y+T+O+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	mehrdeutige lokale Etikette	NO
73	A1	f67r2	f67r2.29	2	A1:G073	saiin	A1_LEFT_LOCAL_FIELD_29	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	2f1c5e56e8f0ff459065	AIIN	Mass	NONE	YES	NONE	Mass	Mass	NO
74	A1	f67r2	f67r2.30	1	A1:G074	ochol	A1_LEFT_LOCAL_FIELD_30	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+OL	Arbeitsgang + fortsetzen	NONE	YES	NONE	Arbeitsgang + fortsetzen	Arbeitsgang + fortsetzen	NO
75	A1	f67r2	f67r2.30	2	A1:G075	olol	A1_LEFT_LOCAL_FIELD_30	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	OL+OL	fortsetzen + fortsetzen	NONE	YES	NONE	fortsetzen + fortsetzen	fortsetzen + fortsetzen	NO
76	A1	f67r2	f67r2.31	1	A1:G076	opcholdy	A1_LEFT_LOCAL_FIELD_31	A67_LEFT_CELESTIAL_WHEEL	AMBIGUOUS_COMPONENT_SEQUENCE	NONE	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	O+P+OL+DY || O+P+OL+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	mehrdeutige lokale Etikette	NO
77	A1	f67r2	f67r2.32	1	A1:G077	dosar	A1_LEFT_LOCAL_FIELD_32	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
78	A1	f67r2	f67r2.32	2	A1:G078	odas	A1_LEFT_LOCAL_FIELD_32	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
79	A1	f67r2	f67r2.32	3	A1:G079	air	A1_LEFT_LOCAL_FIELD_32	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AIR	Wasser	NONE	YES	NONE	Wasser	Lauf	YES
80	A1	f67r2	f67r2.32	4	A1:G080	alaiin	A1_LEFT_LOCAL_FIELD_32	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AL+AIIN	Stelle + Mass	NONE	YES	NONE	Stelle + Mass	Stelle + Mass	NO
81	A1	f67r2	f67r2.33	1	A1:G081	dokan	A1_LEFT_LOCAL_FIELD_33	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
82	A1	f67r2	f67r2.33	2	A1:G082	oear	A1_LEFT_LOCAL_FIELD_33	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+E+AR	Arbeitsgang + kurz + von dort	NONE	YES	NONE	Arbeitsgang + kurz + von dort	Arbeitsgang + kurz + von dort	NO
83	A1	f67r2	f67r2.33	3	A1:G083	odal	A1_LEFT_LOCAL_FIELD_33	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+AL	Arbeitsgang + Stelle	NONE	YES	NONE	Arbeitsgang + Stelle	Arbeitsgang + Stelle	NO
84	A1	f67r2	f67r2.34	1	A1:G084	ofar	A1_LEFT_LOCAL_FIELD_34	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
85	A1	f67r2	f67r2.34	2	A1:G085	oeoldan	A1_LEFT_LOCAL_FIELD_34	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
86	A1	f67r2	f67r2.35	1	A1:G086	chol	A1_LEFT_LOCAL_FIELD_35	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	dcda95c81a5460feb191	OL	fortsetzen	NONE	YES	NONE	fortsetzen	fortsetzen	NO
87	A1	f67r2	f67r2.35	2	A1:G087	giin	A1_LEFT_LOCAL_FIELD_35	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LOCAL_LABEL	NONE	NONE	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	lokale Etikette	NO
