locus_row	diagram_id	page	locus	local_namespace	visible_owners	groups	group_serials	atomic_common_root_reading_de	revised_groups	orientation	cross_instrument_join
11	A1	f67r2	f67r2.11	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_11	3	24|25|26	waermen + dies; lokale Etikette; dies	0	UNSPECIFIED	NONE
12	A1	f67r2	f67r2.12	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_SECTOR_SLOT_12	2	27|28	lokale Etikette; lokale Etikette	0	UNSPECIFIED	NONE
13	A1	f67r2	f67r2.13	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_RING_BAND_01	4	29|30|31|32	Arbeitsgang + hinein + Arbeitsgang + fortsetzen; lokale Etikette; Portion; mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
14	A1	f67r2	f67r2.14	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_RING_BAND_02	3	33|34|35	lokale Etikette; lokale Etikette; fortsetzen; Schluss	0	UNSPECIFIED	NONE
15	A1	f67r2	f67r2.15	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_15	1	36	lokale Etikette	0	UNSPECIFIED	NONE
16	A1	f67r2	f67r2.16	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_16	4	37|38|39|40	lokale Etikette; lokale Etikette; Arbeitsgang + kurz + zufuehren + Portion; dies	0	UNSPECIFIED	NONE
17	A1	f67r2	f67r2.17	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_17	3	41|42|43	nächster Posten; lokale Etikette; dies	0	UNSPECIFIED	NONE
18	A1	f67r2	f67r2.18	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_18	3	44|45|46	Arbeitsgang + hinein + dies; Mass; Stelle	0	UNSPECIFIED	NONE
19	A1	f67r2	f67r2.19	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_19	4	47|48|49|50	lokale Etikette; Portion; von dort; lokale Etikette	0	UNSPECIFIED	NONE
20	A1	f67r2	f67r2.20	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_20	2	51|52	lokale Etikette; von dort + Stelle	0	UNSPECIFIED	NONE
21	A1	f67r2	f67r2.21	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_21	3	53|54|55	lokale Etikette; lokale Etikette; von dort	0	UNSPECIFIED	NONE
22	A1	f67r2	f67r2.22	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_22	1	56	an die Stelle setzen	0	UNSPECIFIED	NONE
23	A1	f67r2	f67r2.23	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_23	2	57|58	Arbeitsgang + hinein + von dort + dies; lokale Etikette	0	UNSPECIFIED	NONE
24	A1	f67r2	f67r2.24	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_24	3	59|60|61	lokale Etikette; lokale Etikette; von dort	0	UNSPECIFIED	NONE
25	A1	f67r2	f67r2.25	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_25	1	62	lokale Etikette	0	UNSPECIFIED	NONE
26	A1	f67r2	f67r2.26	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_26	3	63|64|65	dies + eintragen + kurz + Arbeitsgang + Ansatz; dies + eintragen + Arbeitsgang; dies + zufuehren + Ansatz	2	UNSPECIFIED	NONE
27	A1	f67r2	f67r2.27	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_27	4	66|67|68|69	ansetzen + kurz + Arbeitsgang; abkuehlen; Mass; lokale Etikette	0	UNSPECIFIED	NONE
28	A1	f67r2	f67r2.28	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_28	2	70|71	eine Portion zugeben; lokale Etikette	0	UNSPECIFIED	NONE
29	A1	f67r2	f67r2.29	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_29	2	72|73	mehrdeutige lokale Etikette; Mass	0	UNSPECIFIED	NONE
30	A1	f67r2	f67r2.30	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_30	2	74|75	Arbeitsgang + fortsetzen; fortsetzen + fortsetzen	0	UNSPECIFIED	NONE
31	A1	f67r2	f67r2.31	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_31	1	76	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
32	A1	f67r2	f67r2.32	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_32	4	77|78|79|80	lokale Etikette; lokale Etikette; Lauf; Stelle + Mass	1	UNSPECIFIED	NONE
33	A1	f67r2	f67r2.33	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_33	3	81|82|83	lokale Etikette; Arbeitsgang + kurz + von dort; Arbeitsgang + Stelle	0	UNSPECIFIED	NONE
34	A1	f67r2	f67r2.34	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_34	2	84|85	lokale Etikette; lokale Etikette	0	UNSPECIFIED	NONE
35	A1	f67r2	f67r2.35	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_35	3	86|87|88	fortsetzen; lokale Etikette; ansetzen + fortsetzen	0	UNSPECIFIED	NONE
36	A1	f67r2	f67r2.36	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_36	3	89|90|91	dies + eintragen + Ansatz; Mass; Ansatz	1	UNSPECIFIED	NONE
37	A1	f67r2	f67r2.37	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_37	1	92	dies + eintragen + Arbeitsgang + Mass	1	UNSPECIFIED	NONE
38	A1	f67r2	f67r2.38	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_38	2	93|94	lokale Etikette; Arbeitsgang + bereit + fortsetzen + kurz	0	UNSPECIFIED	NONE
39	A1	f67r2	f67r2.39	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_39	3	95|96|97	Ansatz; umsetzen + Mass; dies	0	UNSPECIFIED	NONE
40	A1	f67r2	f67r2.40	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_40	3	98|99|100	lokale Etikette; Arbeitsgang + Sollstufe; lokale Etikette	0	UNSPECIFIED	NONE
41	A1	f67r2	f67r2.41	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_41	2	101|102	dies + eintragen + Arbeitsgang + kurz + Arbeitsgang + hinein + dies; mehrdeutige lokale Etikette	1	UNSPECIFIED	NONE
42	A1	f67r2	f67r2.42	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_42	3	103|104|105	lokale Etikette; lokale Etikette; Arbeitsgang + Durchlass + dies	0	UNSPECIFIED	NONE
43	A1	f67r2	f67r2.43	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_43	4	106|107|108|109	Mass; Mass; Fach; lokale Etikette	1	UNSPECIFIED	NONE
44	A1	f67r2	f67r2.44	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_44	3	110|111|112	lokale Etikette; mehrdeutige lokale Etikette; Mass	0	UNSPECIFIED	NONE
45	A1	f67r2	f67r2.45	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_45	3	113|114|115	mehrdeutige lokale Etikette; lokale Etikette; lokale Etikette	0	UNSPECIFIED	NONE
46	A1	f67r2	f67r2.46	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_46	2	116|117	lokale Etikette; Ansatz + Stelle + dies	0	UNSPECIFIED	NONE
47	A1	f67r2	f67r2.47	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_47	1	118	lokale Etikette	0	UNSPECIFIED	NONE
48	A1	f67r2	f67r2.48	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_48	3	119|120|121	eintragen + Arbeitsgang + Mass; Portion; dies	1	UNSPECIFIED	NONE
49	A1	f67r2	f67r2.49	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_49	3	122|123|124	Fach; Gabe + kurz + abkuehlen; Mass	2	UNSPECIFIED	NONE
50	A1	f67r2	f67r2.50	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_50	2	125|126	lokale Etikette; Stelle	0	UNSPECIFIED	NONE
51	A1	f67r2	f67r2.51	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_LOCAL_FIELD_51	1	127	lokale Etikette	0	UNSPECIFIED	NONE
52	A1	f67r2	f67r2.52	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_01	1	128	danach + Arbeitsgang + kurz + von dort	0	UNSPECIFIED	NONE
53	A1	f67r2	f67r2.53	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_02	1	129	lokale Etikette	0	UNSPECIFIED	NONE
54	A1	f67r2	f67r2.54	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_03	2	130|131	dies; Stelle + Stelle	0	UNSPECIFIED	NONE
55	A1	f67r2	f67r2.55	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_04	1	132	dies + eintragen + Arbeitsgang + Stelle	1	UNSPECIFIED	NONE
56	A1	f67r2	f67r2.56	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_05	2	133|134	fortsetzen; Mass	0	UNSPECIFIED	NONE
57	A1	f67r2	f67r2.57	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_06	2	135|136	danach von dort; dies	0	UNSPECIFIED	NONE
58	A1	f67r2	f67r2.58	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_07	3	137|138|139	Gabe; Stelle; lokale Etikette	1	UNSPECIFIED	NONE
59	A1	f67r2	f67r2.59	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_08	1	140	dies + eintragen + Gabe + fuehren + dies	1	UNSPECIFIED	NONE
60	A1	f67r2	f67r2.60	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_09	1	141	lokale Etikette	0	UNSPECIFIED	NONE
61	A1	f67r2	f67r2.61	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_10	1	142	dies + eintragen + ansetzen + von dort	1	UNSPECIFIED	NONE
62	A1	f67r2	f67r2.62	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_11	1	143	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
63	A1	f67r2	f67r2.63	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_STAR_STATION_12	1	144	ansetzen + Arbeitsgang + von dort	0	UNSPECIFIED	NONE
64	A1	f67r2	f67r2.64	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_01	2	145|146	lokale Etikette; Lauf	1	UNSPECIFIED	NONE
65	A1	f67r2	f67r2.65	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_02	1	147	lokale Etikette	0	UNSPECIFIED	NONE
66	A1	f67r2	f67r2.66	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_03	1	148	lokale Etikette	0	UNSPECIFIED	NONE
67	A1	f67r2	f67r2.67	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_04	1	149	ansetzen + Arbeitsgang + von dort	0	UNSPECIFIED	NONE
68	A1	f67r2	f67r2.68	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_05	1	150	lokale Etikette	0	UNSPECIFIED	NONE
69	A1	f67r2	f67r2.69	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_06	2	151|152	lokale Etikette; lokale Etikette	0	UNSPECIFIED	NONE
70	A1	f67r2	f67r2.70	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_07	1	153	Arbeitsgang + von dort	0	UNSPECIFIED	NONE
71	A1	f67r2	f67r2.71	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_PHASE_STATION_08	1	154	lokale Etikette	0	UNSPECIFIED	NONE
72	A1	f67r2	f67r2.72	A67_LEFT_CELESTIAL_WHEEL	A1_LEFT_OUTER_RING_TEXT	12	155|156|157|158|159|160|161|162|163|164|165|166	von dort; Stelle + Mass; dies + Mass; zufuehren + Arbeitsgang + dies; dies + Mass; lokale Etikette; dies + hinein + Lauf; dies + zufuehren + Arbeitsgang + Mass; lokale Etikette; lokale Etikette; fortsetzen + dies; kurz ansetzen	1	UNSPECIFIED	NONE
73	A1	f67r2	f67r2.73	A67_RIGHT_CELESTIAL_WHEEL	A1_RIGHT_OUTER_RING_TEXT	11	167|168|169|170|171|172|173|174|175|176|177	lokale Etikette; dies; lokale Etikette; kurz + dies + zufuehren + laenger + dies; dies + zufuehren + dies; dies + zufuehren + dies; ansetzen + kurz + Arbeitsgang + dies; Arbeitsgang + Mass; ansetzen + fortsetzen; von dort; fortsetzen + von dort	0	UNSPECIFIED	NONE
74	A1	f67r2	f67r2.74	A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	13	178|179|180|181|182|183|184|185|186|187|188|189|190	dies + halten + kurz + dies; mehrdeutige lokale Etikette; lokale Etikette; lokale Etikette; Arbeitsgang + Durchlass + dies; lokale Etikette; Mass; mehrdeutige lokale Etikette; ansetzen + Arbeitsgang + Mass; Arbeitsgang + Portion; von dort; Lauf; lokale Etikette	1	UNSPECIFIED	NONE
75	A2	f68r1	f68r1.1	A68_LEFT_STAR_PANEL	A2_LEFT_PANEL_HEADER	9	191|192|193|194|195|196|197|198|199	mehrdeutige lokale Etikette; abziehen + eintragen + laenger + dies; mehrdeutige lokale Etikette; lokale Etikette; Auszug + abkuehlen; Arbeitsgang + hinein + abziehen + laenger + fortsetzen; danach + Ansatz; Gabe + bereit + vollstaendig + dies; ansetzen + Gabe + Stelle	3	UNSPECIFIED	NONE
76	A2	f68r1	f68r1.2	A68_MIDDLE_STAR_PANEL	A2_MIDDLE_PANEL_HEADER	9	200|201|202|203|204|205|206|207|208	lokale Etikette; danach + abziehen + fuehren; vollständig ansetzen; Schluss; Ergebnis; abziehen + laenger + eintragen + laenger + dies; mehrdeutige lokale Etikette; abziehen + hinein + Ansatz; Auszug + zufuehren + Ansatz + dies; lokale Etikette	2	UNSPECIFIED	NONE
77	A2	f68r1	f68r1.3	A68_RIGHT_STAR_PANEL	A2_RIGHT_PANEL_HEADER	8	209|210|211|212|213|214|215|216	dies + zufuehren + Ansatz; Ergebnis; Arbeitsgang + abziehen + laenger + dies; mehrdeutige lokale Etikette; länger ansetzen; abkuehlen + Ansatz; kurz + seihen + von dort; lokale Etikette	1	UNSPECIFIED	NONE
78	A2	f68r1	f68r1.4	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_04	2	217|218	lokale Etikette; lokale Etikette	0	UNSPECIFIED	NONE
79	A2	f68r1	f68r1.5	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_05	1	219	dies + zufuehren + dies	0	UNSPECIFIED	NONE
80	A2	f68r1	f68r1.6	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_06	1	220	von dort + dies	0	UNSPECIFIED	NONE
81	A2	f68r1	f68r1.7	A68_MULTIPANEL_STAR_ATLAS	A2_MULTIPANEL_HEADER_FRAGMENT_07	1	221	waermen + dies + zufuehren + fortsetzen + dies	0	UNSPECIFIED	NONE
82	A2	f68r1	f68r1.8	A68_MULTIPANEL_STAR_ATLAS	A2_CENTRE_KEY_UNRESOLVED	1	222	ansetzen + Arbeitsgang + Stelle + dies	0	UNSPECIFIED	NONE
83	A2	f68r1	f68r1.9	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_01	1	223	lokale Etikette	0	UNSPECIFIED	NONE
84	A2	f68r1	f68r1.10	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_02	1	224	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
85	A2	f68r1	f68r1.11	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_03	1	225	ansetzen + Arbeitsgang + Stelle + dies	0	UNSPECIFIED	NONE
86	A2	f68r1	f68r1.12	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_04	1	226	lokale Etikette	0	UNSPECIFIED	NONE
87	A2	f68r1	f68r1.13	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_05	1	227	Arbeitsgang + bereit + kurz + dies	0	UNSPECIFIED	NONE
88	A2	f68r1	f68r1.14	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_06	1	228	danach + halten + kurz + dies	0	UNSPECIFIED	NONE
89	A2	f68r1	f68r1.15	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_07	1	229	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
90	A2	f68r1	f68r1.16	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_08	1	230	ansetzen + kurz + von dort	0	UNSPECIFIED	NONE
91	A2	f68r1	f68r1.17	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_09	1	231	lokale Etikette	0	UNSPECIFIED	NONE
92	A2	f68r1	f68r1.18	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_10	1	232	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
93	A2	f68r1	f68r1.19	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_11	1	233	lokale Etikette	0	UNSPECIFIED	NONE
94	A2	f68r1	f68r1.20	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_12	1	234	weiterer Ansatz	0	UNSPECIFIED	NONE
95	A2	f68r1	f68r1.21	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_13	1	235	Arbeitsgang + Durchlass + dies	0	UNSPECIFIED	NONE
96	A2	f68r1	f68r1.22	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_14	1	236	lokale Etikette	0	UNSPECIFIED	NONE
97	A2	f68r1	f68r1.23	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_15	1	237	danach umsetzen; Schluss	0	UNSPECIFIED	NONE
98	A2	f68r1	f68r1.24	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_16	1	238	lokale Etikette	0	UNSPECIFIED	NONE
99	A2	f68r1	f68r1.25	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_17	1	239	danach fortsetzen	0	UNSPECIFIED	NONE
100	A2	f68r1	f68r1.26	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_18	1	240	danach + Ansatz	0	UNSPECIFIED	NONE
101	A2	f68r1	f68r1.27	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_19	1	241	Arbeitsgang + Sollstufe + von dort	0	UNSPECIFIED	NONE
102	A2	f68r1	f68r1.28	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_20	1	242	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
103	A2	f68r1	f68r1.29	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_21	1	243	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
104	A2	f68r1	f68r1.30	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_22	1	244	mehrdeutige lokale Etikette	0	UNSPECIFIED	NONE
105	A2	f68r1	f68r1.31	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_23	1	245	lokale Etikette	0	UNSPECIFIED	NONE
106	A2	f68r1	f68r1.32	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_24	1	246	ansetzen + laenger + Arbeitsgang + Stelle	0	UNSPECIFIED	NONE
107	A2	f68r1	f68r1.33	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_25	1	247	ansetzen + Ansatz	0	UNSPECIFIED	NONE
108	A2	f68r1	f68r1.34	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_26	1	248	lokale Etikette	0	UNSPECIFIED	NONE
109	A2	f68r1	f68r1.35	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_27	1	249	danach + Arbeitsgang + umsetzen + dies	0	UNSPECIFIED	NONE
110	A2	f68r1	f68r1.36	A68_MULTIPANEL_STAR_ATLAS	A2_STAR_STATION_28	1	250	lokale Etikette	0	UNSPECIFIED	NONE
111	A2	f68r1	f68r1.37	A68_MULTIPANEL_STAR_ATLAS	A2_CENTRAL_LEGEND_UNRESOLVED	5	251|252|253|254|255	verwende dies; mehrdeutige lokale Etikette; mehrdeutige lokale Etikette; kurz + von dort; lokale Etikette	0	UNSPECIFIED	NONE
112	A3	f69v	f69v.1	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_WHEEL_RING_TEXT	40	256|257|258|259|260|261|262|263|264|265|266|267|268|269|270|271|272|273|274|275|276|277|278|279|280|281|282|283|284|285|286|287|288|289|290|291|292|293|294|295	lokale Etikette; dies + zufuehren + dies; lokale Etikette; von dort; von dort; dies + zufuehren + von dort; lokale Etikette; von dort; mehrdeutige lokale Etikette; lokale Etikette; Arbeitsgang; eintragen + kurz + dies; danach + ansetzen + vollstaendig + dies; mehrdeutige lokale Etikette; länger ansetzen; lokale Etikette; eintragen + laenger + Arbeitsgang; dies; dies; danach; dies; mehrdeutige lokale Etikette; lokale Etikette; lokale Etikette; dies; dies; Gabe + Mass; ansetzen + von dort; ansetzen + von dort; fortsetzen; lokale Etikette; dies + eintragen + Arbeitsgang; lokale Etikette; danach + dies; danach + laenger + Arbeitsgang; von dort; Arbeitsgang; mehrdeutige lokale Etikette; lokale Etikette; von dort	4	UNSPECIFIED	NONE
113	A3	f69v	f69v.2	A69_MIDDLE_CLOUD_WAVE_WHEEL	A3_MIDDLE_WHEEL_RING_TEXT	38	296|297|298|299|300|301|302|303|304|305|306|307|308|309|310|311|312|313|314|315|316|317|318|319|320|321|322|323|324|325|326|327|328|329|330|331|332|333	lokale Etikette; fortsetzen; dies + zufuehren + von dort; Stelle; lokale Etikette; lokale Etikette; Ergebnis; fortsetzen + dies; dies + zufuehren + laenger + Stelle; Auszug; lokale Etikette; Arbeitsgang + Durchlass + dies; dies länger halten; Mass; dies; lokale Etikette; mehrdeutige lokale Etikette; Stelle; dies + kurz + eintragen + kurz + dies; abziehen + kurz + von dort; dies; dies; dies + zufuehren + kurz + dies; abziehen; dies; dies; fortsetzen; dies + zufuehren + von dort; fortsetzen; dies; mehrdeutige lokale Etikette; dies; Stelle; Arbeitsgang abschließen; Lauf + dies; verwende dies; dies + dies; dies	3	UNSPECIFIED	NONE
114	A3	f69v	f69v.3	A69_RIGHT_FACE_RAY_WHEEL	A3_RIGHT_WHEEL_RING_TEXT	29	334|335|336|337|338|339|340|341|342|343|344|345|346|347|348|349|350|351|352|353|354|355|356|357|358|359|360|361|362	lokale Etikette; mehrdeutige lokale Etikette; lokale Etikette; dies umsetzen; danach + Arbeitsgang + von dort; von dort; dies; danach + kurz + Ansatz; Gabe; danach + Lauf; lokale Etikette; danach + laenger + Stelle; Auszug + abkuehlen; von dort; Lauf; mehrdeutige lokale Etikette; lokale Etikette; lokale Etikette; lokale Etikette; mehrdeutige lokale Etikette; ansetzen + kurz + Arbeitsgang + Stelle; danach + kurz + Arbeitsgang + von dort + von dort; lokale Etikette; lokale Etikette; dies; mehrdeutige lokale Etikette; Stelle; nächsten Posten länger halten; nächsten Posten länger halten	3	UNSPECIFIED	NONE
115	A3	f69v	f69v.4	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_01	2	363|364	länger ansetzen; von dort	0	UNSPECIFIED	NONE
116	A3	f69v	f69v.5	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_02	2	365|366	ansetzen + kurz + Arbeitsgang; dies	0	UNSPECIFIED	NONE
117	A3	f69v	f69v.6	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_03	1	367	Arbeitsgang + Gabe + dies + zufuehren	1	UNSPECIFIED	NONE
118	A3	f69v	f69v.7	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_04	1	368	dies + zufuehren + laenger + dies	0	UNSPECIFIED	NONE
119	A3	f69v	f69v.8	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_05	1	369	dies + eintragen + Ansatz + dies	1	UNSPECIFIED	NONE
120	A3	f69v	f69v.9	A69_LEFT_28_PLACE_WHEEL	A3_LEFT_RADIAL_SLOT_06	1	370	Arbeitsgang + laenger + dies	0	UNSPECIFIED	NONE
