locus_serial	diagram_id	page	locus	visible_owner	namespace_id	group_count	surface_sequence	component_group_count	local_word_group_count	speakable_locus_reading_de	use_rule_de
11	A1	f67r2	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	3	chky chykchs chy	1	2	right sector slot 11: Grad oder Diagrammzustand justieren; Diagrammplatz berechnen oder bearbeiten; dieser lokale Diagrammposten	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
12	A1	f67r2	f67r2.12	A1_RIGHT_SECTOR_SLOT_12	F67_RIGHT_WHEEL_NS	2	ykees ykchos	0	2	right sector slot 12: lange oder volle Diagrammstufe; Diagrammplatz berechnen oder bearbeiten	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
13	A1	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	4	opodchol s ain aldy	0	4	right ring band 01: im selben Ring, Band oder Satz fortsetzen; Nebenwert; gezaehlter Teil oder Unterabschnitt; Zielsektor, Zielstern oder Zielfeld	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
14	A1	f67r2	f67r2.14	A1_RIGHT_RING_BAND_02	F67_RIGHT_WHEEL_NS	3	soeey doiin oldy	1	2	right ring band 02: lange oder volle Diagrammstufe; Grad- oder Bedingungsstufe; fortsetzen und den Eintrag schliessen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
15	A1	f67r2	f67r2.15	A1_LEFT_LOCAL_FIELD_15	F67_LEFT_WHEEL_NS	1	dolchsody	0	1	left local field 15: im selben Ring, Band oder Satz fortsetzen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
16	A1	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	F67_LEFT_WHEEL_NS	4	odaeiin okoes oekain y	1	3	left local field 16: Grad- oder Bedingungsstufe; Diagrammposten setzen oder aktivieren; gezaehlter Teil oder Unterabschnitt; dieser lokale Diagrammposten	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
17	A1	f67r2	f67r2.17	A1_LEFT_LOCAL_FIELD_17	F67_LEFT_WHEEL_NS	3	otchey soraiir dy	2	1	left local field 17: naechster Diagrammposten; Bedingungs-, Tabellen- oder Wahlansatz; dieser lokale Diagrammposten	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
18	A1	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	F67_LEFT_WHEEL_NS	3	qopchy daiin dal	2	1	left local field 18: neuer Paarbezug; Sollwert oder Grad des bezeichneten Himmelsplatzes; zum bezeichneten Zielplatz	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
19	A1	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	4	ydchos ain ar amy	0	4	left local field 19: Himmelsobjekt oder Eingangsbedingung; gezaehlter Teil oder Unterabschnitt; Ausgangssektor, Ursprung oder Bezugswert; aktueller Aspektwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
20	A1	f67r2	f67r2.20	A1_LEFT_LOCAL_FIELD_20	F67_LEFT_WHEEL_NS	2	chocfhy saral	1	1	left local field 20: Himmelsobjekt oder Eingangsbedingung; von Quelle zum Ziel	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
21	A1	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	F67_LEFT_WHEEL_NS	3	sain am ar	0	3	left local field 21: gezaehlter Teil oder Unterabschnitt; Aspektwert; Ausgangssektor, Ursprung oder Bezugswert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
22	A1	f67r2	f67r2.22	A1_LEFT_LOCAL_FIELD_22	F67_LEFT_WHEEL_NS	1	okal	1	0	left local field 22: am Zielplatz setzen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
23	A1	f67r2	f67r2.23	A1_LEFT_LOCAL_FIELD_23	F67_LEFT_WHEEL_NS	2	oparchy salsain	1	1	left local field 23: Ausgangssektor, Ursprung oder Bezugswert; Ziel + Portion	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
24	A1	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	F67_LEFT_WHEEL_NS	3	sodar ofar ar	0	3	left local field 24: Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert; Ausgangssektor, Ursprung oder Bezugswert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
25	A1	f67r2	f67r2.25	A1_LEFT_LOCAL_FIELD_25	F67_LEFT_WHEEL_NS	1	ydam	0	1	left local field 25: festgelegter Aspektwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
26	A1	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	F67_LEFT_WHEEL_NS	3	yteoor yto ykor	0	3	left local field 26: Bedingungs-, Tabellen- oder Wahlansatz; aktueller Platz; Bedingungs-, Tabellen- oder Wahlansatz	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
27	A1	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	F67_LEFT_WHEEL_NS	4	okeo r aiin am	1	3	left local field 27: Diagrammposten setzen oder aktivieren; Bezugswert; Sollwert oder Grad des bezeichneten Himmelsplatzes; Aspektwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
28	A1	f67r2	f67r2.28	A1_LEFT_LOCAL_FIELD_28	F67_LEFT_WHEEL_NS	2	okain am	1	1	left local field 28: einen gezaehlten Teilwert zugeben; Aspektwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
29	A1	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	F67_LEFT_WHEEL_NS	2	ytody saiin	1	1	left local field 29: Platz fest eingetragen; Sollwert oder Grad des bezeichneten Himmelsplatzes	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
30	A1	f67r2	f67r2.30	A1_LEFT_LOCAL_FIELD_30	F67_LEFT_WHEEL_NS	2	ochol olol	0	2	left local field 30: im selben Ring, Band oder Satz fortsetzen; im selben Ring, Band oder Satz fortsetzen + im selben Ring, Band oder Satz fortsetzen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
31	A1	f67r2	f67r2.31	A1_LEFT_LOCAL_FIELD_31	F67_LEFT_WHEEL_NS	1	opcholdy	0	1	left local field 31: im selben Ring, Band oder Satz fortsetzen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
32	A1	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	4	dosar odas air alaiin	1	3	left local field 32: Ausgangssektor, Ursprung oder Bezugswert; fester Nebenwert; Himmels-, Ring- oder Zeigerlauf; Ziel-Sollwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
33	A1	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	F67_LEFT_WHEEL_NS	3	dokan oear odal	0	3	left local field 33: Diagrammposten setzen oder aktivieren; Ausgangssektor, Ursprung oder Bezugswert; Zielsektor, Zielstern oder Zielfeld	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
34	A1	f67r2	f67r2.34	A1_LEFT_LOCAL_FIELD_34	F67_LEFT_WHEEL_NS	2	ofar oeoldan	0	2	left local field 34: Ausgangssektor, Ursprung oder Bezugswert; im selben Ring, Band oder Satz fortsetzen + Bedingung oder Tabellenwert anwenden	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
35	A1	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	F67_LEFT_WHEEL_NS	3	chol giin okol	2	1	left local field 35: im selben Ring oder Band fortsetzen; Grad- oder Bedingungsstufe; Fortsetzung aktivieren	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
36	A1	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	F67_LEFT_WHEEL_NS	3	ytor daiin or	2	1	left local field 36: Bedingungs-, Tabellen- oder Wahlansatz; Sollwert oder Grad des bezeichneten Himmelsplatzes; Bedingungs- oder Tabellensatz	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
37	A1	f67r2	f67r2.37	A1_LEFT_LOCAL_FIELD_37	F67_LEFT_WHEEL_NS	1	ytoaiin	0	1	left local field 37: Sollwert oder Grad eines Diagrammplatzes	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
38	A1	f67r2	f67r2.38	A1_LEFT_LOCAL_FIELD_38	F67_LEFT_WHEEL_NS	2	otoldos octhole	2	0	left local field 38: als nächstes fortsetzen; lokaler DOS-Status; Bereitwert + Fortsetzen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
39	A1	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	F67_LEFT_WHEEL_NS	3	sor chedaiin dy	3	0	left local field 39: Bedingungs- oder Tabellensatz; ZUM SOLLWERT UMSETZEN; dieser lokale Diagrammposten	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
40	A1	f67r2	f67r2.40	A1_LEFT_LOCAL_FIELD_40	F67_LEFT_WHEEL_NS	3	yteos oiin og	0	3	left local field 40: sekundärer Phasenplatz; Grad- oder Bedingungsstufe; Grundgrad	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
41	A1	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	F67_LEFT_WHEEL_NS	2	ytoeopchey chekody	0	2	left local field 41: Vergleichswert dieses Platzes; abgeleiteter Klassenwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
42	A1	f67r2	f67r2.42	A1_LEFT_LOCAL_FIELD_42	F67_LEFT_WHEEL_NS	3	sosho chos ockhy	0	3	left local field 42: Himmelsobjekt oder Eingangsbedingung; Himmelsobjekt oder Eingangsbedingung; durch Sektor, Ring oder Pruefweg fuehren	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
43	A1	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	F67_LEFT_WHEEL_NS	4	daiin aiin os qsg	3	1	left local field 43: Sollwert oder Grad des bezeichneten Himmelsplatzes; Sollwert oder Grad des bezeichneten Himmelsplatzes; umschliessendes Diagrammfeld; neuer Nebengrad	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
44	A1	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	F67_LEFT_WHEEL_NS	3	ofydy sheody aiin	1	2	left local field 44: fester Grundlichtwert; Position oder Bedingung halten; Sollwert oder Grad des bezeichneten Himmelsplatzes	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
45	A1	f67r2	f67r2.45	A1_LEFT_LOCAL_FIELD_45	F67_LEFT_WHEEL_NS	3	ycheody es odaiiin	0	3	left local field 45: aktueller Ablesewert fest; ausgewählter Nebenwert; Grad- oder Bedingungsstufe	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
46	A1	f67r2	f67r2.46	A1_LEFT_LOCAL_FIELD_46	F67_LEFT_WHEEL_NS	2	yekees oraly	1	1	left local field 46: lange oder volle Diagrammstufe; Ansatz/Satz + Ziel	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
47	A1	f67r2	f67r2.47	A1_LEFT_LOCAL_FIELD_47	F67_LEFT_WHEEL_NS	1	yfain	0	1	left local field 47: gezaehlter Teil oder Unterabschnitt	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
48	A1	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	F67_LEFT_WHEEL_NS	3	todaiin dain dy	2	1	left local field 48: Sollwert oder Grad eines Diagrammplatzes; Band-, Schleier- oder Abdecktraeger; dieser lokale Diagrammposten	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
49	A1	f67r2	f67r2.49	A1_LEFT_LOCAL_FIELD_49	F67_LEFT_WHEEL_NS	3	os choer aiin	2	1	left local field 49: umschliessendes Diagrammfeld; Himmelsobjekt oder Eingangsbedingung; Sollwert oder Grad des bezeichneten Himmelsplatzes	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
50	A1	f67r2	f67r2.50	A1_LEFT_LOCAL_FIELD_50	F67_LEFT_WHEEL_NS	2	choeea sal	1	1	left local field 50: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; zum bezeichneten Zielplatz	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
51	A1	f67r2	f67r2.51	A1_LEFT_LOCAL_FIELD_51	F67_LEFT_WHEEL_NS	1	dadaiin	0	1	left local field 51: Sollwert oder Grad eines Diagrammplatzes	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
52	A1	f67r2	f67r2.52	A1_LEFT_OUTER_STAR_STATION_01	F67_LEFT_WHEEL_NS	1	qotoear	1	0	left outer star station 01: nächste Quelle kurz nehmen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
53	A1	f67r2	f67r2.53	A1_LEFT_OUTER_STAR_STATION_02	F67_LEFT_WHEEL_NS	1	dchdar	1	0	left outer star station 02: Umsetzen + Quelle	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
54	A1	f67r2	f67r2.54	A1_LEFT_OUTER_STAR_STATION_03	F67_LEFT_WHEEL_NS	2	y saldal	1	1	left outer star station 03: dieser lokale Diagrammposten; Zielsektor, Zielstern oder Zielfeld + Zielsektor, Zielstern oder Zielfeld	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
55	A1	f67r2	f67r2.55	A1_LEFT_OUTER_STAR_STATION_04	F67_LEFT_WHEEL_NS	1	ytodal	0	1	left outer star station 04: Zielsektor, Zielstern oder Zielfeld	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
56	A1	f67r2	f67r2.56	A1_LEFT_OUTER_STAR_STATION_05	F67_LEFT_WHEEL_NS	2	tol daiin	2	0	left outer star station 05: im selben Ring oder Band fortsetzen; Sollwert oder Grad des bezeichneten Himmelsplatzes	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
57	A1	f67r2	f67r2.57	A1_LEFT_OUTER_STAR_STATION_06	F67_LEFT_WHEEL_NS	2	otar dy	2	0	left outer star station 06: danach vom bezeichneten Ausgangsplatz; dieser lokale Diagrammposten	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
58	A1	f67r2	f67r2.58	A1_LEFT_OUTER_STAR_STATION_07	F67_LEFT_WHEEL_NS	3	cho dal g	2	1	left outer star station 07: Eingangsobjekt oder Eingangsbedingung; zum bezeichneten Zielplatz; Gradwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
59	A1	f67r2	f67r2.59	A1_LEFT_OUTER_STAR_STATION_08	F67_LEFT_WHEEL_NS	1	ytchodly	0	1	left outer star station 08: Himmelsobjekt oder Eingangsbedingung	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
60	A1	f67r2	f67r2.60	A1_LEFT_OUTER_STAR_STATION_09	F67_LEFT_WHEEL_NS	1	octhys	0	1	left outer star station 09: sekundäre Grundbedingung	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
61	A1	f67r2	f67r2.61	A1_LEFT_OUTER_STAR_STATION_10	F67_LEFT_WHEEL_NS	1	ytokar	1	0	left outer star station 10: Quelle aktivieren; lokaler YT-Rahmen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
62	A1	f67r2	f67r2.62	A1_LEFT_OUTER_STAR_STATION_11	F67_LEFT_WHEEL_NS	1	otolor	1	0	left outer star station 11: Folge + Fortsetzen + Ansatz/Satz	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
63	A1	f67r2	f67r2.63	A1_LEFT_OUTER_STAR_STATION_12	F67_LEFT_WHEEL_NS	1	okodar	1	0	left outer star station 12: Quelle aktivieren; lokaler OD-Status	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
64	A1	f67r2	f67r2.64	A1_RIGHT_PHASE_STATION_01	F67_RIGHT_WHEEL_NS	2	s air	0	2	right phase station 01: Nebenwert; Himmels-, Ring- oder Zeigerlauf	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
65	A1	f67r2	f67r2.65	A1_RIGHT_PHASE_STATION_02	F67_RIGHT_WHEEL_NS	1	soear	0	1	right phase station 02: Ausgangssektor, Ursprung oder Bezugswert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
66	A1	f67r2	f67r2.66	A1_RIGHT_PHASE_STATION_03	F67_RIGHT_WHEEL_NS	1	cpheey	0	1	right phase station 03: lange oder volle Diagrammstufe	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
67	A1	f67r2	f67r2.67	A1_RIGHT_PHASE_STATION_04	F67_RIGHT_WHEEL_NS	1	okodar	1	0	right phase station 04: Quelle aktivieren; lokaler OD-Status	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
68	A1	f67r2	f67r2.68	A1_RIGHT_PHASE_STATION_05	F67_RIGHT_WHEEL_NS	1	oepchod	0	1	right phase station 05: Himmelsobjekt oder Eingangsbedingung	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
69	A1	f67r2	f67r2.69	A1_RIGHT_PHASE_STATION_06	F67_RIGHT_WHEEL_NS	2	s ay	0	2	right phase station 06: Nebenwert; aktueller Hauptwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
70	A1	f67r2	f67r2.70	A1_RIGHT_PHASE_STATION_07	F67_RIGHT_WHEEL_NS	1	osar	0	1	right phase station 07: Ausgangssektor, Ursprung oder Bezugswert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
71	A1	f67r2	f67r2.71	A1_RIGHT_PHASE_STATION_08	F67_RIGHT_WHEEL_NS	1	oran	0	1	right phase station 08: Bedingungs-, Tabellen- oder Wahlansatz	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
72	A1	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	12	dar aldaiin ydaiin qkoy ydaiin qofair ypair ykoaiin ydoly ytalchos oly okey	4	8	left outer ring text: vom bezeichneten Ausgangsplatz; Ziel-Sollwert; lokaler D-Rahmen; Sollwert oder Grad eines Diagrammplatzes; neue Grundklasse; Sollwert oder Grad eines Diagrammplatzes; Himmels-, Ring- oder Zeigerlauf; Himmels-, Ring- oder Zeigerlauf; Sollwert oder Grad eines Diagrammplatzes; im selben Ring, Band oder Satz fortsetzen; Ziel + Eingangsposten; im selben Ring, Band oder Satz fortsetzen; in kurzer Stufe setzen	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
73	A1	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	F67_RIGHT_WHEEL_NS	11	sshey sy shees qeykeey ykchey ykchey qokeochy oaiin okol ar olar	3	8	right outer ring text: abgelesener oder freigegebener Wert; dieser lokale Diagrammposten; Position oder Bedingung halten + lange oder volle Diagrammstufe; lange oder volle Diagrammstufe; Diagrammplatz berechnen oder bearbeiten; Diagrammplatz berechnen oder bearbeiten; Diagrammposten setzen oder aktivieren; Sollwert oder Grad eines Diagrammplatzes; Fortsetzung aktivieren; Ausgangssektor, Ursprung oder Bezugswert; VON DER QUELLE WEITER	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
74	A1	f67r2	f67r2.74	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	13	yshey qokeeody cheos oeeos qockhy chos aiin okeeody qokoaiin odain ar air ay	2	11	paired wheel legend unresolved: abgelesener oder freigegebener Wert; Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; sekundärer Ablesewert; lange oder volle Diagrammstufe; durch Sektor, Ring oder Pruefweg fuehren; Himmelsobjekt oder Eingangsbedingung; Sollwert oder Grad des bezeichneten Himmelsplatzes; Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; Aktivieren + Sollwert/Maß; gezaehlter Teil oder Unterabschnitt; Ausgangssektor, Ursprung oder Bezugswert; Himmels-, Ring- oder Zeigerlauf; aktueller Hauptwert	wähle diesen sichtbaren Besitzer/Locus; lies seine Gruppen in lokaler Schreibreihenfolge, nicht als globalen Kreisstart
