right_surface	selected_default_de	alternate_1_de	alternate_2_de	confidence	provenance_path	promotion_status	positive_evidence	counterevidence
oaiin	Zubereitungswert III	Zubereitungsmenge III	Charge III	C1	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	GDT736 High-Kandidat plus 22 alte Ganzwortvorkommen tragen Zubereitung und Wert III	Wert gegen Menge oder Charge offen
dol	Materialmaß	Materialwert	Maßfeld	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	76 bare und 3 headed Kandidatenvorkommen tragen Material-/Maßfeld	GDT738 unentschieden; Einheit offen
dal	abgemessenes Material I	Materialwert I	Messfeld I	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	191 bare und 2 headed Kandidatenvorkommen tragen Material/Messachse I	GDT738 unentschieden; nur reader-exakte GDT778-Stelle lizenzierbar
cheos	Trockenzubereitungsposten	trockene Charge	Trockenansatz	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	28 bare und 4 headed Kandidatenvorkommen tragen Trocken-/Zubereitungsfamilie	GDT738 trennt Charge und Posten nicht
chaiin	Trockenstufe III	Trockenklasse III	Trockenwert III	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	48 bare und 2 headed Kandidatenvorkommen plus Wertleiter III	GDT738 bleibt unentschieden
kar	erhitzter Anteil I	heiße Fraktion I	Wärmestufe I	C1	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	57 bare und 33 headed; GDT738 trägt die Wärmefamilie in beiden Läufen	Anteil gegen Fraktion und Stufe offen
kain	erhitzte Form II	Wärmestufe II	Verarbeitungsstufe II	C1	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	43 bare und 34 headed; GDT738 trägt die Wärmefamilie in beiden Läufen	Form gegen Prozessstufe offen
sheckhy	angefeuchtete Mischung	Feuchtkompositum	feuchte Grundform	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	33 bare und 3 headed Kandidatenvorkommen tragen Feucht-/Kompositumfamilie	GDT738 unentschieden; Patient offen
chs	trockene Grundform	Trockenposten	Kurzform	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	13 bare und 3 headed Kandidatenvorkommen tragen Trockenfamilie	GDT738 unentschieden; Segmentierung offen
chedar	abgemessener Trockenanteil I	Trockenform I	Messzustand I	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	31 bare und 13 headed Kandidatenvorkommen tragen Trocken-/Messachse I	GDT738 trennt Maß und Zustand nicht
olkeey	erhitztes Material, Form II	erhitzte Zubereitung II	Wärmezustand II	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	35 bare und 6 headed Kandidatenvorkommen tragen Wärme/Material plus Form II	GDT738 unentschieden; alter Holzpatient verworfen
dar	abgemessener Anteil I	Dosisfeld I	Resultatstufe I	C1	GDT737_BODY_PLUS_GDT768_LADDER	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	245 bare und 7 headed; spätere dreistufige Leiter stärkt Anteil-/Messrolle	Anteil gegen Dosis oder Resultat offen
olkain	erhitztes Material, Wert II	Materialform II	Wärmestufe II	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	33 bare und 3 headed Kandidatenvorkommen tragen Wärme/Material plus Wert II	GDT738 unentschieden; Dimension offen
chy	trockene Grundform	ungradierter Trockenzustand	Trockenposten	C1	GDT736_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	GDT736 High-Kandidat und 15 headed Ziele tragen trockene Grundform	Zustand gegen Posten offen
ain	Wertstufe II	Ordinalstufe II	Mengenstufe II	C2	GDT737_BODY_PLUS_GDT738_CROSS_HEAD	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	106 bare und 86 headed; GDT738 einzig klar SUPPORTED_CROSS_HEAD	Wert gegen Ordinal- oder Mengenstufe offen
otaiin	abgekühlte Zubereitung, Wert III	Kaltstufe III	Abkühlungsvorgang	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	138 bare und 2 headed Kandidatenvorkommen tragen Kälte/Zubereitung plus Wert III	GDT738 unentschieden; Temperatur gegen Prozess offen
shol	Feuchtmaterial	Feuchtzustand	feuchter Träger	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	163 bare und 4 headed Kandidatenvorkommen tragen Feucht-/Materialfamilie	GDT738 trennt Zustand und Träger nicht
ory	Portionsposten	Portionsabschluss	Teilträger	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	13 bare und 3 headed Kandidatenvorkommen tragen Teil-/Portionsfamilie	GDT738 unentschieden; Zielstelle ist medial und alte Karte hatte NO_EXACT_BODY_WHOLE
oldaiin	Materialergebnis III	Materialwert III	Dosis III	C0	GDT737_BODY_CANDIDATE	EXACT_OL_PLUS_WHOLE_ONLY_NEW_PROMOTION	7 bare und 2 headed Kandidatenvorkommen tragen Material/Ergebnis plus Wert III	GDT738 unentschieden; alte Karte hatte NO_EXACT_BODY_WHOLE
