prediction_rank	cell_id	scribe_profile	blocked_fused_atom_sequence	paraphrase_atom_sequence	scribe_surface_sequence	spoken_paraphrase_de	controlled_meaning_drift	all_surfaces_observed	new_surface_invented	status
3	B09E01	S3_S_LINE_SCRIBE	SHED+Y	Y | SHED+E+CLOSE	sy shedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
3	B09E01	S4_MIXED_COMPACT	SHED+Y	Y | SHED+E+CLOSE	dy dshedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
4	B10E01	S1_BARE_MASTER	SOLK+Y	SOLK+E+Y	solkey	den aktuellen Posten kurz auffangen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
4	B10E01	S2_Q_CELL_SCRIBE	SOLK+Y	SOLK+E+Y	solkey	den aktuellen Posten kurz auffangen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
4	B10E01	S3_S_LINE_SCRIBE	SOLK+Y	SOLK+E+Y	solkey	den aktuellen Posten kurz auffangen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
4	B10E01	S4_MIXED_COMPACT	SOLK+Y	SOLK+E+Y	solkey	den aktuellen Posten kurz auffangen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
5	B04E09	S1_BARE_MASTER	CHD+E+Y	CHD+Y | OK+E+Y	chdy okey	den aktuellen Posten umsetzen und kurz neu ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
5	B04E09	S2_Q_CELL_SCRIBE	CHD+E+Y	CHD+Y | OK+E+Y	chedy qokey	den aktuellen Posten umsetzen und kurz neu ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
5	B04E09	S3_S_LINE_SCRIBE	CHD+E+Y	CHD+Y | OK+E+Y	chedchy okey	den aktuellen Posten umsetzen und kurz neu ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
5	B04E09	S4_MIXED_COMPACT	CHD+E+Y	CHD+Y | OK+E+Y	chdy okey	den aktuellen Posten umsetzen und kurz neu ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
6	B08E01	S1_BARE_MASTER	CHK+Y	CHK+E+Y	cheky	den aktuellen Posten kurz wärmen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
6	B08E01	S2_Q_CELL_SCRIBE	CHK+Y	CHK+E+Y	cheky	den aktuellen Posten kurz wärmen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
6	B08E01	S3_S_LINE_SCRIBE	CHK+Y	CHK+E+Y	cheky	den aktuellen Posten kurz wärmen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
6	B08E01	S4_MIXED_COMPACT	CHK+Y	CHK+E+Y	cheky	den aktuellen Posten kurz wärmen	EXTRA_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
7	B04E12	S1_BARE_MASTER	CHD+EE+CLOSE	CHD+Y | OK+EE+CLOSE	chdy qokeedy	umsetzen, länger neu ansetzen und schließen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
7	B04E12	S2_Q_CELL_SCRIBE	CHD+EE+CLOSE	CHD+Y | OK+EE+CLOSE	chedy qokeedy	umsetzen, länger neu ansetzen und schließen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
7	B04E12	S3_S_LINE_SCRIBE	CHD+EE+CLOSE	CHD+Y | OK+EE+CLOSE	chedchy qokeedy	umsetzen, länger neu ansetzen und schließen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
7	B04E12	S4_MIXED_COMPACT	CHD+EE+CLOSE	CHD+Y | OK+EE+CLOSE	chdy qokeedy	umsetzen, länger neu ansetzen und schließen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
10	B03E02	S1_BARE_MASTER	OT+CLOSE	OT+Y | OK+E+CLOSE	otchey qokedy	zum folgenden Posten gehen, kurz ansetzen und schließen	EXTRA_SET_AND_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
10	B03E02	S2_Q_CELL_SCRIBE	OT+CLOSE	OT+Y | OK+E+CLOSE	qotchy qokedy	zum folgenden Posten gehen, kurz ansetzen und schließen	EXTRA_SET_AND_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
10	B03E02	S3_S_LINE_SCRIBE	OT+CLOSE	OT+Y | OK+E+CLOSE	otchey qokedy	zum folgenden Posten gehen, kurz ansetzen und schließen	EXTRA_SET_AND_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
10	B03E02	S4_MIXED_COMPACT	OT+CLOSE	OT+Y | OK+E+CLOSE	otchey qokedy	zum folgenden Posten gehen, kurz ansetzen und schließen	EXTRA_SET_AND_BRIEF_GRADE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
13	B07E01	S1_BARE_MASTER	CKHE+Y	Y | CKHE+AR	y eckhear	den aktuellen Posten an der Quellenadresse trennen	EXTRA_SOURCE_ADDRESS	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
13	B07E01	S2_Q_CELL_SCRIBE	CKHE+Y	Y | CKHE+AR	dy eckhear	den aktuellen Posten an der Quellenadresse trennen	EXTRA_SOURCE_ADDRESS	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
13	B07E01	S3_S_LINE_SCRIBE	CKHE+Y	Y | CKHE+AR	sy eckhear	den aktuellen Posten an der Quellenadresse trennen	EXTRA_SOURCE_ADDRESS	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
13	B07E01	S4_MIXED_COMPACT	CKHE+Y	Y | CKHE+AR	dy eckhear	den aktuellen Posten an der Quellenadresse trennen	EXTRA_SOURCE_ADDRESS	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
14	B09E07	S1_BARE_MASTER	SHED+AR	AR | SHED+E+CLOSE	ar tedy	aus der Quelle nehmen, kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
14	B09E07	S2_Q_CELL_SCRIBE	SHED+AR	AR | SHED+E+CLOSE	qear shedy	aus der Quelle nehmen, kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
14	B09E07	S3_S_LINE_SCRIBE	SHED+AR	AR | SHED+E+CLOSE	soear shedy	aus der Quelle nehmen, kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
14	B09E07	S4_MIXED_COMPACT	SHED+AR	AR | SHED+E+CLOSE	dary dshedy	aus der Quelle nehmen, kurz absetzen lassen und schließen	EXTRA_BRIEF_GRADE_AND_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
15	B09E09	S1_BARE_MASTER	SHED+E+Y	Y | SHED+E+CLOSE	y tedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
15	B09E09	S2_Q_CELL_SCRIBE	SHED+E+Y	Y | SHED+E+CLOSE	dy shedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
15	B09E09	S3_S_LINE_SCRIBE	SHED+E+Y	Y | SHED+E+CLOSE	sy shedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
15	B09E09	S4_MIXED_COMPACT	SHED+E+Y	Y | SHED+E+CLOSE	dy dshedy	den aktuellen Posten kurz absetzen lassen und schließen	EXTRA_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
16	B08E03	S1_BARE_MASTER	CHK+AIIN	AIIN | CHK+E+Y	aiin cheky	nach Sollwert kurz wärmen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
16	B08E03	S2_Q_CELL_SCRIBE	CHK+AIIN	AIIN | CHK+E+Y	daiin cheky	nach Sollwert kurz wärmen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
16	B08E03	S3_S_LINE_SCRIBE	CHK+AIIN	AIIN | CHK+E+Y	saiin cheky	nach Sollwert kurz wärmen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
16	B08E03	S4_MIXED_COMPACT	CHK+AIIN	AIIN | CHK+E+Y	dadaiin cheky	nach Sollwert kurz wärmen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
19	B10E06	S1_BARE_MASTER	SOLK+AL	AL | SOLK+E+Y	al solkey	am Ziel kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
19	B10E06	S2_Q_CELL_SCRIBE	SOLK+AL	AL | SOLK+E+Y	dal solkey	am Ziel kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
19	B10E06	S3_S_LINE_SCRIBE	SOLK+AL	AL | SOLK+E+Y	sal solkey	am Ziel kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
19	B10E06	S4_MIXED_COMPACT	SOLK+AL	AL | SOLK+E+Y	alys solkey	am Ziel kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
20	B10E07	S1_BARE_MASTER	SOLK+AR	AR | SOLK+E+Y	ar solkey	aus der Quelle kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
20	B10E07	S2_Q_CELL_SCRIBE	SOLK+AR	AR | SOLK+E+Y	qear solkey	aus der Quelle kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
20	B10E07	S3_S_LINE_SCRIBE	SOLK+AR	AR | SOLK+E+Y	soear solkey	aus der Quelle kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
20	B10E07	S4_MIXED_COMPACT	SOLK+AR	AR | SOLK+E+Y	dary solkey	aus der Quelle kurz auffangen	EXTRA_BRIEF_GRADE_AND_CURRENT	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
21	B02E09	S1_BARE_MASTER	OL+E+Y	OL | OK+E+Y	ol okey	fortsetzen und den aktuellen Posten kurz neu ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
21	B02E09	S2_Q_CELL_SCRIBE	OL+E+Y	OL | OK+E+Y	qolky qokey	fortsetzen und den aktuellen Posten kurz neu ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
21	B02E09	S3_S_LINE_SCRIBE	OL+E+Y	OL | OK+E+Y	sol okey	fortsetzen und den aktuellen Posten kurz neu ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
21	B02E09	S4_MIXED_COMPACT	OL+E+Y	OL | OK+E+Y	oldy okey	fortsetzen und den aktuellen Posten kurz neu ansetzen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
22	B04E11	S1_BARE_MASTER	CHD+E+CLOSE	CHD+Y | OK+E+CLOSE	chdy qokedy	umsetzen, kurz neu ansetzen und schließen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
22	B04E11	S2_Q_CELL_SCRIBE	CHD+E+CLOSE	CHD+Y | OK+E+CLOSE	chedy qokedy	umsetzen, kurz neu ansetzen und schließen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
22	B04E11	S3_S_LINE_SCRIBE	CHD+E+CLOSE	CHD+Y | OK+E+CLOSE	chedchy qokedy	umsetzen, kurz neu ansetzen und schließen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
22	B04E11	S4_MIXED_COMPACT	CHD+E+CLOSE	CHD+Y | OK+E+CLOSE	chdy qokedy	umsetzen, kurz neu ansetzen und schließen	EXTRA_SET_OPERATION	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
23	B09E10	S1_BARE_MASTER	SHED+EE+Y	Y | SHED+EE+CLOSE	y sheedy	den aktuellen Posten länger absetzen lassen und schließen	EXTRA_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
23	B09E10	S2_Q_CELL_SCRIBE	SHED+EE+Y	Y | SHED+EE+CLOSE	dy sheedy	den aktuellen Posten länger absetzen lassen und schließen	EXTRA_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
23	B09E10	S3_S_LINE_SCRIBE	SHED+EE+Y	Y | SHED+EE+CLOSE	sy sheedy	den aktuellen Posten länger absetzen lassen und schließen	EXTRA_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
23	B09E10	S4_MIXED_COMPACT	SHED+EE+Y	Y | SHED+EE+CLOSE	dy sheedy	den aktuellen Posten länger absetzen lassen und schließen	EXTRA_CLOSE	YES	NO	CONTROLLED_PARAPHRASE_NOT_FUSED_WORD
