statement_id	page	record	owner_noun_de	surface_sequence	component_sequence	literal_de	fluent_reading_de	cards	semantic_atoms	closed_cell	shared_herbal_cards
B3-S019	f83r	B3	der bildlich unverbundene Zwischenabschnitt	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.	1	4	YES	0
B3-S020	f83r	B3	der bildlich unverbundene Zwischenabschnitt	dal lchedy	AL | L+CHD+DY	ZIELSTELLE | LEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.	2	4	YES	1
B3-S021	f83r	B3	der bildlich unverbundene Zwischenabschnitt	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	ANSETZEN · SOLLMASS | BEREITEN · POSTEN | ZIELSTELLE | POSTEN | SOLLMASS | STEHENLASSEN · ZIELSTELLE | HALTEN · KURZ · BEREITEN · POSTEN | POSTEN | ZIELSTELLE | BEREITEN · POSTEN | ZIELSTELLE · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass stehen lassen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.	11	20	YES	8
B3-S022	f83r	B3	der bildlich unverbundene Zwischenabschnitt	qotchedy	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.	1	3	YES	0
B3-S023	f83r	B3	der bildlich unverbundene Zwischenabschnitt	lchedy	L+CHD+DY	LEITEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.	1	3	YES	0
B3-S024	f83r	B3	der bildlich unverbundene Zwischenabschnitt	tchedy	CHD+DY	UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.	1	2	YES	0
B3-S025	f83r	B3	der bildlich unverbundene Zwischenabschnitt	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.	1	3	YES	0
B3-S026	f83r	B3	der bildlich unverbundene Zwischenabschnitt und das durch den Bogen verbundene Hauptpaar	cheedar chldaiin chedy qokain checthy chealror solkeedy	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	LANG · QUELLE | LEITEN · SOLLMASS | UMSETZEN · POSTEN | ANSETZEN · PORTION | BEREITEN · POSTEN | ZIELSTELLE · KUEHLEN · ANSATZ | SAMMELN · LANG · SCHLUSS	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger sammeln und schliessen.	7	16	YES	2
B3-S027	f83r	B3	das durch den Bogen verbundene Hauptpaar	qoteedy	OT+EE+DY	DANACH · LANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.	1	3	YES	0
B3-S028	f83r	B3	das durch den Bogen verbundene Hauptpaar	qokeey qokedy	OK+EE+Y | OK+E+DY	ANSETZEN · LANG · POSTEN | ANSETZEN · KURZ · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.	2	6	YES	0
B3-S029	f83r	B3	das durch den Bogen verbundene Hauptpaar	sol cheeety qokedy	OL | EEE+T+Y | OK+E+DY	WEITER | VOLL · BEARBEITEN · POSTEN | ANSETZEN · KURZ · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann den laufenden Posten vollstaendig bearbeiten; dann kurz ansetzen; den Schritt schliessen.	3	7	YES	1
B3-S030	f83r	B3	das durch den Bogen verbundene Hauptpaar	qoky saiin schedair otchedy	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	ANSETZEN · POSTEN | SOLLMASS | UMSETZEN · WASSER | DANACH · UMSETZEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, das laufende Wasser umsetzen; danach nochmals umsetzen und schliessen.	4	8	YES	2
B3-S031	f83r	B3	das durch den Bogen verbundene Hauptpaar	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.	1	3	YES	0
B3-S032	f83r	B3	das durch den Bogen verbundene Hauptpaar	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	UMSETZEN · PORTION | UMSETZEN · POSTEN | DANACH · KURZ · SOLLMASS | DANACH · SOLLMASS | DANACH · KURZ · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.	5	12	YES	1
B3-S033	f83r	B3	das durch den Bogen verbundene Hauptpaar	ldy	L+DY	LEITEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.	1	2	YES	0
B3-S034	f83r	B3	das durch den Bogen verbundene Hauptpaar	soiiin checthy chety otaiin olsaly shedy	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	ARBEITSGANG · STUFE | BEREITEN · POSTEN | BEARBEITEN · POSTEN | DANACH · SOLLMASS | WEITER · ZIELSTELLE · POSTEN | STEHENLASSEN · SCHLUSS	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Stufe fuehren; den Posten bereitet halten und bearbeiten; danach nach Sollmass an der Zielstelle weiterfuehren, stehen lassen und schliessen.	6	13	YES	2
B4-S001	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.	1	3	YES	0
B4-S002	f83r	B4	das zweite durch den Bogen verbundene Hauptpaar	qolchey qokeey qokedy	OL+Y | OK+EE+Y | OK+E+DY	WEITER · POSTEN | ANSETZEN · LANG · POSTEN | ANSETZEN · KURZ · SCHLUSS	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.	3	8	YES	0
