statement_id	record_unit_id	page	complete_spoken_card_chain_de
B3-S010	B3	f83r	zuführen · übertragen · Zielstelle | danach · kurz; schließen
B3-S011	B3	f83r	bereitstellen · übertragen · Posten | diesen Posten einsetzen | diesen Posten übertragen | Ausgang · Posten
B3-S012	B3	f83r	Arbeitsansatz | kurz absetzen; schließen
B3-S013	B3	f83r	auf Sollmaß stellen | einen Anteil | bereitstellen · kurz · Posten | kurz einwirken; schließen
B3-S014	B3	f83r	einsetzen · Flüssigkeitslauf | absetzen · länger; schließen
B3-S015	B3	f83r	abführen; schließen
B3-S016	B3	f83r	abführen | einsetzen, übertragen; schließen
B3-S017	B3	f83r	länger einwirken; schließen
B3-S018	B3	f83r	kurz absetzen; schließen
B3-S019	B3	f83r	einsetzen · absetzen; schließen
B3-S020	B3	f83r	dorthin | abführen; schließen
B3-S021	B3	f83r	auf Sollmaß stellen | diesen Posten bereitstellen | dorthin | dieser Posten | Sollmaß | absetzen · Zielstelle | bereitstellen · kurz · Posten | dieser Posten | dorthin | diesen Posten bereitstellen | Zielstelle · übertragen; schließen
B3-S022	B3	f83r	danach · übertragen; schließen
B3-S023	B3	f83r	abführen; schließen
B3-S024	B3	f83r	übertragen; schließen
B3-S025	B3	f83r	einsetzen, übertragen; schließen
B3-S026	B3	f83r	übertragen · Ausgang | absetzen · Sollmaß | diesen Posten übertragen | einen Anteil zugeben | diesen Posten bereitstellen | Zielstelle · Ansatz | länger auffangen; schließen
B3-S027	B3	f83r	danach · länger; schließen
B3-S028	B3	f83r	länger einwirken | kurz einwirken; schließen
B3-S029	B3	f83r	weiter | vollständig · Teil | kurz einwirken; schließen
B3-S030	B3	f83r	diesen Posten einsetzen | Sollmaß | Flüssigkeitslauf | danach · übertragen; schließen
B3-S031	B3	f83r	länger einwirken; schließen
B3-S032	B3	f83r	übertragen · Anteil | diesen Posten übertragen | danach · kurz · Sollmaß | nächstes Sollmaß | danach · kurz; schließen
B3-S033	B3	f83r	abziehen; schließen
B3-S034	B3	f83r	Arbeitsstufe | diesen Posten bereitstellen | einen Teil abtrennen | nächstes Sollmaß | Zielstelle · Posten | kurz absetzen; schließen
B4-S001	B4	f83r	länger einwirken; schließen
B4-S002	B4	f83r	weiter · Posten | länger einwirken | kurz einwirken; schließen
B4-S003	B4	f83r	diesen Posten übertragen | danach dorthin | der nächste Posten | länger einwirken | diesen Posten einsetzen | weiter | kurz absetzen; schließen
B4-S004	B4	f83r	einsetzen · Posten · festbinden
B4-S005	B4	f83r	Tuch | diesen Posten übertragen | länger einwirken; schließen
B4-S006	B4	f83r	seihen; schließen
B4-S007	B4	f83r	seihen; schließen
B4-S008	B4	f83r	Sollmaß | länger bearbeiten | halten · länger · Posten | kurz einwirken; schließen
B4-S009	B4	f83r	kurz absetzen; schließen
B4-S010	B4	f83r	fortsetzen; abschließen
B4-S011	B4	f83r	Sollmaß | kurz wärmen | einsetzen · länger · weiter | einen Anteil zugeben | diesen Posten übertragen | weiter | abführen · kurz; schließen
B4-S012	B4	f83r	abführen; schließen
B4-S013	B4	f83r	einsetzen · weiter | kurz absetzen; schließen
B4-S014	B4	f83r	Arbeitsansatz | dieser Posten | einsetzen · Durchgang · kurz · Posten | Flüssigkeitslauf · Posten; schließen
B4-S015	B4	f83r	einen Anteil zugeben | Klarlauf | einen Anteil | Durchgang · Zielstelle | auffangen · kurz · Posten | abführen; schließen
B4-S016	B4	f83r	weiter · Anteil | dorthin | ausgießen · Ausgang | kurz absetzen; schließen
B5-S001	B5	f83r	danach · übertragen; schließen
B5-S002	B5	f83r	einsetzen, übertragen; schließen
B5-S003	B5	f83r	absetzen · Zielstelle | dorthin | weiter | abführen · weiter | übertragen · Zielstelle | Sollmaß | weiter | Arbeitsstufe | diesen Posten übertragen
B6-S001	B6	f83r	auffangen · länger · Posten | bearbeiten · kurz · Posten | Zielstelle · Posten | weiter | Sollmaß | weiter | Tuch | dieser Posten | Zielstelle
