statement_id	events	event_ids	owner_zones	card_sequence_de	continuous_reading_de	owner_break_inside_statement
B3-S024	1	E283	B3_ZONE_B_MIDDLE_STATION	überführen; Schluss	Überführen und schließen.	NO
B3-S025	1	E284	B3_ZONE_B_MIDDLE_STATION	Ansatz umsetzen; Schluss	Den Ansatz umsetzen und schließen.	NO
B3-S026	7	E285|E286|E287|E288|E289|E290|E291	B3_ZONE_B_MIDDLE_STATION|B3_ZONE_C_LOWER_STATION	Quellstation > Absetzmaß > dies umsetzen > eine Portion zugeben > bereit > Auffangpunkt > länger auffangen; Schluss	An der Quellstation das Absetzmaß setzen, dies umsetzen, eine Portion überführen, bereithalten und den Auffangpunkt wählen; nach dem Besitzerwechsel länger auffangen und schließen.	YES
B3-S027	1	E292	B3_ZONE_C_LOWER_STATION	nächsten Schritt länger halten; Schluss	Den nächsten Schritt länger halten und schließen.	NO
B3-S028	2	E293|E294	B3_ZONE_C_LOWER_STATION	länger ansetzen > kurz ansetzen; Schluss	Länger ansetzen, dann kurz ansetzen und schließen.	NO
B3-S029	3	E295|E296|E297	B3_ZONE_C_LOWER_STATION	fortsetzen > voll spülen > kurz ansetzen; Schluss	Fortsetzen, voll spülen, kurz ansetzen und schließen.	NO
B3-S030	4	E298|E299|E300|E301	B3_ZONE_C_LOWER_STATION	verwende dies > Mass > Laufflüssigkeit weiterführen > Folgeüberführung; Schluss	Dies verwenden, auf Maß bringen, die Laufflüssigkeit weiterführen, die Folgeüberführung ausführen und schließen.	NO
B3-S031	1	E302	B3_ZONE_C_LOWER_STATION	länger ansetzen; Schluss	Länger ansetzen und schließen.	NO
B3-S032	5	E303|E304|E305|E306|E307	B3_ZONE_C_LOWER_STATION	eine Portion überführen > dies umsetzen > kurzes Folgemaß > nächstes Maß > kurzer Folgeschritt; Schluss	Eine Portion umsetzen, dies umsetzen, ein kurzes Folgemaß und danach das nächste Maß setzen, den kurzen Folgeschritt ausführen und schließen.	NO
B3-S033	1	E308	B3_ZONE_C_LOWER_STATION	abführen; Schluss	Abführen und schließen.	NO
B3-S034	6	E309|E310|E311|E312|E313|E314	B3_ZONE_C_LOWER_STATION	Sollstand > bereit > zerkleinern > nächstes Maß > dies an der Stelle fortsetzen > kurz absetzen; Schluss	Auf Sollstand bringen, bereithalten, zerkleinern, das nächste Maß setzen, dies an der Stelle fortsetzen, kurz absetzen und schließen.	NO
