selector_row	statement_id	record_unit_id	page	work_module_id	work_module_title_de	owner_sequence	program_card_id	program_surface	program_event_id	selector_axis	selector_axis_de	selector_value_de	axis_question_de	module_question_de	modifier_event_ids	modifier_cards_de	modifier_slots	surface_sequence	card_sequence_de	selected_instruction_de	selector_reading_de	module_choice_logic_de	strongest_confusion_de	program_reuse_count	program_reuse_modules	program_reuse_statements
VS011	B1-S020	B1	f81v	WM15	Sammeln, Seihen und Zielposten	B1_SHARED_TWO_ROW_POOL	d68bc8de3bcee09db23c	shckhedy	E165	STRAINING	Seihen	seihen	Ist ein normaler Seihgang oder ein Abseih-/Folgegang fällig?	Wie endet dieser Poolposten?	E164	kurz wärmen	OPERATION|STATE_GRADE	cheky · shckhedy	kurz wärmen · seihen; Schluss	Wärme kurz, seih und schließe	Wähle Programm „seihen“; fülle davor kurz wärmen.	Sammeln/einreiben, absetzen, wärmen/seihen oder zum Ziel führen.	Die vier Einträge könnten eine einzige Abschlussfolge bilden.	3	WM15|WM32	B1-S020|B4-S006|B4-S007
VS012	B1-S021	B1	f81v	WM15	Sammeln, Seihen und Zielposten	B1_SHARED_TWO_ROW_POOL	RECORD_LAYOUT	[RECORDENDE]		RECORD_RELEASE	Recordausgang	Posten zum Ziel führen	Welcher Arbeitsstand wird am Recordende hinterlassen oder vorgemerkt?	Wie endet dieser Poolposten?	E166	dorthin	TARGET	chal	dorthin	Führe den Posten dorthin	Wähle Recordausgang „Posten zum Ziel führen“; die ganze letzte Zelle beschreibt den hinterlassenen Arbeitsstand.	Sammeln/einreiben, absetzen, wärmen/seihen oder zum Ziel führen.	Die vier Einträge könnten eine einzige Abschlussfolge bilden.	2	WM15|WM36	B1-S021|B5-S003
VS013	B2-S001	B2	f82r	WM16	Obere Paarbecken	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	259b2b3b0bf859882e2c	dchedy	E167	TRANSFER_CONTINUE	Umsetzen oder fortführen	umsetzen	Wird umgesetzt, eingeführt, fortgesetzt oder als Folge umgesetzt?	Welche Behandlung gilt an den oberen Paarbecken?	KEINE	KEINE	KEINE	dchedy	umsetzen; Schluss	Setze um und schließe	Wähle Programm „umsetzen“; fülle davor KEINE.	Umsetzen, fortsetzen, Portion länger halten, durch Auslass seihen oder am Tuch angleichen.	Die sichtbare Paarung könnte eine feste Reihenfolge statt Auswahl bedeuten.	3	WM10|WM16|WM29	B1-S002|B2-S001|B3-S024
VS014	B2-S002	B2	f82r	WM16	Obere Paarbecken	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	28ffbc88b97772a75f1e	qolchedy	E168	TRANSFER_CONTINUE	Umsetzen oder fortführen	fortsetzen	Wird umgesetzt, eingeführt, fortgesetzt oder als Folge umgesetzt?	Welche Behandlung gilt an den oberen Paarbecken?	KEINE	KEINE	KEINE	qolchedy	fortsetzen; Schluss	Führe weiter und schließe	Wähle Programm „fortsetzen“; fülle davor KEINE.	Umsetzen, fortsetzen, Portion länger halten, durch Auslass seihen oder am Tuch angleichen.	Die sichtbare Paarung könnte eine feste Reihenfolge statt Auswahl bedeuten.	3	WM10|WM16|WM25	B1-S005|B2-S002|B3-S006
VS015	B2-S003	B2	f82r	WM16	Obere Paarbecken	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	7d25241b0e56c836372a	qokeedy	E171	CONTACT_DURATION	Kontakt- oder Folgegrad	länger ansetzen	Wie lange beziehungsweise in welcher kurzen oder langen Folge wird angesetzt?	Welche Behandlung gilt an den oberen Paarbecken?	E169|E170	eine Portion zugeben · dieser Posten	QUANTITY|OPERATION|OWNER_ITEM	qokain · dy · qokeedy	eine Portion zugeben · dieser Posten · länger ansetzen; Schluss	Gib eine Portion zu, setze den Posten länger an und schließe	Wähle Programm „länger ansetzen“; fülle davor eine Portion zugeben · dieser Posten.	Umsetzen, fortsetzen, Portion länger halten, durch Auslass seihen oder am Tuch angleichen.	Die sichtbare Paarung könnte eine feste Reihenfolge statt Auswahl bedeuten.	8	WM16|WM22|WM25|WM29|WM31|WM32	B2-S003|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031|B4-S001|B4-S005
VS016	B2-S004	B2	f82r	WM16	Obere Paarbecken	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	c1db6b0a28d5cbb5d3d2	lcheckhedy	E176	STRAINING	Seihen	abseihen	Ist ein normaler Seihgang oder ein Abseih-/Folgegang fällig?	Welche Behandlung gilt an den oberen Paarbecken?	E172|E173|E174|E175	dort ansetzen · Ausgangsdurchlass · abführen · länger ansetzen	TARGET|OPERATION|FLOW_TRANSFER|OWNER_ITEM|STATE_GRADE	qokal · lcheckhy · lched · qokeey · lcheckhedy	dort ansetzen · Ausgangsdurchlass · abführen · länger ansetzen · abseihen; Schluss	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe	Wähle Programm „abseihen“; fülle davor dort ansetzen · Ausgangsdurchlass · abführen · länger ansetzen.	Umsetzen, fortsetzen, Portion länger halten, durch Auslass seihen oder am Tuch angleichen.	Die sichtbare Paarung könnte eine feste Reihenfolge statt Auswahl bedeuten.	1	WM16	B2-S004
VS017	B2-S005	B2	f82r	WM16	Obere Paarbecken	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	04a3877f0fc81b7597c9	ldy	E184	OUTFLOW_WITHDRAW	Abführen oder abziehen	abziehen	Wird der ganze Posten abgeführt, der Rest abgeführt oder nur eine Fraktion abgezogen?	Welche Behandlung gilt an den oberen Paarbecken?	E177|E178|E179|E180|E181|E182|E183	dies dort ansetzen · Seihtuch · durchleiten · auf Sollmaß einstellen · auf Sollmaß einstellen · gleichstellen · länger wärmen	OWNER_ITEM|TARGET|OPERATION|FLOW_TRANSFER|QUANTITY|STATE_GRADE	qokaly · solkaiin · chckhy · qokaiin · qokaiin · octheol · chkeey · ldy	dies dort ansetzen · Seihtuch · durchleiten · auf Sollmaß einstellen · auf Sollmaß einstellen · gleichstellen · länger wärmen · abziehen; Ende	Setze den Posten am Seihtuch an, leite ihn durch, stelle das Sollmaß ein, gleiche beide Seiten an, wärme länger, ziehe ab und schließe	Wähle Programm „abziehen“; fülle davor dies dort ansetzen · Seihtuch · durchleiten · auf Sollmaß einstellen · auf Sollmaß einstellen · gleichstellen · länger wärmen.	Umsetzen, fortsetzen, Portion länger halten, durch Auslass seihen oder am Tuch angleichen.	Die sichtbare Paarung könnte eine feste Reihenfolge statt Auswahl bedeuten.	2	WM16|WM31	B2-S005|B3-S033
VS018	B2-S008	B2	f82r	WM18	Absetzvarianten am linken Mittelgerät	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	bc4f1f5c006c74a4d26d	shedy	E192	SETTLING	Absetzen	absetzen	Soll der aktuelle oder vorige Posten jetzt absetzen oder weiter absetzen?	Welcher Posten soll am linken Mittelgerät absetzen?	E190|E191	Folgemaß · daraus ansetzen	QUANTITY|ORDER|SOURCE|OPERATION	sotaiin · qokar · shedy	Folgemaß · daraus ansetzen · absetzen; Schluss	Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe	Wähle Programm „absetzen“; fülle davor Folgemaß · daraus ansetzen.	Neues Folgemaß ansetzen oder den vorigen Posten weiter absetzen.	Beide Einträge könnten erste und zweite Absetzphase sein.	9	WM10|WM12|WM15|WM18|WM29|WM31|WM32|WM33	B1-S004|B1-S008|B1-S019|B2-S008|B3-S018|B3-S034|B4-S003|B4-S009|B4-S013
VS019	B2-S009	B2	f82r	WM18	Absetzvarianten am linken Mittelgerät	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	daa1347f456415fe8737	solshedy	E193	SETTLING	Absetzen	weiter absetzen	Soll der aktuelle oder vorige Posten jetzt absetzen oder weiter absetzen?	Welcher Posten soll am linken Mittelgerät absetzen?	KEINE	KEINE	KEINE	solshedy	weiter absetzen; Schluss	Lass weiter absetzen und schließe	Wähle Programm „weiter absetzen“; fülle davor KEINE.	Neues Folgemaß ansetzen oder den vorigen Posten weiter absetzen.	Beide Einträge könnten erste und zweite Absetzphase sein.	1	WM18	B2-S009
VS020	B2-S016	B2	f82r	WM22	Programme der unteren Randstationen	B2_LOWER_POOL_EDGE_STATIONS	65df3cd9e59060042d47	pchedy	E221	TRANSFER_CONTINUE	Umsetzen oder fortführen	einführen	Wird umgesetzt, eingeführt, fortgesetzt oder als Folge umgesetzt?	Welches Randstationsprogramm wird ausgeführt?	E214|E215|E216|E217|E218|E219|E220	dorthin · von dort abführen · gleichteilen · Sollmaß · langer Folgeposten · auf Sollmaß einstellen · kurz ansetzen	TARGET|SOURCE|OPERATION|FLOW_TRANSFER|OWNER_ITEM|QUANTITY|ORDER|STATE_GRADE	cheal · lchedar · ches · aiin · oteey · qokaiin · okey · pchedy	dorthin · von dort abführen · gleichteilen · Sollmaß · langer Folgeposten · auf Sollmaß einstellen · kurz ansetzen · einführen; Schluss	Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe	Wähle Programm „einführen“; fülle davor dorthin · von dort abführen · gleichteilen · Sollmaß · langer Folgeposten · auf Sollmaß einstellen · kurz ansetzen.	Einführen, Warmwasser/Öffnung, Langkontakt, Waschung, lange Folge oder Restablauf.	Die sieben Einträge könnten ein vollständiger Wartungszyklus sein.	1	WM22	B2-S016
VS021	B2-S017	B2	f82r	WM22	Programme der unteren Randstationen	B2_LOWER_POOL_EDGE_STATIONS	78b3b3140714da19090d	daldy	E223	APPARATUS_CONFIGURATION	Gerätestellung	Nebenöffnung	Welche Öffnung, Verbindung oder Befestigung wird für diese Station gesetzt?	Welches Randstationsprogramm wird ausgeführt?	E222	Warmwasser	MEDIUM	rsheal · daldy	Warmwasser · Nebenöffnung; Schluss	Lass Warmwasser ein und schließe die Nebenöffnung	Wähle Programm „Nebenöffnung“; fülle davor Warmwasser.	Einführen, Warmwasser/Öffnung, Langkontakt, Waschung, lange Folge oder Restablauf.	Die sieben Einträge könnten ein vollständiger Wartungszyklus sein.	1	WM22	B2-S017
VS022	B2-S018	B2	f82r	WM22	Programme der unteren Randstationen	B2_LOWER_POOL_EDGE_STATIONS	7d25241b0e56c836372a	qokeedy	E224	CONTACT_DURATION	Kontakt- oder Folgegrad	länger ansetzen	Wie lange beziehungsweise in welcher kurzen oder langen Folge wird angesetzt?	Welches Randstationsprogramm wird ausgeführt?	KEINE	KEINE	KEINE	qokeedy	länger ansetzen; Schluss	Setze länger an und schließe	Wähle Programm „länger ansetzen“; fülle davor KEINE.	Einführen, Warmwasser/Öffnung, Langkontakt, Waschung, lange Folge oder Restablauf.	Die sieben Einträge könnten ein vollständiger Wartungszyklus sein.	8	WM16|WM22|WM25|WM29|WM31|WM32	B2-S003|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031|B4-S001|B4-S005
VS023	B2-S019	B2	f82r	WM22	Programme der unteren Randstationen	B2_LOWER_POOL_EDGE_STATIONS	7f68f60279efe6b28cd7	rshedy	E225	WASHING	Waschen	Waschung	Ist dies die Hauptwaschung oder ein Nachwaschgang?	Welches Randstationsprogramm wird ausgeführt?	KEINE	KEINE	KEINE	rshedy	Waschung; Schluss	Führe die Waschung aus und schließe	Wähle Programm „Waschung“; fülle davor KEINE.	Einführen, Warmwasser/Öffnung, Langkontakt, Waschung, lange Folge oder Restablauf.	Die sieben Einträge könnten ein vollständiger Wartungszyklus sein.	1	WM22	B2-S019
VS024	B2-S020	B2	f82r	WM22	Programme der unteren Randstationen	B2_LOWER_POOL_EDGE_STATIONS	ff178343c18e287ce3b7	qoteedy	E226	CONTACT_DURATION	Kontakt- oder Folgegrad	lange Folge	Wie lange beziehungsweise in welcher kurzen oder langen Folge wird angesetzt?	Welches Randstationsprogramm wird ausgeführt?	KEINE	KEINE	KEINE	qoteedy	lange Folge; Schluss	Nimm die lange Folge und schließe	Wähle Programm „lange Folge“; fülle davor KEINE.	Einführen, Warmwasser/Öffnung, Langkontakt, Waschung, lange Folge oder Restablauf.	Die sieben Einträge könnten ein vollständiger Wartungszyklus sein.	2	WM22|WM31	B2-S020|B3-S027
VS025	B2-S021	B2	f82r	WM22	Programme der unteren Randstationen	B2_LOWER_POOL_EDGE_STATIONS	7d25241b0e56c836372a	qokeedy	E227	CONTACT_DURATION	Kontakt- oder Folgegrad	länger ansetzen	Wie lange beziehungsweise in welcher kurzen oder langen Folge wird angesetzt?	Welches Randstationsprogramm wird ausgeführt?	KEINE	KEINE	KEINE	qokeedy	länger ansetzen; Schluss	Setze länger an und schließe	Wähle Programm „länger ansetzen“; fülle davor KEINE.	Einführen, Warmwasser/Öffnung, Langkontakt, Waschung, lange Folge oder Restablauf.	Die sieben Einträge könnten ein vollständiger Wartungszyklus sein.	8	WM16|WM22|WM25|WM29|WM31|WM32	B2-S003|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031|B4-S001|B4-S005
VS026	B2-S022	B2	f82r	WM22	Programme der unteren Randstationen	B2_LOWER_POOL_EDGE_STATIONS	f2af6326898fb5b490a4	lochedy	E228	OUTFLOW_WITHDRAW	Abführen oder abziehen	Rest abführen	Wird der ganze Posten abgeführt, der Rest abgeführt oder nur eine Fraktion abgezogen?	Welches Randstationsprogramm wird ausgeführt?	KEINE	KEINE	KEINE	lochedy	Rest abführen; Schluss	Führe den Rest ab und schließe	Wähle Programm „Rest abführen“; fülle davor KEINE.	Einführen, Warmwasser/Öffnung, Langkontakt, Waschung, lange Folge oder Restablauf.	Die sieben Einträge könnten ein vollständiger Wartungszyklus sein.	1	WM22	B2-S022
VS027	B3-S001	B3	f83r	WM23	Obere Fächerstation	B3_UPPER_MARGIN_OPEN_FAN_STATION	3b70942557b3a40e8030	olkeedy	E229	COLLECTION	Sammeln	länger sammeln	Soll die Station diesen Posten länger sammeln?	Was geschieht an der oberen Fächerstation?	KEINE	KEINE	KEINE	olkeedy	länger sammeln; Schluss	Sammle länger und schließe	Wähle Programm „länger sammeln“; fülle davor KEINE.	Länger sammeln, länger wärmen oder nach Sollmaß abführen.	Die drei Einträge könnten sammeln→wärmen→abführen bedeuten.	2	WM15|WM23	B1-S018|B3-S001
VS028	B3-S002	B3	f83r	WM23	Obere Fächerstation	B3_UPPER_MARGIN_OPEN_FAN_STATION	a84fbe3ad380df345b97	chkeedy	E231	HEATING	Erwärmen	länger wärmen	Soll diese Station länger wärmen?	Was geschieht an der oberen Fächerstation?	E230	danach dorthin	TARGET	qotal · chkeedy	danach dorthin · länger wärmen; Schluss	Führe danach dorthin, wärme länger und schließe	Wähle Programm „länger wärmen“; fülle davor danach dorthin.	Länger sammeln, länger wärmen oder nach Sollmaß abführen.	Die drei Einträge könnten sammeln→wärmen→abführen bedeuten.	1	WM23	B3-S002
VS029	B3-S003	B3	f83r	WM23	Obere Fächerstation	B3_UPPER_MARGIN_OPEN_FAN_STATION	de7321bface5628e35d6	lchedy	E235	OUTFLOW_WITHDRAW	Abführen oder abziehen	abführen	Wird der ganze Posten abgeführt, der Rest abgeführt oder nur eine Fraktion abgezogen?	Was geschieht an der oberen Fächerstation?	E232|E233|E234	dieser Posten · Sollmaß · dieser Posten	OWNER_ITEM|QUANTITY	chey · daiin · chey · lchedy	dieser Posten · Sollmaß · dieser Posten · abführen; Schluss	Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe	Wähle Programm „abführen“; fülle davor dieser Posten · Sollmaß · dieser Posten.	Länger sammeln, länger wärmen oder nach Sollmaß abführen.	Die drei Einträge könnten sammeln→wärmen→abführen bedeuten.	5	WM23|WM25|WM29|WM33	B3-S003|B3-S008|B3-S020|B3-S023|B4-S012
VS030	B3-S006	B3	f83r	WM25	Programme des Rundgefäßes	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	28ffbc88b97772a75f1e	olchedy	E242	TRANSFER_CONTINUE	Umsetzen oder fortführen	fortsetzen	Wird umgesetzt, eingeführt, fortgesetzt oder als Folge umgesetzt?	Welche Rundgefäßroutine gilt?	E240|E241	umsetzen · dort ansetzen	OWNER_ITEM|OPERATION|TARGET	chedchy · qokal · olchedy	umsetzen · dort ansetzen · fortsetzen; Schluss	Setze dorthin um, führe weiter und schließe	Wähle Programm „fortsetzen“; fülle davor umsetzen · dort ansetzen.	Umsetzen/fortführen, nach Sollmaß länger ansetzen oder abführen.	Die drei Einträge könnten eine kurze Gefäßfolge sein.	3	WM10|WM16|WM25	B1-S005|B2-S002|B3-S006
VS031	B3-S007	B3	f83r	WM25	Programme des Rundgefäßes	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	7d25241b0e56c836372a	qokeedy	E245	CONTACT_DURATION	Kontakt- oder Folgegrad	länger ansetzen	Wie lange beziehungsweise in welcher kurzen oder langen Folge wird angesetzt?	Welche Rundgefäßroutine gilt?	E243|E244	auf Sollmaß einstellen · umsetzen	QUANTITY|OPERATION|OWNER_ITEM	qokaiin · chedy · qokeedy	auf Sollmaß einstellen · umsetzen · länger ansetzen; Schluss	Stelle das Sollmaß ein, setze um, setze länger an und schließe	Wähle Programm „länger ansetzen“; fülle davor auf Sollmaß einstellen · umsetzen.	Umsetzen/fortführen, nach Sollmaß länger ansetzen oder abführen.	Die drei Einträge könnten eine kurze Gefäßfolge sein.	8	WM16|WM22|WM25|WM29|WM31|WM32	B2-S003|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031|B4-S001|B4-S005
VS032	B3-S008	B3	f83r	WM25	Programme des Rundgefäßes	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	de7321bface5628e35d6	lchedy	E246	OUTFLOW_WITHDRAW	Abführen oder abziehen	abführen	Wird der ganze Posten abgeführt, der Rest abgeführt oder nur eine Fraktion abgezogen?	Welche Rundgefäßroutine gilt?	KEINE	KEINE	KEINE	lchedy	abführen; Schluss	Führe ab und schließe	Wähle Programm „abführen“; fülle davor KEINE.	Umsetzen/fortführen, nach Sollmaß länger ansetzen oder abführen.	Die drei Einträge könnten eine kurze Gefäßfolge sein.	5	WM23|WM25|WM29|WM33	B3-S003|B3-S008|B3-S020|B3-S023|B4-S012
