biological_record	biological_application_de	herbal_page	herbal_preparation_type	process_fit_0_5	shared_exact_card_types	shared_biological_events	shared_exact_cards	workshop_pairing_score	reason_de	direct_product_reference
B4	Transfer-, Portions- und Haltefolge an gekoppelten Stellen	f10r	WAESSRIGER_GRUNDANSATZ_MIT_OFFENEM_ABZWEIG	2	5	7	PROC008|PROC009|PROC013|PROC016|PROC019	37	ein offener Nebenansatz kann transferiert werden, bleibt aber unspezifisch	NO
B4	Transfer-, Portions- und Haltefolge an gekoppelten Stellen	f11r	AUSGEPRESSTER_UND_AUFGENOMMENER_AUSZUG	4	3	4	PROC009|PROC019|PROC031	50	aufgenommener Auszug und Davon-Portion passen zu Transfer und Halten	NO
B4	Transfer-, Portions- und Haltefolge an gekoppelten Stellen	f55v	GEMESSENER_ERWAERMTER_ANSATZ	5	6	9	PROC009|PROC016|PROC019|PROC042|PROC046|PROC047	71	gemessener warmer Ansatz passt zu Portion, Transfer und Haltegrad	NO
B4	Transfer-, Portions- und Haltefolge an gekoppelten Stellen	f56r	ZUTATENREICHER_DURCHLASS_UND_ANWENDUNGSANSATZ	3	4	5	PROC008|PROC009|PROC055|PROC065	43	Anwendungsgang passt, die starke Haltefolge ist weniger spezifisch	NO
B5	kurzer Weiterleitungs- und Messnachtrag	f10r	WAESSRIGER_GRUNDANSATZ_MIT_OFFENEM_ABZWEIG	2	2	3	PROC009|PROC013	27	Quelle und Weiterführung sind vorhanden, aber ohne besonderen Leitungsabschluss	NO
B5	kurzer Weiterleitungs- und Messnachtrag	f11r	AUSGEPRESSTER_UND_AUFGENOMMENER_AUSZUG	2	1	1	PROC009	23	Auszug kann weitergeleitet werden, der Messnachtrag bleibt unspezifisch	NO
B5	kurzer Weiterleitungs- und Messnachtrag	f55v	GEMESSENER_ERWAERMTER_ANSATZ	3	2	2	PROC009|PROC042	36	Maß passt, die Weiterleitung nur mittelbar	NO
B5	kurzer Weiterleitungs- und Messnachtrag	f56r	ZUTATENREICHER_DURCHLASS_UND_ANWENDUNGSANSATZ	5	2	2	PROC009|PROC055	56	Durchlass, Ziel und Portion passen zum kurzen Routennachtrag	NO
B6	offene Einstellung eines Postens an einer Zielstelle	f10r	WAESSRIGER_GRUNDANSATZ_MIT_OFFENEM_ABZWEIG	4	3	4	PROC009|PROC013|PROC019	50	offener abgezweigter Posten passt zur offenen Zieleinstellung	NO
B6	offene Einstellung eines Postens an einer Zielstelle	f11r	AUSGEPRESSTER_UND_AUFGENOMMENER_AUSZUG	2	2	2	PROC009|PROC019	26	ein fertiger Auszug wäre möglich, aber nicht eigens angezeigt	NO
B6	offene Einstellung eines Postens an einer Zielstelle	f55v	GEMESSENER_ERWAERMTER_ANSATZ	5	2	2	PROC009|PROC019	56	gemessener Ansatz und Zielstelle passen zur offenen Einstellung	NO
B6	offene Einstellung eines Postens an einer Zielstelle	f56r	ZUTATENREICHER_DURCHLASS_UND_ANWENDUNGSANSATZ	3	1	1	PROC009	33	Zielanwendung passt, der erwartete Durchlass erscheint nicht	NO
