copy_order	event_id	statement_id	record	page	locus	owner_code	owner_reset	teaching_mode	teaching_parts	card_no	component_parse	procedure_tokens	automaton_before	automaton_after	line_carry_in	renderer_first_choice	renderer_final_surface	renderer_action	card_roundtrip	surface_roundtrip	apprentice_spoken_reading_de	statement_first_event	program_status	master_conscious_decision_count	master_conscious_reasons	master_mode	allograph_block_id	block_rendering_mode	block_start_decision	revised_conscious_decision_count	revised_conscious_reasons	revised_master_mode
11	E011	H1-S002	H1	f10r	f10r.5	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	OK+Y	PROC011	OK+Y	ACTIVATE_CHARGE	START	WORK	NO	okchy	qokchy	COPY_LOCAL_EXEMPLAR	YES	YES	ansetzen · dies	YES	UNIQUE	2	SELECT_UNUSUAL_PROGRAM|COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB02	COPY_BLOCK_FROM_EXEMPLAR	YES	2	SELECT_UNUSUAL_PROGRAM|ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
12	E012	H1-S002	H1	f10r	f10r.5	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	OT+CH+OL	PROC012	OT+CH+OL	SOURCE_DRAW	WORK	AFTER_SOURCE	NO	qotchol	qotchol	ACCEPT_RULE	YES	YES	danach · abziehen · fortsetzen	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
13	E013	H1-S002	H1	f10r	f10r.5	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	OL	PROC013	OL	CONTINUE_USE	AFTER_SOURCE	WORK	NO	chol	chol	ACCEPT_RULE	YES	YES	fortsetzen	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
14	E014	H1-S002	H1	f10r	f10r.5	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	CTH+Y	PROC014	CTH+Y	HOLD_STATE	WORK	WORK	NO	cthy	cthy	ACCEPT_RULE	YES	YES	bereit · dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
15	E015	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	YES	TWENTY_TWO_COMPONENT_STRIPS	Y+CH+E+OR	PROC015	Y+CH+E+OR	SOURCE_DRAW	START	AFTER_SOURCE	NO	ycheor	ycheor	ACCEPT_RULE	YES	YES	dies · abziehen · kurz · Ansatz	YES	UNIQUE	2	SELECT_UNUSUAL_PROGRAM|RESET_VISIBLE_OWNER	CONSCIOUS_LOCAL_CHOICE	NONE	RENDER_BY_RULE	NO	2	SELECT_UNUSUAL_PROGRAM|RESET_VISIBLE_OWNER	CONSCIOUS_LOCAL_CHOICE
16	E016	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	CTH+Y	PROC014	CTH+Y	HOLD_STATE	AFTER_SOURCE	WORK	NO	cthy	cthy	ACCEPT_RULE	YES	YES	bereit · dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
17	E017	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	OR	PROC016	OR	ACTIVATE_CHARGE	WORK	WORK	NO	chor	chor	ACCEPT_RULE	YES	YES	Ansatz	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
18	E018	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	CTH+AIIN	PROC017	CTH+AIIN	METER_CHECK	WORK	AFTER_METER	NO	cthaiin	cthaiin	ACCEPT_RULE	YES	YES	bereit · Maß	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
19	E019	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	O+CTH+OL+Y	PROC018	O+CTH+OL+Y	CONTINUE_USE	AFTER_METER	WORK	NO	qoctholy	qoctholy	ACCEPT_RULE	YES	YES	Arbeitsgang · bereit · fortsetzen · dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
20	E020	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	Y	PROC019	Y	MOVE_PASS	WORK	WORK	NO	chy	dy	COPY_LOCAL_EXEMPLAR	YES	YES	dies	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB03	COPY_BLOCK_FROM_EXEMPLAR	YES	1	ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
21	E021	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	Y	PROC019	Y	CONTINUE_USE	WORK	WORK	NO	chy	chy	ACCEPT_RULE	YES	YES	dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	AB03	COPY_BLOCK_FROM_EXEMPLAR	NO	0	NONE	AUTOMATIC_FLOW
22	E022	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	AIIN	PROC009	AIIN	METER_CHECK	WORK	AFTER_METER	NO	daiin	taiin	COPY_LOCAL_EXEMPLAR	YES	YES	Maß	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB03	COPY_BLOCK_FROM_EXEMPLAR	NO	0	NONE	AUTOMATIC_FLOW
23	E023	H2-S001	H2	f10r	f10r.6	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	Y	PROC019	Y	TARGET_HANDOFF	AFTER_METER	WORK	NO	chey	shy	COPY_LOCAL_EXEMPLAR	YES	YES	dies	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB03	COPY_BLOCK_FROM_EXEMPLAR	NO	0	NONE	AUTOMATIC_FLOW
24	E024	H2-S002	H2	f10r	f10r.8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	OT+CH+OR	PROC020	OT+CH+OR	ACTIVATE_CHARGE	START	WORK	NO	otchor	qotchor	COPY_LOCAL_EXEMPLAR	YES	YES	danach · abziehen · Ansatz	YES	UNIQUE	2	SELECT_UNUSUAL_PROGRAM|COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB04	COPY_BLOCK_FROM_EXEMPLAR	YES	2	SELECT_UNUSUAL_PROGRAM|ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
25	E025	H2-S002	H2	f10r	f10r.8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	OR	PROC016	OR	ACTIVATE_CHARGE	WORK	WORK	NO	chor	chor	ACCEPT_RULE	YES	YES	Ansatz	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
26	E026	H2-S002	H2	f10r	f10r.8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	OT+OL	PROC021	OT+OL	CONTINUE_USE	WORK	WORK	NO	otol	otol	ACCEPT_RULE	YES	YES	danach · fortsetzen	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
27	E027	H2-S002	H2	f10r	f10r.8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	OL	PROC013	OL	CONTINUE_USE	WORK	WORK	NO	chol	chol	ACCEPT_RULE	YES	YES	fortsetzen	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
28	E028	H2-S002	H2	f10r	f10r.8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	OL+OR	PROC022	OL+OR	ACTIVATE_CHARGE	WORK	WORK	NO	olor	cholor	COPY_LOCAL_EXEMPLAR	YES	YES	fortsetzen · Ansatz	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB05	COPY_BLOCK_FROM_EXEMPLAR	YES	1	ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
29	E029	H2-S002	H2	f10r	f10r.8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	OL	PROC013	OL	CONTINUE_USE	WORK	WORK	NO	chol	chol	ACCEPT_RULE	YES	YES	fortsetzen	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
30	E030	H2-S002	H2	f10r	f10r.8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	AIIN	PROC009	AIIN	METER_CHECK	WORK	AFTER_METER	NO	daiin	daiin	ACCEPT_RULE	YES	YES	Maß	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
31	E031	H2-S002	H2	f10r	f10r.8	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	AR	PROC003	AR	SOURCE_DRAW	AFTER_METER	AFTER_SOURCE	NO	char	dar	COPY_LOCAL_EXEMPLAR	YES	YES	von dort	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB06	COPY_BLOCK_FROM_EXEMPLAR	YES	1	ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
32	E032	H2-S003	H2	f10r	f10r.9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	O+Y+K+OR	PROC023	O+Y+K+OR	ACTIVATE_CHARGE	START	WORK	NO	oykchor	oykchor	ACCEPT_RULE	YES	YES	Arbeitsgang · dies · zuführen · Ansatz	YES	UNIQUE	1	SELECT_UNUSUAL_PROGRAM	CONSCIOUS_LOCAL_CHOICE	NONE	RENDER_BY_RULE	NO	1	SELECT_UNUSUAL_PROGRAM	CONSCIOUS_LOCAL_CHOICE
33	E033	H2-S003	H2	f10r	f10r.9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	OR	PROC016	OR	ACTIVATE_CHARGE	WORK	WORK	NO	chor	shor	COPY_LOCAL_EXEMPLAR	YES	YES	Ansatz	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB07	COPY_BLOCK_FROM_EXEMPLAR	YES	1	ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
34	E034	H2-S003	H2	f10r	f10r.9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	OR	PROC016	OR	ACTIVATE_CHARGE	WORK	WORK	NO	chor	chor	ACCEPT_RULE	YES	YES	Ansatz	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
35	E035	H2-S003	H2	f10r	f10r.9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	Y	PROC019	Y	CONTINUE_USE	WORK	WORK	NO	chy	chy	ACCEPT_RULE	YES	YES	dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
36	E036	H2-S003	H2	f10r	f10r.9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	K+IIN	PROC024	K+IIN	METER_CHECK	WORK	AFTER_METER	NO	kaiiin	kaiiin	ACCEPT_RULE	YES	YES	zuführen · Sollstufe	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
37	E037	H2-S003	H2	f10r	f10r.9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	SEVENTEEN_EXACT_CARD_DECK	Y	PROC019	Y	CONTINUE_USE	AFTER_METER	WORK	NO	chy	dy	COPY_LOCAL_EXEMPLAR	YES	YES	dies	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB08	COPY_BLOCK_FROM_EXEMPLAR	YES	1	ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
38	E038	H2-S003	H2	f10r	f10r.9	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NO	TWENTY_TWO_COMPONENT_STRIPS	CH+O+AIIN	PROC025	CH+O+AIIN	SOURCE_DRAW	WORK	AFTER_SOURCE	NO	chodaiin	chodaiin	ACCEPT_RULE	YES	YES	abziehen · Arbeitsgang · Maß	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
39	E039	H3-S001	H3	f11r	f11r.1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	YES	TWENTY_TWO_COMPONENT_STRIPS	T+SH+OL	PROC026	T+SH+OL	HOLD_STATE	START	WORK	NO	tshol	tshol	ACCEPT_RULE	YES	YES	eintragen · halten · fortsetzen	YES	UNIQUE	2	SELECT_UNUSUAL_PROGRAM|RESET_VISIBLE_OWNER	CONSCIOUS_LOCAL_CHOICE	NONE	RENDER_BY_RULE	NO	2	SELECT_UNUSUAL_PROGRAM|RESET_VISIBLE_OWNER	CONSCIOUS_LOCAL_CHOICE
40	E040	H3-S001	H3	f11r	f11r.1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	TWENTY_TWO_COMPONENT_STRIPS	SH+O+AL	PROC027	SH+O+AL	TARGET_HANDOFF	WORK	WORK	NO	schoal	schoal	ACCEPT_RULE	YES	YES	halten · Arbeitsgang · Zielstelle	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
41	E041	H3-S001	H3	f11r	f11r.1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	SEVENTEEN_EXACT_CARD_DECK	PROC028	PROC028	CFHY	SOURCE_DRAW	WORK	AFTER_SOURCE	NO	cfhy	cfhy	ACCEPT_RULE	YES	YES	auswringen	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
42	E042	H3-S001	H3	f11r	f11r.1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	TWENTY_TWO_COMPONENT_STRIPS	SH+Y+AIIN	PROC029	SH+Y+AIIN	METER_CHECK	AFTER_SOURCE	AFTER_METER	NO	shfydaiin	shfydaiin	ACCEPT_RULE	YES	YES	halten · dies · Maß	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
43	E043	H3-S001	H3	f11r	f11r.1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	TWENTY_TWO_COMPONENT_STRIPS	P+Y	PROC030	P+Y	MOVE_PASS	AFTER_METER	WORK	NO	cphy	cphy	ACCEPT_RULE	YES	YES	hinein · dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
44	E044	H3-S001	H3	f11r	f11r.1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	SEVENTEEN_EXACT_CARD_DECK	PROC031	PROC031	WHOLE[cheey|shey]	HOLD_STATE	WORK	WORK	NO	cheey	shey	COPY_LOCAL_EXEMPLAR	YES	YES	Empfangsbestand	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB09	COPY_BLOCK_FROM_EXEMPLAR	YES	1	ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
45	E045	H3-S001	H3	f11r	f11r.1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	TWENTY_TWO_COMPONENT_STRIPS	T+CH+O+DY	PROC032	T+CH+O+DY	SOURCE_DRAW>CLOSE	WORK	CLOSED	NO	tchody	tchody	ACCEPT_RULE	YES	YES	eintragen · abziehen · Arbeitsgang · Schluss	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
46	E046	H3-S002	H3	f11r	f11r.1	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	TWENTY_TWO_COMPONENT_STRIPS	SH+O+Y+T+Y	PROC033	SH+O+Y+T+Y	HOLD_STATE	START	WORK	NO	shoyty	shoyty	ACCEPT_RULE	YES	YES	halten · Arbeitsgang · dies · eintragen · dies	YES	UNIQUE	1	SELECT_UNUSUAL_PROGRAM	CONSCIOUS_LOCAL_CHOICE	NONE	RENDER_BY_RULE	NO	1	SELECT_UNUSUAL_PROGRAM	CONSCIOUS_LOCAL_CHOICE
47	E047	H3-S003	H3	f11r	f11r.4	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	SEVENTEEN_EXACT_CARD_DECK	OL	PROC034	OL	CONTINUE_USE	START	WORK	NO	dchol	dchol	ACCEPT_RULE	YES	YES	fortsetzen	YES	UNIQUE	1	SELECT_UNUSUAL_PROGRAM	CONSCIOUS_LOCAL_CHOICE	NONE	RENDER_BY_RULE	NO	1	SELECT_UNUSUAL_PROGRAM	CONSCIOUS_LOCAL_CHOICE
48	E048	H3-S003	H3	f11r	f11r.4	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	SEVENTEEN_EXACT_CARD_DECK	Y	PROC019	Y	CONTINUE_USE	WORK	WORK	NO	chy	chy	ACCEPT_RULE	YES	YES	dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
49	E049	H3-S003	H3	f11r	f11r.4	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	TWENTY_TWO_COMPONENT_STRIPS	K+Y	PROC035	K+Y	ACTIVATE_CHARGE	WORK	WORK	NO	kchy	kchy	ACCEPT_RULE	YES	YES	zuführen · dies	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
50	E050	H3-S003	H3	f11r	f11r.4	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	SEVENTEEN_EXACT_CARD_DECK	Y	PROC019	Y	CONTINUE_USE	WORK	WORK	NO	chy	dy	COPY_LOCAL_EXEMPLAR	YES	YES	dies	NO	UNIQUE	1	COPY_LOCAL_ALLOGRAPH	CONSCIOUS_LOCAL_CHOICE	AB10	COPY_BLOCK_FROM_EXEMPLAR	YES	1	ENTER_ALLOGRAPH_BLOCK	CONSCIOUS_LOCAL_CHOICE
51	E051	H3-S003	H3	f11r	f11r.4	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	SEVENTEEN_EXACT_CARD_DECK	AIIN	PROC009	AIIN	METER_CHECK	WORK	AFTER_METER	NO	daiin	daiin	ACCEPT_RULE	YES	YES	Maß	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
52	E052	H3-S004	H3	f11r	f11r.7	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	TWENTY_TWO_COMPONENT_STRIPS	OT+Y	PROC036	OT+Y	ACTIVATE_CHARGE	START	WORK	NO	qotchy	qotchy	ACCEPT_RULE	YES	YES	danach · dies	YES	UNIQUE	1	SELECT_UNUSUAL_PROGRAM	CONSCIOUS_LOCAL_CHOICE	NONE	RENDER_BY_RULE	NO	1	SELECT_UNUSUAL_PROGRAM	CONSCIOUS_LOCAL_CHOICE
53	E053	H3-S004	H3	f11r	f11r.7	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NO	TWENTY_TWO_COMPONENT_STRIPS	OK+OL	PROC037	OK+OL	ACTIVATE_CHARGE	WORK	WORK	NO	okchol	okchol	ACCEPT_RULE	YES	YES	ansetzen · fortsetzen	NO	UNIQUE	0	NONE	AUTOMATIC_FLOW	NONE	RENDER_BY_RULE	NO	0	NONE	AUTOMATIC_FLOW
