block_id	record	page	locus	start_order	end_order	start_event	end_event	span_events	true_allograph_events	extra_rule_events_copied	event_ids	surfaces	master_instruction_de
AB14	H5	f56r	f56r.8	83	83	E083	E083	1	1	0	E083	schol	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB15	H5	f56r	f56r.18	95	95	E095	E095	1	1	0	E095	chokchy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB16	B1	f81v	f81v.2	102	105	E102	E105	4	3	1	E102|E103|E104|E105	okaiin kair okal sar	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB17	B1	f81v	f81v.2	109	109	E109	E109	1	1	0	E109	al	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB18	B1	f81v	f81v.7	121	121	E121	E121	1	1	0	E121	qol	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB19	B1	f81v	f81v.17	128	128	E128	E128	1	1	0	E128	shckhy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB20	B1	f81v	f81v.21	142	142	E142	E142	1	1	0	E142	qokey	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB21	B1	f81v	f81v.21	148	148	E148	E148	1	1	0	E148	qol	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB22	B1	f81v	f81v.24	153	156	E153	E156	4	4	0	E153|E154|E155|E156	okeey qol cheedy sal	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB23	B1	f81v	f81v.27	163	163	E163	E163	1	1	0	E163	tedy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB24	B1	f81v	f81v.27	166	166	E166	E166	1	1	0	E166	chal	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB25	B2	f82r	f82r.2	167	167	E167	E167	1	1	0	E167	dchedy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB26	B2	f82r	f82r.2	170	170	E170	E170	1	1	0	E170	dy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB27	B2	f82r	f82r.7	190	190	E190	E190	1	1	0	E190	sotaiin	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB28	B2	f82r	f82r.19	198	200	E198	E200	3	2	1	E198|E199|E200	okain char okain	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB29	B2	f82r	f82r.26	214	214	E214	E214	1	1	0	E214	cheal	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB30	B2	f82r	f82r.26	217	217	E217	E217	1	1	0	E217	aiin	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB31	B3	f83r	f83r.3	238	238	E238	E238	1	1	0	E238	dar	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB32	B3	f83r	f83r.6	242	242	E242	E242	1	1	0	E242	olchedy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB33	B3	f83r	f83r.11	254	254	E254	E254	1	1	0	E254	sor	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB34	B3	f83r	f83r.11	257	258	E257	E258	2	2	0	E257|E258	chkain shcthey	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB35	B3	f83r	f83r.14	264	264	E264	E264	1	1	0	E264	qokchedy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB36	B3	f83r	f83r.14	271	273	E271	E273	3	2	1	E271|E272|E273	shcthy dal sy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB37	B3	f83r	f83r.15	278	281	E278	E281	4	3	1	E278|E279|E280|E281	tal shcthy dalchdy qotchedy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB38	B3	f83r	f83r.16	283	283	E283	E283	1	1	0	E283	tchedy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB39	B3	f83r	f83r.20	291	291	E291	E291	1	1	0	E291	solkeedy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB40	B3	f83r	f83r.20	299	299	E299	E299	1	1	0	E299	saiin	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB41	B3	f83r	f83r.24	309	311	E309	E311	3	2	1	E309|E310|E311	soiiin checthy chety	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB42	B4	f83r	f83r.25	320	320	E320	E320	1	1	0	E320	otal	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB43	B4	f83r	f83r.26	324	324	E324	E324	1	1	0	E324	tol	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB44	B4	f83r	f83r.35	341	342	E341	E342	2	2	0	E341|E342	okain chdy	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB45	B4	f83r	f83r.38	348	348	E348	E348	1	1	0	E348	or	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB46	B4	f83r	f83r.39	353	353	E353	E353	1	1	0	E353	shey	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB47	B4	f83r	f83r.41	358	358	E358	E358	1	1	0	E358	qolkain	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB48	B5	f83r	f83r.48	366	366	E366	E366	1	1	0	E366	cheol	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB49	B5	f83r	f83r.48	369	369	E369	E369	1	1	0	E369	aiin	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
AB50	B6	f83r	f83r.54	377	377	E377	E377	1	1	0	E377	daiin	Am Blockanfang Exemplarstil einschalten; ganze Spanne kopieren; danach zur Regeloberfläche zurückkehren.
