group_serial	page	locus	event_index	opaque_local_id	condition_shelf	surface	selected_component_parse	portable_relative_components	relative_condition_reading_de	full_workshop_default_de	reading_status	external_celestial_or_calendar_name
34	f67r2	f67r2.14	2	A1:G034	C1	doiin	D_ADDR+O+IIN	IIN	STUFE · LOKALER_BEDINGUNGSKERN	Teiladresse + Arbeitsgang + Sollstufe	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
35	f67r2	f67r2.14	3	A1:G035	C1	oldy	OL+DY	OL+DY	WEITER · LOKAL_SCHLIESSEN	fortsetzen; Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
36	f67r2	f67r2.15	1	A1:G036	C2	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	OL+DY	WEITER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	Teiladresse + fortsetzen + abziehen + Sternbezug + Arbeitsgang + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
37	f67r2	f67r2.16	1	A1:G037	C2	odaeiin	O+D_ADDR+A_ADDR+E+IIN	E+IIN	KURZ · STUFE · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
38	f67r2	f67r2.16	2	A1:G038	C2	okoes	OK+O+E+S_LABEL	E	KURZ · LOKALER_BEDINGUNGSKERN	ansetzen + Arbeitsgang + kurz + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
39	f67r2	f67r2.16	3	A1:G039	C2	oekain	O+E+K+AIN	E+AIN	KURZ · PORTION · LOKALER_BEDINGUNGSKERN	Arbeitsgang + kurz + zufuehren + Portion	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
40	f67r2	f67r2.16	4	A1:G040	C2	y	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
41	f67r2	f67r2.17	1	A1:G041	C2	otchey	OT+Y	OT+Y	FOLGEND · DIESER_EINTRAG	nächster Posten	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
42	f67r2	f67r2.17	2	A1:G042	C2	soraiir	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
43	f67r2	f67r2.17	3	A1:G043	C2	dy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
44	f67r2	f67r2.18	1	A1:G044	C2	qopchy	O+P+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + hinein + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
45	f67r2	f67r2.18	2	A1:G045	C2	daiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
46	f67r2	f67r2.18	3	A1:G046	C2	dal	AL	AL	AN	Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
47	f67r2	f67r2.19	1	A1:G047	C2	ydchos	Y+D_ADDR+HO+S_ADDR	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + Teiladresse + Gabe + Sternbezug	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
48	f67r2	f67r2.19	2	A1:G048	C2	ain	AIN	AIN	PORTION	Portion	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
49	f67r2	f67r2.19	3	A1:G049	C2	ar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
50	f67r2	f67r2.19	4	A1:G050	C2	amy	AM_ADDR+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Gegenfeld + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
51	f67r2	f67r2.20	1	A1:G051	C2	chocfhy	HO+CFH_CLASS+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Gabe + Sternhaufen + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
52	f67r2	f67r2.20	2	A1:G052	C2	saral	AR+AL	AR+AL	VON · AN	von dort + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
53	f67r2	f67r2.21	1	A1:G053	C2	sain	S_ADDR+AIN	AIN	PORTION · LOKALER_BEDINGUNGSKERN	Sternbezug + Portion	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
54	f67r2	f67r2.21	2	A1:G054	C2	am	AM_ADDR	NONE	LOKALE_BEDINGUNGSKARTE	Gegenfeld	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
55	f67r2	f67r2.21	3	A1:G055	C2	ar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
56	f67r2	f67r2.22	1	A1:G056	C2	okal	OK+AL	AL	AN · LOKALER_BEDINGUNGSKERN	an die Stelle setzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
57	f67r2	f67r2.23	1	A1:G057	C2	oparchy	O+P+AR+Y	AR+Y	VON · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + hinein + von dort + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
58	f67r2	f67r2.23	2	A1:G058	C2	salsain	AL+S_ADDR+AIN	AL+AIN	AN · PORTION · LOKALER_BEDINGUNGSKERN	Stelle + Sternbezug + Portion	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
59	f67r2	f67r2.24	1	A1:G059	C2	sodar	S_ADDR+O+AR	AR	VON · LOKALER_BEDINGUNGSKERN	Sternbezug + Arbeitsgang + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
60	f67r2	f67r2.24	2	A1:G060	C2	ofar	O+F_ADDR+AR	AR	VON · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Aussenbezug + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
61	f67r2	f67r2.24	3	A1:G061	C2	ar	AR	AR	VON	von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
62	f67r2	f67r2.25	1	A1:G062	C2	ydam	Y+D_ADDR+AM_ADDR	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + Teiladresse + Gegenfeld	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
63	f67r2	f67r2.26	1	A1:G063	C2	yteoor	Y+T+E+O+OR	Y+E	DIESER_EINTRAG · KURZ · LOKALER_BEDINGUNGSKERN	dies + eintragen + kurz + Arbeitsgang + Ansatz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
64	f67r2	f67r2.26	2	A1:G064	C2	yto	Y+T+O	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + eintragen + Arbeitsgang	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
65	f67r2	f67r2.26	3	A1:G065	C2	ykor	Y+K+OR	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + zufuehren + Ansatz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
66	f67r2	f67r2.27	1	A1:G066	C2	okeo	OK+E+O	E	KURZ · LOKALER_BEDINGUNGSKERN	ansetzen + kurz + Arbeitsgang	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
67	f67r2	f67r2.27	2	A1:G067	C2	r	R	NONE	LOKALE_BEDINGUNGSKARTE	abkuehlen	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
68	f67r2	f67r2.27	3	A1:G068	C2	aiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
69	f67r2	f67r2.27	4	A1:G069	C2	am	AM_ADDR	NONE	LOKALE_BEDINGUNGSKARTE	Gegenfeld	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
70	f67r2	f67r2.28	1	A1:G070	C2	okain	OK+AIN	AIN	PORTION · LOKALER_BEDINGUNGSKERN	eine Portion zugeben	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
71	f67r2	f67r2.28	2	A1:G071	C2	am	AM_ADDR	NONE	LOKALE_BEDINGUNGSKARTE	Gegenfeld	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
72	f67r2	f67r2.29	1	A1:G072	C2	ytody	Y+T+O+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + eintragen + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
73	f67r2	f67r2.29	2	A1:G073	C2	saiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
74	f67r2	f67r2.30	1	A1:G074	C2	ochol	O+OL	OL	WEITER · LOKALER_BEDINGUNGSKERN	Arbeitsgang + fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
75	f67r2	f67r2.30	2	A1:G075	C2	olol	OL+OL	OL+OL	WEITER · WEITER	fortsetzen + fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
76	f67r2	f67r2.31	1	A1:G076	C2	opcholdy	O+P+OL+DY	OL+DY	WEITER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	Arbeitsgang + hinein + fortsetzen + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
77	f67r2	f67r2.32	1	A1:G077	C2	dosar	D_ADDR+O+AR	AR	VON · LOKALER_BEDINGUNGSKERN	Teiladresse + Arbeitsgang + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
78	f67r2	f67r2.32	2	A1:G078	C2	odas	O+D_ADDR+A_ADDR+S_ADDR	NONE	LOKALE_BEDINGUNGSKARTE	Arbeitsgang + Teiladresse + Nebenadresse + Sternbezug	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
79	f67r2	f67r2.32	3	A1:G079	C2	air	AIR	NONE	LOKALE_BEDINGUNGSKARTE	Lauf	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
80	f67r2	f67r2.32	4	A1:G080	C2	alaiin	AL+AIIN	AL+AIIN	AN · SOLLMASS	Stelle + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
81	f67r2	f67r2.33	1	A1:G081	C2	dokan	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
82	f67r2	f67r2.33	2	A1:G082	C2	oear	O+E+AR	E+AR	KURZ · VON · LOKALER_BEDINGUNGSKERN	Arbeitsgang + kurz + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
83	f67r2	f67r2.33	3	A1:G083	C2	odal	O+AL	AL	AN · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Stelle	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
84	f67r2	f67r2.34	1	A1:G084	C2	ofar	O+F_ADDR+AR	AR	VON · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Aussenbezug + von dort	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
85	f67r2	f67r2.34	2	A1:G085	C2	oeoldan	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
86	f67r2	f67r2.35	1	A1:G086	C2	chol	OL	OL	WEITER	fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
87	f67r2	f67r2.35	2	A1:G087	C2	giin	G_ADDR+IIN	IIN	STUFE · LOKALER_BEDINGUNGSKERN	Strahlmarke + Sollstufe	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
88	f67r2	f67r2.35	3	A1:G088	C2	okol	OK+OL	OL	WEITER · LOKALER_BEDINGUNGSKERN	ansetzen + fortsetzen	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
89	f67r2	f67r2.36	1	A1:G089	C2	ytor	Y+T+OR	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + eintragen + Ansatz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
90	f67r2	f67r2.36	2	A1:G090	C2	daiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
91	f67r2	f67r2.36	3	A1:G091	C2	or	OR	NONE	LOKALE_BEDINGUNGSKARTE	Ansatz	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
92	f67r2	f67r2.37	1	A1:G092	C2	ytoaiin	Y+T+O+AIIN	Y+AIIN	DIESER_EINTRAG · SOLLMASS · LOKALER_BEDINGUNGSKERN	dies + eintragen + Arbeitsgang + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
93	f67r2	f67r2.38	1	A1:G093	C2	otoldos	OT+OL+D_ADDR+O+S_ADDR	OT+OL	FOLGEND · WEITER · LOKALER_BEDINGUNGSKERN	danach + fortsetzen + Teiladresse + Arbeitsgang + Sternbezug	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
94	f67r2	f67r2.38	2	A1:G094	C2	octhole	O+CTH+OL+E	OL+E	WEITER · KURZ · LOKALER_BEDINGUNGSKERN	Arbeitsgang + bereit + fortsetzen + kurz	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
95	f67r2	f67r2.39	1	A1:G095	C2	sor	OR	NONE	LOKALE_BEDINGUNGSKARTE	Ansatz	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
96	f67r2	f67r2.39	2	A1:G096	C2	chedaiin	CHD+AIIN	AIIN	SOLLMASS · LOKALER_BEDINGUNGSKERN	umsetzen + Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
97	f67r2	f67r2.39	3	A1:G097	C2	dy	Y	Y	DIESER_EINTRAG	dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
98	f67r2	f67r2.40	1	A1:G098	C2	yteos	Y+T+E+O+S_LABEL	Y+E	DIESER_EINTRAG · KURZ · LOKALER_BEDINGUNGSKERN	dies + eintragen + kurz + Arbeitsgang + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
99	f67r2	f67r2.40	2	A1:G099	C2	oiin	O+IIN	IIN	STUFE · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Sollstufe	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
100	f67r2	f67r2.40	3	A1:G100	C2	og	O+G_ADDR	NONE	LOKALE_BEDINGUNGSKARTE	Arbeitsgang + Strahlmarke	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
101	f67r2	f67r2.41	1	A1:G101	C2	ytoeopchey	Y+T+O+E+O+P+Y	Y+E+Y	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + eintragen + Arbeitsgang + kurz + Arbeitsgang + hinein + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
102	f67r2	f67r2.41	2	A1:G102	C2	chekody	CH+E+K+O+DY	E+DY	KURZ · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	abziehen + kurz + zufuehren + Arbeitsgang + Schluss	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
103	f67r2	f67r2.42	1	A1:G103	C2	sosho	S_ADDR+O+HO	NONE	LOKALE_BEDINGUNGSKARTE	Sternbezug + Arbeitsgang + Gabe	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
104	f67r2	f67r2.42	2	A1:G104	C2	chos	HO+S_LABEL	NONE	LOKALE_BEDINGUNGSKARTE	Gabe + Sternetikett	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
105	f67r2	f67r2.42	3	A1:G105	C2	ockhy	O+CKH+Y	Y	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Durchlass + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
106	f67r2	f67r2.43	1	A1:G106	C2	daiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
107	f67r2	f67r2.43	2	A1:G107	C2	aiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
108	f67r2	f67r2.43	3	A1:G108	C2	os	OS	NONE	LOKALE_BEDINGUNGSKARTE	Fach	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
109	f67r2	f67r2.43	4	A1:G109	C2	qsg	S_ADDR+G_ADDR	NONE	LOKALE_BEDINGUNGSKARTE	Sternbezug + Strahlmarke	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
110	f67r2	f67r2.44	1	A1:G110	C2	ofydy	O+F_ADDR+Y+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Arbeitsgang + Aussenbezug + dies + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
111	f67r2	f67r2.44	2	A1:G111	C2	sheody	SH+E+O+Y	E+Y	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	halten + kurz + Arbeitsgang + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
112	f67r2	f67r2.44	3	A1:G112	C2	aiin	AIIN	AIIN	SOLLMASS	Mass	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
113	f67r2	f67r2.45	1	A1:G113	C2	ycheody	Y+CHEO+Y	Y+Y	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	dies + Auszug + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
114	f67r2	f67r2.45	2	A1:G114	C2	es	E+S_LABEL	E	KURZ · LOKALER_BEDINGUNGSKERN	kurz + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
115	f67r2	f67r2.45	3	A1:G115	C2	odaiiin	NONE	NONE	LOKALE_BEDINGUNGSKARTE	lokale Etikette	LEARNED_LOCAL_WHOLE_LABEL	UNNAMED
116	f67r2	f67r2.46	1	A1:G116	C2	yekees	Y+E+K+EE+S_LABEL	Y+E+EE	DIESER_EINTRAG · KURZ · LAENGER · LOKALER_BEDINGUNGSKERN	dies + kurz + zufuehren + laenger + Sternetikett	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
117	f67r2	f67r2.46	2	A1:G117	C2	oraly	OR+AL+Y	AL+Y	AN · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	Ansatz + Stelle + dies	RELATIVE_COMPONENTS_PLUS_LOCAL_CORE	UNNAMED
