condition_handle	condition_shelf	page	locus	local_image_owner	surface_sequence	relative_condition_sequence_de	group_count	portable_relative_groups	workshop_use_de	external_name_needed_for_internal_use
C1@f67r2.11	C1	f67r2	f67r2.11	A1_RIGHT_SECTOR_SLOT_11	chky chykchs chy	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG	3	3	Nenne C1@f67r2.11, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.12	C1	f67r2	f67r2.12	A1_RIGHT_SECTOR_SLOT_12	ykees ykchos	DIESER_EINTRAG · LAENGER · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	2	2	Nenne C1@f67r2.12, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.13	C1	f67r2	f67r2.13	A1_RIGHT_RING_BAND_01	opodchol s ain aldy	WEITER · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | PORTION | AN · LOKAL_SCHLIESSEN	4	3	Nenne C1@f67r2.13, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.14	C1	f67r2	f67r2.14	A1_RIGHT_RING_BAND_02	soeey doiin oldy	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | STUFE · LOKALER_BEDINGUNGSKERN | WEITER · LOKAL_SCHLIESSEN	3	3	Nenne C1@f67r2.14, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.15	C2	f67r2	f67r2.15	A1_LEFT_LOCAL_FIELD_15	dolchsody	WEITER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.15, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.16	C2	f67r2	f67r2.16	A1_LEFT_LOCAL_FIELD_16	odaeiin okoes oekain y	KURZ · STUFE · LOKALER_BEDINGUNGSKERN | KURZ · LOKALER_BEDINGUNGSKERN | KURZ · PORTION · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG	4	4	Nenne C2@f67r2.16, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.17	C2	f67r2	f67r2.17	A1_LEFT_LOCAL_FIELD_17	otchey soraiir dy	FOLGEND · DIESER_EINTRAG | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG	3	2	Nenne C2@f67r2.17, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.18	C2	f67r2	f67r2.18	A1_LEFT_LOCAL_FIELD_18	qopchy daiin dal	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | SOLLMASS | AN	3	3	Nenne C2@f67r2.18, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.19	C2	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	ydchos ain ar amy	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | PORTION | VON | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	4	4	Nenne C2@f67r2.19, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.20	C2	f67r2	f67r2.20	A1_LEFT_LOCAL_FIELD_20	chocfhy saral	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | VON · AN	2	2	Nenne C2@f67r2.20, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.21	C2	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	sain am ar	PORTION · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | VON	3	2	Nenne C2@f67r2.21, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.22	C2	f67r2	f67r2.22	A1_LEFT_LOCAL_FIELD_22	okal	AN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.22, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.23	C2	f67r2	f67r2.23	A1_LEFT_LOCAL_FIELD_23	oparchy salsain	VON · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | AN · PORTION · LOKALER_BEDINGUNGSKERN	2	2	Nenne C2@f67r2.23, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.24	C2	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	sodar ofar ar	VON · LOKALER_BEDINGUNGSKERN | VON · LOKALER_BEDINGUNGSKERN | VON	3	3	Nenne C2@f67r2.24, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.25	C2	f67r2	f67r2.25	A1_LEFT_LOCAL_FIELD_25	ydam	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.25, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.26	C2	f67r2	f67r2.26	A1_LEFT_LOCAL_FIELD_26	yteoor yto ykor	DIESER_EINTRAG · KURZ · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	3	3	Nenne C2@f67r2.26, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.27	C2	f67r2	f67r2.27	A1_LEFT_LOCAL_FIELD_27	okeo r aiin am	KURZ · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | SOLLMASS | LOKALE_BEDINGUNGSKARTE	4	2	Nenne C2@f67r2.27, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.28	C2	f67r2	f67r2.28	A1_LEFT_LOCAL_FIELD_28	okain am	PORTION · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE	2	1	Nenne C2@f67r2.28, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.29	C2	f67r2	f67r2.29	A1_LEFT_LOCAL_FIELD_29	ytody saiin	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | SOLLMASS	2	2	Nenne C2@f67r2.29, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.30	C2	f67r2	f67r2.30	A1_LEFT_LOCAL_FIELD_30	ochol olol	WEITER · LOKALER_BEDINGUNGSKERN | WEITER · WEITER	2	2	Nenne C2@f67r2.30, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.31	C2	f67r2	f67r2.31	A1_LEFT_LOCAL_FIELD_31	opcholdy	WEITER · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.31, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.32	C2	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	dosar odas air alaiin	VON · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE | LOKALE_BEDINGUNGSKARTE | AN · SOLLMASS	4	2	Nenne C2@f67r2.32, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.33	C2	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	dokan oear odal	LOKALE_BEDINGUNGSKARTE | KURZ · VON · LOKALER_BEDINGUNGSKERN | AN · LOKALER_BEDINGUNGSKERN	3	2	Nenne C2@f67r2.33, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.34	C2	f67r2	f67r2.34	A1_LEFT_LOCAL_FIELD_34	ofar oeoldan	VON · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE	2	1	Nenne C2@f67r2.34, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.35	C2	f67r2	f67r2.35	A1_LEFT_LOCAL_FIELD_35	chol giin okol	WEITER | STUFE · LOKALER_BEDINGUNGSKERN | WEITER · LOKALER_BEDINGUNGSKERN	3	3	Nenne C2@f67r2.35, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.36	C2	f67r2	f67r2.36	A1_LEFT_LOCAL_FIELD_36	ytor daiin or	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | SOLLMASS | LOKALE_BEDINGUNGSKARTE	3	2	Nenne C2@f67r2.36, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.37	C2	f67r2	f67r2.37	A1_LEFT_LOCAL_FIELD_37	ytoaiin	DIESER_EINTRAG · SOLLMASS · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.37, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.38	C2	f67r2	f67r2.38	A1_LEFT_LOCAL_FIELD_38	otoldos octhole	FOLGEND · WEITER · LOKALER_BEDINGUNGSKERN | WEITER · KURZ · LOKALER_BEDINGUNGSKERN	2	2	Nenne C2@f67r2.38, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.39	C2	f67r2	f67r2.39	A1_LEFT_LOCAL_FIELD_39	sor chedaiin dy	LOKALE_BEDINGUNGSKARTE | SOLLMASS · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG	3	2	Nenne C2@f67r2.39, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.40	C2	f67r2	f67r2.40	A1_LEFT_LOCAL_FIELD_40	yteos oiin og	DIESER_EINTRAG · KURZ · LOKALER_BEDINGUNGSKERN | STUFE · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE	3	2	Nenne C2@f67r2.40, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.41	C2	f67r2	f67r2.41	A1_LEFT_LOCAL_FIELD_41	ytoeopchey chekody	DIESER_EINTRAG · KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | KURZ · LOKAL_SCHLIESSEN · LOKALER_BEDINGUNGSKERN	2	2	Nenne C2@f67r2.41, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.42	C2	f67r2	f67r2.42	A1_LEFT_LOCAL_FIELD_42	sosho chos ockhy	LOKALE_BEDINGUNGSKARTE | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	3	1	Nenne C2@f67r2.42, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.43	C2	f67r2	f67r2.43	A1_LEFT_LOCAL_FIELD_43	daiin aiin os qsg	SOLLMASS | SOLLMASS | LOKALE_BEDINGUNGSKARTE | LOKALE_BEDINGUNGSKARTE	4	2	Nenne C2@f67r2.43, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.44	C2	f67r2	f67r2.44	A1_LEFT_LOCAL_FIELD_44	ofydy sheody aiin	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | SOLLMASS	3	3	Nenne C2@f67r2.44, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.45	C2	f67r2	f67r2.45	A1_LEFT_LOCAL_FIELD_45	ycheody es odaiiin	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | KURZ · LOKALER_BEDINGUNGSKERN | LOKALE_BEDINGUNGSKARTE	3	2	Nenne C2@f67r2.45, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.46	C2	f67r2	f67r2.46	A1_LEFT_LOCAL_FIELD_46	yekees oraly	DIESER_EINTRAG · KURZ · LAENGER · LOKALER_BEDINGUNGSKERN | AN · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	2	2	Nenne C2@f67r2.46, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.47	C2	f67r2	f67r2.47	A1_LEFT_LOCAL_FIELD_47	yfain	DIESER_EINTRAG · PORTION · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.47, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.48	C2	f67r2	f67r2.48	A1_LEFT_LOCAL_FIELD_48	todaiin dain dy	SOLLMASS · LOKALER_BEDINGUNGSKERN | PORTION | DIESER_EINTRAG	3	3	Nenne C2@f67r2.48, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.49	C2	f67r2	f67r2.49	A1_LEFT_LOCAL_FIELD_49	os choer aiin	LOKALE_BEDINGUNGSKARTE | KURZ · LOKALER_BEDINGUNGSKERN | SOLLMASS	3	2	Nenne C2@f67r2.49, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.50	C2	f67r2	f67r2.50	A1_LEFT_LOCAL_FIELD_50	choeea sal	LAENGER · LOKALER_BEDINGUNGSKERN | AN	2	2	Nenne C2@f67r2.50, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.51	C2	f67r2	f67r2.51	A1_LEFT_LOCAL_FIELD_51	dadaiin	SOLLMASS · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.51, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.52	C2	f67r2	f67r2.52	A1_LEFT_OUTER_STAR_STATION_01	qotoear	FOLGEND · KURZ · VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.52, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.53	C2	f67r2	f67r2.53	A1_LEFT_OUTER_STAR_STATION_02	dchdar	VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.53, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.54	C2	f67r2	f67r2.54	A1_LEFT_OUTER_STAR_STATION_03	y saldal	DIESER_EINTRAG | AN · AN	2	2	Nenne C2@f67r2.54, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.55	C2	f67r2	f67r2.55	A1_LEFT_OUTER_STAR_STATION_04	ytodal	DIESER_EINTRAG · AN · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.55, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.56	C2	f67r2	f67r2.56	A1_LEFT_OUTER_STAR_STATION_05	tol daiin	WEITER | SOLLMASS	2	2	Nenne C2@f67r2.56, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.57	C2	f67r2	f67r2.57	A1_LEFT_OUTER_STAR_STATION_06	otar dy	FOLGEND · VON | DIESER_EINTRAG	2	2	Nenne C2@f67r2.57, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.58	C2	f67r2	f67r2.58	A1_LEFT_OUTER_STAR_STATION_07	cho dal g	LOKALE_BEDINGUNGSKARTE | AN | LOKALE_BEDINGUNGSKARTE	3	1	Nenne C2@f67r2.58, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.59	C2	f67r2	f67r2.59	A1_LEFT_OUTER_STAR_STATION_08	ytchodly	DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.59, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.60	C2	f67r2	f67r2.60	A1_LEFT_OUTER_STAR_STATION_09	octhys	DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.60, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.61	C2	f67r2	f67r2.61	A1_LEFT_OUTER_STAR_STATION_10	ytokar	DIESER_EINTRAG · VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.61, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.62	C2	f67r2	f67r2.62	A1_LEFT_OUTER_STAR_STATION_11	otolor	FOLGEND · WEITER · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.62, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.63	C2	f67r2	f67r2.63	A1_LEFT_OUTER_STAR_STATION_12	okodar	VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C2@f67r2.63, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.64	C1	f67r2	f67r2.64	A1_RIGHT_PHASE_STATION_01	s air	LOKALE_BEDINGUNGSKARTE | LOKALE_BEDINGUNGSKARTE	2	0	Nenne C1@f67r2.64, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.65	C1	f67r2	f67r2.65	A1_RIGHT_PHASE_STATION_02	soear	KURZ · VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C1@f67r2.65, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.66	C1	f67r2	f67r2.66	A1_RIGHT_PHASE_STATION_03	cpheey	LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	1	1	Nenne C1@f67r2.66, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.67	C1	f67r2	f67r2.67	A1_RIGHT_PHASE_STATION_04	okodar	VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C1@f67r2.67, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.68	C1	f67r2	f67r2.68	A1_RIGHT_PHASE_STATION_05	oepchod	KURZ · LOKALER_BEDINGUNGSKERN	1	1	Nenne C1@f67r2.68, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.69	C1	f67r2	f67r2.69	A1_RIGHT_PHASE_STATION_06	s ay	LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	2	1	Nenne C1@f67r2.69, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.70	C1	f67r2	f67r2.70	A1_RIGHT_PHASE_STATION_07	osar	VON · LOKALER_BEDINGUNGSKERN	1	1	Nenne C1@f67r2.70, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.71	C1	f67r2	f67r2.71	A1_RIGHT_PHASE_STATION_08	oran	LOKALE_BEDINGUNGSKARTE	1	0	Nenne C1@f67r2.71, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C2@f67r2.72	C2	f67r2	f67r2.72	A1_LEFT_OUTER_RING_TEXT	dar aldaiin ydaiin qkoy ydaiin qofair ypair ykoaiin ydoly ytalchos oly okey	VON | AN · SOLLMASS | DIESER_EINTRAG · SOLLMASS | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · SOLLMASS | LOKALE_BEDINGUNGSKARTE | DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · SOLLMASS · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · WEITER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · AN · LOKALER_BEDINGUNGSKERN | WEITER · DIESER_EINTRAG | KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN	12	11	Nenne C2@f67r2.72, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
C1@f67r2.73	C1	f67r2	f67r2.73	A1_RIGHT_OUTER_RING_TEXT	sshey sy shees qeykeey ykchey ykchey qokeochy oaiin okol ar olar	KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG | LAENGER · LOKALER_BEDINGUNGSKERN | KURZ · DIESER_EINTRAG · LAENGER · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | DIESER_EINTRAG · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | KURZ · DIESER_EINTRAG · LOKALER_BEDINGUNGSKERN | SOLLMASS · LOKALER_BEDINGUNGSKERN | WEITER · LOKALER_BEDINGUNGSKERN | VON | WEITER · VON	11	11	Nenne C1@f67r2.73, zeige den Bildort und lies seine relativen Bedienwerte; den shelflokalen Namenskern lernt der Schreiber als Ganzkarte.	NO
