master_card_id	master_form	registered_surfaces	semantic_atoms	current_short_default_de	current_layer	event_count	records
MC075	ycheor	ycheor	Y+CHEO+OR	Posten+Auszug+Ansatz	UNCHANGED_LEARNED_SECTION_CARD	1	H2
MC076	dsheol	dsheol	SH+E+OL	halten+kurz+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC077	kchal	kchal	KCH+AL	bearbeiten+Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC078	olsaly	olsaly	AL+Y	Ziel+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC079	daldy	daldy	AL+CLOSE	Ziel+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC080	chor	chor|or|shor|sor	OR	Arbeitsansatz	REVISED_SHARED_17	7	B3|B4|H2|H4
MC081	okair	okair	OK+AIR	ansetzen+Lauf	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC082	qokeedy	qokeedy	OK+EE+CLOSE	länger einwirken; schließen	REVISED_EXTENSION_CORE_24	10	B2|B3|B4
MC083	qokedy	qokedy	OK+E+CLOSE	kurz einwirken; schließen	REVISED_EXTENSION_CORE_24	8	B1|B3|B4
MC084	rshedy	rshedy	WASH+CLOSE	waschen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC085	cheoar	cheoar	CHEO+AR	Auszug+Quelle	UNCHANGED_LEARNED_SECTION_CARD	1	H4
MC086	chety	chety|chty	PARTITION+TY	einen Teil abtrennen	REVISED_SHARED_17	2	B3|H1
MC087	chodaiin	chodaiin	HO+AIIN	Zutat+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD	1	H2
MC088	qokchdy	qokchdy	OK+CHD+CLOSE	einsetzen, übertragen; schließen	REVISED_EXTENSION_CORE_24	3	B1|B3|B5
MC089	skar	skar	SK+AR	ausgießen+Quelle	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC090	kchol	kchol	KCH+OL	bearbeiten+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC091	dairydy	dairydy	AIR+Y+CLOSE	Lauf+Posten+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC092	lol	lol	L+OL	abführen+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	B5
MC093	otal	otal|qotal	OT+AL	danach dorthin	REVISED_EXTENSION_CORE_24	3	B3|B4
MC094	cheeety	cheeety	EEE+TY	vollständig+Teil	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC095	sheey	sheey	SH+EE+Y	halten+länger+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC096	qokeedal	qokeedal	OK+EE+AL	ansetzen+länger+Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC097	olkain	olkain|qolkain	OL+AIN	weiter+Anteil	UNCHANGED_LEARNED_SECTION_CARD	2	B1|B4
MC098	tshol	tshol	HO+L	Zutat+abführen	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC099	cheeckhody	cheeckhody	EE+CKH+HO+CLOSE	länger+Durchlass+Zutat+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC100	ody	ody	ODY	kühlen	UNCHANGED_LEARNED_SECTION_CARD	1	H4
MC101	ldalor	ldalor	AL	Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	B6
MC102	rsheal	rsheal	SH+E+AL	halten+kurz+Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC103	chokchy	chokchy|okchy|qokchy	OK+Y	diesen Posten weiterbearbeiten	REVISED_EXTENSION_CORE_24	3	H1|H5
MC104	keol	keol	E+OL	kurz+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC105	chkain	chkain|kain	AIN	einen Anteil	REVISED_EXTENSION_CORE_24	3	B1|B3|B4
MC106	teol	teol	E+OL	kurz+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC107	qotchy	qotchy	OT+Y	danach+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC108	etyd	etyd	E+TY	kurz+Teil	UNCHANGED_LEARNED_SECTION_CARD	1	H1
MC109	ytey	ytey	Y+E+TY	Posten+kurz+Teil	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC110	chkeedy	chkeedy	CHK+EE+CLOSE	wärmen+länger+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC111	shfydaiin	shfydaiin	SH+AIIN	halten+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC112	octheol	octheol	CTH+OL	bereit+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC113	shedal	shedal	SHED+AL	absetzen+Ziel	UNCHANGED_LEARNED_SECTION_CARD	2	B3|B5
MC114	sh	sh	SH	halten	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC115	qoctholy	qoctholy	CTH+OL+Y	bereit+weiter+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H2
MC116	schedair	schedair	AIR	Lauf	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC117	kchy	kchy	KCH+Y	bearbeiten+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC118	ly	ly	L+Y	abführen+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC119	cheey	cheey|shey	CHEEY	Klarlauf	REVISED_SHARED_17	4	B2|B4|H3
MC120	okaiin	okaiin|qokaiin	OK+AIIN	auf Sollmaß stellen	REVISED_SHARED_17	9	B1|B2|B3|H4
MC121	otar	otar	OT+AR	danach+Quelle	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC122	kchey	kchey	KCH+E+Y	bearbeiten+kurz+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC123	chey	chey|chy|dy|shy|sy|y	Y	dieser Posten	REVISED_SHARED_17	18	B1|B2|B3|B4|B6|H2|H3|H4
MC124	lkedy	lkedy	L+E+CLOSE	abführen+kurz+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC125	chochor	chochor	HO+OR	Zutat+Ansatz	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC126	pchedal	pchedal	P+CHD+AL	zuführen+umsetzen+Ziel	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC127	lched	lched	L+CHD	abführen+umsetzen	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC128	cheedy	cheedy|shedy|tedy	SHED+E+CLOSE	kurz absetzen; schließen	REVISED_EXTENSION_CORE_24	12	B1|B2|B3|B4
MC129	cfhy	cfhy	CFH+Y	auswringen+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC130	lsho	lsho	WASH	waschen	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC131	choy	choy	HO+Y	Zutat+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC132	sheckhy	sheckhy	CKH+E+Y	Durchlass+kurz+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC133	lcheckhedy	lcheckhedy	L+CKHE+CLOSE	abführen+trennen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC134	qolky	qolky	OL	weiter	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC135	otedy	otedy	OT+E+CLOSE	danach+kurz+Schluss	UNCHANGED_LEARNED_SECTION_CARD	2	B3
MC136	kchoar	kchoar	CHEO+AR	Auszug+Quelle	UNCHANGED_LEARNED_SECTION_CARD	1	H5
MC137	shecthy	shecthy	CTH+E+Y	bereit+kurz+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC138	dshedy	dshedy	SHED+E+CLOSE	absetzen+kurz+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC139	dchdy	dchdy	CHD+CLOSE	umsetzen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B1
MC140	qokeeedy	qokeeedy	OK+EEE+CLOSE	ansetzen+vollständig+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC141	tshey	tshey	CHEEY	Ergebnis	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC142	dchol	dchol|schol	DCHOL	vom vorigen Posten	REVISED_EXTENSION_CORE_24	2	H3|H5
MC143	shckhedy	shckhedy	CKHE+CLOSE	seihen; schließen	REVISED_EXTENSION_CORE_24	3	B1|B4
MC144	chldaiin	chldaiin	SHED+AIIN	absetzen+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC145	chedain	chedain	CHD+AIN	umsetzen+Anteil	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC146	chealror	chealror	AL+OR	Ziel+Ansatz	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC147	cheky	cheky	CHK+E+Y	kurz wärmen	REVISED_EXTENSION_CORE_24	3	B1|B4
MC148	ykan	ykan	Y+AIN	Posten+Anteil	UNCHANGED_LEARNED_SECTION_CARD	1	H4
MC149	solshedy	solshedy	OL+SHED+CLOSE	weiter+absetzen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC150	okeeol	okeeol	OK+EE+OL	ansetzen+länger+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC151	qokshedy	qokshedy	OK+SHED+CLOSE	ansetzen+absetzen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B3
MC152	ches	ches	PARTITION	teilen	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC153	cheol	cheol|chol|ol|qol|sol|tol	OL	weiter	REVISED_SHARED_17	19	B1|B3|B4|B5|B6|H1|H2
MC154	al	al|chal|cheal|dal|sal|tal	AL	dorthin	REVISED_SHARED_17	10	B1|B2|B3|B4|B5|H5
MC155	lchedy	lchedy	L+CHD+CLOSE	abführen; schließen	REVISED_EXTENSION_CORE_24	8	B2|B3|B4
MC156	cphy	cphy	CPH+Y	nachseihen+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	H3
MC157	cholor	cholor|olor	OL+OR	damit weiter	REVISED_SHARED_17	2	B1|H2
MC158	cthoor	cthoor	CTH+OR	bereit+Ansatz	UNCHANGED_LEARNED_SECTION_CARD	1	H1
MC159	os	os	OS	Gefäß	UNCHANGED_LEARNED_SECTION_CARD	1	H1
MC160	talam	talam	AL+AM	Ziel+verwahren	UNCHANGED_LEARNED_SECTION_CARD	1	H4
MC161	checthy	checthy|cthy|shcthy	CTH+Y	diesen Posten bereitstellen	REVISED_SHARED_17	7	B3|H1|H2|H3
MC162	qolchey	qolchey	OL+Y	weiter+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC163	qotchol	qotchol	OT+OL	danach+weiter	UNCHANGED_LEARNED_SECTION_CARD	1	H1
MC164	qokylddy	qokylddy	OK+Y+LDDY	ansetzen+Posten+festbinden	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC165	qockhey	qockhey	OK+CKH+E+Y	ansetzen+Durchlass+kurz+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B4
MC166	chkeey	chkeey	CHK+EE+Y	wärmen+länger+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC167	lochedy	lochedy	L+CHD+CLOSE	abführen+umsetzen+Schluss	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC168	lcheckhy	lcheckhy	L+CKH+Y	abführen+Durchlass+Posten	UNCHANGED_LEARNED_SECTION_CARD	1	B2
MC169	cthaiin	cthaiin	CTH+AIIN	bereit+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD	1	H2
MC170	ykaiin	ykaiin	Y+AIIN	Posten+Sollmaß	UNCHANGED_LEARNED_SECTION_CARD	1	H4
MC171	otchey	otchey	OT+Y	der nächste Posten	REVISED_SHARED_17	2	B4|H5
MC172	daiiin	daiiin	IIN	Stufe	UNCHANGED_LEARNED_SECTION_CARD	1	B5
MC173	qoteedy	qoteedy	OT+EE+CLOSE	danach+länger+Schluss	UNCHANGED_LEARNED_SECTION_CARD	2	B2|B3
