slot_cell_id	root	portable_default_de	structural_category	register	owner_local_expansion_de	mention_count	event_count	page_count	owner_class_count	owner_count	sample_pages	source_atlas	observed_old_slot_cell
G492-SC11	AL	ZIELORT	BEZIEHUNG	SOURCE_SECTION_T	ZIELSPALTE	7	7	1	1	3	f1r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC12	AL	ZIELORT	BEZIEHUNG	HERBAL	ZIELSTELLE	50	50	9	4	9	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f95v	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC13	AL	ZIELORT	BEZIEHUNG	BIOLOGICAL	ZIELSTATION	178	177	7	3	20	f75r|f76r|f77r|f81r|f81v|f82r|f83r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC14	AL	ZIELORT	BEZIEHUNG	CELESTIAL	ZIELPOSITION	72	71	4	4	14	f67r2|f68r1|f71v|f72r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC15	AL	ZIELORT	BEZIEHUNG	PHARMA	ZIELGEFÄSS	45	43	3	2	9	f88r|f88v|f89r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC16	Y	POSTEN	ARGUMENT	SOURCE_SECTION_T	LAUFENDER EINTRAG	74	70	1	1	4	f1r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC17	Y	POSTEN	ARGUMENT	HERBAL	PFLANZENPOSTEN	333	307	9	4	9	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f95v	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC18	Y	POSTEN	ARGUMENT	BIOLOGICAL	STATIONSPOSTEN	817	804	7	3	20	f75r|f76r|f77r|f81r|f81v|f82r|f83r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC19	Y	POSTEN	ARGUMENT	CELESTIAL	POSITIONSPOSTEN	182	168	4	4	15	f67r2|f68r1|f71v|f72r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC20	Y	POSTEN	ARGUMENT	PHARMA	DROGENPOSTEN	205	196	3	2	9	f88r|f88v|f89r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC21	CH	NEHMEN	HANDLUNG	SOURCE_SECTION_T	ENTNEHMEN	58	57	1	1	4	f1r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC22	CH	NEHMEN	HANDLUNG	HERBAL	PFLANZENTEIL NEHMEN	235	215	9	4	9	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f95v	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC23	CH	NEHMEN	HANDLUNG	BIOLOGICAL	POSTEN ENTNEHMEN	290	255	7	3	20	f75r|f76r|f77r|f81r|f81v|f82r|f83r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC24	CH	NEHMEN	HANDLUNG	CELESTIAL	POSITION AUFNEHMEN	100	92	4	4	15	f67r2|f68r1|f71v|f72r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC25	CH	NEHMEN	HANDLUNG	PHARMA	DROGENPOSTEN NEHMEN	160	151	3	2	9	f88r|f88v|f89r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC26	E	GRAD I	GRADE	SOURCE_SECTION_T	GRAD I	32	32	1	1	4	f1r	GDT413_COMPONENT_PLUS_GDT416_OBSERVED_CARRIERS	YES
G492-SC27	E	GRAD I	GRADE	HERBAL	GRAD I	81	75	9	4	9	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f95v	GDT413_COMPONENT_PLUS_GDT416_OBSERVED_CARRIERS	YES
G492-SC28	E	GRAD I	GRADE	BIOLOGICAL	GRAD I	566	548	7	3	20	f75r|f76r|f77r|f81r|f81v|f82r|f83r	GDT413_COMPONENT_PLUS_GDT416_OBSERVED_CARRIERS	YES
G492-SC29	E	GRAD I	GRADE	CELESTIAL	GRAD I	127	121	4	4	14	f67r2|f68r1|f71v|f72r	GDT413_COMPONENT_PLUS_GDT416_OBSERVED_CARRIERS	YES
G492-SC30	E	GRAD I	GRADE	PHARMA	GRAD I	193	189	3	2	9	f88r|f88v|f89r	GDT413_COMPONENT_PLUS_GDT416_OBSERVED_CARRIERS	YES
G492-SC31	OR	EINHEIT	ARGUMENT	SOURCE_SECTION_T	EINTRAGSEINHEIT	11	11	1	1	4	f1r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC32	OR	EINHEIT	ARGUMENT	HERBAL	ARBEITSEINHEIT	97	95	9	4	9	f10r|f11r|f13r|f17r|f18r|f24v|f55v|f56r|f95v	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC33	OR	EINHEIT	ARGUMENT	BIOLOGICAL	STATIONSEINHEIT	80	79	7	3	16	f75r|f76r|f77r|f81r|f81v|f82r|f83r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC34	OR	EINHEIT	ARGUMENT	CELESTIAL	POSITIONSEINHEIT	30	30	4	4	11	f67r2|f68r1|f71v|f72r	GDT415_REGISTER_EXPANSION_ATLAS	YES
G492-SC35	OR	EINHEIT	ARGUMENT	PHARMA	ANSATZEINHEIT	48	47	3	2	7	f88r|f88v|f89r	GDT415_REGISTER_EXPANSION_ATLAS	YES
