surface	component_recipe	events	physical_pages	channel_class	reading_route	compact_default_de
chy	Y	15	f10r|f11r|f56r|f67r2|f69v|f70v|f75r|f81v|f88r	BICHANNEL	LEARNED_WHOLE_CARD	DIESER POSTEN
otar	OT+AR	15	f10r|f55v|f67r2|f70v|f75r|f81v	BICHANNEL	LEARNED_WHOLE_CARD	DANACH AUS DER QUELLE
cheol	CHEO+L	13	f81v|f82r|f83r|f88r	PROSE_ONLY	LEARNED_WHOLE_CARD	DEN AUSZUG WEITERFUEHREN
okar	OK+AR	13	f55v|f56r|f67r2|f69v|f75r|f81v	BICHANNEL	LEARNED_WHOLE_CARD	AUS DER QUELLE ANSETZEN
oldy	OL+DY	12	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	PROSE_ONLY	LEARNED_WHOLE_CARD	DAMIT FORTFAHREN; ENDE
sol	OL	12	f75r|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	DAMIT WEITER
sar	S+AR	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	QUELLE WAEHLEN
al	AL	10	f55v|f70v|f75r|f81v|f83r	BICHANNEL	LEARNED_WHOLE_CARD	ZUR ZIELSTELLE
am	AM_ADDR	10	f10r|f55v|f67r2|f70v|f75r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	AN DER INNENSTELLE
chckhy	CKH+Y	10	f13r|f55v|f75r|f81v|f82r	PROSE_ONLY	LEARNED_WHOLE_CARD	DURCH DEN DURCHLASS FUEHREN
qoty	OT+Y	10	f10r|f11r|f13r|f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	DANACH DIESER POSTEN
r	R	10	f56r|f67r2|f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	ZUSTAND MARKIEREN
chor	CH+OR	9	f10r|f13r|f56r|f88r	PROSE_ONLY	LEARNED_WHOLE_CARD	VOM ANSATZ ENTNEHMEN
okal	OK+AL	9	f55v|f67r2|f75r|f81v|f82r	BICHANNEL	LEARNED_WHOLE_CARD	AN DER ZIELSTELLE ANSETZEN
oky	OK+Y	9	f10r|f55v|f68r1|f70v|f81v|f82r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	DIESEN POSTEN ANSETZEN
qokey	OK+E+Y	9	f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	KURZ ANSETZEN
saiin	S+AIIN	9	f67r2|f70v|f75r|f81v|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	SOLLWERT WAEHLEN
sain	S+AIN	9	f67r2|f75r|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	EINHEIT WAEHLEN
chdy	CHD+Y	8	f56r|f69v|f75r|f81v|f82r|f83r	BICHANNEL	LEARNED_WHOLE_CARD	DIESEN POSTEN UMSETZEN
o	O	8	f10r|f56r|f69v|f70v|f75r|f83r	BICHANNEL	LEARNED_WHOLE_CARD	ARBEITSGANG AUSFUEHREN
okaiin	OK+AIIN	8	f55v|f56r|f75r|f81v|f88r	PROSE_ONLY	LEARNED_WHOLE_CARD	NACH SOLLMASS ANSETZEN
okeey	OK+EE+Y	8	f68r1|f69v|f75r|f81v	BICHANNEL	LEARNED_WHOLE_CARD	LAENGER ANSETZEN
otedy	OT+E+DY	8	f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	NAECHSTEN SCHRITT KURZ; ENDE
qokar	OK+AR	8	f75r|f81v|f82r	PROSE_ONLY	LEARNED_WHOLE_CARD	AUS DER QUELLE ANSETZEN
qoteedy	OT+EE+DY	8	f75r|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	NAECHSTEN SCHRITT LAENGER; ENDE
shy	Y	8	f10r|f13r|f56r|f75r|f83r|f88r	PROSE_ONLY	LEARNED_WHOLE_CARD	DIESER POSTEN
cthy	CTH+Y	7	f10r|f11r|f56r	PROSE_ONLY	LEARNED_WHOLE_CARD	BIS BEREIT FUEHREN
d	D_ADDR	7	f11r|f13r|f56r|f69v|f82r	BICHANNEL	LEARNED_WHOLE_CARD	DER BEZEICHNETE TEIL
okedy	OK+E+DY	7	f69v|f75r|f81v|f83r	BICHANNEL	LEARNED_WHOLE_CARD	KURZ ANSETZEN; ENDE
okeedy	OK+EE+DY	7	f55v|f75r|f81v|f83r	BICHANNEL	LEARNED_WHOLE_CARD	LAENGER ANSETZEN; ENDE
oteey	OT+EE+Y	7	f69v|f70v|f82r	BICHANNEL	LEARNED_WHOLE_CARD	NAECHSTEN POSTEN LAENGER HALTEN
otor	OT+OR	7	f10r|f68r1|f70v|f83r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	DER NAECHSTE ANSATZ
sal	S+AL	7	f67r2|f70v|f75r|f81v|f82r	BICHANNEL	LEARNED_WHOLE_CARD	ZIELSTELLE WAEHLEN
sheedy	SH+EE+DY	7	f75r|f81v|f82r|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	LAENGER HALTEN; ENDE
shol	SH+OL	7	f13r|f56r|f70v|f81v|f83r	BICHANNEL	LEARNED_WHOLE_CARD	WEITER HALTEN
cheky	CHK+E+Y	6	f55v|f75r|f81v|f83r	PROSE_ONLY	LEARNED_WHOLE_CARD	KURZ BEHANDELN
cheor	CHEO+R	6	f68r1|f69v|f82r|f88r	BICHANNEL	LEARNED_WHOLE_CARD	AUSZUG MARKIEREN
cho	HO	6	f55v|f56r|f67r2|f69v|f70v	BICHANNEL	LEARNED_WHOLE_CARD	SICHTBARER TEIL
dair	D_ADDR+AIR	6	f10r|f11r|f69v|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneter Teil; Flüssigkeits- oder Stationslauf
dshedy	SH+E+DY	6	f75r|f81v|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen
l	L	6	f75r|f81v|f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen
lshedy	LSH+E+DY	6	f75r|f81v|f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	spülen; kurz oder direkt; Arbeitsschritt schließen
ody	O+DY	6	f10r|f55v|f69v|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ausführen; Arbeitsschritt schließen
okain	OK+AIN	6	f67r2|f81v|f82r|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Portion
okey	OK+E+Y	6	f67r2|f69v|f70v|f75r|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; kurz oder direkt; dieser Arbeitsgegenstand
oly	OL+Y	6	f67r2|f70v|f75r|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand
otal	OT+AL	6	f70v|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Ziel- oder Anschlussstelle
oty	OT+Y	6	f56r|f69v|f70v|f75r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; dieser Arbeitsgegenstand
qokol	OK+OL	6	f83r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren
sheey	SH+EE+Y	6	f69v|f81v|f82r|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; länger oder gehalten; dieser Arbeitsgegenstand
ain	AIN	5	f55v|f67r2|f75r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Portion
air	AIR	5	f67r2|f69v|f70v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Flüssigkeits- oder Stationslauf
chcthy	CH+CTH+Y	5	f10r|f70v|f75r|f81v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; bis bereit führen; dieser Arbeitsgegenstand
cheody	CHEO+Y	5	f55v|f69v|f70v|f88r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Auszug; dieser Arbeitsgegenstand
dor	D_ADDR+OR	5	f11r|f13r|f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneter Teil; Ansatz oder Zubereitung
keedy	K+EE+DY	5	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; länger oder gehalten; Arbeitsschritt schließen
ldy	L+DY	5	f75r|f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; Arbeitsschritt schließen
lo	L+O	5	f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; Arbeitsgang ausführen
olchedy	OL+CHD+DY	5	f75r|f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; Arbeitsgut umsetzen; Arbeitsschritt schließen
olkeedy	SOLK+EE+DY	5	f75r|f81v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	auffangen; länger oder gehalten; Arbeitsschritt schließen
otaiin	OT+AIIN	5	f70v|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Sollmaß
pchedy	P+CHD+DY	5	f75r|f81v|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material einsetzen; Arbeitsgut umsetzen; Arbeitsschritt schließen
qokchdy	OK+CHD+DY	5	f75r|f81v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Arbeitsgut umsetzen; Arbeitsschritt schließen
qotal	OT+AL	5	f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Ziel- oder Anschlussstelle
qotchy	OT+Y	5	f10r|f11r|f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; dieser Arbeitsgegenstand
qotedy	OT+E+DY	5	f75r|f81v|f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; kurz oder direkt; Arbeitsschritt schließen
sor	S+OR	5	f10r|f67r2|f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsvariante auswählen; Ansatz oder Zubereitung
ykar	Y+K+AR	5	f55v|f67r2|f69v|f88r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Material zugeben; Entnahmestelle
ykeey	Y+K+EE+Y	5	f69v|f70v|f75r|f81v|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Material zugeben; länger oder gehalten; dieser Arbeitsgegenstand
chaiin	CH+AIIN	4	f10r|f11r|f55v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; Sollmaß
char	AR	4	f10r|f69v|f75r|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Entnahmestelle
cheeky	CHK+EE+Y	4	f55v|f75r|f81v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand behandeln; länger oder gehalten; dieser Arbeitsgegenstand
daldy	AL+DY	4	f13r|f75r|f81v|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle; Arbeitsschritt schließen
dol	D_ADDR+OL	4	f13r|f81v|f82r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneter Teil; im selben Arbeitsgang fortfahren
kain	K+AIN	4	f75r|f81v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; Portion
kar	K+AR	4	f55v|f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; Entnahmestelle
kchol	K+OL	4	f11r|f13r|f56r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; im selben Arbeitsgang fortfahren
kchy	K+Y	4	f11r|f13r|f67r2	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Material zugeben; dieser Arbeitsgegenstand
oiin	O+IIN	4	f13r|f67r2|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ausführen; Arbeitsstufe
okeod	OK+E+O+D_ADDR	4	f69v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen; bezeichneter Teil
okol	OK+OL	4	f67r2|f88r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren
olor	OL+OR	4	f68r1|f75r|f81v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; Ansatz oder Zubereitung
os	OS	4	f10r|f55v|f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dazu oder außerdem
otain	OT+AIN	4	f75r|f81v|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Portion
oteody	OT+E+O+Y	4	f69v|f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; kurz oder direkt; Arbeitsgang ausführen; dieser Arbeitsgegenstand
otol	OT+OL	4	f10r|f11r|f68r1|f75r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; im selben Arbeitsgang fortfahren
qokchy	OK+Y	4	f10r|f13r|f55v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; dieser Arbeitsgegenstand
qotar	OT+AR	4	f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Entnahmestelle
qoteey	OT+EE+Y	4	f75r|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; länger oder gehalten; dieser Arbeitsgegenstand
raiin	R+AIIN	4	f70v|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Zustand kennzeichnen; Sollmaß
shckhy	SH+CKH+Y	4	f75r|f81v|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; durch einen Durchlass führen; dieser Arbeitsgegenstand
sheol	SH+E+OL	4	f75r|f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; kurz oder direkt; im selben Arbeitsgang fortfahren
shor	SH+OR	4	f10r|f11r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgegenstand halten; Ansatz oder Zubereitung
sy	Y	4	f67r2|f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand
tchedy	T+CHD+Y	4	f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang einstellen; Arbeitsgut umsetzen; dieser Arbeitsgegenstand
ytedy	Y+T+E+DY	4	f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	dieser Arbeitsgegenstand; Arbeitsgang einstellen; kurz oder direkt; Arbeitsschritt schließen
ch	CH	3	f55v|f69v|f75r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen
chal	CH+AL	3	f56r|f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle
chear	CH+E+AR	3	f69v|f88r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; Entnahmestelle
checkhy	CH+E+CKH+Y	3	f75r|f81v|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; durch einen Durchlass führen; dieser Arbeitsgegenstand
checthy	CTH+Y	3	f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bis bereit führen; dieser Arbeitsgegenstand
chedaiin	CHD+AIIN	3	f67r2|f70v|f83r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgut umsetzen; Sollmaß
cheom	CHEO+AM_ADDR	3	f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Auszug; Innenstelle
chody	CH+O+D_ADDR+Y	3	f11r|f56r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand
choky	OK+Y	3	f56r|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; dieser Arbeitsgegenstand
chos	CH+O+S	3	f56r|f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Arbeitsvariante auswählen
cthol	CTH+OL	3	f56r|f82r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bis bereit führen; im selben Arbeitsgang fortfahren
daly	AL+Y	3	f70v|f75r	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Ziel- oder Anschlussstelle; dieser Arbeitsgegenstand
dary	DA+R+Y	3	f55v|f68r1|f88r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	zweite Arbeitsstufe; Zustand kennzeichnen; dieser Arbeitsgegenstand
dchedy	D_ADDR+CHD+Y	3	f75r|f81v|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneter Teil; Arbeitsgut umsetzen; dieser Arbeitsgegenstand
dchey	CH+E+Y	3	f10r|f56r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand
dchor	D_ADDR+CH+OR	3	f13r|f68r1|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneter Teil; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung
dchy	D_ADDR+Y	3	f10r|f13r|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	bezeichneter Teil; dieser Arbeitsgegenstand
ey	E+Y	3	f67r2|f75r|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	kurz oder direkt; dieser Arbeitsgegenstand
lchey	L+Y	3	f75r|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; dieser Arbeitsgegenstand
lkedy	L+K+E+DY	3	f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; Material zugeben; kurz oder direkt; Arbeitsschritt schließen
lol	L+OL	3	f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; im selben Arbeitsgang fortfahren
lor	L+OR	3	f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	entlang des Arbeitswegs führen; Ansatz oder Zubereitung
ockhy	O+CKH+Y	3	f67r2|f68r1|f69v	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ausführen; durch einen Durchlass führen; dieser Arbeitsgegenstand
okchy	OK+Y	3	f13r|f56r|f67r2	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; dieser Arbeitsgegenstand
okody	OK+O+Y	3	f69v|f70v	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Arbeitsgang ausführen; dieser Arbeitsgegenstand
okoldy	OK+OL+DY	3	f68r1|f75r|f88r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren; Arbeitsschritt schließen
olaiin	OL+AIIN	3	f70v|f75r|f82r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; Sollmaß
olchey	OL+Y	3	f56r|f75r|f81v	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand
olkeey	SOLK+EE+Y	3	f75r|f83r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	auffangen; länger oder gehalten; dieser Arbeitsgegenstand
olshedy	OL+SH+E+DY	3	f75r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	im selben Arbeitsgang fortfahren; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen
otaly	OT+AL+Y	3	f70v|f88r	IMAGE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Ziel- oder Anschlussstelle; dieser Arbeitsgegenstand
otam	OT+AM_ADDR	3	f55v|f75r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Innenstelle
otchey	OT+Y	3	f56r|f67r2|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; dieser Arbeitsgegenstand
oteedy	OT+EE+DY	3	f70v|f75r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; länger oder gehalten; Arbeitsschritt schließen
otey	OT+E+Y	3	f70v|f75r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; kurz oder direkt; dieser Arbeitsgegenstand
otody	OT+O+DY	3	f69v|f70v|f75r	BICHANNEL	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Arbeitsgang ausführen; Arbeitsschritt schließen
qockhey	O+CKH+E+Y	3	f82r|f83r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ausführen; durch einen Durchlass führen; kurz oder direkt; dieser Arbeitsgegenstand
qokchedy	OK+CHD+Y	3	f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Arbeitsgut umsetzen; dieser Arbeitsgegenstand
qokeeey	OK+EEE+Y	3	f55v|f82r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; vollständig; dieser Arbeitsgegenstand
qokeol	OK+E+OL	3	f82r|f88r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; kurz oder direkt; im selben Arbeitsgang fortfahren
qokshedy	OK+SH+E+DY	3	f75r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ansetzen; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen
qopchy	O+P+Y	3	f13r|f67r2	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	Arbeitsgang ausführen; Material einsetzen; dieser Arbeitsgegenstand
qotaiin	OT+AIIN	3	f82r|f83r	PROSE_ONLY	PRODUCTIVE_COMPONENT_COMPOSITION	danach oder nächster Posten; Sollmaß
