component	shelf	atomic_pocket_value_de	workshop_expansion_de	image_expansion_de	total_atom_occurrences	teaching_rule_de	hybrid_codebook_tier	use_rule_de
D_ADDR	FORMAL_ADDRESS_SIGN	UNTER	bezeichneter Teil	Unterplatz	222	Merke nur UNTER; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert UNTER lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
SH	PRODUCTIVE_CONTRAST_CORE	HALT	Arbeitsgegenstand halten	Bezug festhalten	219	Merke nur HALT; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert HALT lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
AR	PRODUCTIVE_CONTRAST_CORE	QUELLE	Entnahmestelle	Quell- oder Bezugsstelle	201	Merke nur QUELLE; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert QUELLE lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
K	PRODUCTIVE_CONTRAST_CORE	ZUORDNUNG	Material zugeben	Wert zuordnen	194	Merke nur ZUORDNUNG; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert ZUORDNUNG lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
AIIN	PRODUCTIVE_CONTRAST_CORE	SOLLWERT	Sollmaß	verzeichneter Sollwert	191	Merke nur SOLLWERT; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert SOLLWERT lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
S	PRODUCTIVE_CONTRAST_CORE	WAHL	Arbeitsvariante auswählen	Bildklasse auswählen	182	Merke nur WAHL; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert WAHL lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
CHD	PRODUCTIVE_CONTRAST_CORE	WECHSEL	Arbeitsgut umsetzen	zu Gegen- oder Folgeplatz wechseln	164	Merke nur WECHSEL; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert WECHSEL lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
OR	PRODUCTIVE_CONTRAST_CORE	EINTRAG	Ansatz oder Zubereitung	Eintragsklasse	151	Merke nur EINTRAG; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert EINTRAG lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
L	PRODUCTIVE_CONTRAST_CORE	VERBINDUNG	entlang des Arbeitswegs führen	Bildverbindung	131	Merke nur VERBINDUNG; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert VERBINDUNG lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
T	PRODUCTIVE_CONTRAST_CORE	EINSTELLUNG	Arbeitsgang einstellen	Platz oder Wert einstellen	127	Merke nur EINSTELLUNG; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert EINSTELLUNG lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
AIN	PRODUCTIVE_CONTRAST_CORE	EINHEIT	Portion	Einheit oder Index	105	Merke nur EINHEIT; die konkrete Formulierung kommt aus Register und Nachbarkarten.	CORE_ABBREVIATION	Als Einzelwert EINHEIT lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
R	PRODUCTIVE_CONTRAST_CORE	MARKE	Zustand kennzeichnen	Zustandsmarke	73	Merke nur MARKE; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert MARKE lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
P	PRODUCTIVE_CONTRAST_CORE	EINSATZ	Material einsetzen	Platz besetzen	60	Merke nur EINSATZ; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert EINSATZ lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
CTH	PRODUCTIVE_CONTRAST_CORE	BEREIT	bis bereit führen	Bereitschaftsklasse	59	Merke nur BEREIT; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert BEREIT lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
SHED	LEARNED_WORKSHOP_ROOT	ABSETZEN	absetzen lassen	Absetzklasse	59	Merke nur ABSETZEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert ABSETZEN lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
CKH	PRODUCTIVE_CONTRAST_CORE	DURCHLASS	durch einen Durchlass führen	Verbindung oder Durchlass	55	Merke nur DURCHLASS; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert DURCHLASS lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
AM_ADDR	FORMAL_ADDRESS_SIGN	INNEN	Innenstelle	Innenplatz	47	Merke nur INNEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert INNEN lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
CHEO	PRODUCTIVE_CONTRAST_CORE	AUSZUG	Auszug	lokaler Eintrag	45	Merke nur AUSZUG; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert AUSZUG lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
DA	PRODUCTIVE_CONTRAST_CORE	ZWEIT	zweite Arbeitsstufe	zweite Bildstufe	38	Merke nur ZWEIT; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert ZWEIT lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
CARRIER_Q	LOCAL_WRITING_SIGN	EINTRITT	neuen Kartenblock beginnen	Eintrittsform einer Bildkarte	36	Merke nur EINTRITT; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert EINTRITT lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
A_ADDR	FORMAL_ADDRESS_SIGN	ADRESSE	lokale Arbeitsstelle	lokale Bildadresse	35	Merke nur ADRESSE; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert ADRESSE lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
AIR	PRODUCTIVE_CONTRAST_CORE	LAUFWEG	Flüssigkeits- oder Stationslauf	Ringlauf	33	Merke nur LAUFWEG; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert LAUFWEG lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
CHK	PRODUCTIVE_CONTRAST_CORE	BEHANDLUNG	Arbeitsgegenstand behandeln	Behandlungsklasse	30	Merke nur BEHANDLUNG; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert BEHANDLUNG lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
IIN	PRODUCTIVE_CONTRAST_CORE	STUFE	Arbeitsstufe	Wertstufe	26	Merke nur STUFE; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert STUFE lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
S_ADDR	FORMAL_ADDRESS_SIGN	STERNORT	bezeichnete s-Stelle	Stern- oder s-Stelle	24	Merke nur STERNORT; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert STERNORT lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
SOLK	LEARNED_WORKSHOP_ROOT	SAMMELN	auffangen	Sammelstelle	22	Merke nur SAMMELN; die konkrete Formulierung kommt aus Register und Nachbarkarten.	WORKSHOP_ABBREVIATION	Als Einzelwert SAMMELN lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
EEE	PRODUCTIVE_CONTRAST_CORE	VOLL	vollständig	dritter oder voller Grad	18	Merke nur VOLL; die konkrete Formulierung kommt aus Register und Nachbarkarten.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert VOLL lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
LSH	LEARNED_WORKSHOP_ROOT	SPUELEN	spülen	Spülklasse	17	Merke nur SPUELEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert SPUELEN lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
LOCAL_CHAR_F	LOCAL_WRITING_SIGN	NEBENPFAD	über einen Nebenpfad	Nebenreihe oder Seitenzweig	13	Merke NEBENPFAD; der Ort erweitert zu „über einen Nebenpfad“ oder „Nebenreihe oder Seitenzweig“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert NEBENPFAD lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
CPH	LEARNED_WORKSHOP_ROOT	GEGENLAUF	umleiten	Gegenplatz	12	Merke nur GEGENLAUF; die konkrete Formulierung kommt aus Register und Nachbarkarten.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert GEGENLAUF lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
HO	LEARNED_WORKSHOP_ROOT	TEIL	Teil des sichtbaren Gegenstands	Teil oder Mitglied der Bildklasse	11	Merke nur TEIL; die konkrete Formulierung kommt aus Register und Nachbarkarten.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert TEIL lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
AN	LEARNED_WORKSHOP_ROOT	ZUSATZ	weiteren Posten zugeben	zusätzlicher Eintrag	9	Merke nur ZUSATZ; die konkrete Formulierung kommt aus Register und Nachbarkarten.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert ZUSATZ lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
G_LABEL	LOCAL_WRITING_SIGN	PRUEFMARKE	Prüfmarke setzen	Prüfmarke am Eintrag	7	Merke PRUEFMARKE; der Ort erweitert zu „Prüfmarke setzen“ oder „Prüfmarke am Eintrag“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert PRUEFMARKE lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
CFH	LEARNED_WORKSHOP_ROOT	TRENNEN	trennen	Trennklasse	5	Merke nur TRENNEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert TRENNEN lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
LOCAL_CHAR_G	LOCAL_WRITING_SIGN	EINMAL	einmal ausführen	Einzelmarke	5	Merke EINMAL; der Ort erweitert zu „einmal ausführen“ oder „Einzelmarke“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert EINMAL lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
LOCAL_CHAR_I	LOCAL_WRITING_SIGN	UNTERINDEX	auf der Unterstufe	Unterindex	5	Merke UNTERINDEX; der Ort erweitert zu „auf der Unterstufe“ oder „Unterindex“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert UNTERINDEX lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
OS	LEARNED_WORKSHOP_ROOT	DAZU	dazu oder außerdem	zusätzlicher Bildposten	4	Merke nur DAZU; die konkrete Formulierung kommt aus Register und Nachbarkarten.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert DAZU lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
D_LABEL	LOCAL_WRITING_SIGN	RAND	am Rand abschließen	Randmarke	3	Merke RAND; der Ort erweitert zu „am Rand abschließen“ oder „Randmarke“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert RAND lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
S_LABEL	LOCAL_WRITING_SIGN	RAHMEN	im markierten Rahmen	Rahmengrenze	3	Merke RAHMEN; der Ort erweitert zu „im markierten Rahmen“ oder „Rahmengrenze“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert RAHMEN lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
LOCAL_CHAR_B	LOCAL_WRITING_SIGN	PAAR	paarweise entnehmen	Paarmarke	2	Merke PAAR; der Ort erweitert zu „paarweise entnehmen“ oder „Paarmarke“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert PAAR lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
M_LOCAL	LOCAL_WRITING_SIGN	MITTE	im Mittelgang ausführen	Mittelplatz	2	Merke MITTE; der Ort erweitert zu „im Mittelgang ausführen“ oder „Mittelplatz“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert MITTE lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
Z_ADDR	FORMAL_ADDRESS_SIGN	AUSSEN	am Außenplatz	Außenplatz	2	Merke AUSSEN; der Ort erweitert zu „am Außenplatz“ oder „Außenplatz“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert AUSSEN lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
LD	LEARNED_WORKSHOP_ROOT	BEFESTIGEN	befestigen	Befestigungsstelle	1	Merke nur BEFESTIGEN; die konkrete Formulierung kommt aus Register und Nachbarkarten.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert BEFESTIGEN lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
LOCAL_CHAR_J	LOCAL_WRITING_SIGN	VERBUND	im verbundenen Gang	Verbundstelle	1	Merke VERBUND; der Ort erweitert zu „im verbundenen Gang“ oder „Verbundstelle“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert VERBUND lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
LOCAL_CHAR_Z	LOCAL_WRITING_SIGN	ZWISCHEN	zwischen zwei Stellen	Zwischenadresse	1	Merke ZWISCHEN; der Ort erweitert zu „zwischen zwei Stellen“ oder „Zwischenadresse“.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert ZWISCHEN lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
RESUME_CARD	LEARNED_WORKSHOP_ROOT	WIEDER	vorigen Posten wieder aufnehmen	vorigen Bildbezug wieder aufnehmen	1	Merke nur WIEDER; die konkrete Formulierung kommt aus Register und Nachbarkarten.	LOCAL_OR_SPECIAL_SIGN	Als Einzelwert WIEDER lesen; in einer bekannten Ganzkarte deren gelernte Kurzform vorziehen.
