rank	surface	component_recipe	learned_whole_card_de	literal_component_reading_de	image_register_reading_de	events	physical_pages	registers	channel_class	learning_note_de
11	s	S	VARIANTE WAEHLEN	Arbeitsvariante auswählen	Bildklasse auswählen	27	f11r|f13r|f55v|f56r|f67r2|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
12	dal	AL	ZUR ZIELSTELLE	Ziel- oder Anschlussstelle	Zielplatz	25	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
13	shey	SH+E+Y	KURZ HALTEN	Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	Bezug festhalten; erster Grad; dieser Bildplatz	25	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
14	y	Y	DIESER POSTEN	dieser Arbeitsgegenstand	dieser Bildplatz	23	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f81v	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
15	chol	OL	DAMIT WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	22	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f88r	HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
16	ar	AR	AUS DER QUELLE	Entnahmestelle	Quell- oder Bezugsstelle	21	f55v|f67r2|f69v|f70v|f75r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
17	dar	D_ADDR+AR	AUS DEM BEZEICHNETEN TEIL	bezeichneter Teil; Entnahmestelle	Unterplatz; Quell- oder Bezugsstelle	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
18	qoky	OK+Y	DIESEN POSTEN ANSETZEN	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Bildplatz aktivieren; dieser Bildplatz	21	f13r|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
19	lchedy	L+CHD+DY	WEITER UMSETZEN; ENDE	entlang des Arbeitswegs führen; Arbeitsgut umsetzen; Arbeitsschritt schließen	Bildverbindung; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	20	f75r|f81v|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
20	qokeey	OK+EE+Y	LAENGER ANSETZEN	Arbeitsgang ansetzen; länger oder gehalten; dieser Arbeitsgegenstand	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	20	f56r|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
21	or	OR	DER ANSATZ	Ansatz oder Zubereitung	Eintragsklasse	19	f10r|f55v|f67r2|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
22	qokaiin	OK+AIIN	NACH SOLLMASS ANSETZEN	Arbeitsgang ansetzen; Sollmaß	Bildplatz aktivieren; verzeichneter Sollwert	18	f55v|f81v|f82r|f83r	BIOLOGICAL|HERBAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
23	dain	AIN	EINE PORTION	Portion	Einheit oder Index	16	f10r|f11r|f67r2|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
24	qokal	OK+AL	AN DER ZIELSTELLE ANSETZEN	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle	Bildplatz aktivieren; Zielplatz	16	f75r|f81v|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
25	qol	OL	DAMIT WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	16	f55v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
26	cheey	SH+EE+Y	LAENGER HALTEN	Arbeitsgegenstand halten; länger oder gehalten; dieser Arbeitsgegenstand	Bezug festhalten; zweiter Grad; dieser Bildplatz	15	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
27	chy	Y	DIESER POSTEN	dieser Arbeitsgegenstand	dieser Bildplatz	15	f10r|f11r|f56r|f67r2|f69v|f70v|f75r|f81v|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
28	otar	OT+AR	DANACH AUS DER QUELLE	danach oder nächster Posten; Entnahmestelle	nächster Bildplatz; Quell- oder Bezugsstelle	15	f10r|f55v|f67r2|f70v|f75r|f81v	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
29	cheol	CHEO+L	DEN AUSZUG WEITERFUEHREN	Auszug; entlang des Arbeitswegs führen	lokaler Eintrag; Bildverbindung	13	f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
30	okar	OK+AR	AUS DER QUELLE ANSETZEN	Arbeitsgang ansetzen; Entnahmestelle	Bildplatz aktivieren; Quell- oder Bezugsstelle	13	f55v|f56r|f67r2|f69v|f75r|f81v	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
31	oldy	OL+DY	DAMIT FORTFAHREN; ENDE	im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	dieselbe Reihe fortführen; Bildeintrag schließen	12	f13r|f55v|f67r2|f75r|f81v|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
32	sol	OL	DAMIT WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	12	f75r|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
33	sar	S+AR	QUELLE WAEHLEN	Arbeitsvariante auswählen; Entnahmestelle	Bildklasse auswählen; Quell- oder Bezugsstelle	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
34	al	AL	ZUR ZIELSTELLE	Ziel- oder Anschlussstelle	Zielplatz	10	f55v|f70v|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
35	am	AM_ADDR	AN DER INNENSTELLE	Innenstelle	Innenplatz	10	f10r|f55v|f67r2|f70v|f75r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
36	chckhy	CKH+Y	DURCH DEN DURCHLASS FUEHREN	durch einen Durchlass führen; dieser Arbeitsgegenstand	Verbindung oder Durchlass; dieser Bildplatz	10	f13r|f55v|f75r|f81v|f82r	BIOLOGICAL|HERBAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
37	qoty	OT+Y	DANACH DIESER POSTEN	danach oder nächster Posten; dieser Arbeitsgegenstand	nächster Bildplatz; dieser Bildplatz	10	f10r|f11r|f13r|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
38	r	R	ZUSTAND MARKIEREN	Zustand kennzeichnen	Zustandsmarke	10	f56r|f67r2|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
39	chor	CH+OR	VOM ANSATZ ENTNEHMEN	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Klasse oder Figur kennzeichnen; Eintragsklasse	9	f10r|f13r|f56r|f88r	HERBAL|PHARMA	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
40	okal	OK+AL	AN DER ZIELSTELLE ANSETZEN	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle	Bildplatz aktivieren; Zielplatz	9	f55v|f67r2|f75r|f81v|f82r	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
41	oky	OK+Y	DIESEN POSTEN ANSETZEN	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Bildplatz aktivieren; dieser Bildplatz	9	f10r|f55v|f68r1|f70v|f81v|f82r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
42	qokey	OK+E+Y	KURZ ANSETZEN	Arbeitsgang ansetzen; kurz oder direkt; dieser Arbeitsgegenstand	Bildplatz aktivieren; erster Grad; dieser Bildplatz	9	f75r|f81v|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
43	saiin	S+AIIN	SOLLWERT WAEHLEN	Arbeitsvariante auswählen; Sollmaß	Bildklasse auswählen; verzeichneter Sollwert	9	f67r2|f70v|f75r|f81v|f83r|f88r	BIOLOGICAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
44	sain	S+AIN	EINHEIT WAEHLEN	Arbeitsvariante auswählen; Portion	Bildklasse auswählen; Einheit oder Index	9	f67r2|f75r|f82r|f83r	BIOLOGICAL|ZODIAC	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
45	chdy	CHD+Y	DIESEN POSTEN UMSETZEN	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	8	f56r|f69v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
46	o	O	ARBEITSGANG AUSFUEHREN	Arbeitsgang ausführen	Reihe aufrufen	8	f10r|f56r|f69v|f70v|f75r|f83r	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
47	okaiin	OK+AIIN	NACH SOLLMASS ANSETZEN	Arbeitsgang ansetzen; Sollmaß	Bildplatz aktivieren; verzeichneter Sollwert	8	f55v|f56r|f75r|f81v|f88r	BIOLOGICAL|HERBAL|PHARMA	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
48	okeey	OK+EE+Y	LAENGER ANSETZEN	Arbeitsgang ansetzen; länger oder gehalten; dieser Arbeitsgegenstand	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	8	f68r1|f69v|f75r|f81v	BIOLOGICAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
49	otedy	OT+E+DY	NAECHSTEN SCHRITT KURZ; ENDE	danach oder nächster Posten; kurz oder direkt; Arbeitsschritt schließen	nächster Bildplatz; erster Grad; Bildeintrag schließen	8	f75r|f81v|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
50	qokar	OK+AR	AUS DER QUELLE ANSETZEN	Arbeitsgang ansetzen; Entnahmestelle	Bildplatz aktivieren; Quell- oder Bezugsstelle	8	f75r|f81v|f82r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
51	qoteedy	OT+EE+DY	NAECHSTEN SCHRITT LAENGER; ENDE	danach oder nächster Posten; länger oder gehalten; Arbeitsschritt schließen	nächster Bildplatz; zweiter Grad; Bildeintrag schließen	8	f75r|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
52	shy	Y	DIESER POSTEN	dieser Arbeitsgegenstand	dieser Bildplatz	8	f10r|f13r|f56r|f75r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
53	cthy	CTH+Y	BIS BEREIT FUEHREN	bis bereit führen; dieser Arbeitsgegenstand	Bereitschaftsklasse; dieser Bildplatz	7	f10r|f11r|f56r	HERBAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
54	d	D_ADDR	DER BEZEICHNETE TEIL	bezeichneter Teil	Unterplatz	7	f11r|f13r|f56r|f69v|f82r	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
55	okedy	OK+E+DY	KURZ ANSETZEN; ENDE	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsschritt schließen	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	7	f69v|f75r|f81v|f83r	BIOLOGICAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
56	okeedy	OK+EE+DY	LAENGER ANSETZEN; ENDE	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	7	f55v|f75r|f81v|f83r	BIOLOGICAL|HERBAL	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
57	oteey	OT+EE+Y	NAECHSTEN POSTEN LAENGER HALTEN	danach oder nächster Posten; länger oder gehalten; dieser Arbeitsgegenstand	nächster Bildplatz; zweiter Grad; dieser Bildplatz	7	f69v|f70v|f82r	BIOLOGICAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
58	otor	OT+OR	DER NAECHSTE ANSATZ	danach oder nächster Posten; Ansatz oder Zubereitung	nächster Bildplatz; Eintragsklasse	7	f10r|f68r1|f70v|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
59	sal	S+AL	ZIELSTELLE WAEHLEN	Arbeitsvariante auswählen; Ziel- oder Anschlussstelle	Bildklasse auswählen; Zielplatz	7	f67r2|f70v|f75r|f81v|f82r	BIOLOGICAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
60	sheedy	SH+EE+DY	LAENGER HALTEN; ENDE	Arbeitsgegenstand halten; länger oder gehalten; Arbeitsschritt schließen	Bezug festhalten; zweiter Grad; Bildeintrag schließen	7	f75r|f81v|f82r|f83r	BIOLOGICAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
61	shol	SH+OL	WEITER HALTEN	Arbeitsgegenstand halten; im selben Arbeitsgang fortfahren	Bezug festhalten; dieselbe Reihe fortführen	7	f13r|f56r|f70v|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
62	cheky	CHK+E+Y	KURZ BEHANDELN	Arbeitsgegenstand behandeln; kurz oder direkt; dieser Arbeitsgegenstand	Behandlungsklasse; erster Grad; dieser Bildplatz	6	f55v|f75r|f81v|f83r	BIOLOGICAL|HERBAL	PROSE_ONLY	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
63	cheor	CHEO+R	AUSZUG MARKIEREN	Auszug; Zustand kennzeichnen	lokaler Eintrag; Zustandsmarke	6	f68r1|f69v|f82r|f88r	BIOLOGICAL|PHARMA|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
64	cho	HO	SICHTBARER TEIL	Teil des sichtbaren Gegenstands	Teil oder Mitglied der Bildklasse	6	f55v|f56r|f67r2|f69v|f70v	HERBAL|ZODIAC	BICHANNEL	Als häufige Formelkarte auswendig lernen; die Komponenten bleiben für neue oder seltene Karten produktiv.
