surface	working_meaning_de	composition	strongest_rival_de	family
qokeeor	erhitze eine Portion vollständig	QO_COMMAND+K_HOT+EE_END+OR_PORTION	nimm eine vollständig erhitzte Drogenportion	ACTION
ykeey	erhitze hiervon bis zur Endstufe	Y_REFERENCE+K_HOT+EE_END+Y_START_OR_CLOSE	dieser Ansatz vollständig erhitzt	ACTION
lsheedy	Holzdroge vollständig einweichen und abschließen	L_WOOD+SH_MOIST+EE_END+DY_FINISHED	vollständig eingeweichte Holzdroge	ACTION
checkhol	getrockneter Arzneikompositum-Grundstoff	CH_DRY+E_MIDDLE+CKH_COMPOSITE+OL_MATERIAL	trockenes Arzneikompositum im Ansatz	DRY
lkchedy	Holzdroge erhitzen, bis zur Mittelstufe trocknen und abschließen	L_WOOD+K_HOT+CH_DRY+E_MIDDLE+DY_FINISHED	heiß getrocknete Holzdroge	ACTION
oleed	Holzdrogenauszug vollständig abziehen und abschließen	O_PREP+L_WOOD+EE_END+D_TERM_CLOSE	vollständig ausgezogener Holzdrogenansatz	EXTRACT
sfm	eine Handvoll Blütensamen	LEARNED_SFM_WHOLE	eine Handvoll Saatgut	SEED
rain	Wurzeldroge in Charge II	R_ROOT+AIN_II	zwei Teile Wurzeldroge	ROOT
okos	erhitzter Ansatzposten	O_PREP+K_HOT+O_PREP+S_TERM_SPECIES	heiße Arzneispecies	HOT_PREP
olol	Holzdrogen-Grundstoff im Ansatz	O_PREP+L_WOOD+OL_MATERIAL	Holzdrogen-Grundansatz	WOOD
shotchy	Feuchtansatz aus kalt getrockneter Droge in Grundform	SH_MOIST+O_PREP+T_COLD+CH_DRY+Y_START_OR_CLOSE	angefeuchtete kalt-trockene Droge	MOIST_PREP
qokeees	erhitze den Ansatzposten bis zur letzten Stufe	QO_COMMAND+K_HOT+EEE_LONG_OR_FINAL+S_TERM_SPECIES	stark erhitzte Arzneispecies	ACTION
dor	abgemessene Drogenportion	D_MEASURE+OR_PORTION	eine Dosis Droge	MEASURE
chtol	getrocknetes und abgekühltes Drogenmaterial	CH_DRY+T_COLD+OL_MATERIAL	kalt-trockenes Drogenmaterial	COLD
dom	ein Ansatzmaß	LEARNED_DOM_WHOLE	eine Handvoll Ansatzgut	MEASURE
chos	getrockneter Ansatzposten	CH_DRY+O_PREP+S_TERM_SPECIES	trockene Arzneispecies	DRY
tshoiin	kalter Feuchtansatz in Form III	T_COLD+SH_MOIST+O_PREP+IIN_FORM_III	drei Teile kalt eingeweichter Ansatz	MOIST_PREP
cholo	Trockenstoff in Ansatzform	LEARNED_CHOLO_WHOLE	Trockenrückstand	DRY
chtchey	Droge kalt bis zur Mittelstufe nachtrocknen	CH_DRY+T_COLD+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	zweistufig getrocknete und abgekühlte Droge	ACTION
keem	ein Maß vollständig erhitzte Droge	LEARNED_KEEM_WHOLE	Endstufe des Erhitzens	MEASURE
sheeo	vollständig eingeweichter Ansatz	SH_MOIST+EE_END+O_PREP	zweiter Einweichansatz	MOIST_PREP
okaly	Rohstoff-I-Ansatz leicht erhitzen und abschließen	O_PREP+K_HOT+AL_RAW_I+Y_START_OR_CLOSE	heißer Rohstoff-I-Ansatz in Grundform	ACTION
chcthedy	Krautdroge bis zur mittleren Stufe trocknen und abschließen	CH_DRY+CTH_HERB+E_MIDDLE+DY_FINISHED	fertig getrocknete Krautdroge	ACTION
olchdaiin	Holzdrogenansatz aus drei Dosen Trockendroge	O_PREP+L_WOOD+CH_DRY+D_MEASURE+AIIN_III	drei Teile abgemessene getrocknete Holzdroge	WOOD
chochy	Trockenansatz nochmals leicht trocknen	CH_DRY+O_PREP+CH_DRY+Y_START_OR_CLOSE	nachgetrockneter Trockenansatz	ACTION
qotcheeaiin	nimm drei Teile vollständig kalt getrocknete Droge	QO_COMMAND+T_COLD+CH_DRY+EE_END+AIIN_III	drei Teile Droge kalt und trocken auf Endstufe	ACTION
chytaroiin	trockne leicht, kühle die erste Fraktion und setze sie als Form III an	CH_DRY+Y_START_OR_CLOSE+T_COLD+AR_FRACTION_I+O_PREP+IIN_FORM_III	Zubereitung III aus erster kalt getrockneter Fraktion	ACTION
okchor	eine Portion heiß-trockene Droge im Ansatz	O_PREP+K_HOT+CH_DRY+OR_PORTION	heiß-trockene Ansatzportion	HOT_DRY
ckholdy	Arzneikompositum als Stoff fertig aufbereiten	CKH_COMPOSITE+OL_MATERIAL+DY_FINISHED	fertiges Arzneikompositum	ACTION
chshol	getrocknete Droge einweichen	CH_DRY+SH_MOIST+OL_MATERIAL	angefeuchtetes Trockengut	ACTION
shok	Feuchtansatz erhitzen	SH_MOIST+O_PREP+K_HOT	heißer Feuchtansatz ohne bezeichnete Stufe	ACTION
qokees	erhitze den Ansatzposten bis zur Endstufe	QO_COMMAND+K_HOT+EE_END+S_TERM_SPECIES	vollständig erhitzte Arzneispecies	ACTION
yteey	kühle hiervon bis zur Endstufe ab	Y_REFERENCE+T_COLD+EE_END+Y_START_OR_CLOSE	diese Droge vollständig gekühlt	ACTION
taraiin	drei Teile der ersten gekühlten Drogenfraktion	T_COLD+AR_FRACTION_I+AIIN_III	gekühlte erste Fraktion in Sortierklasse III	FRACTION
chkalykedy	Rohdroge I trocknen und erhitzen; danach bis zur Mittelstufe erhitzen und abschließen	CH_DRY+K_HOT+AL_RAW_I+Y_REFERENCE+K_HOT+E_MIDDLE+DY_FINISHED	heiß getrocknete Rohdroge I, fertig	ACTION
chdain	Trockendroge in Dosis II	CH_DRY+D_MEASURE+AIN_II	zwei Dosen Trockendroge	MEASURE
yshol	weiche hiervon den Drogenstoff ein	Y_REFERENCE+SH_MOIST+OL_MATERIAL	feuchtes Material dieser Droge	ACTION
cheekchy	vollständig trocknen, dann leicht erhitzen und nachtrocknen	CH_DRY+EE_END+K_HOT+CH_DRY+Y_START_OR_CLOSE	vollständig heiß getrocknete Droge	ACTION
dalor	eine abgemessene Portion Rohdroge I	D_MEASURE+AL_RAW_I+OR_PORTION	ein Maß Rohdroge I	MEASURE
yd	schließe den vorstehenden Bezug ab	Y_REFERENCE+D_TERM_CLOSE	miss hiervon ab	ACTION
dalshedy	abgemessenen Rohstoff I bis zur Mittelstufe einweichen und abschließen	D_MEASURE+AL_RAW_I+SH_MOIST+E_MIDDLE+DY_FINISHED	fertig eingeweichte Rohstoffmenge I	ACTION
dykaly	danach Rohstoff I leicht erhitzen	DY_SEQUENCE+K_HOT+AL_RAW_I+Y_START_OR_CLOSE	danach heißen Rohstoff I bereitstellen	ACTION
ytam	nimm hiervon ein Maß und kühle es	Y_REFERENCE+T_COLD+AM_UNIT_I	ein Maß kalte Droge hiervon	ACTION
chotchy	Trockenansatz aus kalt getrockneter Droge in Grundform	CH_DRY+O_PREP+T_COLD+CH_DRY+Y_START_OR_CLOSE	kalt nachgetrockneter Trockenansatz	DRY
ody	fertiger Ansatz	O_PREP+DY_FINISHED	stelle den Ansatz fertig	PREPARATION
aram	ein Maß der ersten Drogenfraktion	AR_FRACTION_I+AM_UNIT_I	eine Dosis Fraktion I	MEASURE
qoain	nimm zwei Teile	QO_COMMAND+AIN_II	Qualitätsstufe II	ACTION
qockhy	bereite einen Arzneikompositum-Ansatz in Grundstufe	QO_COMMAND+O_PREP+CKH_COMPOSITE+Y_START_OR_CLOSE	nimm einen Arzneikompositum-Ansatz	ACTION
darchd	miss die erste Fraktion ab, trockne sie und schließe ab	D_MEASURE+AR_FRACTION_I+CH_DRY+D_TERM_CLOSE	erste abgemessene abgeschlossene Trockenfraktion	ACTION
otaldiin	kalter Rohstoff-I-Ansatz in Dosis III	O_PREP+T_COLD+AL_RAW_I+D_MEASURE+IIN_FORM_III	drei Teile kalter Rohstoff-I-Ansatz	MEASURE
ykair	nimm hiervon die zweite erhitzte Drogenfraktion	Y_REFERENCE+K_HOT+AIR_FRACTION_II	erhitze hiervon die zweite Fraktion	ACTION
kchol	erhitztes Trockengut	K_HOT+CH_DRY+OL_MATERIAL	heiß getrocknetes Drogenmaterial	HOT_DRY
psheey	Pulver vollständig anfeuchten	P_POWDER+SH_MOIST+EE_END+Y_START_OR_CLOSE	vollständig angefeuchtetes Pulver	ACTION
sheodaiin	drei Dosen eingeweichter Ansatz	SH_MOIST+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	Feuchtansatz in Form III	MEASURE
qokaiir	nimm die dritte erhitzte Drogenfraktion	QO_COMMAND+K_HOT+AIIR_FRACTION_III	erhitze bis Stufe III	ACTION
ctheod	Krautansatz nach mittlerer Stufe abgießen und abschließen	CTH_HERB+E_MIDDLE+O_PREP+D_TERM_CLOSE	eine Dosis Krautansatz	ACTION
ytchos	nimm hiervon einen kalt getrockneten Ansatzposten	Y_REFERENCE+T_COLD+CH_DRY+O_PREP+S_TERM_SPECIES	Eintrag: kalt-trockener Ansatzposten	ENTRY
ssheckhy	angefeuchtetes Samenkompositum in Grundstufe	S_SEED+SH_MOIST+E_MIDDLE+CKH_COMPOSITE+Y_START_OR_CLOSE	Samenposten: feuchtes Arzneikompositum	SEED
keishy	erhitzte und leicht angefeuchtete Droge	LEARNED_KEISHY_WHOLE	eingeweichtes Heißgut in Form I	HOT_PREP
qolkary	gib die erste erhitzte Drogenfraktion hinzu	QOL_ADD+K_HOT+AR_FRACTION_I+Y_START_OR_CLOSE	gib die erste erhitzte Fraktion des Holzdrogenansatzes hinzu	ACTION
olom	ein Maß Holzdrogenansatz	LEARNED_OLOM_WHOLE	Holzdrogenansatz in geschlossener Form	MEASURE
okoldy	fertigen erhitzten Grundansatz herstellen	O_PREP+K_HOT+LEARNED_OL_BASE+DY_FINISHED	fertiger heißer Grundansatz	ACTION
qolsheol	gib eingeweichtes Drogenmaterial hinzu	QOL_ADD+SH_MOIST+E_MIDDLE+OL_MATERIAL	gib eingeweichte Holzdroge im Ansatz hinzu	ACTION
as	ein Teil Saatgut	A_PART_OR_LINK+S_SEED	zu gleichen Teilen	SEED
cham	ein Maß Trockendroge	CH_DRY+AM_UNIT_I	eine Dosis Trockendroge	MEASURE
qeey	nimm die Endportion hinzu	LEARNED_QEEY_WHOLE	schließe den Arbeitsschritt vollständig	ACTION
otolaiin	drei Teile Kaltansatz	O_PREP+T_COLD+OL_MATERIAL+AIIN_III	kaltes Zubereitungsgut in Form III	COLD
doraiin	drei abgemessene Drogenportionen	D_MEASURE+OR_PORTION+AIIN_III	eine Drogenportion in Sortierklasse III	MEASURE
fchedy	Blütenfraktion bis zur Mittelstufe trocknen und abschließen	F_FLOWER+CH_DRY+E_MIDDLE+DY_FINISHED	fertig getrocknete Blütendroge	FLOWER
chdor	eine abgemessene Portion Trockendroge	CH_DRY+D_MEASURE+OR_PORTION	eine Dosis getrockneter Drogenteil	MEASURE
yched	trockne hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+CH_DRY+E_MIDDLE+D_TERM_CLOSE	Eintrag: Trockendroge, Mittelstufe abgeschlossen	ACTION
lorain	Holzportion in Charge II	L_WOOD+OR_PORTION+AIN_II	zwei Teile Holzportion	WOOD
cthdy	Krautdroge fertig aufbereiten	CTH_HERB+DY_FINISHED	fertige Blatt- oder Krautdroge	ACTION
qckhedy	bereite das Arzneikompositum bis zur Mittelstufe und schließe ab	QO_COMMAND+CKH_COMPOSITE+E_MIDDLE+DY_FINISHED	fertiges Arzneikompositum in der Gradmitte	ACTION
shedaldy	abgemessenen Rohstoff I bis zur Mittelstufe einweichen und abschließen	SH_MOIST+E_MIDDLE+D_MEASURE+AL_RAW_I+DY_FINISHED	fertig angefeuchtete Rohstoffmenge I	ACTION
yteedy	kühle hiervon vollständig ab und schließe	Y_REFERENCE+T_COLD+EE_END+DY_FINISHED	Eintrag: vollständig gekühlte Zubereitung	ACTION
okol	leicht erhitzter Grundansatz	O_PREP+K_HOT+LEARNED_OL_BASE	erhitztes Drogenmaterial	HOT_PREP
chsey	Saatgut bis zur mittleren Stufe trocknen	CH_DRY+S_SEED+E_MIDDLE+Y_START_OR_CLOSE	getrockneter Saatgutposten	ACTION
olcheey	Holzdrogenansatz vollständig trocknen	O_PREP+L_WOOD+CH_DRY+EE_END+Y_START_OR_CLOSE	vollständig getrockneter Grundansatz	ACTION
olkshey	Holzdrogenansatz erhitzen und bis zur Mittelstufe einweichen	O_PREP+L_WOOD+K_HOT+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	heiß eingeweichte Holzdroge	ACTION
sheyteedy	bis zur Mittelstufe einweichen, dann vollständig abkühlen und abschließen	SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE+T_COLD+EE_END+DY_FINISHED	vollständig gekühlte eingeweichte Droge	ACTION
yshedy	weiche hiervon bis zur mittleren Stufe ein und schließe ab	Y_REFERENCE+SH_MOIST+E_MIDDLE+DY_FINISHED	diese Droge fertig eingeweicht	ACTION
chedyor	eine Portion fertig getrocknete Droge	CH_DRY+E_MIDDLE+DY_FINISHED+OR_PORTION	fertig getrockneter Drogenteil	DRY
solchey	Saatgutansatz bis zur mittleren Stufe trocknen	SOL_SEED_PREP+CH_DRY+E_MIDDLE+Y_START_OR_CLOSE	getrockneter Salzansatz	ACTION
qokady	erhitze einen gleichen Teil und schließe ab	QO_COMMAND+K_HOT+A_PART_OR_LINK+DY_FINISHED	heißer Ansatzanteil, fertig	ACTION
okainy	Ansatz auf Heizstufe II abschließen	O_PREP+K_HOT+AIN_II+Y_START_OR_CLOSE	heißer Ansatz in Form II	ACTION
soin	Saatgutzubereitung in Form II	S_SEED+O_PREP+IN_FORM_II	zweite Charge Saatgutansatz	SEED
oy	Ansatz in Grundform	O_PREP+Y_START_OR_CLOSE	Ansatz abschließen	PREPARATION
dshedy	eine Dosis fertig eingeweichte Droge	D_MEASURE+SH_MOIST+E_MIDDLE+DY_FINISHED	abgemessene Droge bis zur Mittelstufe eingeweicht	MEASURE
olkal	Holzdrogenansatz aus Rohstoff I leicht erhitzt	O_PREP+L_WOOD+K_HOT+AL_RAW_I	heißer Holzrohstoff-I-Ansatz	WOOD
oiiin	Zubereitung in Form IV	O_PREP+IIIN_FORM_IV	vier Teile Ansatz	PREPARATION
solarol	erste Fraktion des Saatgutansatzes als Grundauszug	SOL_SEED_PREP+AR_FRACTION_I+OL_MATERIAL	Saatgutansatz aus erster Rohfraktion	SEED
deeedy	messe die Endportion ab und schließe nach langer Stufe ab	D_MEASURE+EEE_LONG_OR_FINAL+DY_FINISHED	lange bis zur letzten Stufe stehen lassen und abschließen	ACTION
qokechedy	erhitze, trockne bis zur mittleren Stufe und schließe ab	QO_COMMAND+K_HOT+E_MIDDLE+CH_DRY+E_MIDDLE+DY_FINISHED	heiß getrocknete Droge, Mittelstufe fertig	ACTION
qolkeey	gib vollständig erhitztes Drogenmaterial hinzu	QOL_ADD+K_HOT+EE_END+Y_START_OR_CLOSE	gib den vollständig erhitzten Holzdrogenansatz hinzu	ACTION
chsdy	Saatgut trocknen und fertigstellen	CH_DRY+S_SEED+DY_FINISHED	Trockengutposten abschließen	ACTION
cheeety	bis zur letzten Trockenstufe bringen und dann leicht abkühlen	CH_DRY+EEE_LONG_OR_FINAL+T_COLD+Y_START_OR_CLOSE	lange getrocknete und leicht gekühlte Droge	ACTION
chkeedy	trocknen, dann vollständig erhitzen und abschließen	CH_DRY+K_HOT+EE_END+DY_FINISHED	vollständig heiß getrocknete Droge	ACTION
okeeol	vollständig erhitzter Grundansatz	O_PREP+K_HOT+EE_END+OL_MATERIAL	stark erhitzter Drogenstoff	HOT_PREP
chedchy	bis zur mittleren Trockenstufe trocknen, abschließen und leicht nachtrocknen	CH_DRY+E_MIDDLE+D_TERM_CLOSE+CH_DRY+Y_START_OR_CLOSE	zweistufig getrocknete Droge	ACTION
qolkeedy	gib vollständig erhitztes und abgeschlossenes Drogenmaterial hinzu	QOL_ADD+K_HOT+EE_END+DY_FINISHED	gib den vollständig erhitzten Holzdrogenansatz hinzu	ACTION
sheolkain	erhitze den eingeweichten Drogenstoff auf Stufe II	SH_MOIST+E_MIDDLE+OL_MATERIAL+K_HOT+AIN_II	eingeweichter Drogenstoff, wiedererwärmt auf Stufe II	ACTION
lols	Holzstoffposten	LOL_WOOD_MATERIAL+S_TERM_SPECIES	fertiger Holzabsud	WOOD
checphey	getrocknete Arzneikompositum-Fraktion auf Mittelstufe	LEARNED_CHECPHEY_WHOLE	trockene Blütenkompositum-Fraktion	DRY
oees	Ansatzposten auf Endstufe	O_PREP+EE_END+S_TERM_SPECIES	vollständig ausgezogener Ansatz	PREPARATION
tdam	ein Maß kalte Droge	T_COLD+D_MEASURE+AM_UNIT_I	eine Dosis kalter Ansatz	MEASURE
ykaiin	erhitze hiervon auf Stufe III	Y_REFERENCE+K_HOT+AIIN_III	diese Droge heiß auf Stufe III	ACTION
dshey	eine Dosis bis zur Mittelstufe angefeuchtete Droge	D_MEASURE+SH_MOIST+E_MIDDLE+Y_START_OR_CLOSE	weiche eine Dosis Droge bis zur Mittelstufe ein	MEASURE
qopcheey	nimm vollständig getrocknetes Pulverpräparat	QO_COMMAND+O_PREP+P_POWDER+CH_DRY+EE_END+Y_START_OR_CLOSE	gib vollständig getrocknetes Pulver hinzu	ACTION
oreeeg	lange ausgezogener und stark eingedickter Wurzelauszug	LEARNED_OREEEG_WHOLE	ein Gran lang ausgezogener Wurzelansatz	EXTRACT
keodar	miss die erste erhitzte Ansatzfraktion ab	K_HOT+E_MIDDLE+O_PREP+D_MEASURE+AR_FRACTION_I	erste Drogenfraktion vollständig erhitzt	ACTION
oteos	kalter Ansatzposten auf mittlerer Stufe	O_PREP+T_COLD+E_MIDDLE+O_PREP+S_TERM_SPECIES	zweiter Kaltansatzposten	COLD
shotokody	Feuchtansatz abkühlen, wieder erhitzen und fertigstellen	SH_MOIST+O_PREP+T_COLD+O_PREP+K_HOT+O_PREP+DY_FINISHED	fertiger abgekühlt-wiedererhitzter Feuchtansatz	ACTION
kesey	erhitze den Arzneiposten bis zur mittleren Stufe	K_HOT+E_MIDDLE+S_TERM_SPECIES+E_MIDDLE+Y_START_OR_CLOSE	Saatgut bis zur mittleren Stufe erhitzen	ACTION
kalchdy	Rohdroge I erhitzen, trocknen und abschließen	K_HOT+AL_RAW_I+CH_DRY+DY_FINISHED	fertig heiß getrockneter Rohstoff I	ACTION
ypchdair	nimm hiervon die zweite abgemessene Trockenpulverfraktion	Y_REFERENCE+P_POWDER+CH_DRY+D_MEASURE+AIR_FRACTION_II	zweite trockene Pulverfraktion dieser Droge	ACTION
cholody	Trockenstoff als Ansatz fertigstellen	CH_DRY+OL_MATERIAL+O_PREP+DY_FINISHED	fertig aufbereiteter Trockenrückstand	ACTION
qokololal	erhitze den Holzrohstoffansatz der Form I	QOKOL_HEAT+O_PREP+L_WOOD+AL_RAW_I	erhitze Grundansatz und Holzrohstoff I getrennt	ACTION
ytoldy	stelle hiervon den Kaltansatz fertig	Y_REFERENCE+T_COLD+OL_MATERIAL+DY_FINISHED	dieser Kaltansatz ist fertig	ACTION
