rank	locus	zl3b_line	manual_workshop_translation_de	notes
15	f111v.38	ycheey o aiin checkhey otain qotl chear chedy qokeey okeedy lkeey	Trockne hiervon bis zur Endstufe und bereite Ansatzmenge III. Gib eine trockene Kräutermischung hinzu, kühle den Ansatz auf Stufe II und füge die kalte Holzdroge bei. Gib die erste Trockenfraktion hinzu, trockne bis zur Mitte, erhitze vollständig, schließe den heißen Ansatz ab und füge zuletzt vollständig erhitzte Holzdroge bei.	ycheey ist eine anaphorische Trockenhandlung; o aiin liefert Ansatzmenge III, otain eine Kaltstufe II und keine Teilmengen.
16	f112v.46	ykeey lor chaiin cheky chokain char am chey kain chdal okaiin daldy	Erhitze hiervon bis zur Endstufe und schließe ab. Gib eine Holzportion hinzu und trockne die Droge auf Stufe III; trockne bis zur Mitte und erwärme kurz, dann erhitze den Trockenansatz auf Stufe II. Füge ein Maß der ersten Trockenfraktion hinzu, trockne bis zur Mitte, erhitze auf Stufe II, gib die erste abgemessene Trockenportion zu und bringe den Ansatz auf Stufe III. Schließe die abgemessene Rohdrogenportion ab.	ykeey ist eine anaphorische Heizhandlung ohne eigenen Portionsmarker; chaiin bezeichnet Trockenstufe III und keine Dreiteilmenge.
17	f116r.32	olkeey rain shey qor aiin shey ol lchedy rshey qokeedy chtain oly	Erhitze den Holzdrogenansatz vollständig. Gib Wurzel der Charge II hinzu und weiche bis zur Mitte ein. Nimm eine Drogenportion mit drei Teilen, weiche nochmals ein und gib Grundansatz, getrocknetes Drogenholz sowie eingeweichte Wurzel hinzu. Erhitze vollständig, behandle kalt-trocken auf Stufe II und seihe den Holzansatz ab.	rain folgt lain und sain als Stoffcharge II; der Mengenwert zwei Teile bleibt der engste Rivale.
18	f13v.4	o l s chey okos oaiin okshy qo	Setze ein Pfund Saatgut in Ansatzwasser an. Trockne bis zur Mitte und verwende eine Charge Heißansatz; gib Ansatzmenge III hinzu, erwärme und befeuchte kurz und nimm die Charge ab.	Terminales s in okos bezeichnet die Charge; initiales freies s bleibt Saatgut, oaiin dagegen Ansatzmenge III und keine dreiteilige Wassermenge.
19	f19r.7	qok cho ky cthar dor chan dar	Erhitze den Trockenansatz kurz. Nimm die erste Blatt- oder Krautfraktion, miss eine Portion davon ab und trockne sie leicht an. Das Ergebnis ist die erste abgemessene Fraktion.	dor ist d+or und lizenziert das Abmessen einer Portion; dar benennt anschließend die abgemessene erste Fraktion.
20	f27r.11	chol daiiin chees chos ey dan	Bringe Trockengut auf Stufe IV und verarbeite es mit der vollständig getrockneten Kräutermischung zu einer Charge Trockenansatz; nimm danach eine Maßportion davon ab.	chos folgt dem terminalen Chargen-s. In 30 sichtbaren chos-Zeilen verlangt keine Saat; fünf führen Saat separat.
21	f4v.12	qokey sho okeol s keey shar char ody	Erwärme den feuchten Ansatz und den Grundansatz bis zur mittleren Heizstufe. Gib Saatgut hinzu und erhitze vollständig; füge die erste angefeuchtete und die erste trockene Drogenfraktion bei. Das ergibt den fertiggestellten Ansatz.	okeol bezeichnet den bis zur mittleren Heizstufe erwärmten Grundansatz, nicht einen Holzabsud; ody bleibt das fertige Ansatzresultat.
22	f6r.10	tchor ctheod chy shor od she od	Nimm eine kaltgetrocknete Drogenportion und schließe den Krautansatz auf der mittleren Stufe ab. Trockne den abgeschlossenen Ansatz kurz, gib einen Blüten- oder Fruchtteil hinzu, miss vom Ansatz ab, feuchte die abgemessene Menge an und miss erneut ab.	ctheod bezeichnet den Abschluss des Krautansatzes auf mittlerer Stufe; ein Abgießen bleibt ohne eigenen Flussmarker nur Rivale.
23	f75r.12	ssheckhy qokal oly shey r ol cheey shey dy olshedy qoky	Feuchte das Samenkompositum auf Grundstufe an. Gib Rohdroge I auf heißer Anfangsstufe hinzu und seihe ab. Weiche Wurzel im Grundansatz ein, trockne vollständig, weiche nochmals ein und schließe ab; weiche die Holzdroge im Ansatz vollständig ein und erwärme kurz.	ssheckhy bezeichnet ein angefeuchtetes Samenkompositum auf Grundstufe; olshedy lizenziert vollständiges Einweichen von Holzdroge, nicht Ausziehen.
24	f75r.30	qo dain cheeky qokey qokain cheky qokal dain chedy o kalol shedy okar olom	Nimm zwei Maße, trockne sie vollständig und röste kurz nach; erwärme bis zur Mitte und dann auf Stufe II. Trockne erneut bis zur Mitte, gib Rohdroge I auf heißer Anfangsstufe und nochmals zwei Maße hinzu und trockne bis zur Mitte. Setze mit der heißen Rohdroge I einen Ansatz an, weiche ihn bis zur Mitte ein und gib die erste heiße Fraktion sowie eine Handvoll Holzdroge in den Ansatz.	Die Folge o kalol bezeichnet einen Ansatz mit heißer Rohdroge I und kein frei angesetztes Wasser; olom bleibt die gelernte Handvollkarte.
25	f75v.10	qokeed chedy ky okedy lchedy dar ody dchedy dar olchedy otedy qoky	Erhitze vollständig und schließe ab; trockne bis zur Mitte und erwärme kurz. Schließe die mittlere Heizstufe und gib getrocknetes Drogenholz sowie die erste abgemessene Fraktion hinzu. Verwende den so fertiggestellten Ansatz mit einer fertig abgemessenen Trockendosis, einer weiteren ersten Fraktion und fertig getrockneter Holzdroge; kühle mäßig und erwärme kurz.	ody bezeichnet das fertige Ansatzresultat zwischen zwei Mengenblöcken; ein Abseiheschritt wird nicht erzwungen.
26	f78r.31	solkeedy sheckhy qokedy otal shedy otar olchedy cthdy	Erhitze den Saatgutansatz vollständig. Nimm ein leicht angefeuchtetes Arzneikompositum und erwärme es bis zur Mitte. Gib Rohdroge I auf kalter Anfangsstufe hinzu, weiche bis zur Mitte ein und füge die erste Kaltfraktion sowie fertig getrocknete Holzdroge bei. Bereite die Krautdroge fertig auf.	sheckhy bezeichnet ein feuchtes Arzneikompositum am Gradanfang; cthdy schließt die Krautdroge praktisch ab und otal enthält keine unmarkierte Portion.
27	f78v.22	okol shey ol shedy okal okchey okeol ol chedy qol	Nimm heißen Ansatzstoff. Lasse ihn im Grundansatz bis zur Mitte ziehen, gib Rohdroge I auf heißer Anfangsstufe hinzu und trockne sie heiß bis zur Mitte. Erwärme den restlichen Grundansatz bis zur Mitte, trockne ihn bis zur Mitte und gib den bis zur Mitte getrockneten Grundansatz hinzu.	okol bezeichnet heißen Ansatzstoff; Grundauszug bleibt der engste Rivale. qol bezieht sich am Zeilenende auf den zuvor getrockneten Grundansatz.
28	f81r.21	dshedy qokal olkeey oteey olshey otey lol	Weiche eine Dosis Droge bis zur Mittelstufe ein und schließe sie ab. Gib Rohdroge I auf heißer Anfangsstufe hinzu, erhitze den Holzdrogenansatz vollständig, kühle bis zur Endstufe, lasse die Holzdroge bis zur Mitte ziehen, kühle nochmals mäßig und gib Holzstoff hinzu.	dshedy ist d+sh+e+dy und lizenziert eine Dosis; qokal und lol enthalten dagegen keine unmarkierte Portion.
29	f86v5.17	ockhedy ched y taiin ykaiin qotal yshey otaiin olkam	Stelle das Kräuterkompositum im Ansatz fertig und trockne bis zur Mitte. Kühle die Charge auf Stufe III; erhitze hiervon auf Stufe III. Gib Rohdroge I auf kalter Anfangsstufe hinzu, weiche hiervon bis zur Mitte ein und füge einen Kaltansatz auf Stufe III sowie ein Maß heißen Holzdrogenansatz hinzu.	ykaiin ist eine anaphorische Heizhandlung ohne eigenen Portionsmarker; ockhedy und qotal enthalten ebenfalls keine unmarkierte Portion.
30	f86v6.23	qokar olkedy otor chedy qokar opchedy dar ykar ar dair ain ol keodar	Nimm die erste heiße Drogenfraktion und schließe den erhitzten Holzdrogenansatz ab. Gib eine kalte Drogenportion hinzu und trockne bis zur Mitte. Füge erneut die erste heiße Fraktion und vollständig getrocknetes Pulver hinzu, miss die erste Fraktion ab und nimm eine weitere erste heiße Fraktion. Gib zwei Teile der abgemessenen zweiten Fraktion in den Grundansatz und miss zuletzt die erste Fraktion des auf Mittelstufe erhitzten Ansatzes ab.	keodar ist die erste abgemessene Fraktion des auf Mittelstufe erhitzten Ansatzes; dair ain wird gemeinsam als zwei Teile der abgemessenen zweiten Fraktion geglättet.
