surface	working_default_de	composition_or_basis	strength	notes
cholody	fertig getrockneter Ansatzrückstand	CHOL_DRY_MATERIAL+O_PREP+DY_FINISHED	MEDIUM	Konkretes Resultat.
chory	leicht getrocknete Drogenportion	CH_DRY+OR_PORTION+Y_LIGHT	HIGH	In Label nominal, im Fließtext leicht trocknen.
chos	fertiger Trockenansatz; eine Portion trockene Arzneispecies	CHO_DRY_PREP+S_SPECIES	HIGH	30 sichtbare Zeilen; fünf führen Saat separat, keine erzwingt S_SEED.
chotchy	kühle den Trockenansatz und trockne kurz nach	CHO_DRY_PREP+T_COLD+CH_DRY+Y_LIGHT	MEDIUM	Konkrete Wechselhandlung.
chry	trockne eine Portion Wurzel kurz an	CH_DRY+R_ROOT+Y_LIGHT	HIGH	Stoffkopf r bleibt erhalten.
chsdy	trockne die Saatgutportion und schließe ab	CH_DRY+S_SEED+DY_FINISHED	HIGH	Hier ist s medialer Stoffkopf, nicht terminale Species.
chsey	trockne die Saatgutportion bis zur Mittelstufe	CH_DRY+S_SEED+E_MIDDLE+Y_CLOSE	MEDIUM	Patient Saatgut, nicht abstrakter Grad.
chshol	trockne eine Portion eingeweichtes Drogengut	CH_DRY+SH_MOIST+OL_MATERIAL	MEDIUM	Feuchtgut wird zum Trockenstoff.
chtchey	kühle und trockne den Ansatz bis zur Mittelstufe	CH_DRY+T_COLD+CH_DRY+E_MIDDLE+Y_CLOSE	MEDIUM	Kalt-Trocken-Folge.
chtol	trockne eine Portion kalten Drogenstoff	CH_DRY+T_COLD+OL_MATERIAL	MEDIUM	Konkreter Stoff statt kaltes Gut.
chytaroiin	nimm nach kurzem Trocknen drei Teile der ersten Kaltfraktion	CHY_DRY_LIGHT+TAR_COLD_FRACTION_I+OIIN_III	LOW	Gelernte lange Ganzkarte.
ckholdy	stelle eine Portion Kräuterkompositum im Ansatz fertig	CKH_COMPOSITE+OL_PREP+DY_FINISHED	MEDIUM	Abschluss eines konkreten Kompositums.
cthdy	bereite eine Portion Krautdroge fertig auf	CTH_HERB+DY_FINISHED	HIGH	DY schließt die Krautdroge ab.
ctheod	ziehe eine Portion Krautabsud bis zur Mittelstufe ab	CTH_HERB+E_MIDDLE+OD_DRAW_OFF	MEDIUM	Konkreter Abziehschritt.
dalor	miss eine Portion Rohdroge I ab	D_MEASURE+AL_RAW_I+OR_PORTION	HIGH	Stoff und Portion explizit.
dalshedy	weiche eine abgemessene Portion Rohdroge I bis zur Mitte ein und schließe ab	D_MEASURE+AL_RAW_I+SH_MOIST+E_MIDDLE+DY_FINISHED	HIGH	Vollständige Prozesskarte.
darchd	miss die erste Drogenfraktion ab und trockne sie	D_MEASURE+AR_FRACTION_I+CH_DRY+D_CLOSE	MEDIUM	Konkrete Fraktionshandlung.
deeedy	miss die letzte Dosis ab und schließe die Charge	D_MEASURE+EEE_FINAL+DY_FINISHED	LOW	Kreativer Enddosis-Default.
dom	miss eine Handvoll Ansatz ab	D_MEASURE+O_PREP+M_MANIPULUS	LOW	Gelernte Ganzkarte; m wird nicht allgemein exportiert.
dor	miss eine Portion Droge ab	D_MEASURE+OR_PORTION	HIGH	Drei Kontexte; stabilste Menge-Handlung-Lesart.
doraiin	miss drei Drogenportionen ab	D_MEASURE+OR_PORTION+AIIN_III	HIGH	Mengenkomposition.
dshedy	weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab	D_MEASURE+SH_MOIST+E_MIDDLE+DY_FINISHED	HIGH	Dosis, Handlung und Abschluss explizit.
dshey	weiche eine Dosis Droge bis zur Mittelstufe ein	D_MEASURE+SH_MOIST+E_MIDDLE+Y_CLOSE	MEDIUM	Offener Gegenpart zu dshedy.
dykaly	erhitze danach eine Portion Rohdroge I kurz	DY_SEQUENCE+K_HOT+AL_RAW_I+Y_LIGHT	MEDIUM	DY ist Sequenzkopf am Anfang.
fchedy	trockne eine Blütenfraktion bis zur Mittelstufe und schließe ab	F_FLOWER+CH_DRY+E_MIDDLE+DY_FINISHED	HIGH	Konkreter Blütenstoff.
kalchdy	erhitze Rohdroge I, trockne sie und schließe ab	K_HOT+AL_RAW_I+CH_DRY+DY_FINISHED	HIGH	Produktive Prozessfolge.
kchol	erhitze eine Portion Trockengut im Ansatz	K_HOT+CHOL_DRY_MATERIAL	HIGH	Patient ist Trockengut.
keechy	erhitze vollständig und trockne kurz nach	K_HOT+EE_END+CH_DRY+Y_LIGHT	HIGH	Konkrete Doppelhandlung.
keem	erhitze eine Handvoll Droge vollständig	K_HOT+EE_END+M_MANIPULUS	LOW	Gelernte Ganzkarte; kein globales m-Suffix.
keishy	erwärme eine Portion Rohdroge I und feuchte sie leicht an	K_HOT+E_MIDDLE+SH_MOIST+Y_LIGHT	LOW	Kontext bindet Patient an vorausgehendes al.
keodar	miss die erste Fraktion des erhitzten Ansatzes ab	K_HOT+E_MIDDLE+O_PREP+D_MEASURE+AR_FRACTION_I	MEDIUM	Konkreter Schluss der Passage.
kesey	erwärme eine Portion Saatgut bis zur Mittelstufe	K_HOT+E_MIDDLE+S_SEED+Y_CLOSE	MEDIUM	Mediales s bleibt Saatkopf.
lcheedy	trockne eine Portion Holzdroge vollständig und schließe ab	L_WOOD+CH_DRY+EE_END+DY_FINISHED	HIGH	Stabil produktiv.
lcheod	trockne den Holzdrogenansatz fertig und gieße ihn ab	L_WOOD+CH_DRY+E_MIDDLE+O_PREP+D_DRAW_OFF	MEDIUM	Handlung und Resultat explizit.
lcheor	trockne eine Holzportion bis zur Mittelstufe	L_WOOD+CH_DRY+E_MIDDLE+OR_PORTION	HIGH	Menge folgt Holzstoff.
leeesain	ziehe zwei Teile Saatgut lange mit Holzdroge aus	L_WOOD+EEE_LONG+S_SEED+AIN_II	LOW	Gelernte Mischkarte für die einzige Passage.
lkchedy	erhitze Holzdroge, trockne bis zur Mitte und schließe ab	L_WOOD+K_HOT+CH_DRY+E_MIDDLE+DY_FINISHED	HIGH	Produktive Holzprozessfolge.
lkey	erhitze eine Holzportion bis zur Mittelstufe	L_WOOD+K_HOT+E_MIDDLE+Y_CLOSE	HIGH	Konkreter Patient.
lols	fertige Holz-Arzneispecies; abgeseihter Holzrückstand	L_WOOD+OL_MATERIAL+S_SPECIES	MEDIUM	Terminales s schließt, nicht Saatgut.
loraiir	drei Holzportionen	L_WOOD+OR_PORTION+AIIR_III	LOW	Reader-nahe Variante von loraiin.
lorain	zwei Holzportionen	L_WOOD+OR_PORTION+AIN_II	HIGH	Klare Mengenkarte.
lsheedy	weiche Holzdroge vollständig ein und schließe ab	L_WOOD+SH_MOIST+EE_END+DY_FINISHED	HIGH	Produktive Holzprozesskarte.
ody	fertiggestellter Ansatz	O_PREP+DY_FINISHED	HIGH	37 V41-Stellen; Mengenrahmen und zweimal später separates oly stützen das Resultatnomen. Abseihen bleibt Rival, Kühlen scheidet aus.
oees	vollständig ausgezogener Ansatz; fertige Auszugsspecies	O_PREP+EE_END+S_SPECIES	MEDIUM	Terminales s ist Abschluss.
oiiin	vier Teile Ansatz	O_PREP+IIIN_IV	MEDIUM	Konkrete Ansatzmenge.
okainy	erhitze den Ansatz auf Stufe II und schließe ab	O_PREP+K_HOT+AIN_II+Y_CLOSE	HIGH	Prozessgrad nach k.
okaly	erhitze Rohdroge I im Ansatz kurz und schließe ab	O_PREP+K_HOT+AL_RAW_I+Y_LIGHT	MEDIUM	Stoffkopf al.
okaram	ein Maß der ersten erhitzten Ansatzfraktion	O_PREP+K_HOT+AR_FRACTION_I+AM_UNIT_I	HIGH	Konkrete Portion.
okchor	erhitze einen Pflanzenteil im Ansatz	O_PREP+K_HOT+CHOR_PLANT_PART	HIGH	Stoffkopf chor.
okeeol	erhitze den Grundansatz vollständig zum Auszug	O_PREP+K_HOT+EE_END+OL_EXTRACT	MEDIUM	Konkretes Resultat statt Grundauszug-Metaform.
okol	bereite einen heißen Holzdrogenabsud	O_PREP+K_HOT+OL_WOOD_PREP	HIGH	Heißer wässriger Holzauszug; eine unmarkierte Charge ist eine Portion.
okoldy	stelle den heißen Holzauszug fertig und seihe ihn ab	O_PREP+K_HOT+OL_WOOD_PREP+DY_FINISHED	HIGH	Konkreter Abschluss.
okos	erhitze den Ansatz fertig und schließe ihn als Arzneispecies ab	O_PREP+K_HOT+O_PREP+S_SPECIES	MEDIUM	Terminales s, kein Saatgut.
olchdaiin	drei Dosen getrocknete Holzdroge im Ansatz	O_PREP+L_WOOD+CH_DRY+D_MEASURE+AIIN_III	HIGH	Konkrete Dreidosis.
olcheey	trockne die Holzdroge im Ansatz vollständig	O_PREP+L_WOOD+CH_DRY+EE_END+Y_CLOSE	HIGH	Produktive Holzdrogenkarte.
oleed	vollständig ausgezogener Holzdrogenrückstand	O_PREP+L_WOOD+EE_END+D_RESULT	LOW	Als Objekt nach chl lesbar.
olkal	eine Portion Alkalilauge im Holzdrogenansatz	O_PREP+L_WOOD+ALKAL_LEARNED	LOW	Nutzt die vorhandene exakte alkal-Karte als konkrete Ganzwortnähe.
olkshey	erhitze Holzdroge im Ansatz und weiche bis zur Mitte ein	O_PREP+L_WOOD+K_HOT+SH_MOIST+E_MIDDLE+Y_CLOSE	HIGH	Konkrete Doppelhandlung.
olol	Holzdrogen-Grundansatz in Wasser	O_PREP+L_WOOD+OL_BASE	MEDIUM	Konkreter als nacktes Grundansatz.
olom	eine Handvoll Holzdroge im Ansatz	O_PREP+L_WOOD+O_PREP+M_MANIPULUS	LOW	Gelernte Ganzkarte; m nicht frei exportieren.
opchy	trockne den Pulveransatz leicht an	O_PREP+P_POWDER+CH_DRY+Y_LIGHT	HIGH	Konkreter Pulverprozess.
oreeeg	stark eingedickter Wurzelauszug	O_PREP+R_ROOT+EEE_LONG+G_WHOLE	LOW	Gelernte Ganzkarte; g wird nicht als produktives Gran exportiert.
oshey	weiche den Grundansatz bis zur Mittelstufe ein	O_PREP+SH_MOIST+E_MIDDLE+Y_CLOSE	HIGH	Konkrete Ansatzhandlung.
otalal	setze zwei gleiche Teile Rohdroge I kalt an	O_PREP+T_COLD+AL_RAW_I+AL_EQUAL	LOW	Doppeltes al als gleiche Teile.
otaldiin	setze zwei Dosen Rohdroge I kalt an	O_PREP+T_COLD+AL_RAW_I+D_MEASURE+IIN_II	MEDIUM	Konkrete Dosislesung.
oteeyoram	ein Maß der vollständig gekühlten Ansatzportion	O_PREP+T_COLD+EE_END+Y_CLOSE+OR_PORTION+AM_UNIT_I	LOW	Gelernte lange Ganzkarte.
oteos	kühle den Ansatz bis zur Mittelstufe und schließe die Species ab	O_PREP+T_COLD+E_MIDDLE+O_PREP+S_SPECIES	MEDIUM	Terminales s, kein Saatgut.
otolaiin	drei Teile gekühlter Holzdrogenansatz	O_PREP+T_COLD+OL_WOOD_PREP+AIIN_III	HIGH	Konkrete Menge und Stoff.
oy	schließe den Ansatz ab	O_PREP+Y_CLOSE	MEDIUM	Praktischer Abschluss, kein bloßes Zeichen.
oykchor	setze hiervon einen erhitzten Pflanzenteil an	O_PREP+Y_REFERENCE+K_HOT+CHOR_PLANT_PART	LOW	Gelernte anaphorische Ganzkarte.
pcheedy	trockne eine Portion Pulver vollständig und schließe ab	P_POWDER+CH_DRY+EE_END+DY_FINISHED	HIGH	Produktive Pulverkarte.
psheey	feuchte eine Portion Pulver vollständig zur Paste an	P_POWDER+SH_MOIST+EE_END+Y_CLOSE	HIGH	Konkretes Pastenresultat.
qckhedy	nimm eine bis zur Mittelstufe getrocknete, abgeschlossene Kräutermischung	Q_COMMAND+CKH_COMPOSITE+E_MIDDLE+DY_FINISHED	MEDIUM	Q regiert konkretes Objekt.
qeey	gib die Endportion hinzu	Q_COMMAND+EE_END+Y_CLOSE	MEDIUM	Anschluss an bestehendes qoeey.
qoain	nimm zwei Teile Ansatz	QO_COMMAND+O_PREP+AIN_II	HIGH	Konkrete Mengenhandlung.
qockhy	gib eine leicht getrocknete Kräutermischung in den Ansatz	QO_COMMAND+O_PREP+CKH_COMPOSITE+Y_LIGHT	MEDIUM	Konkretes Objekt.
qokady	erhitze einen Teil Ansatz und schließe ab	QOK_HEAT+A_PART+DY_FINISHED	HIGH	Eine Portion plus Abschluss.
qokaiir	erhitze die zweite Drogenfraktion kräftig	QOK_HEAT+AIR_FRACTION_II	MEDIUM	Fraktionswert schlägt abstrakten Grad.
qokechedy	erhitze vollständig, trockne bis zur Mitte und schließe ab	QOK_HEAT+EE_END+CH_DRY+E_MIDDLE+DY_FINISHED	HIGH	Konkrete Prozessfolge.
qokeees	erhitze eine Ansatzportion lange bis zur Endstufe und schließe ab	QOK_HEAT+EEE_LONG+S_SPECIES	MEDIUM	Terminales s ist Species-Abschluss.
qokeeor	erhitze eine Drogenportion vollständig	QOK_HEAT+EE_END+OR_PORTION	HIGH	Stoffmenge explizit.
qokees	erhitze den Auszug vollständig und schließe die Species ab	QOK_HEAT+EE_END+S_SPECIES	MEDIUM	Terminales s statt Saatgut.
qokololal	erhitze Rohdroge I im Holzdrogen-Grundansatz	QOK_HEAT+O_PREP+L_WOOD+OL_BASE+AL_RAW_I	LOW	Gelernte lange Ganzkarte.
qolkary	nimm die erste heiße Holzdrogenfraktion	QO_COMMAND+L_WOOD+K_HOT+AR_FRACTION_I+Y_CLOSE	HIGH	Konkrete Fraktion.
qolkeedy	gib den vollständig erhitzten und abgeschlossenen Holzdrogenansatz hinzu	QO_COMMAND+L_WOOD+K_HOT+EE_END+DY_FINISHED	HIGH	QO als Zugabehandlung.
qolkeey	gib die vollständig erhitzte Holzdroge hinzu	QO_COMMAND+L_WOOD+K_HOT+EE_END+Y_CLOSE	HIGH	Konkretes Objekt.
qolsheol	gib den eingeweichten Holzdrogenstoff hinzu	QO_COMMAND+L_WOOD+SH_MOIST+E_MIDDLE+OL_MATERIAL	HIGH	Konkretes Objekt.
qopcheey	trockne das Pulver vollständig und gib es hinzu	QO_COMMAND+P_POWDER+CH_DRY+EE_END+Y_CLOSE	HIGH	Pulverhandlung.
qotcheeaiin	nimm drei Teile vollständig kaltgetrocknete Droge	QO_COMMAND+T_COLD+CH_DRY+EE_END+AIIN_III	HIGH	Stoff und Menge explizit.
rain	zwei Teile Wurzel	R_ROOT+AIN_II	HIGH	Zwei Kontexte, klare Mengenkarte.
sfm	eine Handvoll Blütensamen	S_SEED+F_FLOWER+M_MANIPULUS_WHOLE	LOW	Kreativer gelernter Ganzwortdefault; keine Unterstämme exportieren.
shdpchy	feuchte eine Dosis Pulver an und trockne sie leicht	SH_MOIST+D_MEASURE+P_POWDER+CH_DRY+Y_LIGHT	HIGH	Vollständige Pastenhandlung.
shed	eine Dosis bis zur Mittelstufe eingeweichte Droge	SH_MOIST+E_MIDDLE+D_MEASURE	MEDIUM	Als Objekt nach qok lesbar.
shedaldy	weiche eine abgemessene Portion Rohdroge I bis zur Mitte ein und schließe ab	SH_MOIST+E_MIDDLE+D_MEASURE+AL_RAW_I+DY_FINISHED	HIGH	Konkrete Prozesskarte.
sheeo	vollständig ausgezogener Mazerationsansatz	SH_MOIST+EE_END+O_PREP	MEDIUM	Konkretes Flüssigresultat.
sheodaiin	drei Dosen eingeweichter Ansatz	SH_MOIST+E_MIDDLE+O_PREP+D_MEASURE+AIIN_III	HIGH	Konkrete Dreidosis.
sheolkain	weiche den Holzdrogenstoff an und erhitze auf Stufe II	SH_MOIST+E_MIDDLE+OL_WOOD_MATERIAL+K_HOT+AIN_II	HIGH	Produktive Doppelhandlung.
sheyteedy	kühle die eingeweichte Droge vollständig und schließe ab	SH_MOIST+E_MIDDLE+Y_LINK+T_COLD+EE_END+DY_FINISHED	MEDIUM	Patient wird aus vorausgehendem dain übernommen.
shok	erhitze eine Portion Feuchtansatz	SH_MOIST+O_PREP+K_HOT	HIGH	Konkreter Patient.
shotchy	kühle den Feuchtansatz und trockne kurz nach	SH_MOIST+O_PREP+T_COLD+CH_DRY+Y_LIGHT	HIGH	Konkrete Wechselhandlung.
shotokody	weiche den Ansatz ein, kühle, erhitze und schließe ab	SH_MOIST+O_PREP+T_COLD+O_PREP+K_HOT+O_PREP+DY_FINISHED	LOW	Gelernte mehrstufige Ganzkarte.
soin	bereite einen zweiten Saatgutansatz	S_SEED+OIN_SECOND_PREP	HIGH	Initiales s ist Stoffkopf.
soiry	nimm die zweite Saatgutfraktion	S_SEED+AIR_FRACTION_II+Y_CLOSE	MEDIUM	Gelernte Fraktionsvariante.
solarol	setze die erste Saatgutfraktion mit Holzdroge an	SOL_SEED_PREP+AR_FRACTION_I+OL_WOOD_PREP	LOW	Konkrete Mischkarte.
solchey	trockne den Saatgutansatz bis zur Mittelstufe	SOL_SEED_PREP+CH_DRY+E_MIDDLE+Y_CLOSE	HIGH	Produktive Saatprozesskarte.
ssheckhy	feuchte eine Portion Saatgut-Kräutermischung leicht an	S_SEED+SH_MOIST+CKH_COMPOSITE+Y_LIGHT	HIGH	Initiales s liefert Saatgut.
taraiin	kühle drei Teile der ersten Drogenfraktion	T_COLD+AR_FRACTION_I+AIIN_III	HIGH	Konkrete Fraktionsmenge.
tchoky	kühle den Trockenansatz und erwärme ihn wieder kurz	T_COLD+CH_DRY+O_PREP+K_HOT+Y_LIGHT	MEDIUM	Konkrete Wechselhandlung.
tdam	kühle ein Maß Droge ab	T_COLD+D_MEASURE+AM_UNIT_I	HIGH	Konkrete Maßeinheit.
teedu	kühle vollständig ab und schließe die Charge	T_COLD+EE_END+DY_FINISHED_VARIANT	LOW	Gelernte u-Variante.
tshoiin	drei Teile gekühlter Mazerationsansatz	T_COLD+SH_MOIST+O_PREP+IIN_III	MEDIUM	Konkreter Stoff und Menge.
yched	nimm hiervon eine bis zur Mitte getrocknete Dosis	Y_REFERENCE+CH_DRY+E_MIDDLE+D_MEASURE	HIGH	Anaphorischer Mengenbefehl.
ycheey	nimm hiervon die vollständig getrocknete Droge	Y_REFERENCE+CH_DRY+EE_END+Y_CLOSE	HIGH	Konkreter Rückverweis.
yd	miss hiervon eine Dosis ab	Y_REFERENCE+D_MEASURE	HIGH	Kein Metafeldwechsel.
ykaiin	erhitze hiervon eine Portion auf Stufe III	Y_REFERENCE+K_HOT+AIIN_III	HIGH	Nach k ist aiin Prozessgrad; Menge default eine Portion.
ykair	erhitze hiervon die zweite Drogenfraktion	Y_REFERENCE+K_HOT+AIR_FRACTION_II	HIGH	Konkrete Fraktionshandlung.
ykeey	erhitze hiervon eine Portion vollständig	Y_REFERENCE+K_HOT+EE_END+Y_CLOSE	HIGH	Zwei Kontexte; anaphorische Endstufenhandlung.
ypchdair	nimm hiervon die zweite abgemessene Trockenpulverfraktion	Y_REFERENCE+P_POWDER+CH_DRY+D_MEASURE+AIR_FRACTION_II	HIGH	Stoff, Menge und Rückverweis explizit.
yshedy	weiche hiervon eine Portion bis zur Mittelstufe ein und schließe ab	Y_REFERENCE+SH_MOIST+E_MIDDLE+DY_FINISHED	HIGH	Konkrete anaphorische Handlung.
yshol	nimm hiervon eine Portion Mazerationsauszug	Y_REFERENCE+SH_MOIST+OL_EXTRACT	MEDIUM	Konkreter Feuchtauszug.
ytam	kühle hiervon ein Maß ab	Y_REFERENCE+T_COLD+AM_UNIT_I	HIGH	Konkrete Maßeinheit.
ytchos	nimm hiervon eine Portion kaltgetrocknete Arzneispecies	Y_REFERENCE+T_COLD+CHO_DRY_PREP+S_SPECIES	MEDIUM	Terminales s schließt; kein Saatgut.
yteedy	kühle hiervon vollständig ab und schließe die Charge	Y_REFERENCE+T_COLD+EE_END+DY_FINISHED	HIGH	Konkreter anaphorischer Abschluss.
yteey	kühle hiervon eine Portion vollständig ab	Y_REFERENCE+T_COLD+EE_END+Y_CLOSE	HIGH	Konkreter Rückverweis.
ytoldy	kühle hiervon den Holzauszug ab und schließe ihn	Y_REFERENCE+T_COLD+OL_WOOD_PREP+DY_FINISHED	HIGH	Konkretes Stoffresultat.
yty	kühle hiervon kurz ab	Y_REFERENCE+T_COLD+Y_LIGHT	HIGH	Zwei Kontexte, stabiler Kurzschritt.
