rank	locus	zl3b_line	manual_workshop_translation_de	notes
16	f112v.46	ykeey lor chaiin cheky chokain char am chey kain chdal okaiin daldy	Erhitze hiervon eine Portion vollständig. Gib eine Holzportion und drei Teile Trockendroge hinzu, trockne bis zur Mitte und erwärme kurz; erhitze den Trockenansatz auf Stufe II. Füge die erste Trockenfraktion und ein Maß hinzu, trockne bis zur Mitte, erhitze auf Stufe II, gib die erste abgemessene Trockenportion zu und bringe den Ansatz auf Stufe III. Schließe die abgemessene Rohdrogenportion ab.	ykeey ist y+k+ee+y: anaphorisch vollständig erhitzen; eine unmarkierte Portion ist der Arbeitsdefault.
17	f116r.32	olkeey rain shey qor aiin shey ol lchedy rshey qokeedy chtain oly	Erhitze den Holzdrogenansatz vollständig. Gib zwei Teile Wurzel hinzu und weiche bis zur Mitte ein. Nimm eine Drogenportion mit drei Teilen, weiche nochmals ein und gib Grundansatz, getrocknetes Drogenholz sowie eingeweichte Wurzel hinzu. Erhitze vollständig, behandle kalt-trocken auf Stufe II und seihe den Holzansatz ab.	rain ist r+ain, also zwei Teile Wurzel, nicht ein Gradwert.
18	f13v.4	o l s chey okos oaiin okshy qo	Setze ein Pfund Saatgut in Ansatzwasser an. Trockne bis zur Mitte und erhitze den Ansatz fertig; gieße drei Teile Ansatzwasser zu, erwärme und befeuchte kurz und nimm die Charge ab.	Terminales s in okos ist Species-Abschluss; initiales freies s bleibt Saatgut.
19	f19r.7	qok cho ky cthar dor chan dar	Erhitze den Trockenansatz kurz. Nimm eine erste Blatt- oder Krautfraktion, miss eine Portion davon ab, trockne sie leicht an und trenne die erste abgemessene Fraktion.	dor ist d+or: eine Portion abmessen; damit sind Stoff, Menge und Handlung bestimmt.
20	f27r.11	chol daiiin chees chos ey dan	Bringe Trockengut auf Stufe IV und verarbeite es mit der vollständig getrockneten Kräutermischung zu einer fertigen Trocken-Arzneispecies; nimm danach eine Maßportion davon ab.	chos folgt dem terminalen Species-s. In 30 sichtbaren chos-Zeilen verlangt keine Saat; fünf führen Saat separat.
21	f4v.12	qokey sho okeol s keey shar char ody	Erwärme einen feuchten Ansatz bis zur Mitte und bereite daraus einen heißen Holzabsud. Gib eine Portion Saatgut zu und erhitze vollständig; füge die erste angefeuchtete und die erste trockene Drogenfraktion hinzu. Das ergibt den fertiggestellten Ansatz.	ody ist O_PREP+DY_FINISHED: das fertige Ansatzresultat. Abseihen bleibt wegen separat folgendem oly nur Rival.
22	f6r.10	tchor ctheod chy shor od she od	Nimm eine kaltgetrocknete Drogenportion und ziehe eine Portion Krautabsud bis zur Mittelstufe ab. Trockne sie kurz, gib einen Blüten- oder Fruchtteil hinzu, miss eine Dosis Ansatz ab, feuchte sie an und miss eine zweite Dosis ab.	ctheod wird als mittleres Abziehen eines Krautabsuds gelesen.
23	f75r.12	ssheckhy qokal oly shey r ol cheey shey dy olshedy qoky	Feuchte eine Portion Saatgut-Kräutermischung leicht an. Gib die erste leicht erhitzte Rohdrogenportion dazu und seihe ab. Weiche eine Portion Wurzel im Grundansatz ein, trockne vollständig, weiche nochmals ein und schließe ab; ziehe Holzdroge im Ansatz vollständig aus und erwärme kurz.	ssheckhy erhält einen Stoffkopf aus initialem s und einen Feuchtprozess aus sh.
24	f75r.30	qo dain cheeky qokey qokain cheky qokal dain chedy o kalol shedy okar olom	Nimm zwei Maße, trockne sie vollständig und röste kurz nach; erwärme bis zur Mitte und dann auf Stufe II. Trockne erneut bis zur Mitte, gib eine erste leicht erhitzte Rohdrogenportion und nochmals zwei Maße hinzu und trockne bis zur Mitte. Setze die heiße Rohdroge in Ansatzwasser an, weiche sie bis zur Mitte ein, gib die erste heiße Fraktion und eine Handvoll Holzdroge in den Ansatz.	olom ist eine gelernte Ganzkarte: eine Handvoll Holzdroge im Ansatz.
25	f75v.10	qokeed chedy ky okedy lchedy dar ody dchedy dar olchedy otedy qoky	Erhitze vollständig und schließe ab; trockne bis zur Mitte und erwärme kurz. Schließe die mittlere Heizstufe und gib getrocknetes Drogenholz sowie die erste abgemessene Fraktion hinzu. Verwende den so fertiggestellten Ansatz mit einer fertig abgemessenen Trockendosis, einer weiteren ersten Fraktion und fertig getrockneter Holzdroge; kühle mäßig und erwärme kurz.	ody bezeichnet das fertige Ansatzresultat zwischen zwei Mengenblöcken; ein Abseiheschritt wird nicht erzwungen.
26	f78r.31	solkeedy sheckhy qokedy otal shedy otar olchedy cthdy	Erhitze den Saatgutansatz vollständig. Feuchte eine Kräutermischung leicht an, erwärme bis zur Mitte, gib eine erste gekühlte Rohdrogenportion hinzu, weiche bis zur Mitte ein und füge die erste Kaltfraktion sowie fertig getrocknete Holzdroge hinzu. Bereite die Krautdroge fertig auf.	cthdy ist CTH_HERB+DY_FINISHED und schließt die Krautdroge praktisch ab.
27	f78v.22	okol shey ol shedy okal okchey okeol ol chedy qol	Bereite einen heißen Holzdrogenabsud. Lasse ihn im Grundansatz bis zur Mitte ziehen, gib eine erste leicht erhitzte Rohdrogenportion hinzu und trockne sie heiß bis zur Mitte. Erwärme den restlichen Holzansatz bis zur Mitte, trockne ihn bis zur Mitte und gib den fertigen Auszug hinzu.	okol wird aus o+k+ol als heißer Holzdrogenabsud gelesen; eine unmarkierte Charge ist eine Portion.
28	f81r.21	dshedy qokal olkeey oteey olshey otey lol	Weiche eine Dosis Droge bis zur Mittelstufe ein und schließe sie ab. Gib die erste leicht erhitzte Rohdrogenportion hinzu, erhitze den Holzdrogenansatz vollständig, kühle bis zur Endstufe, lasse die Holzdroge bis zur Mitte ziehen, kühle nochmals mäßig und gib eine Portion Holzstoff hinzu.	dshedy ist d+sh+e+dy: eine Dosis einweichen und abschließen.
29	f86v5.17	ockhedy ched y taiin ykaiin qotal yshey otaiin olkam	Stelle eine Portion Kräuterkompositum im Ansatz fertig und trockne bis zur Mitte. Kühle die Charge auf Stufe III; erhitze hiervon eine Portion auf Stufe III. Gib eine erste gekühlte Rohdrogenportion hinzu, weiche hiervon bis zur Mitte ein, füge drei Teile kalten Ansatz und ein Maß heißen Holzdrogenansatz hinzu.	ykaiin ist y+k+aiin: anaphorisch eine Portion auf Heizstufe III bringen; aiin ist nach k ein Prozessgrad.
30	f86v6.23	qokar olkedy otor chedy qokar opchedy dar ykar ar dair ain ol keodar	Nimm die erste heiße Drogenfraktion und schließe den erhitzten Holzdrogenansatz ab. Gib eine kalte Drogenportion hinzu und trockne bis zur Mitte. Füge erneut die erste heiße Fraktion und vollständig getrocknetes Pulver hinzu, miss die erste Fraktion ab und nimm eine weitere erste heiße Fraktion. Gib die zweite Fraktion, zwei Teile und Grundansatz hinzu; miss zuletzt die erste Fraktion des erhitzten Ansatzes ab.	keodar ist eine erste abgemessene Fraktion des erhitzten Ansatzes und kein abstrakter Endwert.
