surface	working_meaning_de	composition	strongest_rival_de	family
lkey	Holzdroge bis zur mittleren Heizstufe erhitzen	L_WOOD+K_HOT+E_MIDDLE+Y	heißes Holz, Grundstufe	WOOD
lcheor	eine Portion mitteltrockene Holzdroge	L_WOOD+CH_DRY+E_MIDDLE+OR_PORTION	Portion Trockengut ohne Holz	WOOD
pcheedy	Pulver vollständig trocknen und abschließen	P_POWDER+CH_DRY+EE_END+DY_FINISHED	Pulver nur bis Mittelstufe trocknen	POWDER
okaram	ein Maß der ersten heißen Ansatzfraktion	O_PREP+K_HOT+AR_FRACTION_I+AM_UNIT_I	ein Maß heißer Gesamtansatz	MEASURE
teedu	vollständig abkühlen und abschließen	T_COLD+EE_END+D_CLOSE+U_WHOLE	Schreibvariante teedy	COLD
arain	zwei Teile der ersten Fraktion	AR_FRACTION_I+AIN_II	zweite Fraktion (air)	FRACTION
yty	kühle hiervon leicht	Y_REFERENCE+T_COLD+Y_START	kalter Bezugsposten	ENTRY
oykchor	setze hiervon den Pflanzenteil heiß an	O_PREP+Y_REFERENCE+K_HOT+CHOR_PLANT_PART	heißer Pflanzenteilansatz ohne Rückbezug	PLANT_PART
chckhan	trockenes Arzneikompositum, Stufe I	CH_DRY+CKH_COMPOUND+AN_I	rohes Arzneikompositum I	DRY
shed	Einweichung bis zur Mittelstufe abschließen	SH_MOIST+E_MIDDLE+D_CLOSE	mittelfeuchte Droge ohne Abschluss	ACTION
ycheey	trockne hiervon vollständig	Y_REFERENCE+CH_DRY+EE_END+Y_CLOSE	vollständig getrocknete Bezugsdroge als Nomen	ENTRY
soiry	zweite Saatgutfraktion, Grundform	S_SEED+O_PREP+IR_FRACTION_II_CONTRACTED+Y_BASE	Saatgutzubereitung Form III	SEED
chealy	Rohstoff I bis zur mittleren Trockenstufe bringen	CH_DRY+E_MIDDLE+AL_RAW_I+Y	Rohstoff I nur leicht trocknen	RAW_MATERIAL
oteeyoram	ein Maß der vollständig gekühlten Ansatzportion	O_PREP+T_COLD+EE_END+Y+OR_PORTION+AM_UNIT_I	ein Maß kalter Gesamtansatz	MEASURE
qokeeor	erhitze eine Portion vollständig	QO_COMMAND+K_HOT+EE_END+OR_PORTION	nimm eine bereits heiße Endportion	ACTION
ykeey	erhitze hiervon vollständig	Y_REFERENCE+K_HOT+EE_END+Y_CLOSE	vollständig erhitzter Bezugsposten	ENTRY
lsheedy	Holzdroge vollständig einweichen und abschließen	L_WOOD+SH_MOIST+EE_END+DY_FINISHED	eingeweichtes Holz, Mittelstufe	WOOD
checkhol	mittelgetrocknetes Arzneikompositum als Ansatzstoff	CH_DRY+E_MIDDLE+CKH_COMPOUND+OL_MATERIAL	gewöhnliches Trockengut	DRY
lkchedy	Holzdroge erhitzen und bis zur mittleren Trockenstufe fertigbringen	L_WOOD+K_HOT+CH_DRY+E_MIDDLE+DY_FINISHED	nur getrocknete Holzdroge	WOOD
oleed	vollständigen Holzdrogenauszug abschließen	O_PREP+L_WOOD+EE_END+D_CLOSE	vollständig ausgezogener, aber offener Holzauszug	WOOD
sfm	eine Handvoll Saat-Blüten-Gemisch	LEARNED_WHOLE;S_SEED+F_FLOWER+M_MANIPULUS_RIVAL	gelernter Drogennamen-/Mengensigel	FLOWER
rain	Wurzel, Charge II	R_ROOT+AIN_II	zwei Teile Wurzel	ROOT
okos	eine Charge Heißansatz	O_PREP+K_HOT+O_PREP+S_SPECIES	heißer Saatgutansatz	HOT_PREP
olol	Holzdroge im Grundansatz	O_PREP+L_WOOD+OL_BASE	einfacher Holzdrogenauszug	WOOD
shotchy	eingeweichte Droge kalt antrocknen	SH_MOIST+O_PREP+T_COLD+CH_DRY+Y	feuchte Krautzubereitung	ACTION
qokeees	erhitze die Arzneispecies bis zur letzten Stufe	QO_COMMAND+K_HOT+EEE_FINAL+S_SPECIES	Saatgut sehr lange erhitzen	ACTION
dor	eine Portion abmessen	D_MEASURE+OR_PORTION	Materialmaß ohne Portion	MEASURE
chtol	kalt getrockneter Drogenstoff	CH_DRY+T_COLD+OL_MATERIAL	Trockenansatz aus kaltem Material	DRY
dom	eine Handvoll Ansatz abmessen	LEARNED_WHOLE;D_MEASURE+O_PREP+M_MANIPULUS_RIVAL	eine Dosis Ansatz	MEASURE
chos	eine Charge Trockenansatz	CH_DRY+O_PREP+S_SPECIES	trocken angesetztes Saatgut	DRY
tshoiin	kalter Feuchtansatz, Form III	T_COLD+SH_MOIST+O_PREP+IIN_III	Feuchtansatz Form III ohne Kälte	MOIST_PREP
cholo	getrockneten Rückstand erneut ansetzen	CH_DRY+OL_MATERIAL+O_PREP	Trockenstoff im Ansatz	ACTION
chtchey	kalt bis zur mittleren Trockenstufe bringen	CH_DRY+T_COLD+CH_DRY+E_MIDDLE+Y	gewöhnliche mittlere Trockenstufe	ACTION
keem	eine Handvoll vollständig erhitzte Droge	LEARNED_WHOLE;K_HOT+EE_END+M_MANIPULUS_RIVAL	Erhitzungsende ohne Menge	MEASURE
sheeo	vollständig eingeweichter Ansatz	SH_MOIST+EE_END+O_PREP	Feuchtzubereitung ohne Endstufe	MOIST_PREP
okaly	Rohstoff I im Ansatz leicht erhitzen	O_PREP+K_HOT+AL_RAW_I+Y	heiße Ansatzfraktion I	HOT_PREP
chcthedy	Krautdroge bis zur mittleren Trockenstufe trocknen und abschließen	CH_DRY+CTH_HERB+E_MIDDLE+DY_FINISHED	allgemeine Trockendroge	HERB
olchdaiin	drei Dosen getrocknete Holzdroge im Ansatz	O_PREP+L_WOOD+CH_DRY+D_MEASURE+AIIN_III	drei Trockenstufen Holzdroge	MEASURE
chochy	Trockenansatz leicht nachtrocknen	CH_DRY+O_PREP+CH_DRY+Y	heiß-trockene Grundform	ACTION
qotcheeaiin	nimm drei Teile und trockne sie kalt bis zur Endstufe	QO_COMMAND+T_COLD+CH_DRY+EE_END+AIIN_III	drei Teile kalt-trockene Droge als Zustand	ACTION
chytaroiin	dritte Ansatzform der leicht getrockneten ersten Kaltfraktion	CH_DRY+Y_BASE+T_COLD+AR_FRACTION_I+OIIN_III	trockne, kühle und nimm Fraktion I	FRACTION
okchor	heißer Pflanzenteilansatz	O_PREP+K_HOT+CHOR_PLANT_PART	heißer Blüten-/Fruchtansatz	PLANT_PART
ckholdy	fertig aufbereitetes Arzneikompositum	CKH_COMPOUND+OL_MATERIAL+DY_FINISHED	fertig getrocknete Droge	PREPARATION
chshol	Mazerat aus getrockneter Droge	CH_DRY+SH_MOIST+OL_MATERIAL	feuchtes Material ohne Vortrocknung	MOIST_PREP
shok	eingeweichten Ansatz erhitzen	SH_MOIST+O_PREP+K_HOT	heiß-feuchter Zustand	ACTION
qokees	erhitze die Arzneispecies bis zur Endstufe	QO_COMMAND+K_HOT+EE_END+S_SPECIES	Saatgut vollständig erhitzen	ACTION
yteey	kühle hiervon vollständig	Y_REFERENCE+T_COLD+EE_END+Y_CLOSE	vollständig gekühlter Bezugsposten	ENTRY
taraiin	drei Teile der ersten Kaltfraktion	T_COLD+AR_FRACTION_I+AIIN_III	dritte Kaltstufe ohne Fraktion	FRACTION
chkalykedy	Rohstoff I leicht trocknen, dann bis zur mittleren Heizstufe fertig erhitzen	CHKALY_ACTION+K_HOT+E_MIDDLE+DY_FINISHED	nur heiß-trockener Rohstoff I	ACTION
chdain	zwei Maße Trockendroge	CH_DRY+D_MEASURE+AIN_II	Trockenstufe II	MEASURE
yshol	weiche hiervon den Drogenstoff ein	Y_REFERENCE+SH_MOIST+OL_MATERIAL	nimm hiervon das Mazerat	ENTRY
cheekchy	vollständig trocknen, dann leicht heiß nachtrocknen	CH_DRY+EE_END+K_HOT+CH_DRY+Y	nur vollständig trocknen	ACTION
dalor	eine Portion Rohstoff I abmessen	D_MEASURE+AL_RAW_I+OR_PORTION	Rohstoffportion I ohne Messhandlung	MEASURE
yd	[Rezeptposten abgeschlossen]	Y_ENTRY+D_CLOSE;3_OF_3_EOS	miss hiervon ab	ENTRY
dalshedy	Rohstoff I abmessen, bis zur Mittelstufe einweichen und abschließen	D_MEASURE+AL_RAW_I+SH_MOIST+E_MIDDLE+DY_FINISHED	nur eingeweichten Rohstoff I abmessen	ACTION
dykaly	danach Rohstoff I leicht erhitzen	DY_THEN+K_HOT+AL_RAW_I+Y	danach heißen Rohstoff I verwenden	ACTION
ytam	nimm hiervon ein Maß kalten Ansatzes	Y_REFERENCE+T_COLD+AM_UNIT_I	kühle hiervon ein Maß	ENTRY
chotchy	Trockenansatz kalt nachtrocknen	CH_DRY+O_PREP+T_COLD+CH_DRY+Y	kalt-trockene Grundform ohne Nachschritt	ACTION
ody	fertiger Ansatz	O_PREP+DY_FINISHED	stelle den Ansatz fertig	PREPARATION
aram	ein Maß der ersten Fraktion	AR_FRACTION_I+AM_UNIT_I	ein Maß Rohdroge I	MEASURE
qoain	nimm zwei Teile	QO_COMMAND+AIN_II	Prozessstufe II	ACTION
qockhy	nimm den frisch angesetzten Arzneikompositum-Ansatz	Q_PREFIX+O_PREP+CKH_COMPOUND+Y	Ansatz eines Arzneikompositums ohne Befehl	ACTION
darchd	die erste Fraktion abmessen und fertig trocknen	D_MEASURE+AR_FRACTION_I+CH_DRY+D_CLOSE	abgemessene, leicht angefeuchtete Fraktion I	ACTION
otaldiin	drei Dosen Rohstoff I im Kaltansatz	O_PREP+T_COLD+AL_RAW_I+D_MEASURE+IIN_III	Leservariante eines Kaltansatzes Grad III	MEASURE
ykair	nimm hiervon die zweite erhitzte Fraktion	Y_REFERENCE+K_HOT+AIR_FRACTION_II	erhitze hiervon auf Stufe II	ENTRY
kchol	heiß-trockener Drogenstoff	K_HOT+CH_DRY+OL_MATERIAL	heißer Ansatz aus Trockengut	HOT_DRY
psheey	vollständig angefeuchtetes Pulver als Paste	P_POWDER+SH_MOIST+EE_END+Y	Pulver trocken gebundene Form II	POWDER
sheodaiin	drei Dosen eingeweichte Droge	SHEO_MOIST_PREP+D_MEASURE+AIIN_III	drei Stufen Feuchtansatz	MEASURE
qokaiir	nimm die dritte erhitzte Fraktion	QO_COMMAND+K_HOT+AIIR_FRACTION_III	erhitze bis Stufe III (qokaiin)	ACTION
ctheod	Krautansatz abgießen und abschließen	CTH_HERB+EO_PREP+D_CLOSE	Leservariante cthod	HERB
ytchos	eine Charge dieses kalt-getrockneten Ansatzes	Y_REFERENCE+T_COLD+CH_DRY+O_PREP+S_SPECIES	stelle hiervon den kalt-getrockneten Ansatz fertig; kalt angesetzte Saat	ENTRY
ssheckhy	eingeweichtes Saat-Arzneikompositum, Gradanfang	S_SEED+SH_MOIST+E_MIDDLE+CKH_COMPOUND+Y	feuchtes Arzneikompositum ohne Saat	SEED
keishy	erhitzte Droge leicht anfeuchten	K_HOT+EI_LINK+SH_MOIST+Y	heiß-feuchte Mittelstufe	ACTION
qolkary	gib die erste erhitzte Fraktion hinzu	QOL_ADD_ACTION+K_HOT+AR_FRACTION_I+Y	nimm die erste erhitzte Holzfraktion	ACTION
olom	eine Handvoll Holzdroge für den Ansatz	LEARNED_WHOLE;O_PREP+L_WOOD+O_PREP+M_MANIPULUS_RIVAL	Holzzutat ohne Menge	MEASURE
okoldy	fertiger Heißauszug	O_PREP+K_HOT+OL_BASE+DY_FINISHED	fertiger Kaltansatz	EXTRACT
qolsheol	gib den eingeweichten Drogenstoff hinzu	QOL_ADD_ACTION+SH_MOIST+E_MIDDLE+OL_MATERIAL	eingeweichter Holzdrogenauszug	ACTION
as	ein gleicher Teil Arzneispecies	A_EQUAL_PART+S_SPECIES	ein gleicher Teil Saatgut	MEASURE
cham	ein Maß Trockendroge	CH_DRY+AM_UNIT_I	trockener Rohstoff I	MEASURE
qeey	nimm die Endportion	LEARNED_Q_COMMAND+EE_END+Y	Leservariante qoeey	ACTION
otolaiin	drei Teile Kaltansatz	O_PREP+T_COLD+OL_BASE+AIIN_III	drei Kaltstufen	MEASURE
doraiin	drei Portionen abmessen	D_MEASURE+OR_PORTION+AIIN_III	dritte abgemessene Portion	MEASURE
fchedy	Blütenfraktion bis zur mittleren Trockenstufe fertig trocknen	F_FLOWER+CH_DRY+E_MIDDLE+DY_FINISHED	allgemeine Trockendroge	FLOWER
chdor	eine trockene Portion abmessen	CH_DRY+D_MEASURE+OR_PORTION	getrockneter Pflanzenteil	MEASURE
yched	trockne hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE+CH_DRY+E_MIDDLE+D_CLOSE	nimm die mitteltrockene Bezugsdroge	ENTRY
lorain	Holzportion II	L_WOOD+OR_PORTION+AIN_II	zwei Portionen Holzdroge	MEASURE
cthdy	Krautdroge fertig aufbereiten	CTH_HERB+DY_FINISHED	fertige allgemeine Drogenzubereitung	HERB
qckhedy	Arzneikompositum auf Mittelstufe fertigstellen	Q_PREFIX+CKH_COMPOUND+E_MIDDLE+DY_FINISHED	Ansatz des Kompositums fertigstellen	ACTION
shedaldy	Rohstoff I abmessen, bis zur Mittelstufe einweichen und abschließen	SH_MOIST+E_MIDDLE+D_MEASURE+AL_RAW_I+DY_FINISHED	feuchte Rohstoffmenge I als Zustand	ACTION
yteedy	kühle hiervon vollständig und schließe ab	Y_REFERENCE+T_COLD+EE_END+DY_FINISHED	vollständig gekühlter Bezugsposten	ENTRY
okol	Heißauszug	O_PREP+K_HOT+OL_BASE	erhitzter Grundansatz ohne Auszugswert	EXTRACT
chsey	Saatgut bis zur mittleren Stufe trocknen	CH_DRY+S_SEED+E_MIDDLE+Y	getrocknete Arzneispecies	SEED
olcheey	Holzdroge im Ansatz vollständig trocknen	O_PREP+L_WOOD+CH_DRY+EE_END+Y	vollständig trockener allgemeiner Ansatz	WOOD
olkshey	heißen Holzdrogenansatz bis zur mittleren Stufe einweichen	O_PREP+L_WOOD+K_HOT+SH_MOIST+E_MIDDLE+Y	nur heiß-feuchter Holzstoff	WOOD
sheyteedy	nach mittlerem Einweichen vollständig abkühlen und abschließen	SH_MOIST+E_MIDDLE+Y+T_COLD+EE_END+DY_FINISHED	feucht angesetzte heiße Endzubereitung	ACTION
yshedy	weiche hiervon bis zur Mittelstufe ein und schließe ab	Y_REFERENCE+SH_MOIST+E_MIDDLE+DY_FINISHED	eingeweichter Bezugsposten	ENTRY
chedyor	eine Portion mitteltrocken fertiggestellte Droge	CH_DRY+E_MIDDLE+DY_FINISHED+OR_PORTION	Portion erst danach trocknen	DRY
solchey	Saatgutansatz bis zur mittleren Stufe trocknen	SOL_SEED_PREP+CH_DRY+E_MIDDLE+Y	Saatrohstoff statt Ansatz	SEED
qokady	erhitze einen gleichen Teil und stelle ihn fertig	QO_COMMAND+K_HOT+A_EQUAL_PART+DY_FINISHED	erhitze bis Mittelstufe und schließe ab	ACTION
okainy	Ansatz auf Heizstufe II abschließen	O_PREP+K_HOT+AIN_II+Y_CLOSE	heißer Ansatz Stufe II ohne Abschluss	HOT_PREP
soin	zweiter Saatgutansatz	S_SEED+OIN_SECOND_PREP	Saatgutzubereitung Form II	SEED
oy	frischer Ansatz	O_PREP+Y_START	Ansatzzeichen oder Imperativ „setze an“	PREPARATION
dshedy	eine Dosis bis zur Mittelstufe eingeweichte Droge, fertig	D_MEASURE+SH_MOIST+E_MIDDLE+DY_FINISHED	miss die eingeweichte Droge erst jetzt ab	MEASURE
olkal	heißer Holzdrogenansatz aus Rohstoff I	O_PREP+L_WOOD+K_HOT+AL_RAW_I	heißer Grundansatz Rohstoff I ohne Holz	WOOD
oiiin	Ansatz, Form IV	O_PREP+IIIN_FORM_IV	Ansatzmenge IV	PREPARATION
solarol	erste Fraktion des Saatgutansatzes	SOL_SEED_PREP+AR_FRACTION_I+OL_MATERIAL	Saatgutansatz aus Rohstoff I	SEED
deeedy	abgemessene Endfraktion, letzte Stufe, fertig	D_MEASURE+EEE_FINAL+DY_FINISHED	lange Prozessstufe ohne Abmessung	MEASURE
qokechedy	erhitze, trockne bis zur Mittelstufe und schließe ab	QO_COMMAND+K_HOT+E_LINK+CH_DRY+E_MIDDLE+DY_FINISHED	erhitze und trockne nur allgemein	ACTION
qolkeey	gib den vollständig erhitzten Drogenstoff hinzu	QOL_ADD_ACTION+K_HOT+EE_END+Y	erhitze die Holzdroge vollständig	ACTION
chsdy	trockne die Arzneispecies fertig	CH_DRY+S_SPECIES+DY_FINISHED	getrocknetes Saatgut, fertig	DRY
cheeety	lange trocknen, dann leicht kühlen	CH_DRY+EEE_FINAL+T_COLD+Y	vollständig trocknen ohne Kühlung	ACTION
chkeedy	trockne, dann erhitze vollständig und schließe ab	CH_DRY+K_HOT+EE_END+DY_FINISHED	erhitze und trockne in umgekehrter Reihenfolge	ACTION
okeeol	vollständig erhitzter Grundauszug	O_PREP+K_HOT+EE_END+OL_BASE	stark erhitzter Drogenstoff ohne Ansatz	EXTRACT
chedchy	nach mittlerem Trocknen nochmals leicht nachtrocknen	CH_DRY+E_MIDDLE+D_CLOSE+CH_DRY+Y	kalt-trockene Grundform	ACTION
qolkeedy	gib den vollständig erhitzten fertigen Drogenstoff hinzu	QOL_ADD_ACTION+K_HOT+EE_END+DY_FINISHED	erhitze den Holzdrogenansatz vollständig und schließe ab	ACTION
sheolkain	eingeweichten Drogenstoff auf Heizstufe II erhitzen	SH_MOIST+E_MIDDLE+OL_MATERIAL+K_HOT+AIN_II	getrockneten Drogenstoff erhitzen	ACTION
lols	eine Charge Holzstoff im Ansatz	L_WOOD+OL_MATERIAL+S_SPECIES	fertiger Holzdrogenauszug	WOOD
checphey	trockenes Arzneikompositum in der mittleren Stufe	LEARNED_CPH_COMPOUND_WHOLE	Schreib-/Leservariante checkhey	DRY
oees	vollständig ausgezogene Ansatzcharge	O_PREP+EE_END+S_SPECIES	vollständig ausgezogener Saatgutansatz	PREPARATION
tdam	ein Maß kalte Droge abmessen	T_COLD+D_MEASURE+AM_UNIT_I	eine Dosis kalter Ansatz	MEASURE
ykaiin	erhitze hiervon auf Stufe III	Y_REFERENCE+K_HOT+AIIN_III	heiße Bezugsdroge, Stufe III	ENTRY
dshey	eine Dosis bis zur mittleren Stufe angefeuchtete Droge	D_MEASURE+SH_MOIST+E_MIDDLE+Y	feuchte Mittelstufe ohne Dosis	MEASURE
qopcheey	Pulveransatz vollständig trocknen	Q_PREFIX+O_PREP+P_POWDER+CH_DRY+EE_END+Y	nimm vollständig getrocknetes Pulver	ACTION
oreeeg	ein Gran lange eingekochter Wurzelauszug	LEARNED_WHOLE;O_PREP+R_ROOT+EEE_LONG+G_GRAIN_RIVAL	Transfer-/Gefäßsigel -g	ROOT
keodar	die erste erhitzte Auszugsfraktion abmessen	K_HOT+EO_EXTRACT+D_MEASURE+AR_FRACTION_I	erste erhitzte Fraktion ohne Auszugs- oder Messwert	MEASURE
oteos	Kaltansatz-Charge, Mittelstufe	O_PREP+T_COLD+E_MIDDLE+O_PREP+S_SPECIES	kalte Arzneispecies Endstufe	COLD
shotokody	eingeweichten Ansatz abkühlen, wieder erwärmen und fertigstellen	SH_MOIST+O_PREP+T_COLD+O_PREP+K_HOT+O_PREP+DY_FINISHED	gelernter Prozessname	ACTION
kesey	Saatgut bis zur mittleren Stufe erhitzen	K_HOT+E_MIDDLE+S_SEED+E_MIDDLE+Y	heißer Endzustand ohne Saatgut	SEED
kalchdy	Rohstoff I erhitzen und fertig trocknen	K_HOT+AL_RAW_I+CH_DRY+DY_FINISHED	Rohstoff I nur heiß-trocken ansetzen	ACTION
ypchdair	miss hiervon die zweite getrocknete Pulverfraktion ab	Y_REFERENCE+P_POWDER+CH_DRY+D_MEASURE+AIR_FRACTION_II	zweiter trockener Anteil ohne Pulver	ENTRY
cholody	getrockneten Rückstand erneut ansetzen und fertigstellen	CH_DRY+OL_MATERIAL+O_PREP+DY_FINISHED	fertig getrocknete Droge ohne Neuansatz	ACTION
qokololal	erhitze den Ansatz aus Holzrohstoff I	QOKOL_HEAT_ACTION+OLAL_WOOD_RAW_PREP	gib Heißauszug zu Holzansatz I	ACTION
ytoldy	stelle hiervon einen Kaltansatz fertig	Y_REFERENCE+T_COLD+OL_BASE+DY_FINISHED	fertiger Kaltansatz als Bezug	ENTRY
